,GEOGRAPHY_CODE,"1. Higher managerial, administrative and professional occupations",1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,All categories: NS-SeC,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students,Not classified
2246,E02002307,0.062134173795587576,0.01575866726699685,0.046375506528590724,0.17266996848266547,0.12764520486267447,0.0814948221521837,0.09432687978388113,0.17762269248086449,0.16208914903196758,0.05110310670868978,3331.5,0.03354344889689329,0.017559657811796487,0.07091400270148582,0.0630346690679874
2247,E02002308,0.09280694501860273,0.02666391070690368,0.06614303431169904,0.2312939231087226,0.1343530384456387,0.08081852004960728,0.0812319140140554,0.15047540305911533,0.1281521289789169,0.04175279040926003,3628.5,0.025010334849111204,0.016742455560148823,0.05911533691608103,0.05254696614762758
2248,E02002309,0.07935548841893253,0.014702920443101713,0.06465256797583081,0.13836858006042296,0.08076535750251762,0.07895266868076536,0.059415911379657606,0.13353474320241693,0.13353474320241693,0.12004028197381672,3723.75,0.10070493454179255,0.01933534743202417,0.17603222557905338,0.156473089403603
2249,E02002310,0.057314897413024084,0.013380909901873328,0.04393398751115076,0.17372881355932204,0.11552185548617305,0.06578947368421052,0.07760927743086529,0.17283675289919714,0.15075825156110614,0.061106155218554864,3363.0,0.039250669045495096,0.021855486173059768,0.12533452274754683,0.11140846466448608
2250,E02002311,0.08578584846587352,0.019411396368190358,0.06637445209768315,0.2018367772907535,0.12398246712586099,0.07994155708620329,0.08161135462325193,0.15549989563765393,0.14923815487372155,0.05405969526194949,3593.25,0.030682529743268627,0.02337716551868086,0.06804424963473178,0.060483777453094925
2251,E02002312,0.04803891760413499,0.008513225904530252,0.039525691699604744,0.12298570994223168,0.06780176345393736,0.04408634843417452,0.048647005168744296,0.10641532380662816,0.10048647005168744,0.07585892368501064,4933.5,0.05229553055640012,0.02356339312861052,0.3856795378534509,0.34282625586973414
2252,E02002313,0.03838771593090211,0.0049904030710172746,0.033397312859884835,0.08790786948176584,0.07485604606525911,0.08752399232245682,0.05892514395393474,0.11689059500959693,0.15412667946257197,0.22495201535508638,3907.5,0.19750479846449137,0.02744721689059501,0.15642994241842612,0.13904883770526766
2253,E02002314,0.11004896246211238,0.03474003264164141,0.07530892982047097,0.2149685241314992,0.12497085567731406,0.08300303100955934,0.0783399393798088,0.14735369550011657,0.11867568197715085,0.052692935416180926,3216.75,0.03310795057122873,0.0195849848449522,0.06994637444625787,0.062174555063340325
2254,E02002315,0.06304176516942474,0.01615445232466509,0.04688731284475965,0.19345941686367218,0.12628053585500393,0.07840819542947203,0.08904649330181245,0.1727738376674547,0.14972419227738376,0.06481481481481481,3807.0,0.03900709219858156,0.025807722616233254,0.06245074862096139,0.05551177655196568
2255,E02002316,0.11460531869987337,0.030181511186154496,0.08442380751371886,0.22878851836217814,0.13317855635289153,0.11713803292528494,0.07598142676234698,0.1357112705783031,0.11291684254959898,0.02553820177289996,3553.5,0.011608273533136345,0.013929928239763613,0.05614183199662305,0.049903850663664935
