,GEOGRAPHY_CODE,All categories: English as a household language,All people aged 16 and over in household have English as a main language (English or Welsh in Wales),At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales),No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales),No people in household have English as a main language (English or Welsh in Wales)
5878,E02006015,4282.0,0.9628678187762728,0.014012143858010275,0.0009341429238673517,0.022185894441849603
5879,E02006016,3019.0,0.9844319311030142,0.009937065253395164,0.000662471016893011,0.004968532626697582
5880,E02006017,3098.0,0.9709489993544222,0.013879922530664945,0.0006455777921239509,0.014525500322788897
5881,E02006018,5144.0,0.9745334370139969,0.009136858475894245,0.0019440124416796269,0.014385692068429238
5882,E02006019,2626.0,0.9714394516374715,0.009900990099009901,0.0015232292460015233,0.017136329017517136
5883,E02006020,2422.0,0.981420313790256,0.011560693641618497,0.0012386457473162675,0.005780346820809248
5884,E02006021,3015.0,0.9877280265339967,0.010945273631840797,0.0,0.0013266998341625207
5885,E02006022,2275.0,0.9837362637362638,0.013626373626373627,0.00043956043956043956,0.002197802197802198
5886,E02006023,3829.0,0.979890310786106,0.009924262209454165,0.0020893183598850876,0.008096108644554715
5887,E02006024,4098.0,0.9682772083943387,0.013421181063933627,0.0021961932650073207,0.016105417276720352
5888,E02006025,4205.0,0.9412604042806183,0.019262782401902497,0.0004756242568370987,0.039001189060642094
5889,E02006026,2785.0,0.9881508078994614,0.008258527827648115,0.0,0.003590664272890485
5890,E02006027,2188.0,0.9776051188299817,0.015082266910420476,0.0,0.007312614259597806
5891,E02006028,3661.0,0.9825184375853592,0.009833378858235455,0.0005462988254575252,0.0071018847309478285
5892,E02006029,3316.0,0.9749698431845597,0.011158021712907118,0.0021109770808202654,0.011761158021712907
5893,E02006030,2904.0,0.9783057851239669,0.009986225895316805,0.0006887052341597796,0.011019283746556474
5894,E02006031,3471.0,0.9507346585998271,0.01930279458369346,0.0023048112935753384,0.027657735522904063
5895,E02006032,3695.0,0.9788903924221921,0.012990527740189444,0.0016238159675236806,0.006495263870094722
5896,E02006033,3889.0,0.9490871689380304,0.023399331447672922,0.00282849061455387,0.024685008999742866
5897,E02006034,3746.0,0.9623598505072077,0.017351841964762412,0.004271222637479978,0.01601708489054992
5898,E02006035,2553.0,0.9808068938503721,0.01135918527222875,0.0027418723070896985,0.0050920485703094395
5899,E02006036,2969.0,0.9760862243179522,0.015156618390030314,0.0003368137420006736,0.008420343550016841
5900,E02006037,3999.0,0.9727431857964491,0.012753188297074268,0.002500625156289072,0.012003000750187547
5901,E02006038,3223.0,0.9832454235184611,0.012100527458889234,0.0,0.004654049022649705
5902,E02006039,3239.0,0.9833281877122568,0.008335906143871565,0.00030873726458783575,0.00802716887928373
5903,E02006040,2981.0,0.9882589734988259,0.007044615900704461,0.0003354579000335458,0.004360952700436095
5904,E02006041,2472.0,0.9842233009708737,0.011731391585760517,0.0,0.0040453074433656954
5905,E02006042,2647.0,0.9852663392519834,0.00831129580657348,0.0007555723460521345,0.0056667925953910086
5906,E02006043,2946.0,0.978275627970129,0.010183299389002037,0.0010183299389002036,0.010522742701968771
5907,E02006044,2750.0,0.982909090909091,0.01090909090909091,0.0003636363636363636,0.005818181818181818
5908,E02006045,5173.0,0.9742895805142084,0.013531799729364006,0.0019331142470520007,0.010245505509375604
5909,E02006046,3694.0,0.9824038982133189,0.01245262587980509,0.0008121277747698972,0.004331348132106118
5910,E02006047,3418.0,0.9865418373317729,0.00965476887068461,0.0002925687536571094,0.003510825043885313
5911,E02006048,2714.0,0.9904200442151806,0.007000736919675755,0.0,0.002579218865143699
5912,E02006049,3167.0,0.9763182822860752,0.014524786864540574,0.0012630249447426586,0.007893905904641616
5913,E02006050,3613.0,0.9601439247163023,0.017713811237199003,0.00249100470523111,0.019651259341267643
5914,E02006051,3099.0,0.9883833494675702,0.007421748951274605,0.0,0.004194901581155212
5915,E02006052,3187.0,0.9733291496705365,0.014119861939127707,0.0009413241292751804,0.011609664261060559
5916,E02006053,3848.0,0.9636174636174636,0.016632016632016633,0.0015592515592515593,0.018191268191268192
5917,E02006054,3699.0,0.9678291430116248,0.019194376858610435,0.0013517166801838335,0.011624763449580968
5918,E02006055,3744.0,0.9332264957264957,0.015491452991452992,0.002136752136752137,0.049145299145299144
5919,E02006056,3068.0,0.9801173402868318,0.011734028683181226,0.0009778357235984355,0.007170795306388526
