,GEOGRAPHY_CODE,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household,All categories: Car or van availability,No cars or vans in household,sum of all cars or vans in the area
5387,E02005513,0.4672489082969432,0.26483431800667867,0.0611353711790393,0.021577189827896224,1,0.1852042126894426,1.2756229129206267
5388,E02005514,0.428169014084507,0.3485915492957746,0.10387323943661972,0.032746478873239435,1,0.08661971830985915,1.5816901408450703
5389,E02005515,0.3654390934844193,0.4046944556859571,0.10562525293403481,0.04734925131525698,1,0.07689194658033185,1.7106434641845407
5390,E02005516,0.38183807439824946,0.3727206418672502,0.1061269146608315,0.046681254558716266,1,0.09263311451495258,1.6542669584245075
5391,E02005517,0.46518847006651887,0.16363636363636364,0.032815964523281595,0.007095343680709534,1,0.33126385809312636,0.9250554323725055
5392,E02005518,0.4874104874104874,0.29175329175329173,0.05197505197505198,0.012936012936012936,1,0.15592515592515593,1.2848232848232848
5393,E02005519,0.44930353093618397,0.21315192743764172,0.04049238743116294,0.010366051182377713,1,0.28668610301263364,1.043731778425656
5394,E02005520,0.466985360023902,0.29130564684792354,0.06573050492978787,0.02449955183746639,1,0.15147893636092022,1.351359426351957
5395,E02005521,0.4061111111111111,0.3616666666666667,0.09861111111111111,0.04722222222222222,1,0.08638888888888889,1.638611111111111
5396,E02005522,0.38824577025823687,0.3757791629563669,0.10017809439002671,0.04007123775601069,1,0.09572573463935886,1.63713268032057
5397,E02005523,0.3834759710335747,0.402238314680711,0.1119157340355497,0.04641211323238973,1,0.05595786701777485,1.726464779460171
5398,E02005524,0.4490582191780822,0.3321917808219178,0.08347602739726027,0.03724315068493151,1,0.09803082191780822,1.52611301369863
5399,E02005525,0.4491587417702999,0.36698366252133624,0.08168739331870276,0.026335040234089245,1,0.07583516215557182,1.546452084857352
5400,E02005526,0.45127304653204564,0.37181738366988587,0.06057945566286216,0.023266022827041263,1,0.09306409130816505,1.480684811237928
5401,E02005527,0.381294964028777,0.415167865707434,0.09922062350119903,0.03447242206235012,1,0.0698441247002398,1.6630695443645085
5402,E02005528,0.476889613920609,0.3172920065252855,0.06253398586188146,0.01468189233278956,1,0.12860250135943446,1.3629690048939642
5403,E02005529,0.47933257489571485,0.26431551004929843,0.07508532423208192,0.02161547212741752,1,0.1596511186954873,1.3314372392870686
5404,E02005530,0.48589341692789967,0.26959247648902823,0.08105687416032244,0.02104791759964174,1,0.14240931482310792,1.3640841916703985
5405,E02005531,0.4682741116751269,0.2961082910321489,0.05964467005076142,0.02622673434856176,1,0.14974619289340102,1.357445008460237
5406,E02005532,0.5167721518987342,0.25664556962025314,0.05759493670886076,0.020253164556962026,1,0.14873417721518986,1.289873417721519
5407,E02005533,0.408122692416927,0.3655211587617154,0.09599545583641012,0.03550127804600966,1,0.0948594149389378,1.5913092871343368
5408,E02005534,0.466686496133254,0.27037477691850087,0.05591909577632362,0.017251635930993457,1,0.18976799524092802,1.2519333729922666
5409,E02005535,0.47765176784523017,0.342895263509006,0.05870580386924616,0.019679786524349565,1,0.1010673782521681,1.4292861907938625
5410,E02005536,0.42134831460674155,0.36075441412520065,0.08426966292134831,0.032504012841091494,1,0.10112359550561797,1.5373194221508828
