,GEOGRAPHY_CODE,All categories: Household composition,One family household,One family only: All aged 65 and over,One family only: Cohabiting couple,One family only: Cohabiting couple: All children non-dependent,One family only: Cohabiting couple: Dependent children,One family only: Cohabiting couple: No children,One family only: Lone parent,One family only: Lone parent: All children non-dependent,One family only: Lone parent: Dependent children,One family only: Married or same-sex civil partnership couple,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Married or same-sex civil partnership couple: Dependent children,One family only: Married or same-sex civil partnership couple: No children,One person household,One person household: Aged 65 and over,One person household: Other,Other household types,Other household types: All aged 65 and over,Other household types: All full-time students,Other household types: Other,Other household types: With dependent children
3686,E02003780,4211.0,0.6454523866065067,0.08097838993113275,0.11018760389456186,0.008311564948943244,0.040370458323438614,0.061505580622180006,0.07694134409878889,0.02279743528853004,0.054143908810258844,0.3773450486820233,0.05153170268344811,0.1930657800997388,0.13274756589883638,0.2626454523866065,0.12586084065542627,0.13678461173118026,0.09190216100688672,0.00189978627404417,0.0021372595582996915,0.0648302066017573,0.023034908572785562
3687,E02003781,2626.0,0.6656511805026657,0.08111195734958111,0.11995430312261995,0.00456968773800457,0.03808073115003808,0.0773038842345773,0.06435643564356436,0.02703731911652704,0.037319116527037316,0.40022848438690023,0.049885757806549885,0.20182787509520184,0.1485148514851485,0.2597105864432597,0.08834729626808835,0.17136329017517135,0.07463823305407463,0.002284843869002285,0.0003808073115003808,0.05178979436405179,0.020182787509520184
3688,E02003783,2772.0,0.6507936507936508,0.12518037518037517,0.09379509379509379,0.003246753246753247,0.03354978354978355,0.056998556998557,0.049422799422799424,0.01984126984126984,0.02958152958152958,0.3823953823953824,0.049422799422799424,0.19660894660894662,0.13636363636363635,0.28066378066378067,0.1626984126984127,0.11796536796536797,0.06854256854256854,0.0021645021645021645,0.0025252525252525255,0.047619047619047616,0.016233766233766232
3689,E02003784,3395.0,0.7372606774668631,0.10662739322533137,0.08807069219440354,0.004418262150220913,0.03622974963181149,0.04742268041237113,0.06921944035346098,0.023269513991163476,0.0459499263622975,0.47334315169366714,0.06303387334315169,0.2394698085419735,0.17083946980854198,0.2159057437407953,0.09366715758468336,0.12223858615611193,0.04683357879234168,0.003829160530191458,0.0002945508100147275,0.022385861561119293,0.0203240058910162
3690,E02003785,3602.0,0.6563020544142143,0.09272626318711827,0.0977234869516935,0.003886729594669628,0.028872848417545807,0.06496390893947807,0.06551915602443087,0.024708495280399777,0.04081066074403109,0.40033314825097166,0.04886174347584675,0.2051637978900611,0.14630760688506386,0.279011660188784,0.11576901721265963,0.16324264297612437,0.06468628539700166,0.001665741254858412,0.000277623542476402,0.04025541365907829,0.022487506940588563
3691,E02003786,2673.0,0.6569397680508792,0.1309390198279087,0.07818930041152264,0.0014964459408903852,0.029180695847362513,0.04751215862326973,0.06621773288439955,0.026936026936026935,0.03928170594837262,0.38159371492704824,0.051627384960718295,0.182566404788627,0.14739992517770295,0.2992891881780771,0.1638608305274972,0.13542835765057987,0.04377104377104377,0.0029928918817807705,0.0003741114852225963,0.02880658436213992,0.011597456041900486
3692,E02003787,3019.0,0.7167936402782378,0.1156011924478304,0.09804571050016561,0.005299768135144088,0.03941702550513415,0.05332891685988738,0.07088439880755217,0.030142431268631996,0.04074196753892017,0.43226233852268964,0.057966213978138455,0.17853593905266646,0.19576018549188473,0.23484597548857236,0.13083802583636966,0.10400794965220271,0.0483603842331898,0.00364359059291156,0.0,0.026498840675720437,0.0182179529645578
3693,E02003788,2592.0,0.714891975308642,0.13155864197530864,0.08063271604938271,0.004243827160493827,0.030478395061728395,0.045910493827160496,0.05864197530864197,0.02662037037037037,0.03202160493827161,0.44405864197530864,0.062114197530864196,0.21720679012345678,0.16473765432098766,0.23148148148148148,0.13233024691358025,0.09915123456790123,0.053626543209876545,0.005401234567901234,0.00038580246913580245,0.02970679012345679,0.018132716049382717
3694,E02003789,2992.0,0.6881684491978609,0.10060160427807487,0.10227272727272728,0.0053475935828877,0.03943850267379679,0.05748663101604278,0.08522727272727272,0.0427807486631016,0.042446524064171126,0.4000668449197861,0.08288770053475936,0.16209893048128343,0.15508021390374332,0.2536764705882353,0.13435828877005349,0.11931818181818182,0.05815508021390375,0.0030080213903743314,0.001002673796791444,0.0374331550802139,0.016711229946524065
3695,E02003790,3831.0,0.7246149830331506,0.11145914904724614,0.10180109631949882,0.003915426781519186,0.039937353171495694,0.05794831636648395,0.06812842599843383,0.03001827199164709,0.03811015400678674,0.44322631166797183,0.060297572435395456,0.2080396763247194,0.17488906290785697,0.2289219524928217,0.12503262855651265,0.10388932393630906,0.04646306447402767,0.0026102845210127902,0.0005220569042025581,0.025319759853824068,0.018010963194988253
