,GEOGRAPHY_CODE,Age 16 to 64,Age 3 to 15,Age 65 and over,All categories: Age 3 and over,All categories: Can speak Welsh by age 3 and over,All categories: One or more skills in Welsh age 3 and over,Can speak Welsh,Can speak Welsh: Age 16 to 64,Can speak Welsh: Age 3 to 15,Can speak Welsh: Age 65 and over,"Can speak, read and write Welsh",Can understand spoken Welsh only,One or more skills in Welsh: Age 16 to 64,One or more skills in Welsh: Age 3 to 15,One or more skills in Welsh: Age 65 and over
10,W02000011,0.6611007213465135,0.17178733636120758,0.1671119422922789,7486.0,0.5170985840235105,0.6830082821266363,0.5170985840235105,0.29561848784397543,0.12276248998129842,0.0987176061982367,0.39233235372695696,0.13999465669249264,0.4147742452578146,0.144803633449105,0.12343040341971681
11,W02000012,0.6726546906187625,0.16816367265469062,0.1591816367265469,8016.0,0.7256736526946108,0.8159930139720559,0.7256736526946108,0.46319860279441116,0.15219560878243513,0.11027944111776447,0.6157684630738522,0.07609780439121756,0.531062874251497,0.16030439121756487,0.12462574850299402
12,W02000013,0.6689328063241107,0.16126482213438736,0.169802371541502,6325.0,0.7683794466403162,0.830197628458498,0.7683794466403162,0.5019762845849802,0.14640316205533596,0.12,0.6790513833992095,0.052964426877470355,0.5490909090909091,0.15272727272727274,0.1283794466403162
13,W02000014,0.6645190290680252,0.16122265507941264,0.17425831585256218,6674.0,0.7085705723703926,0.8043152532214564,0.7085705723703926,0.44066526820497454,0.1433922685046449,0.12451303566077315,0.6105783637998202,0.08240934971531315,0.5146838477674558,0.15358106083308362,0.136050344620917
14,W02000015,0.6389607032057911,0.16675284384694933,0.19428645294725957,7736.0,0.8659513960703206,0.9188210961737332,0.8659513960703206,0.5489917269906929,0.15718717683557393,0.15977249224405377,0.7317735263702172,0.04653567735263702,0.5838934850051706,0.1624870734229576,0.17244053774560497
15,W02000016,0.631380890052356,0.16034031413612565,0.2082787958115183,6112.0,0.800229057591623,0.8610929319371727,0.800229057591623,0.5009816753926701,0.14774214659685864,0.15150523560209425,0.6933900523560209,0.05448298429319372,0.5445026178010471,0.15346858638743455,0.1631217277486911
16,W02000017,0.6317635946565916,0.16340574821211712,0.2048306571312913,7411.0,0.779112130616651,0.8407772230468223,0.779112130616651,0.485629469707192,0.15234111455943866,0.14114154635002024,0.6866819592497638,0.05248954257185265,0.5266495749561463,0.1605721225205775,0.1535555255700985
17,W02000018,0.6346615458473356,0.1505840934549528,0.21475436069771164,6249.0,0.7719635141622659,0.8278124499919988,0.7719635141622659,0.4810369659145463,0.14274283885421668,0.14818370939350295,0.6820291246599456,0.04624739958393343,0.5215234437510001,0.14786365818530964,0.15842534805568892
18,W02000019,0.592489364823236,0.13363649699281208,0.2738741381839519,6817.0,0.6862256124394895,0.7567845093149479,0.6862256124394895,0.4141117793750917,0.12307466627548776,0.14903916678891008,0.5996772773947484,0.06131729499779962,0.46119994132316267,0.12762212116766905,0.16796244682411618
19,W02000020,0.5981406507722297,0.15699505173189385,0.24486429749587643,6669.0,0.7348927875243665,0.8061178587494376,0.7348927875243665,0.4441445494077073,0.1433498275603539,0.1473984105563053,0.6492727545359124,0.060128954865796974,0.48942869995501576,0.15159694107062527,0.16509221772379667
20,W02000021,0.6069100391134289,0.14967405475880052,0.24341590612777053,7670.0,0.7653194263363755,0.8269882659713168,0.7653194263363755,0.46036505867014343,0.1409387222946545,0.16401564537157756,0.6735332464146023,0.05371577574967405,0.5027379400260756,0.14615384615384616,0.17809647979139503
