,GEOGRAPHY_CODE,All lone parent housholds with dependent children,Female lone parent: In full-time employment,Female lone parent: In part-time employment,Female lone parent: Not in employment,Female lone parent: Total,Lone parent in full-time employment: Total,Lone parent in part-time employment: Total,Lone parent not in employment: Total,Male lone parent: In full-time employment,Male lone parent: In part-time employment,Male lone parent: Not in employment,Male lone parent: Total
10,E02000012,1,0.2606837606837607,0.24358974358974358,0.4444444444444444,0.9487179487179487,0.2777777777777778,0.26495726495726496,0.45726495726495725,0.017094017094017096,0.021367521367521368,0.01282051282051282,0.05128205128205128
11,E02000013,1,0.1774891774891775,0.27056277056277056,0.49783549783549785,0.9458874458874459,0.19480519480519481,0.2792207792207792,0.525974025974026,0.017316017316017316,0.008658008658008658,0.02813852813852814,0.05411255411255411
12,E02000014,1,0.16666666666666666,0.21568627450980393,0.5392156862745098,0.9215686274509803,0.19607843137254902,0.22549019607843138,0.5784313725490197,0.029411764705882353,0.00980392156862745,0.0392156862745098,0.0784313725490196
13,E02000015,1,0.1619047619047619,0.22666666666666666,0.5238095238095238,0.9123809523809524,0.1980952380952381,0.23809523809523808,0.5638095238095238,0.03619047619047619,0.011428571428571429,0.04,0.08761904761904762
14,E02000016,1,0.14578005115089515,0.2531969309462916,0.5115089514066496,0.9104859335038363,0.18414322250639387,0.26342710997442453,0.5524296675191815,0.03836317135549872,0.010230179028132993,0.04092071611253197,0.08951406649616368
15,E02000017,1,0.20725388601036268,0.23316062176165803,0.39896373056994816,0.8393782383419689,0.23834196891191708,0.2849740932642487,0.47668393782383417,0.031088082901554404,0.05181347150259067,0.07772020725388601,0.16062176165803108
16,E02000018,1,0.15591397849462366,0.24014336917562723,0.5394265232974911,0.9354838709677419,0.18458781362007168,0.24193548387096775,0.5734767025089605,0.02867383512544803,0.0017921146953405018,0.034050179211469536,0.06451612903225806
17,E02000019,1,0.18141592920353983,0.24336283185840707,0.5176991150442478,0.9424778761061947,0.21238938053097345,0.24778761061946902,0.5398230088495575,0.030973451327433628,0.004424778761061947,0.022123893805309734,0.05752212389380531
18,E02000020,1,0.21896162528216703,0.23927765237020315,0.4717832957110609,0.9300225733634312,0.24604966139954854,0.24830699774266365,0.5056433408577878,0.02708803611738149,0.009029345372460496,0.033860045146726865,0.06997742663656885
19,E02000021,1,0.18140589569160998,0.2562358276643991,0.47165532879818595,0.909297052154195,0.2199546485260771,0.272108843537415,0.5079365079365079,0.03854875283446712,0.015873015873015872,0.036281179138321996,0.09070294784580499
20,E02000022,1,0.15329512893982808,0.21060171919770773,0.497134670487106,0.8610315186246418,0.18624641833810887,0.22206303724928367,0.5916905444126075,0.0329512893982808,0.011461318051575931,0.09455587392550144,0.13896848137535817
21,E02000023,1,0.16488222698072805,0.1948608137044968,0.563169164882227,0.9229122055674518,0.1948608137044968,0.20770877944325483,0.5974304068522484,0.029978586723768737,0.01284796573875803,0.034261241970021415,0.07708779443254818
22,E02000024,1,0.3118811881188119,0.2871287128712871,0.2871287128712871,0.8861386138613861,0.37623762376237624,0.3316831683168317,0.29207920792079206,0.06435643564356436,0.04455445544554455,0.0049504950495049506,0.11386138613861387
23,E02000025,1,0.25098039215686274,0.23529411764705882,0.4588235294117647,0.9450980392156862,0.2901960784313726,0.23921568627450981,0.47058823529411764,0.0392156862745098,0.00392156862745098,0.011764705882352941,0.054901960784313725
24,E02000026,1,0.3442622950819672,0.3360655737704918,0.2786885245901639,0.9590163934426229,0.36065573770491804,0.3524590163934426,0.28688524590163933,0.01639344262295082,0.01639344262295082,0.00819672131147541,0.040983606557377046
25,E02000027,1,0.19158878504672897,0.3130841121495327,0.4485981308411215,0.9532710280373832,0.2102803738317757,0.31542056074766356,0.4742990654205608,0.018691588785046728,0.002336448598130841,0.02570093457943925,0.04672897196261682
26,E02000028,1,0.1956521739130435,0.21739130434782608,0.532608695652174,0.9456521739130435,0.22282608695652173,0.22282608695652173,0.5543478260869565,0.02717391304347826,0.005434782608695652,0.021739130434782608,0.05434782608695652
27,E02000029,1,0.21875,0.253125,0.446875,0.91875,0.25625,0.26875,0.475,0.0375,0.015625,0.028125,0.08125
