,GEOGRAPHY_CODE,All usual residents,Area (Hectares),Density (number of persons per hectare),Females,Lives in a communal establishment,Lives in a household,Males,Schoolchild or full-time student aged 4 and over at their non term-time address
4268,E02004370,1,0.030776018686737606,0.004217492862704386,0.5166104334284973,0.0010381520892810796,0.998961847910719,0.4833895665715027,0.0057098364910459385
4269,E02004371,1,0.07856878382227286,0.001808601538023355,0.5169467388208487,0.011107946454001708,0.9888920535459983,0.48305326117915126,0.005696382796923953
4270,E02004372,1,0.02269745958429561,0.006789838337182448,0.5284064665127021,0.0,1.0,0.47159353348729793,0.004772902232486528
4271,E02004373,1,0.02587739822180627,0.004515676181562939,0.5267898923724847,0.00783809078146935,0.9921619092185306,0.4732101076275152,0.007253158633598503
4272,E02004374,1,0.022893106119287375,0.0056416214820552545,0.5167828556674413,0.012651691195455719,0.9873483088045443,0.48321714433255875,0.011360702297960238
4273,E02004375,1,0.021026660430308697,0.005565949485500468,0.5017539756782039,0.024672591206735265,0.9753274087932647,0.49824602432179604,0.009822263797942002
4274,E02004376,1,0.014120509517675683,0.01013310433662516,0.48804923429225705,0.0101617289251467,0.9898382710748533,0.511950765707743,0.006154286532131101
4275,E02004377,1,0.04446880907372401,0.0021266540642722116,0.5277882797731569,0.056805293005671074,0.943194706994329,0.4722117202268431,0.00831758034026465
4276,E02004378,1,0.009628963346076007,0.011682032831122105,0.473015516078255,0.033055992804137624,0.9669440071958624,0.526984483921745,0.003935237238587812
4277,E02004379,1,0.8098562091503267,0.00015686274509803922,0.5081045751633987,0.01437908496732026,0.9856209150326798,0.4918954248366013,0.029673202614379085
4278,E02004380,1,1.259516275893467,9.105394946505805e-05,0.5184384247666742,0.03812884133849306,0.961871158661507,0.48156157523332577,0.029137263828818576
4279,E02004381,1,0.06321730067743617,0.0016466909848879626,0.514538822303283,0.0050026055237102655,0.9949973944762898,0.48546117769671704,0.014590932777488274
4280,E02004382,1,1.1473980068514482,0.00014014325755216443,0.515415758330738,0.009498598567424478,0.9905014014325755,0.4845842416692619,0.014325755216443475
4281,E02004383,1,0.06936380160997144,0.0018696442482472085,0.507920020773825,0.043235523240716695,0.9567644767592833,0.492079979226175,0.020903661386652818
4282,E02004384,1,0.06324862912932995,0.002113146984084526,0.5145111675805805,0.013641834960545673,0.9863581650394543,0.48548883241941954,0.008158352280326334
4283,E02004385,1,0.02755467720685112,0.004782608695652174,0.5098814229249012,0.0006587615283267457,0.9993412384716732,0.4901185770750988,0.004216073781291172
4284,E02004386,1,0.07165765192491251,0.0022271714922048997,0.5006363347120586,0.008113267578746421,0.9918867324212536,0.49936366528794146,0.0077951002227171495
4285,E02004387,1,0.04498990918264379,0.003733602421796165,0.5030272452068617,0.0030272452068617556,0.9969727547931383,0.49697275479313824,0.006559031281533804
4286,E02004388,1,0.047809170912459474,0.0032268025320364366,0.5215377489578509,0.014667284236529257,0.9853327157634707,0.4784622510421491,0.004322989038134939
4287,E02004389,1,0.08528059071729958,0.0012341772151898734,0.5177215189873418,0.027531645569620254,0.9724683544303797,0.48227848101265824,0.010759493670886076
4288,E02004390,1,0.08779192665223481,0.0014516745192919903,0.5256589838278365,0.0024194575321533174,0.9975805424678467,0.4743410161721635,0.008149751687253279
4289,E02004391,1,0.03665277332478358,0.0043764026931708885,0.524046168643796,0.029496633536389868,0.9705033664636101,0.4759538313562039,0.008977236293683874
4290,E02004392,1,0.871647451783213,0.00011852171102251914,0.505010235965952,0.0402973817476565,0.9597026182523435,0.49498976403404804,0.024566318284667602
4291,E02004393,1,1.5765035079131995,9.78952520802741e-05,0.5199869472997226,0.014194811551639746,0.9858051884483603,0.4800130527002774,0.015336922825909611
4292,E02004394,1,1.6120086889854333,7.666751852798364e-05,0.5086889854331714,0.03258369537439305,0.9674163046256069,0.4913110145668285,0.027344748274980832
4293,E02004395,1,0.4033491561181435,0.00032964135021097045,0.5146360759493671,0.004219409282700422,0.9957805907172996,0.4853639240506329,0.007779535864978903
4294,E02004396,1,0.8889968832967794,0.00012697679787602447,0.5163338335449613,0.02504905921736119,0.9749509407826388,0.4836661664550387,0.016391550271268613
4295,E02004397,1,0.8228344586146537,0.00015003750937734434,0.5247561890472618,0.026006501625406353,0.9739934983745937,0.4752438109527382,0.02038009502375594
4296,E02004398,1,0.045815018315018316,0.0024954212454212457,0.5336538461538461,0.01201923076923077,0.9879807692307693,0.46634615384615385,0.009157509157509158
4297,E02004399,1,0.055505994585535644,0.0023204847234755705,0.5352584762150315,0.05350006445790899,0.946499935542091,0.4647415237849684,0.0069614541704267115
4298,E02004400,1,0.1947273260359656,0.000498436278342455,0.5371383893666928,0.0214034401876466,0.9785965598123534,0.4628616106333073,0.012314308053166537
4299,E02004401,1,0.034406934306569346,0.0037930135557872786,0.5409280500521376,0.01616266944734098,0.983837330552659,0.4590719499478624,0.011861313868613138
4300,E02004402,1,0.016841561423650977,0.006819747416762342,0.5371986222732491,0.04626865671641791,0.9537313432835821,0.46280137772675084,0.00711825487944891
4301,E02004403,1,0.8570908530001543,0.00018509949097639982,0.5188955730371742,0.023600185099490977,0.976399814900509,0.48110442696282585,0.0340891562548203
4302,E02004404,1,1.5733296994237658,9.344338888023672e-05,0.5147173337486373,0.002180345740538857,0.9978196542594612,0.48528266625136274,0.0313035352748793
4303,E02004405,1,0.049000172384071713,0.0035166350629201857,0.5081882434063093,0.0,1.0,0.49181175659369075,0.021375624892259956
4304,E02004406,1,0.10027064732142857,0.0013950892857142857,0.513671875,0.04241071428571429,0.9575892857142857,0.486328125,0.021623883928571428
