,GEOGRAPHY_CODE,Dependent children in household: Age 0 to 4,Dependent children in household: All ages,No adults in employment in household,No adults in employment in household: No dependent children,No adults in employment in household: With dependent children,One person in household with a long-term health problem or disability,One person in household with a long-term health problem or disability: No dependent children,One person in household with a long-term health problem or disability: With dependent children,count of Household; All households
2917,E02002998,0.09003074220465525,0.23891084760649978,0.3407992973210365,0.31225296442687744,0.02854633289415898,0.24549846288976723,0.20377689942907334,0.041721563460693896,1
2918,E02002999,0.10614525139664804,0.2849162011173184,0.3541039965620971,0.30726256983240224,0.046841426729694886,0.2853459389772239,0.2273313278899871,0.05801461108723679,1
2919,E02003000,0.0793733681462141,0.2519582245430809,0.3587467362924282,0.3451697127937337,0.013577023498694517,0.24490861618798956,0.212532637075718,0.03237597911227154,1
2920,E02003001,0.09285714285714286,0.2767857142857143,0.31026785714285715,0.296875,0.013392857142857142,0.2236607142857143,0.18303571428571427,0.040625,1
2921,E02003002,0.10573630136986302,0.288527397260274,0.3981164383561644,0.3565924657534247,0.041523972602739725,0.2744006849315068,0.23330479452054795,0.0410958904109589,1
2922,E02003003,0.13028764805414553,0.29357021996615906,0.3020304568527919,0.255922165820643,0.0461082910321489,0.25084602368866327,0.2060067681895093,0.04483925549915398,1
2923,E02003004,0.09740802675585285,0.31438127090301005,0.2809364548494983,0.2629598662207358,0.01797658862876254,0.22867892976588627,0.18561872909698995,0.04306020066889632,1
2924,E02003005,0.09116579265832997,0.2892295280354982,0.3098023396530859,0.29245663574021785,0.01734570391286809,0.2291246470350948,0.1936264622831787,0.035498184751916094,1
2925,E02003006,0.12467607255974662,0.32565505326806793,0.2723869853152894,0.24676072559746617,0.02562625971782321,0.2470486610999136,0.1986754966887417,0.0483731644111719,1
2926,E02003007,0.11925244734500148,0.2862652032037971,0.30910708988430735,0.28685849896173243,0.022248590922574904,0.25511717591219224,0.21566300800949273,0.0394541679026995,1
2927,E02003008,0.14043478260869566,0.33652173913043476,0.3065217391304348,0.25173913043478263,0.05478260869565217,0.23782608695652174,0.18391304347826087,0.05391304347826087,1
2928,E02003009,0.12627291242362526,0.3030549898167006,0.29287169042769856,0.2659877800407332,0.026883910386965377,0.21914460285132384,0.17922606924643583,0.039918533604887986,1
2929,E02003010,0.12483688560243585,0.3375380600260983,0.25402348847324924,0.22575032622879512,0.02827316224445411,0.22053066550674205,0.17094388864723792,0.049586776859504134,1
2930,E02003011,0.08779342723004695,0.27230046948356806,0.37370892018779345,0.35070422535211265,0.023004694835680753,0.27887323943661974,0.2375586854460094,0.04131455399061033,1
2931,E02003012,0.14190595089471494,0.29130253849354976,0.38306283811901787,0.3096129837702871,0.07344985434873075,0.29213483146067415,0.24365376612567624,0.04848106533499792,1
2932,E02003013,0.14701030927835051,0.3284536082474227,0.38,0.29876288659793815,0.08123711340206186,0.31628865979381443,0.2501030927835052,0.06618556701030928,1
2933,E02003014,0.19003302311618134,0.3611528069648754,0.41549084359051336,0.3020114079855899,0.11347943560492345,0.33053137196037224,0.2623836685679976,0.06814770339237466,1
2934,E02003015,0.13711001642036125,0.3033661740558292,0.3702791461412151,0.3033661740558292,0.06691297208538588,0.2697044334975369,0.22126436781609196,0.048440065681444995,1
2935,E02003016,0.13958810068649885,0.2899640405361229,0.28832951945080093,0.2154298790454397,0.07289964040536123,0.2448512585812357,0.19352729650212488,0.05132396207911082,1
2936,E02003017,0.11951754385964912,0.24342105263157895,0.36403508771929827,0.34904970760233917,0.014985380116959063,0.27266081871345027,0.24415204678362573,0.02850877192982456,1
2937,E02003018,0.10906811533639783,0.29419139155871293,0.3597994149603009,0.30965315503552027,0.05014625992478061,0.28625156707062266,0.23318010865022984,0.05307145842039281,1
2938,E02003019,0.11614518147684606,0.2765957446808511,0.32941176470588235,0.2821026282853567,0.04730913642052566,0.28836045056320403,0.239549436795995,0.04881101376720901,1
2939,E02003020,0.12340255591054312,0.2967252396166134,0.36501597444089456,0.3546325878594249,0.010383386581469648,0.2452076677316294,0.21685303514376997,0.028354632587859425,1
2940,E02003021,0.1393258426966292,0.26666666666666666,0.2205992509363296,0.1895131086142322,0.031086142322097377,0.1947565543071161,0.16179775280898875,0.03295880149812734,1
2941,E02003022,0.13227291753871914,0.3172875680200921,0.34951862704060277,0.3390539974884889,0.010464629552113856,0.2348262871494349,0.19966513185433235,0.03516115529510255,1
2942,E02003023,0.10646387832699619,0.244106463878327,0.3699619771863118,0.32927756653992396,0.04068441064638783,0.3102661596958175,0.26159695817490497,0.048669201520912544,1
2943,E02003024,0.11614337315921089,0.24701305918310643,0.39622117254793,0.34565156988052237,0.050569602667407614,0.2956376771325368,0.25368157821617116,0.041956098916365654,1
2944,E02003025,0.14196625091709464,0.3019075568598679,0.3826118855465884,0.31144534115920763,0.07116654438738078,0.32428466617754953,0.26265590608950845,0.061628760088041086,1
2945,E02003026,0.09626658438753471,0.2496143165689602,0.35143474236346806,0.33508176488738045,0.01635297747608763,0.2076519592718297,0.18481950015427337,0.02283245911755631,1
2946,E02003027,0.1489733508082132,0.29510703363914376,0.1782437745740498,0.16557448667540411,0.012669287898645697,0.17016164263870687,0.1397990388816077,0.03036260375709917,1
2947,E02003028,0.10903790087463557,0.29970845481049563,0.23848396501457725,0.22332361516034985,0.015160349854227406,0.180466472303207,0.15422740524781342,0.026239067055393587,1
2948,E02003029,0.17320261437908496,0.372140522875817,0.35866013071895425,0.27205882352941174,0.08660130718954248,0.3006535947712418,0.22181372549019607,0.07883986928104575,1
2949,E02003030,0.14313471502590674,0.28432642487046633,0.2862694300518135,0.23834196891191708,0.04792746113989637,0.2341321243523316,0.19041450777202074,0.043717616580310883,1
2950,E02003031,0.09110947832476121,0.25251040901298066,0.17266715650257164,0.15821699730590252,0.014450159196669116,0.15601273573352928,0.12123438648052902,0.034778349253000246,1
2951,E02003032,0.1508271164450211,0.29451832630554653,0.3039247486214726,0.24878365228673371,0.05514109633473889,0.25040544923775543,0.20402205643853388,0.04638339279922154,1
