,GEOGRAPHY_CODE,All households,Living rent free,Owned,Owned: Owned outright,Owned: Owned with a mortgage or loan,Private rented,Private rented: Other,Private rented: Private landlord or letting agency,Shared ownership (part owned and part rented),Social rented,Social rented: Other,Social rented: Rented from council (Local Authority)
2163,E02002224,1,0.026757046022119157,0.5661790938280414,0.3003924366749911,0.2657866571530503,0.25722440242597217,0.016767748840528007,0.24045665358544416,0.0028540849090260435,0.14698537281484125,0.10988226899750267,0.03710310381733856
2164,E02002225,1,0.010730858468677494,0.7273781902552204,0.3013341067285383,0.42604408352668216,0.15516241299303946,0.016531322505800465,0.13863109048723898,0.0037703016241299302,0.10295823665893271,0.05945475638051044,0.043503480278422275
2165,E02002226,1,0.022426682001150087,0.4896492236917769,0.2949971247843588,0.19465209890741805,0.4436457734330075,0.017826336975273145,0.42581943645773435,0.002587694077055779,0.04169062679700978,0.03795284646348476,0.0037377803335250145
2166,E02002227,1,0.018821603927986905,0.37152209492635024,0.16039279869067102,0.21112929623567922,0.2581833060556465,0.03355155482815057,0.2246317512274959,0.0024549918166939444,0.34901800327332244,0.23690671031096563,0.11211129296235679
2167,E02002228,1,0.019475920679886686,0.4348441926345609,0.18413597733711048,0.2507082152974504,0.18980169971671387,0.016288951841359773,0.17351274787535412,0.002478753541076487,0.35339943342776203,0.28541076487252126,0.0679886685552408
2168,E02002229,1,0.012055837563451776,0.6894035532994924,0.3010786802030457,0.3883248730964467,0.1618020304568528,0.01713197969543147,0.1446700507614213,0.00666243654822335,0.13007614213197968,0.07836294416243655,0.05171319796954315
2169,E02002230,1,0.02611044417767107,0.28241296518607445,0.1527611044417767,0.12965186074429771,0.33013205282112845,0.013805522208883553,0.3163265306122449,0.015006002400960384,0.34633853541416565,0.24429771908763506,0.10204081632653061
2170,E02002231,1,0.015083295812696983,0.689779378658262,0.2807294011706439,0.4090499774876182,0.17964880684376408,0.014633048176497073,0.165015758667267,0.004727600180099055,0.11076091850517784,0.06416028815848716,0.04660063034669068
2171,E02002232,1,0.014308426073131956,0.5480922098569158,0.24085850556438793,0.30723370429252783,0.28696343402225755,0.016693163751987282,0.2702702702702703,0.003179650238473768,0.147456279809221,0.1212241653418124,0.026232114467408585
2172,E02002233,1,0.019666048237476808,0.525417439703154,0.22968460111317254,0.29573283858998145,0.19480519480519481,0.011131725417439703,0.1836734693877551,0.0044526901669758815,0.2556586270871985,0.11576994434137292,0.1398886827458256
2173,E02002234,1,0.023809523809523808,0.3023182957393484,0.09273182957393483,0.20958646616541354,0.1105889724310777,0.007832080200501253,0.10275689223057644,0.0009398496240601503,0.5623433583959899,0.23088972431077695,0.33145363408521306
