,GEOGRAPHY_CODE,All categories: Long-term health problem or disability,Bad health,Day-to-day activities limited a little,Day-to-day activities limited a little: Age 16 to 64,Day-to-day activities limited a lot,Day-to-day activities limited a lot: Age 16 to 64,Day-to-day activities not limited,Day-to-day activities not limited: Age 16 to 64,Fair health,Good health,Provides 1 to 19 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week,Provides no unpaid care,Very bad health,Very good health
1364,E02001403,6035.0,0.06992543496271748,0.0936205468102734,0.05898922949461475,0.1403479701739851,0.07705053852526926,0.7660314830157415,0.5476387738193869,0.14465617232808617,0.29262634631317314,0.051532725766362884,0.02584921292460646,0.036619718309859155,0.8859983429991715,0.02551781275890638,0.46727423363711684
1365,E02001404,7260.0,0.07796143250688706,0.1012396694214876,0.05977961432506887,0.14738292011019283,0.08140495867768595,0.7513774104683195,0.5163911845730027,0.14724517906336088,0.30247933884297523,0.049862258953168044,0.024380165289256198,0.04118457300275482,0.884573002754821,0.024242424242424242,0.44807162534435263
1366,E02001405,9609.0,0.08752211468415028,0.10354875637423248,0.06660422520553648,0.15943386408575294,0.08741804558226662,0.7370173795400146,0.4823602872307212,0.1521490269538974,0.2970132167759392,0.04089915704027474,0.024352169840774273,0.04173170985534395,0.893016963263607,0.031220730565095223,0.4320949110209179
1367,E02001406,7779.0,0.052320349659339245,0.11659596349145135,0.0440930710888289,0.10926854351459056,0.03792261216094614,0.7741354929939581,0.5091914127779921,0.14886232163517163,0.3294767965034066,0.09667052320349659,0.020182542743283197,0.03213780691605605,0.8510091271371641,0.012726571538758195,0.4566139606633243
1368,E02001407,6179.0,0.05340670011328694,0.11490532448616281,0.046609483735232236,0.11377245508982035,0.046933160705615797,0.7713222204240169,0.5089820359281437,0.1511571451691212,0.3374332416248584,0.09532286777795759,0.019096941252629875,0.037708367049684416,0.8478718239197282,0.015698333063602524,0.4423045800291309
1369,E02001408,5753.0,0.051972883712845475,0.11089866156787763,0.055449330783938815,0.09907874152616027,0.04484616721710412,0.7900225969059621,0.5581435772640362,0.14253432991482703,0.3220928211367982,0.08812793325221624,0.022770728315661393,0.033026247175386755,0.8560750912567356,0.011819920041717365,0.4715800451938119
1370,E02001409,9815.0,0.07559857361181864,0.11441670911869588,0.06204788588894549,0.13560876209882833,0.0663270504330107,0.7499745287824758,0.5201222618441161,0.15944982170147734,0.32297503820682627,0.07845134997452878,0.022414671421293938,0.03932755985736118,0.8598064187468161,0.0195618950585838,0.42241467142129396
1371,E02001410,5837.0,0.0779510022271715,0.10587630632174062,0.0609902347096111,0.14528010964536578,0.06595854034606818,0.7488435840328936,0.5137913311632688,0.15041973616583862,0.32242590371766316,0.06047627205756382,0.024498886414253896,0.041973616583861575,0.8730512249443207,0.020901147849922905,0.42830221003940383
1372,E02001411,5871.0,0.05825242718446602,0.10441151422244933,0.050757962868335886,0.11599386816555952,0.04735138817918583,0.7795946176119911,0.5304036791006643,0.14682336910236757,0.32277295179696813,0.06949412365866121,0.019417475728155338,0.034065746891500596,0.8770226537216829,0.015840572304547777,0.4563106796116505
1373,E02001412,8823.0,0.05462994446333447,0.09973931769239487,0.043295931089198686,0.10517964411198005,0.04828289697381843,0.795081038195625,0.5425592202198799,0.13226793607616458,0.3129321092598889,0.08149155616003627,0.01654765952623824,0.034002040122407345,0.8679587441913181,0.01711436019494503,0.483055650005667
1374,E02001413,9682.0,0.06930386283825656,0.10968808097500517,0.061247676099979345,0.12280520553604628,0.05876884941127866,0.7675067134889486,0.5386283825655857,0.15151828134682918,0.31821937616195,0.06827101838463127,0.02261929353439372,0.04007436480066102,0.869035323280314,0.0167320801487296,0.44422639950423465
1375,E02001414,5355.0,0.04145658263305322,0.11241830065359477,0.03716153127917834,0.09299719887955182,0.027637721755368813,0.7945845004668534,0.5105508870214752,0.13856209150326798,0.3243697478991597,0.0976657329598506,0.017740429505135387,0.03473389355742297,0.849859943977591,0.008776844070961718,0.4868347338935574
1376,E02001415,6592.0,0.05370145631067961,0.09147451456310679,0.051881067961165046,0.10785800970873786,0.057493932038834954,0.8006674757281553,0.5361043689320388,0.13228155339805825,0.30567354368932037,0.0703883495145631,0.018355582524271843,0.03261529126213592,0.8786407766990292,0.014259708737864078,0.49408373786407767
1377,E02001416,5926.0,0.0875801552480594,0.10462369220384746,0.06631792102598717,0.15592305096186299,0.08302396220047249,0.7394532568342895,0.49679379007762403,0.17499156260546744,0.3056024299696254,0.04859939250759365,0.022612217347283158,0.04556193047586905,0.8832264596692542,0.02413094836314546,0.4076949038137023
1378,E02001417,7187.0,0.08473632948379017,0.11172951161819952,0.06636983442326423,0.14985390288020037,0.07972728537637401,0.7384165855016002,0.5373591206344789,0.16794211771253653,0.31626547933769306,0.05996938917489912,0.018644775288715738,0.0367329901210519,0.8846528454153333,0.023932099624321693,0.40712397384165855
1379,E02001418,5235.0,0.07354345749761222,0.09933142311365807,0.055587392550143264,0.1329512893982808,0.06322827125119389,0.7677172874880611,0.5367717287488061,0.15109837631327602,0.32836676217765043,0.056924546322827126,0.018911174785100286,0.032091690544412604,0.89207258834766,0.01738299904489016,0.42960840496657116
1380,E02001419,6818.0,0.08844235846289235,0.12305661484306248,0.07333528894103843,0.15693751833382225,0.0728952772073922,0.7200058668231153,0.49633323555294806,0.18157817541801113,0.318715165737753,0.05426811381636844,0.01994719859196245,0.03886770313875037,0.8869169844529188,0.02434731592842476,0.3869169844529187
1381,E02001420,10206.0,0.052420145012737604,0.09572800313541054,0.05183225553595924,0.10503625318440134,0.05183225553595924,0.7992357436801881,0.5472271213011953,0.13834999020184205,0.33058984910836764,0.06790123456790123,0.01871448167744464,0.029688418577307467,0.8836958651773467,0.014795218498922203,0.4638447971781305
1382,E02001421,10509.0,0.06128080692739556,0.10410124655057569,0.05519078884765439,0.11371205633266723,0.05404891045770292,0.782186697116757,0.5546674279189266,0.14387667713388524,0.32400799314872963,0.07013036444951946,0.021219906746598155,0.03844323912836616,0.8702064896755162,0.01598629745932058,0.45484822533066893
1383,E02001422,6362.0,0.08597925180760767,0.1023263124803521,0.066174159069475,0.14240804778371582,0.08157812008802263,0.7552656397359321,0.5004715498270984,0.15859792518076077,0.30524992140836216,0.04872681546683433,0.02342030807922037,0.03772398616787174,0.8901288902860736,0.024992140836215027,0.4251807607670544
1384,E02001423,6324.0,0.05186590765338393,0.10072738772928526,0.04791271347248577,0.11242884250474383,0.04364326375711575,0.7868437697659709,0.5335230866540165,0.14104996837444655,0.308191018342821,0.08839342188488299,0.01865907653383934,0.036369386464263125,0.8565781151170145,0.014231499051233396,0.48466160657811513
