,GEOGRAPHY_CODE,All usual residents,England,Ireland,Northern Ireland,Other EU,Other EU: Accession countries April 2001 to March 2011,Other EU: Member countries in March 2001,Other countries,Scotland,United Kingdom,United Kingdom not otherwise specified,Wales
1471,E02001510,1,0.9676760802994215,0.0006805035726437564,0.001701258931609391,0.009867301803334467,0.004083021435862538,0.005784280367471929,0.00935692412385165,0.006975161619598503,0.9800952705001701,0.0,0.00374276964954066
1472,E02001511,1,0.969794863511549,0.0016152479405588758,0.0014537231465029882,0.006137942174123728,0.003068971087061864,0.003068971087061864,0.009045388467129704,0.009206913261185593,0.9832014214181877,0.0,0.002745921498950089
1473,E02001512,1,0.9548547500654279,0.0015702695629416384,0.0009159905783826224,0.014263281863386547,0.009290761580738027,0.004972520282648521,0.01792724417691704,0.007197068830149176,0.9662392043967548,0.0,0.00327139492279508
1474,E02001513,1,0.9595027553505062,0.002434960912469563,0.0016660258874791746,0.011662181212354223,0.007176726899910291,0.004485454312443932,0.012687427912341407,0.008458285274894272,0.9732154299628348,0.0,0.0035883634499551454
1475,E02001514,1,0.9521122884271364,0.003027384064951149,0.001651300399064263,0.02077886335489198,0.016513003990642632,0.004265859364249346,0.011008669327095088,0.007981285262143938,0.9651850832530617,0.0,0.0034402091647172148
1476,E02001515,1,0.9551690612509453,0.0025926326023549746,0.00118828994274603,0.014691584746678189,0.00712973965647618,0.007561845090202009,0.01350329480393216,0.010154477692556984,0.9692124878470347,0.0,0.002700658960786432
1477,E02001516,1,0.9570350934732699,0.0011479173499508036,0.003443752049852411,0.013119055428009183,0.009019350606756314,0.0040997048212528696,0.014922925549360446,0.007379468678255166,0.9708101016726796,0.0,0.0029517874713020664
1478,E02001517,1,0.965508496068983,0.001521683996956632,0.001521683996956632,0.01077859497844281,0.006593963986812072,0.004184630991630738,0.010905401978189197,0.006720770986558458,0.9767943190464113,0.0,0.003043367993913264
1479,E02001518,1,0.9413762109257965,0.0014980525317087785,0.0018975332068311196,0.01597922700489364,0.011285329072206132,0.004693897932687506,0.02746429641466094,0.008688704683910916,0.9550584240487366,0.0,0.0030959752321981426
1480,E02001519,1,0.9491776559490295,0.002370721588383464,0.0031115720847532968,0.01570603052304045,0.010371906949177657,0.005334123573862795,0.014224329530300785,0.010816417246999556,0.9676989183582753,0.0,0.004593273077492962
1481,E02001520,1,0.9475708122303508,0.0029075220408928907,0.0022509848058525606,0.012005252297880322,0.008066028887638342,0.0039392234102419805,0.024104295629337837,0.006752954417557681,0.960982930031889,0.0,0.004408178578127931
1482,E02001521,1,0.8911866512825064,0.0035501908227567234,0.0015975858702405254,0.04695127363095766,0.04056093014999556,0.0063903434809621015,0.04641874500754416,0.007011626874944528,0.9030797905387414,8.875477056891808e-05,0.0031951717404810507
1483,E02001522,1,0.9673074709335789,0.0011511453896627143,0.0019569471624266144,0.010014964890065614,0.004489467019684586,0.005525497870381029,0.007827788649706457,0.007597559571773915,0.9810061010705652,0.0,0.004144123402785772
1484,E02001523,1,0.9384159881569208,0.0025166543301258326,0.002072538860103627,0.02398223538119911,0.019096965210954848,0.004885270170244264,0.021761658031088083,0.008142116950407105,0.9517394522575869,0.0,0.0031088082901554403
1485,E02001524,1,0.9505252456794308,0.004405286343612335,0.0032192477126397833,0.010674347678752964,0.004066418163334463,0.006607929515418502,0.013893595391392748,0.010335479498475093,0.971026770586242,0.0,0.006946797695696374
1486,E02001525,1,0.9033277870216306,0.0019966722129783694,0.002329450915141431,0.041930116472545756,0.03643926788685524,0.005490848585690516,0.03843594009983361,0.010149750415973378,0.9176372712146422,0.0,0.0018302828618968385
1487,E02001526,1,0.9435386991590871,0.002745838338767805,0.002745838338767805,0.016989874721125793,0.011669812939763172,0.005320061781362622,0.023854470568045308,0.008409129912476403,0.9564098163720611,0.00017161489617298782,0.0015445340655568904
1488,E02001527,1,0.961864406779661,0.001694915254237288,0.00288135593220339,0.012372881355932203,0.005932203389830509,0.006440677966101695,0.01152542372881356,0.006779661016949152,0.974406779661017,0.0,0.00288135593220339
1489,E02001528,1,0.9654870698036165,0.00116663426015944,0.0013610733035193468,0.010596927863114914,0.0060276103441571065,0.004569317518957807,0.010305269298075053,0.007194244604316547,0.9779311685786506,0.0,0.0038887808671981333
1490,E02001529,1,0.953589634664401,0.0019116397621070519,0.0020178419711129993,0.011257434154630416,0.006159728122344945,0.005097706032285472,0.021240441801189464,0.006796941376380629,0.9655904842820731,0.0,0.0031860662701784196
1491,E02001530,1,0.9556089743589744,0.001282051282051282,0.0020833333333333333,0.015064102564102564,0.010096153846153847,0.004967948717948718,0.014583333333333334,0.008493589743589743,0.9690705128205128,0.0,0.0028846153846153848
1492,E02001531,1,0.949252801992528,0.002957658779576588,0.0012453300124533001,0.019458281444582816,0.016344956413449564,0.00311332503113325,0.016500622665006227,0.007938978829389789,0.9610834371108343,0.00015566625155666251,0.0024906600249066002
1493,E02001532,1,0.9543826380109566,0.0032659081331647705,0.001369574378423936,0.00969237252423093,0.0041087231352718075,0.005583649388959123,0.012747576906868943,0.012642225031605562,0.9742941424357353,0.0,0.0058997050147492625
1494,E02001533,1,0.961260053619303,0.0010723860589812334,0.0013404825737265416,0.009919571045576408,0.006970509383378016,0.0029490616621983914,0.008847184986595175,0.00938337801608579,0.9801608579088472,0.0,0.008176943699731903
1495,E02001534,1,0.9622331691297209,0.00120415982484948,0.0021893814997263274,0.015216201423097975,0.01116584564860427,0.0040503557744937056,0.010727969348659003,0.006130268199233717,0.9728516694033935,0.0,0.0022988505747126436
1496,E02001535,1,0.9548577036310107,0.0032711808963035655,0.0016355904481517827,0.009977101733725876,0.006542361792607131,0.0034347399411187437,0.01422963689892051,0.009813542688910697,0.97252208047105,0.0,0.0062152437029767745
1497,E02001536,1,0.9651024297284421,0.0026202953787517864,0.0028585040495474035,0.007503573130061935,0.0041686517389232965,0.0033349213911386373,0.00940924249642687,0.008099094807050978,0.9804668889947594,0.0,0.004406860409718914
1498,E02001537,1,0.966747572815534,0.000970873786407767,0.002063106796116505,0.010922330097087379,0.005703883495145631,0.005218446601941747,0.01116504854368932,0.006310679611650485,0.9769417475728155,0.0,0.0018203883495145632
1499,E02001538,1,0.9647577092511013,0.0012586532410320957,0.002265575833857772,0.010698552548772814,0.006167400881057269,0.004531151667715544,0.01157960981749528,0.007300188797986155,0.9764631843926999,0.0,0.0021397105097545627
1500,E02001539,1,0.9518112329677634,0.001661681621801263,0.0018278497839813892,0.015619807244931871,0.01163177135260884,0.003988035892323031,0.01163177135260884,0.01296111665004985,0.9710867397806581,0.0,0.00448654037886341
1501,E02001540,1,0.9516833718838345,0.002655701190782147,0.0029983723121733918,0.009252120277563608,0.005140066820868671,0.004112053456694937,0.01010879808104172,0.01713355606956224,0.9779833804506125,0.0,0.006168080185042405
1502,E02001541,1,0.951316839584996,0.0025716059235612308,0.0025716059235612308,0.01791256539859892,0.01339008601578434,0.004522479382814578,0.011261860423871598,0.011261860423871598,0.9682539682539683,0.0,0.0031036623215394167
1503,E02001542,1,0.9577483620804921,0.0018719080090921247,0.0020056157240272766,0.012434817488969114,0.007755047466238802,0.004679770022730311,0.014306725498061237,0.009760663190266078,0.9713865490038776,0.0,0.0018719080090921247
1504,E02001543,1,0.9480259281084267,0.0030642309958750736,0.0027106658809664115,0.01060695344725987,0.004242781378903948,0.006364172068355922,0.01107837360047142,0.018621096051856217,0.9752504419563937,0.0,0.0058927519151443725
1505,E02001544,1,0.9529330731259328,0.0011479738261967627,0.002525542417632878,0.015153254505797268,0.007002640339800252,0.008150614165997015,0.012168522557685685,0.010331764435770864,0.9715302491103203,0.0,0.005739869130983814
1506,E02001545,1,0.9459962756052142,0.0034916201117318434,0.0017458100558659217,0.01361731843575419,0.005237430167597765,0.008379888268156424,0.01431564245810056,0.015013966480446927,0.9685754189944135,0.0,0.005819366852886406
1507,E02001546,1,0.9121300058038305,0.0030179918746372604,0.0030179918746372604,0.015902495647127105,0.007312826465467209,0.008589669181659895,0.045734184561810796,0.013348810214741729,0.9353453279164249,0.00023215322112594313,0.006616366802089379
1508,E02001547,1,0.9362950544844929,0.0027009406724410917,0.003352891869237217,0.016671323460929498,0.0072645990500139705,0.009406724410915526,0.015181149296824067,0.021607525379528734,0.9654465865698053,9.313588525658937e-05,0.004097978951289932
1509,E02001548,1,0.9393182669496816,0.0036209264577350482,0.002871769259582969,0.015482582095142965,0.010613060307154452,0.004869521787988513,0.01735547509052316,0.01735547509052316,0.9635410163565988,0.0,0.003995505056811088
1510,E02001549,1,0.9338247612665438,0.004020773998994806,0.0013402579996649355,0.020438934494890267,0.014072708996481822,0.0063662254984084435,0.01742335399564416,0.016920757245769812,0.9581169375104708,0.0,0.00603116099849221
1511,E02001550,1,0.9387645718879807,0.00375184242261825,0.001741926839072759,0.017285274018491222,0.009379606056545624,0.007905667961945598,0.017151279646254857,0.016749296529545758,0.9618116039126356,0.0,0.004555808656036446
1512,E02001551,1,0.931806869089099,0.002654720424755268,0.0021569603451136554,0.02107184337149494,0.011946241911398706,0.009125601460096234,0.021735523477683757,0.016094242575078813,0.954537912726066,0.0,0.004479840716774514
1513,E02001552,1,0.9074941451990632,0.0026021337496747333,0.0026021337496747333,0.044366380431954205,0.03603955243299506,0.008326827998959146,0.021597710122300287,0.0156128024980484,0.9314337756960708,0.0,0.005724694249284413
1514,E02001553,1,0.86873627470553,0.002994609702535436,0.003194250349371132,0.05999201437412657,0.05130764623677381,0.008684368137352764,0.04521860650828509,0.014174485925334398,0.8917947694150529,9.982032341784787e-05,0.005589938111399481
1515,E02001554,1,0.95,0.0020249221183800624,0.001869158878504673,0.011526479750778817,0.007009345794392523,0.004517133956386293,0.014174454828660437,0.01573208722741433,0.9722741433021806,0.0,0.004672897196261682
1516,E02001555,1,0.92470419505199,0.0030476873431337396,0.0030476873431337396,0.030118321979204016,0.02456077447113661,0.005557547508067408,0.014521333811401936,0.01918250268913589,0.9523126568662603,0.0,0.005378271782000717
1517,E02001556,1,0.8559285560576716,0.0031202926619324296,0.0031202926619324296,0.04422207876049064,0.03539918226812998,0.008822896492360663,0.07510221648375295,0.012373574349042392,0.8775554120938239,0.0,0.006132989025177534
1518,E02001557,1,0.7813850532307368,0.005691999578370402,0.004216295983978075,0.10445873300305682,0.09043954885632971,0.0140191841467271,0.08485295667755877,0.014440813745124908,0.804996310741014,0.00010540739959945188,0.004848740381574786
1519,E02001558,1,0.9591836734693877,0.002285714285714286,0.001142857142857143,0.006530612244897959,0.0029387755102040815,0.0035918367346938775,0.010938775510204082,0.013877551020408163,0.9802448979591837,0.0,0.0060408163265306125
1520,E02001559,1,0.944717127357272,0.0019374838543012142,0.002324980625161457,0.014337380521828985,0.007879101007491604,0.006458279514337381,0.01730818909842418,0.014337380521828985,0.9664169465254456,0.0001291655902867476,0.0049082924308964096
1521,E02001560,1,0.7227826417967264,0.006280928816140083,0.0032356299961933763,0.13865626189569852,0.12990102778835172,0.008755234107346783,0.11315188427864484,0.013513513513513514,0.7419109250095166,0.0,0.002379139703083365
1522,E02001561,1,0.7918645140867363,0.005064893953782843,0.003956948401392846,0.0870528648306426,0.07739791073124407,0.009654954099398544,0.09259259259259259,0.013295346628679962,0.8152896486229819,0.000949667616334283,0.0052231718898385565
1523,E02001562,1,0.909229466553768,0.00829805249788315,0.00541913632514818,0.02167654530059272,0.011346316680779001,0.010330228619813718,0.032853513971210835,0.0165961049957663,0.9371718882303133,0.0,0.0059271803556308214
1524,E02001563,1,0.87871643745907,0.0045841519318926,0.004322200392927309,0.02082514734774067,0.013228552717747217,0.007596594629993451,0.0578912901113294,0.02200392927308448,0.9166994106090374,0.0005239030779305828,0.011132940406024885
1525,E02001564,1,0.9304451510333863,0.004901960784313725,0.0033121356650768416,0.01232114467408585,0.0041070482246952835,0.008214096449390567,0.02053524112347642,0.02066772655007949,0.962241653418124,0.0,0.007816640169581345
1526,E02001565,1,0.8647024333040164,0.0033714453239519202,0.004104368220463207,0.028583992963940194,0.01905599530929346,0.00952799765464673,0.06977425974787452,0.021108179419525065,0.8982703019642334,0.00043975373790677223,0.0079155672823219
1527,E02001566,1,0.8624165301751291,0.0025198437696862795,0.003653773466045105,0.06690185208517072,0.05745243794884717,0.009449414136323548,0.04749905505858637,0.013103187602368654,0.8830792490865567,0.0005039687539372559,0.003401789089076477
1528,E02001567,1,0.913599126160568,0.0034953577280174767,0.0025122883670125615,0.029710540688148553,0.02326597487711633,0.0064445658110322225,0.028509011469142545,0.0170398689240852,0.9382850901146914,0.0,0.005133806663025669
1529,E02001568,1,0.9620724686759228,0.0008465966813410091,0.0006772773450728074,0.012529630883846935,0.009143244158482899,0.0033863867253640365,0.011513714866237725,0.009651202167287504,0.9751100575685744,0.0,0.0027091093802912294
1530,E02001569,1,0.952753339850114,0.0017378081894210927,0.0004344520473552732,0.020527859237536656,0.016291951775822745,0.004235907461713913,0.011621592266753557,0.010101010101010102,0.9661127403062887,0.0,0.0028239383078092757
1531,E02001570,1,0.9614340808455935,0.0022853878017426083,0.001999714326524782,0.007856020568490215,0.004570775603485217,0.003285244965004999,0.011712612483930867,0.011284102271104128,0.9781459791458363,0.0,0.0034280817026139123
1532,E02001571,1,0.9439697666776208,0.0029576076240552087,0.0021360499507065396,0.012816299704239238,0.009365757476174828,0.0034505422280644103,0.012651988169569504,0.018238580348340454,0.9715741045021361,0.0006572461386789353,0.006572461386789352
1533,E02001572,1,0.9183250414593698,0.0030403537866224434,0.0023493642896627973,0.021420674405749032,0.013266998341625208,0.008153676064123825,0.01451077943615257,0.03579325594250967,0.961028192371476,0.0,0.004560530679933665
1534,E02001573,1,0.9678076091105738,0.0021631250795266575,0.0015269118208423463,0.007125588497264283,0.003181066293421555,0.003944522203842728,0.007761801755948594,0.01107011070110701,0.9829494846672605,0.0,0.002544853034737244
1535,E02001574,1,0.927409061901723,0.00398851308232291,0.00398851308232291,0.01643267389917039,0.01148691767708998,0.004945756222080409,0.01691129546904914,0.024569240587109124,0.9626675175494576,0.0,0.006700701978302489
1536,E02001575,1,0.9338285871509149,0.001788416563488788,0.001788416563488788,0.014307332507910305,0.007153666253955152,0.007153666253955152,0.015132755537212822,0.028339524006053104,0.9687714953913881,0.0,0.004814967670931352
1537,E02001576,1,0.9148899587345255,0.004298486932599725,0.005674002751031637,0.023383768913342505,0.010832187070151307,0.012551581843191197,0.02200825309491059,0.02080467675378267,0.9503094910591472,0.0,0.008940852819807428
1538,E02001577,1,0.9409599754638859,0.002760312835454685,0.002453611409293053,0.008280938506364055,0.0032203649746971323,0.005060573531666922,0.015948474160404846,0.01656187701272811,0.9730102744977764,0.0,0.013034810611869346
1539,E02001578,1,0.9621604481555861,0.0014797590106754043,0.0008455765775288025,0.01067540429130113,0.00687030969242152,0.003805094598879611,0.012155163301976536,0.007927280414332523,0.975689673396047,0.00010569707219110031,0.004650671176408413
