,GEOGRAPHY_CODE,"1. Higher managerial, administrative and professional occupations",1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,All categories: NS-SeC,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
4305,E02004407,0.11392844737756165,0.025008683570684264,0.08891976380687738,0.3004515456755818,0.18235498436957276,0.11809656130600903,0.029871483153872874,0.1149704758596735,0.04654393886766238,0.019103855505383814,1,0.012504341785342132,0.006599513720041681,0.07467870788468219
4306,E02004408,0.05155674589889521,0.015400066956812855,0.036156678942082354,0.2587880816873117,0.2105791764312019,0.06595246066287244,0.040174087713424844,0.19450954134583193,0.08369601606963509,0.04050887177770338,1,0.02778707733511885,0.012721794442584533,0.05423501841312354
4307,E02004409,0.10671342685370741,0.023547094188376753,0.08316633266533066,0.2865731462925852,0.18637274549098196,0.12925851703406813,0.039579158316633264,0.11422845691382766,0.04408817635270541,0.03857715430861723,1,0.031062124248496994,0.00751503006012024,0.05460921843687375
4308,E02004410,0.09558067831449127,0.022953066118533743,0.07262761219595752,0.3001027749229188,0.19801301815690306,0.12675573826652964,0.03323055841041452,0.12504282288454951,0.04316546762589928,0.022610483042137718,1,0.0171291538198013,0.005481329222336417,0.05549845837615622
4309,E02004411,0.05984800506649778,0.02026599113362888,0.039582013932868906,0.23559214692843572,0.2292590246991767,0.07029765674477517,0.04971500949968334,0.19727675744141862,0.07346421785940468,0.026915769474350856,1,0.017099430018999367,0.009816339455351488,0.05763141228625712
4310,E02004412,0.06440198159943383,0.014508138711960368,0.049893842887473464,0.2597310686482661,0.19957537154989385,0.09907997169143666,0.03927813163481953,0.18011323425336165,0.06334041047416844,0.03397027600849257,1,0.024416135881104035,0.009554140127388535,0.06050955414012739
4311,E02004413,0.07765451664025357,0.017432646592709985,0.060221870047543584,0.25990491283676703,0.1969096671949287,0.11014263074484945,0.04041204437400951,0.16204437400950872,0.06141045958795563,0.02733755942947702,1,0.022583201267828843,0.004754358161648178,0.06418383518225039
4312,E02004414,0.05582849486377847,0.014738722644037517,0.04108977221974096,0.28092898615453327,0.20946851272889683,0.07726663689146941,0.04912907548012506,0.1701652523447968,0.07414024117909782,0.023224653863331845,1,0.013398838767306834,0.00982581509602501,0.05984814649397052
4313,E02004415,0.09229429690901175,0.027862429255550717,0.06443186765346104,0.27949499346974316,0.1889420983892033,0.1175446234218546,0.040487592511972134,0.13365259033521984,0.056595559425337394,0.03090988245537658,1,0.023944275141488898,0.006965607313887679,0.06007836308228123
4314,E02004416,0.07554257095158598,0.025459098497495825,0.05008347245409015,0.2612687813021703,0.19156928213689484,0.14065108514190316,0.034223706176961605,0.14607679465776294,0.0676126878130217,0.02378964941569282,1,0.01669449081803005,0.0070951585976627716,0.05926544240400668
4315,E02004417,0.040419161676646706,0.010978043912175649,0.02944111776447106,0.25,0.22854291417165667,0.08233532934131736,0.04640718562874251,0.19211576846307385,0.0813373253493014,0.026447105788423155,1,0.01746506986027944,0.008982035928143712,0.05239520958083832
4316,E02004418,0.0398989898989899,0.014141414141414142,0.025757575757575757,0.21616161616161617,0.201010101010101,0.07323232323232323,0.045454545454545456,0.2409090909090909,0.0803030303030303,0.048484848484848485,1,0.03535353535353535,0.013131313131313131,0.05454545454545454
4317,E02004419,0.04107648725212465,0.012275731822474031,0.028800755429650614,0.17799811142587346,0.17752596789423986,0.06043437204910293,0.049575070821529746,0.25920679886685555,0.1251180358829084,0.05807365439093484,1,0.042020774315391876,0.016052880075542966,0.05099150141643059
4318,E02004420,0.07932011331444759,0.023177955189286635,0.056142158125160956,0.2577903682719547,0.19881534895699202,0.10842132371877414,0.03811485964460469,0.16482101467937163,0.06000515065670873,0.024465619366469224,1,0.017769765645119753,0.006695853721349472,0.06824620139067732
4319,E02004421,0.04371584699453552,0.01347905282331512,0.0302367941712204,0.229143897996357,0.22987249544626595,0.06885245901639345,0.046994535519125684,0.21493624772313297,0.08597449908925318,0.033879781420765025,1,0.021493624772313296,0.01238615664845173,0.04663023679417122
4320,E02004422,0.05827776167004929,0.015656712090461003,0.04262104957958829,0.2574659321542476,0.22441287329660772,0.0858219773847492,0.039721658451725136,0.18962017976224993,0.06494636126413453,0.02551464192519571,1,0.017976224992751522,0.007538416932444187,0.05421861409104088
4321,E02004423,0.06095736724008975,0.017576664173522813,0.04338070306656694,0.262528047868362,0.23223635003739715,0.08152580403889305,0.032535527299925204,0.20082273747195215,0.05871353777112939,0.01944652206432311,1,0.014584891548242334,0.0048616305160807775,0.0512341062079282
4322,E02004424,0.09174990751017388,0.022197558268590455,0.06955234924158342,0.2685904550499445,0.3026267110617832,0.05512393636699963,0.023307436182019976,0.12985571587125416,0.048834628190899,0.01849796522382538,1,0.01072881982981872,0.00776914539400666,0.06141324454310026
4323,E02004425,0.08565153733528551,0.026720351390922402,0.058931185944363106,0.26244509516837483,0.29209370424597364,0.04904831625183016,0.02964860907759883,0.1328696925329429,0.06588579795021962,0.03257686676427526,1,0.020497803806734993,0.012079062957540264,0.04978038067349927
4324,E02004426,0.09681978798586573,0.023674911660777384,0.07314487632508834,0.2734982332155477,0.2833922261484099,0.05123674911660778,0.024381625441696114,0.13886925795053004,0.054063604240282684,0.023321554770318022,1,0.01342756183745583,0.009893992932862191,0.05441696113074205
4325,E02004427,0.08239154210718191,0.022238425082026978,0.06015311702515494,0.26795479402114475,0.3069631790010937,0.05577834487787094,0.024425811155668976,0.13087860007291288,0.058330295297119944,0.024425811155668976,1,0.017134524243528983,0.007291286912139993,0.04885162231133795
4326,E02004428,0.05145413870246085,0.017897091722595078,0.03355704697986577,0.22013422818791947,0.2738255033557047,0.049664429530201344,0.04161073825503356,0.1919463087248322,0.09217002237136465,0.029082774049217,1,0.019686800894854587,0.009395973154362415,0.05011185682326622
4327,E02004429,0.056658246120534106,0.019487549621075424,0.03717069649945868,0.2038975099242151,0.30277878022374594,0.06279321544568747,0.03717069649945868,0.17971851317214002,0.07831107903284013,0.031757488271382174,1,0.02201371346084446,0.009743774810537712,0.04691447130999639
4328,E02004430,0.053864168618266976,0.015724322515891603,0.03813984610237538,0.226497156239545,0.3014386082301773,0.05553696888591502,0.046503847440615594,0.1686182669789227,0.07527601204416193,0.024757443961191034,1,0.01639344262295082,0.008364001338240215,0.04750752760120441
4329,E02004431,0.06270049577136191,0.017497812773403325,0.04520268299795859,0.21901428988043162,0.29542140565762615,0.05657626130067075,0.03762029746281715,0.17118693496646253,0.07611548556430446,0.03674540682414698,1,0.023913677456984545,0.012831729367162438,0.04461942257217848
4330,E02004432,0.07505863956215794,0.022283033620015637,0.0527756059421423,0.21853010164190775,0.27130570758405004,0.08014073494917905,0.03205629397967162,0.15559030492572323,0.0727130570758405,0.04769351055512119,1,0.039093041438623924,0.008600469116497263,0.04691164972634871
