,GEOGRAPHY_CODE,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations,All categories: Occupation
5831,E02005966,0.11143867924528301,0.22602201257861634,0.14406446540880502,0.13502358490566038,0.07959905660377359,0.07252358490566038,0.07075471698113207,0.0589622641509434,0.10161163522012578,1
5832,E02005967,0.0971563981042654,0.15538253215978334,0.12728503723764387,0.12119160460392688,0.12085308056872038,0.08801624915368991,0.07379823967501693,0.08259986459038592,0.13371699390656736,1
5833,E02005968,0.1726399625204966,0.16256734598266573,0.25439212930428673,0.08596861091590537,0.11993441086905599,0.07495900679315999,0.030217849613492623,0.035137034434293744,0.06418364956664324,1
5834,E02005969,0.12980358667805295,0.24658411614005124,0.13642186165670367,0.09970111016225448,0.11144321093082835,0.08753202391118702,0.054227156276686596,0.040777113578138346,0.09350982066609735,1
5835,E02005970,0.07250848503548288,0.18667078062326442,0.1203332304844184,0.10768281394631286,0.09904350509102129,0.08639308855291576,0.09040419623572972,0.08392471459426103,0.15303918543659364,1
5836,E02005971,0.07689667009955373,0.1380020597322348,0.11225540679711637,0.12427051150017164,0.13182286302780638,0.10470305526948163,0.07415036045314109,0.08925506350841057,0.14864400961208377,1
5837,E02005972,0.1416170634920635,0.25297619047619047,0.13764880952380953,0.09052579365079365,0.12053571428571429,0.08333333333333333,0.05952380952380952,0.04017857142857143,0.07366071428571429,1
5838,E02005973,0.16557313778463914,0.20725588575839443,0.17599382477807796,0.08838286375916635,0.09185642609031262,0.08182169046700116,0.06252412196063296,0.03473562331146276,0.09185642609031262,1
5839,E02005974,0.17754223252732693,0.26134481616429284,0.18019211659489898,0.0970520039748261,0.07121563431599867,0.05995362702881749,0.05995362702881749,0.023848956608148394,0.06889698575687314,1
5840,E02005975,0.17847485127095727,0.26554894537587886,0.13791238507301243,0.09789075175770687,0.10843699296917253,0.07436452136289887,0.04407787993510005,0.02650081124932396,0.06679286100594917,1
5841,E02005976,0.2510653409090909,0.2450284090909091,0.15696022727272727,0.09659090909090909,0.07990056818181818,0.06143465909090909,0.036576704545454544,0.019886363636363636,0.052556818181818184,1
5842,E02005977,0.17595944967414917,0.24185372918175235,0.14228819695872555,0.10897900072411296,0.11477190441708907,0.07929036929761042,0.05829109341057205,0.028240405503258507,0.050325850832729904,1
5843,E02005978,0.1453455168475157,0.30553969160479727,0.12392918332381496,0.1142204454597373,0.0990862364363221,0.06253569388920617,0.052541404911479156,0.0336950314106225,0.06310679611650485,1
5844,E02005979,0.11940615058324497,0.27698833510074233,0.12555673382820784,0.11919406150583245,0.10455991516436904,0.07571580063626723,0.05790031813361612,0.04093319194061506,0.07974549310710498,1
5845,E02005980,0.12942802833938138,0.20390530499395196,0.21755659236219113,0.08743735959910143,0.10661828235700709,0.06704682909970623,0.05114912735441507,0.064282011404873,0.07257646448937273,1
5846,E02005981,0.10260307809234277,0.24339730191905756,0.1341440243207296,0.14326429792893786,0.11305339160174806,0.074292228766863,0.06878206346190385,0.051681550446513395,0.06878206346190385,1
5847,E02005982,0.09266646210494016,0.2506903958269408,0.1436023320036821,0.1184412396440626,0.10892911936176741,0.08683645289966248,0.0635164160785517,0.055845351334765266,0.0794722307456275,1
5848,E02005983,0.09798068481123792,0.2639157155399473,0.15539947322212466,0.10623353819139596,0.085513608428446,0.08094820017559262,0.07093942054433713,0.052502194907813875,0.08656716417910448,1
5849,E02005984,0.18015739179314222,0.2478920741989882,0.14924114671163574,0.09893198426082069,0.11551433389544688,0.06942102304665543,0.04103428892636313,0.03822372119168072,0.059584035975267007,1
5850,E02005985,0.08142292490118577,0.17839262187088273,0.12727272727272726,0.1088274044795784,0.11436100131752305,0.08616600790513834,0.08484848484848485,0.0769433465085639,0.14176548089591567,1
5851,E02005986,0.12069339111592632,0.21083423618634886,0.12156013001083424,0.09707475622968581,0.1276273022751896,0.10184182015167931,0.05590465872156013,0.05893824485373781,0.10552546045503793,1
5852,E02005987,0.13483430306096636,0.20288388565646345,0.12370351631672148,0.11105489501644321,0.13179863394889957,0.08120414874778649,0.056918795851252216,0.05438907159119656,0.10321274981027068,1
5853,E02005988,0.09708987895956735,0.1661086788565542,0.13417460726242597,0.12464589235127478,0.13262941024980685,0.08756116404841617,0.08627349987123359,0.07494205511202678,0.09657481328869431,1
5854,E02005991,0.10387045813586097,0.21781200631911532,0.14316745655608215,0.10703001579778831,0.09972353870458135,0.0947867298578199,0.08234597156398105,0.061808846761453394,0.08945497630331753,1
