,GEOGRAPHY_CODE,All usual residents aged 16+,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,In a registered same-sex civil partnership,Married,Separated (but still legally married or still legally in a same-sex civil partnership),Single (never married or never registered a same-sex civil partnership),Widowed or surviving partner from a same-sex civil partnership
6587,E02006729,5798.0,0.10124180751983443,0.002414625733011383,0.531390134529148,0.027768195929630906,0.2947568126940324,0.04242842359434288
6588,E02006730,4661.0,0.118214975327183,0.001072731173567904,0.42008152756919115,0.03604376743188157,0.37695773439176145,0.04762926410641493
6589,E02006731,4782.0,0.11606022584692598,0.002091175240485153,0.4671685487243831,0.025721455457967377,0.3161856963613551,0.07277289836888332
6590,E02006732,5966.0,0.08548441166610794,0.002011397921555481,0.5499497150519611,0.024639624539054644,0.279081461615823,0.05883338920549782
6591,E02006733,4965.0,0.09909365558912386,0.0018126888217522659,0.5415911379657603,0.026183282980866064,0.2628398791540785,0.06847935548841894
6592,E02006734,6783.0,0.08447589562140646,0.0008845643520566122,0.5534424296034203,0.01680672268907563,0.26271561256081377,0.08167477517322719
6593,E02006735,4108.0,0.14654333008763387,0.0009737098344693282,0.34250243427458615,0.02629016553067186,0.3975170399221032,0.08617332035053554
6594,E02006736,5281.0,0.11266805529255823,0.002461654989585306,0.5106987313008899,0.019882597992804393,0.3238023101685287,0.030486650255633404
6595,E02006737,6455.0,0.11541440743609604,0.0023237800154918666,0.44167312161115413,0.025716498838109992,0.3490317583268784,0.06584043377226956
6596,E02006738,6803.0,0.11053946788181684,0.002057915625459356,0.4004115831250919,0.03130971630163163,0.397618697633397,0.05806261943260326
6597,E02006739,5210.0,0.06449136276391555,0.001343570057581574,0.4017274472168906,0.016506717850287907,0.4474088291746641,0.06852207293666027
6598,E02006740,6128.0,0.10933420365535249,0.0017950391644908617,0.29112271540469975,0.027251958224543082,0.5159921671018277,0.054503916449086164
6599,E02006741,4321.0,0.07868548947003008,0.0004628558204119417,0.5637583892617449,0.026151353853274707,0.3022448507289979,0.028697060865540386
6600,E02006742,6863.0,0.11132157948419058,0.0007285443683520326,0.3728690077225703,0.02433338190295789,0.41803875856039635,0.07270872796153285
6601,E02006743,5078.0,0.10693186293816463,0.0011815675462780622,0.4578574241827491,0.02126821583300512,0.3503347774714454,0.06242615202835762
