,GEOGRAPHY_CODE,All usual residents aged 16 to 74 in employment the week before the census,Females: Full-time: 31 to 48 hours worked,Females: Full-time: 49 or more hours worked,Females: Part-time: 15 hours or less worked,Females: Part-time: 16 to 30 hours worked,Females: Total,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked,Males: Full-time: 31 to 48 hours worked,Males: Full-time: 49 or more hours worked,Males: Part-time: 15 hours or less worked,Males: Part-time: 16 to 30 hours worked,Males: Total,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked
38,E02000040,1,0.24752475247524752,0.04247844139252635,0.07186202491216864,0.12360268284893006,0.48546790162887254,0.5515809645480677,0.16065154902587034,0.3040562120728202,0.11817310763334397,0.030980517406579366,0.0613222612583839,0.5145320983711275,0.10284254231874801,0.18492494410731397
39,E02000041,1,0.22663096397273613,0.03237585199610516,0.07716650438169426,0.12682570593963,0.46299902629016554,0.5547711781888998,0.13266796494644595,0.3281402142161636,0.1002921129503408,0.03675754625121714,0.07181110029211295,0.5370009737098345,0.11392405063291139,0.19863680623174293
40,E02000042,1,0.2598624683315237,0.04505971769815418,0.05646036916395222,0.1067680057908071,0.4681505609844372,0.6040535649656171,0.1460369163952226,0.34419109663409336,0.10097719869706841,0.029134998190372782,0.05754614549402823,0.5318494390155628,0.085595367354325,0.1643141512848353
41,E02000043,1,0.22444622364558314,0.04029890579129971,0.07099012543368027,0.114758473445423,0.4504937283159861,0.548705631171604,0.18574859887910328,0.32425940752602084,0.1454496930878036,0.03122497998398719,0.048572191086202296,0.5495062716840139,0.10221510541766747,0.1633306645316253
42,E02000044,1,0.2668694690265487,0.03235619469026549,0.058351769911504425,0.14021017699115043,0.497787610619469,0.5793694690265486,0.13136061946902655,0.3125,0.09900442477876106,0.030420353982300884,0.06028761061946902,0.5022123893805309,0.08877212389380532,0.20049778761061948
43,E02000045,1,0.2674395755551189,0.04165847907250934,0.05639614855570839,0.11593633326783258,0.4814305364511692,0.6016899194340735,0.13303202986834348,0.3342503438789546,0.09137355079583415,0.03222637060326194,0.060719198270780116,0.5185694635488308,0.08862251915897033,0.1766555315386127
44,E02000046,1,0.27284263959390864,0.048477157360406094,0.050253807106598984,0.10101522842639594,0.47258883248730965,0.5951776649746193,0.16725888324873098,0.3223350253807107,0.11878172588832488,0.02918781725888325,0.05710659898477157,0.5274111675126903,0.07944162436548223,0.1581218274111675
45,E02000047,1,0.25656565656565655,0.025050505050505052,0.06222222222222222,0.1298989898989899,0.47373737373737373,0.5795959595959596,0.10404040404040404,0.32303030303030306,0.07898989898989899,0.038181818181818185,0.08606060606060606,0.5262626262626262,0.1004040404040404,0.21595959595959596
46,E02000048,1,0.23195020746887968,0.04605809128630706,0.06991701244813278,0.11846473029045643,0.46639004149377594,0.5414937759336099,0.17717842323651453,0.3095435684647303,0.13112033195020747,0.035062240663900415,0.057883817427385895,0.5336099585062241,0.1049792531120332,0.17634854771784234
47,E02000049,1,0.26125,0.0171875,0.070625,0.1553125,0.504375,0.565,0.079375,0.30375,0.0621875,0.04,0.0896875,0.495625,0.110625,0.245
48,E02000050,1,0.2602684832698858,0.047685834502103785,0.0607092766980565,0.1146062913243839,0.48326988579443,0.5880585053095572,0.15227409336806252,0.3277900220396714,0.10458825886595872,0.028250851532758966,0.056100981767180924,0.51673011420557,0.08896012823081546,0.1707072730915648
