,GEOGRAPHY_CODE,Africa,All usual residents,Antarctica and Oceania,British Overseas Territories,Central America,Middle East and Asia,No passport,North America and the Caribbean,Other Europe: EU countries,Other Europe: Non EU countries,Republic of Ireland,South America,United Kingdom
930,E02000963,0.02277332818681849,10363.0,0.01408858438676059,0.0,0.00028949146000192995,0.0338705008202258,0.0673550130271157,0.02045739650680305,0.09649715333397665,0.005596834893370646,0.027212197240181413,0.007140789346714272,0.7414841262182765
931,E02000964,0.021834409116264244,12549.0,0.03243286317634871,0.0,0.0003984381225595665,0.03793130926767073,0.05554227428480357,0.021834409116264244,0.12479081998565623,0.012192206550322734,0.024703163598693123,0.012271894174834649,0.6953542114909554
932,E02000965,0.01692361191607743,8627.0,0.061666859858583514,0.0002318303002202388,0.0012750666512113132,0.04427958734206561,0.03326764808160427,0.048800278196360264,0.16830879795989337,0.0191259997681697,0.027471890576098296,0.009041381708589313,0.6391561377071984
933,E02000966,0.018747424804285127,9708.0,0.06314379892871859,0.00030902348578491963,0.0013391017717346518,0.06293778327152863,0.022764730119489082,0.0838483724763082,0.17511330861145447,0.01823238566131026,0.023485784919653894,0.010815822002472188,0.6106304079110012
934,E02000967,0.029633694608313898,7289.0,0.03553299492385787,0.00027438606118809165,0.001509123336534504,0.13088215118671973,0.014954040334750994,0.07435862258197283,0.1990670873919605,0.03059404582247222,0.018658252160790232,0.012210179722870078,0.5180408835231171
935,E02000968,0.026883967126340717,14358.0,0.008009472071319126,0.0001392951664577239,0.0006964758322886195,0.05613595208246274,0.06003621674327901,0.013720573896085806,0.11770441565677671,0.00961136648558295,0.014974230394205321,0.0064075776570553,0.7163950410920741
936,E02000969,0.028620430914353092,9329.0,0.013613463393718512,0.0,0.0003215778754421696,0.04309143530925073,0.06946082109550863,0.01554293064637153,0.12627291242362526,0.011040840390181156,0.02422553328331011,0.010397684639296816,0.6966448708328867
937,E02000970,0.016475564956028053,8983.0,0.03540020037849271,0.00011132138483802739,0.0035622843148168763,0.09072692864299232,0.013358566180563285,0.10297228097517533,0.20627852610486475,0.036290771457196926,0.021485027273739285,0.011020817098964712,0.5303350773683625
938,E02000971,0.027711703139866792,8408.0,0.036274976213130354,0.00011893434823977165,0.002021883920076118,0.0914605137963844,0.017126546146527116,0.07052806850618458,0.21919600380589915,0.026403425309229307,0.015580399619410086,0.010585156993339676,0.5384157944814463
939,E02000972,0.0218408736349454,8333.0,0.030121204848193927,0.00012000480019200768,0.004080163206528261,0.08160326413056522,0.029521180847233888,0.06360254410176407,0.18936757470298812,0.0265210608424337,0.02124084963398536,0.010080403216128644,0.5768630745229809
940,E02000973,0.021902874132804756,10090.0,0.05668979187314172,0.00019821605550049553,0.0015857284440039642,0.0489593657086224,0.030128840436075322,0.06897918731417245,0.18949454905847374,0.01823587710604559,0.027254707631318136,0.010802775024777007,0.5987115956392468
941,E02000974,0.03127132135546964,8794.0,0.02740504889697521,0.00022742779167614282,0.0011371389583807142,0.12542642710939278,0.02331134864680464,0.05219467818967478,0.19319990902888334,0.023766204230156924,0.015692517625653855,0.010916534000454855,0.5544689561064362
942,E02000975,0.02135434509535229,8757.0,0.05823912298732443,0.00034258307639602604,0.0034258307639602604,0.09843553728445814,0.017585931254996003,0.05983784401050588,0.26070572113737583,0.03505766815119333,0.01495946100262647,0.019984012789768184,0.47961630695443647
943,E02000976,0.022622159662175748,9946.0,0.054594811984717474,0.0004021717273275689,0.003720088477780012,0.09742610094510355,0.0245324753669817,0.05419264025738991,0.261210536899256,0.029358536094912527,0.014779810979288157,0.0180977277297406,0.4855218178162075
944,E02000977,0.019492656875834447,7490.0,0.0315086782376502,0.000267022696929239,0.0014686248331108145,0.10614152202937249,0.026168224299065422,0.0712950600801068,0.15620827770360482,0.0315086782376502,0.019492656875834447,0.009078771695594125,0.5815754339118825
945,E02000978,0.020604099244875943,9270.0,0.024163969795037755,0.00010787486515641856,0.0024811218985976266,0.12373247033441208,0.005933117583603021,0.0883495145631068,0.21229773462783172,0.037756202804746494,0.014778856526429343,0.018770226537216828,0.5385113268608415
946,E02000979,0.022521965103328795,8081.0,0.025863135750525925,0.00024749412201460216,0.0009899764880584086,0.05568617745328548,0.050365053829971536,0.05395371859918327,0.16371736171265933,0.02536814750649672,0.02041826506620468,0.008291053087489172,0.630491275832199
947,E02000980,0.018424689083371717,8684.0,0.020036849378166743,0.00046061722708429296,0.0014970059880239522,0.04525564256103178,0.050322432058959005,0.025909719023491477,0.14106402579456473,0.024643021649009673,0.019230769230769232,0.010248733302625518,0.6847075080608015
948,E02000981,0.014903792681570459,8991.0,0.031031031031031032,0.0,0.001001001001001001,0.03214325436547659,0.023245467689912133,0.04793682571460349,0.17017017017017017,0.01690579468357246,0.018462907351796242,0.009342676009342675,0.6889111333555779
949,E02000982,0.019693654266958426,8226.0,0.015195720884998784,0.0010940919037199124,0.0012156576707999028,0.05640651592511549,0.056771213226355456,0.03464624361779723,0.14697301239970825,0.01762703622659859,0.020423048869438368,0.010697787503039144,0.661439338682227
950,E02000983,0.017192316812900166,8434.0,0.02335783732511264,0.00047427080863172874,0.00023713540431586437,0.046122836139435616,0.05631965852501779,0.025847759070429216,0.12698600901114537,0.014820962769741522,0.022527863410007114,0.013990988854635997,0.699430875029642
951,E02000984,0.0019275250578257518,7782.0,0.0030840400925212026,0.0,0.0,0.0026985350809560524,0.06887689539964019,0.0010280133641737343,0.0050115651503469544,0.0006425083526085839,0.0021845283988691853,0.0006425083526085839,0.9195579542534053
952,E02000985,0.0014532963403355794,7569.0,0.0033029462280354076,0.0,0.0002642356982428326,0.0007927070947284979,0.09829567974633373,0.0015854141894569957,0.0047562425683709865,0.0005284713964856652,0.003038710529792575,0.0001321178491214163,0.8912670101730744
953,E02000986,0.002869097429766886,8365.0,0.0010759115361625821,0.0,0.0,0.007411835026897788,0.11607890017931859,0.0010759115361625821,0.008965929468021518,0.0021518230723251643,0.003945008965929468,0.00035863717872086073,0.860848774656306
954,E02000987,0.001389854065323141,7195.0,0.0015288394718554553,0.0,0.0001389854065323141,0.003613620569840167,0.2029186935371786,0.0030576789437109105,0.007644197359277276,0.0005559416261292564,0.0022237665045170257,0.0,0.7819318971507991
