,GEOGRAPHY_CODE,All categories: Type of central heating in household,Average household size,Average number of bedrooms per household,Average number of rooms per household,Does have central heating,Does not have central heating,Occupancy rating (bedrooms) of -1 or less,Occupancy rating (rooms) of -1 or less
1348,E02001387,1,0.0007906388361796331,0.0010436432637571157,0.0020872865275142313,0.9705882352941176,0.029411764705882353,0.017710309930423784,0.02024035420619861
1349,E02001388,1,0.0005035971223021583,0.000671462829736211,0.0012709832134292565,0.9474820143884892,0.05251798561151079,0.0328537170263789,0.16738609112709832
1350,E02001389,1,0.0004278074866310161,0.00048128342245989307,0.001016042780748663,0.9331550802139037,0.06684491978609626,0.0481283422459893,0.20267379679144384
1351,E02001390,1,0.0005129457743038593,0.0005862237420615535,0.0010991695163654128,0.9716658524670249,0.028334147532975085,0.08378114313629702,0.1414264777723498
1352,E02001391,1,0.0009673518742442563,0.001128577186618299,0.0020556227327690447,0.9721886336154776,0.02781136638452237,0.04917372027408303,0.06731156791616284
1353,E02001392,1,0.000860719874804382,0.00121283255086072,0.002347417840375587,0.9800469483568075,0.01995305164319249,0.013693270735524257,0.01995305164319249
1354,E02001393,1,0.0008787346221441124,0.0012302284710017574,0.002495606326889279,0.9869947275922671,0.013005272407732865,0.008787346221441126,0.015114235500878734
1355,E02001394,1,0.0004428904428904429,0.0005594405594405594,0.0011188811188811189,0.955944055944056,0.044055944055944055,0.035431235431235435,0.1048951048951049
1356,E02001395,1,0.0008805513016845329,0.0011485451761102604,0.0022588055130168456,0.9674578866768759,0.032542113323124046,0.016462480857580397,0.026416539050535988
1357,E02001396,1,0.0005104645227156713,0.000638080653394589,0.001225114854517611,0.9520163348647269,0.0479836651352731,0.03598774885145482,0.08958652373660031
1358,E02001397,1,0.0005197505197505198,0.0006496881496881497,0.0013253638253638252,0.9690748440748441,0.030925155925155927,0.02494802494802495,0.060031185031185035
1359,E02001398,1,0.0005563282336578582,0.0007232267037552156,0.001418636995827538,0.9563282336578581,0.043671766342141864,0.03560500695410292,0.08372739916550764
1360,E02001399,1,0.0008722958827634334,0.0011165387299371947,0.0022330774598743894,0.973831123517097,0.026168876482903,0.01465457083042568,0.01779483600837404
1361,E02001400,1,0.0008101444170482563,0.001021486438886932,0.0020077492074674183,0.9619584360690384,0.03804156393096161,0.03663261711870377,0.041916167664670656
1362,E02001401,1,0.0006774668630338733,0.0008836524300441826,0.0017083946980854198,0.9717231222385861,0.028276877761413844,0.020618556701030927,0.03858615611192931
1363,E02001402,1,0.0005847953216374269,0.0008240297713981925,0.001621477937267411,0.9710260499734183,0.028973950026581607,0.01541733120680489,0.03907496012759171
