,GEOGRAPHY_CODE,All categories: Living arrangements,Living in a couple,Living in a couple: Cohabiting,Living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple,Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
15,E02000017,6608.0,0.4850181598062954,0.07067191283292978,0.41434624697336564,0.5149818401937046,0.04888014527845036,0.05584140435835351,0.027239709443099273,0.3407990314769976,0.04222154963680387
16,E02000018,6393.0,0.4775535742218051,0.10433286407007665,0.3732207101517285,0.5224464257781949,0.07289222587204755,0.023932426091037073,0.03550758642264977,0.33505396527451903,0.055060222117941496
17,E02000019,5992.0,0.5116822429906542,0.1048064085447263,0.4068758344459279,0.4883177570093458,0.06859145527369827,0.025867823765020028,0.03354472630173565,0.3092456608811749,0.05106809078771696
18,E02000020,6823.0,0.46138062435878646,0.07606624651912648,0.38531437783966,0.5386193756412135,0.07035028579803605,0.0329766964678294,0.03781327861644438,0.3293272753920563,0.06815183936684743
19,E02000021,5724.0,0.49091544374563245,0.1090146750524109,0.38190076869322154,0.5090845562543675,0.08071278825995808,0.025157232704402517,0.03459119496855346,0.31341719077568136,0.05520614954577219
20,E02000022,5745.0,0.44873803307223675,0.09677980852915578,0.35195822454308096,0.5512619669277633,0.07380330722367276,0.03846823324630113,0.059355961705831156,0.3451697127937337,0.03446475195822454
21,E02000023,4445.0,0.4359955005624297,0.10258717660292463,0.33340832395950504,0.5640044994375703,0.07536557930258718,0.0407199100112486,0.046794150731158606,0.3577052868391451,0.04341957255343082
22,E02000024,8045.0,0.6006215040397762,0.10490988191423244,0.4957116221255438,0.39937849596022373,0.057799875699192045,0.013673088875077687,0.01591050341827222,0.24611559975139838,0.06587942821628341
23,E02000025,6523.0,0.5223056875670704,0.10715928253870918,0.4151464050283612,0.47769431243292965,0.0791047064234248,0.01441054729418979,0.022382339414379886,0.29756247125555724,0.06423424804537789
24,E02000026,5019.0,0.5985256027097031,0.07611077903964933,0.5224148236700538,0.4014743972902969,0.05837816298067344,0.011556086869894401,0.016935644550707313,0.25782028292488546,0.05678421996413628
25,E02000027,7358.0,0.5145419951073661,0.09051372655612938,0.42402826855123676,0.48545800489263385,0.07080728458820332,0.017803751019298722,0.03139440065235118,0.30701277521065506,0.058439793422125574
26,E02000028,4945.0,0.5785642062689585,0.09666329625884731,0.4819009100101112,0.42143579373104145,0.06147623862487361,0.013346814964610718,0.020020222446916078,0.276845298281092,0.04974721941354904
27,E02000029,6675.0,0.5429213483146067,0.11295880149812734,0.4299625468164794,0.45707865168539324,0.06981273408239701,0.01647940074906367,0.023370786516853932,0.2966292134831461,0.05078651685393258
