,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
103,2021,E02006820,2021 super output areas - middle layer,152,Less than 2km,439
104,2021,E02006820,2021 super output areas - middle layer,152,2km to less than 5km,758
105,2021,E02006820,2021 super output areas - middle layer,152,5km to less than 10km,896
106,2021,E02006820,2021 super output areas - middle layer,152,10km to less than 20km,337
107,2021,E02006820,2021 super output areas - middle layer,152,20km to less than 30km,129
108,2021,E02006820,2021 super output areas - middle layer,152,30km to less than 40km,128
109,2021,E02006820,2021 super output areas - middle layer,152,40km to less than 60km,60
110,2021,E02006820,2021 super output areas - middle layer,152,60km and over,50
111,2021,E02006820,2021 super output areas - middle layer,152,Works mainly from home,1530
112,2021,E02006820,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",797
113,2021,E02005345,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3147
114,2021,E02005345,2021 super output areas - middle layer,152,Less than 2km,326
115,2021,E02005345,2021 super output areas - middle layer,152,2km to less than 5km,615
116,2021,E02005345,2021 super output areas - middle layer,152,5km to less than 10km,224
117,2021,E02005345,2021 super output areas - middle layer,152,10km to less than 20km,409
118,2021,E02005345,2021 super output areas - middle layer,152,20km to less than 30km,155
119,2021,E02005345,2021 super output areas - middle layer,152,30km to less than 40km,39
120,2021,E02005345,2021 super output areas - middle layer,152,40km to less than 60km,31
121,2021,E02005345,2021 super output areas - middle layer,152,60km and over,26
122,2021,E02005345,2021 super output areas - middle layer,152,Works mainly from home,950
123,2021,E02005345,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",372
124,2021,E02005346,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,5848
125,2021,E02005346,2021 super output areas - middle layer,152,Less than 2km,1524
126,2021,E02005346,2021 super output areas - middle layer,152,2km to less than 5km,484
127,2021,E02005346,2021 super output areas - middle layer,152,5km to less than 10km,467
128,2021,E02005346,2021 super output areas - middle layer,152,10km to less than 20km,941
129,2021,E02005346,2021 super output areas - middle layer,152,20km to less than 30km,174
130,2021,E02005346,2021 super output areas - middle layer,152,30km to less than 40km,47
131,2021,E02005346,2021 super output areas - middle layer,152,40km to less than 60km,41
132,2021,E02005346,2021 super output areas - middle layer,152,60km and over,85
133,2021,E02005346,2021 super output areas - middle layer,152,Works mainly from home,1357
134,2021,E02005346,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",728
135,2021,E02005347,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3430
136,2021,E02005347,2021 super output areas - middle layer,152,Less than 2km,1030
137,2021,E02005347,2021 super output areas - middle layer,152,2km to less than 5km,211
138,2021,E02005347,2021 super output areas - middle layer,152,5km to less than 10km,199
139,2021,E02005347,2021 super output areas - middle layer,152,10km to less than 20km,419
140,2021,E02005347,2021 super output areas - middle layer,152,20km to less than 30km,105
141,2021,E02005347,2021 super output areas - middle layer,152,30km to less than 40km,26
142,2021,E02005347,2021 super output areas - middle layer,152,40km to less than 60km,28
143,2021,E02005347,2021 super output areas - middle layer,152,60km and over,146
