,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_CARS_5_NAME,OBS_VALUE
253,2021,E02003337,2021 super output areas - middle layer,152,2 cars or vans in household,858
254,2021,E02003337,2021 super output areas - middle layer,152,3 or more cars or vans in household,315
255,2021,E02003338,2021 super output areas - middle layer,152,Total: All households,3174
256,2021,E02003338,2021 super output areas - middle layer,152,No cars or vans in household,658
257,2021,E02003338,2021 super output areas - middle layer,152,1 car or van in household,1429
258,2021,E02003338,2021 super output areas - middle layer,152,2 cars or vans in household,824
259,2021,E02003338,2021 super output areas - middle layer,152,3 or more cars or vans in household,263
260,2021,E02003339,2021 super output areas - middle layer,152,Total: All households,2433
261,2021,E02003339,2021 super output areas - middle layer,152,No cars or vans in household,383
262,2021,E02003339,2021 super output areas - middle layer,152,1 car or van in household,950
263,2021,E02003339,2021 super output areas - middle layer,152,2 cars or vans in household,780
264,2021,E02003339,2021 super output areas - middle layer,152,3 or more cars or vans in household,320
265,2021,E02003340,2021 super output areas - middle layer,152,Total: All households,3218
266,2021,E02003340,2021 super output areas - middle layer,152,No cars or vans in household,689
267,2021,E02003340,2021 super output areas - middle layer,152,1 car or van in household,1272
268,2021,E02003340,2021 super output areas - middle layer,152,2 cars or vans in household,924
269,2021,E02003340,2021 super output areas - middle layer,152,3 or more cars or vans in household,333
270,2021,E02003341,2021 super output areas - middle layer,152,Total: All households,2661
271,2021,E02003341,2021 super output areas - middle layer,152,No cars or vans in household,253
272,2021,E02003341,2021 super output areas - middle layer,152,1 car or van in household,915
273,2021,E02003341,2021 super output areas - middle layer,152,2 cars or vans in household,1080
274,2021,E02003341,2021 super output areas - middle layer,152,3 or more cars or vans in household,413
275,2021,E02003342,2021 super output areas - middle layer,152,Total: All households,2574
276,2021,E02003342,2021 super output areas - middle layer,152,No cars or vans in household,380
277,2021,E02003342,2021 super output areas - middle layer,152,1 car or van in household,1005
278,2021,E02003342,2021 super output areas - middle layer,152,2 cars or vans in household,837
279,2021,E02003342,2021 super output areas - middle layer,152,3 or more cars or vans in household,352
280,2021,E02003343,2021 super output areas - middle layer,152,Total: All households,2376
281,2021,E02003343,2021 super output areas - middle layer,152,No cars or vans in household,229
282,2021,E02003343,2021 super output areas - middle layer,152,1 car or van in household,789
283,2021,E02003343,2021 super output areas - middle layer,152,2 cars or vans in household,913
284,2021,E02003343,2021 super output areas - middle layer,152,3 or more cars or vans in household,445
285,2021,E02003344,2021 super output areas - middle layer,152,Total: All households,2696
286,2021,E02003344,2021 super output areas - middle layer,152,No cars or vans in household,466
287,2021,E02003344,2021 super output areas - middle layer,152,1 car or van in household,1035
288,2021,E02003344,2021 super output areas - middle layer,152,2 cars or vans in household,838
289,2021,E02003344,2021 super output areas - middle layer,152,3 or more cars or vans in household,357
290,2021,E02003345,2021 super output areas - middle layer,152,Total: All households,2453
291,2021,E02003345,2021 super output areas - middle layer,152,No cars or vans in household,209
292,2021,E02003345,2021 super output areas - middle layer,152,1 car or van in household,946
293,2021,E02003345,2021 super output areas - middle layer,152,2 cars or vans in household,962
294,2021,E02003345,2021 super output areas - middle layer,152,3 or more cars or vans in household,336
295,2021,E02003346,2021 super output areas - middle layer,152,Total: All households,2875
296,2021,E02003346,2021 super output areas - middle layer,152,No cars or vans in household,440
297,2021,E02003346,2021 super output areas - middle layer,152,1 car or van in household,1118
298,2021,E02003346,2021 super output areas - middle layer,152,2 cars or vans in household,940
299,2021,E02003346,2021 super output areas - middle layer,152,3 or more cars or vans in household,377
300,2021,E02003347,2021 super output areas - middle layer,152,Total: All households,2436
301,2021,E02003347,2021 super output areas - middle layer,152,No cars or vans in household,223
302,2021,E02003347,2021 super output areas - middle layer,152,1 car or van in household,896
303,2021,E02003347,2021 super output areas - middle layer,152,2 cars or vans in household,968
304,2021,E02003347,2021 super output areas - middle layer,152,3 or more cars or vans in household,349
305,2021,E02003348,2021 super output areas - middle layer,152,Total: All households,3191
306,2021,E02003348,2021 super output areas - middle layer,152,No cars or vans in household,256
307,2021,E02003348,2021 super output areas - middle layer,152,1 car or van in household,1046
308,2021,E02003348,2021 super output areas - middle layer,152,2 cars or vans in household,1258
309,2021,E02003348,2021 super output areas - middle layer,152,3 or more cars or vans in household,631
310,2021,E02003349,2021 super output areas - middle layer,152,Total: All households,3068
311,2021,E02003349,2021 super output areas - middle layer,152,No cars or vans in household,383
312,2021,E02003349,2021 super output areas - middle layer,152,1 car or van in household,1244
313,2021,E02003349,2021 super output areas - middle layer,152,2 cars or vans in household,1047
314,2021,E02003349,2021 super output areas - middle layer,152,3 or more cars or vans in household,394
315,2021,E02003350,2021 super output areas - middle layer,152,Total: All households,2514
316,2021,E02003350,2021 super output areas - middle layer,152,No cars or vans in household,392
317,2021,E02003350,2021 super output areas - middle layer,152,1 car or van in household,932
318,2021,E02003350,2021 super output areas - middle layer,152,2 cars or vans in household,823
319,2021,E02003350,2021 super output areas - middle layer,152,3 or more cars or vans in household,367
320,2021,E02003351,2021 super output areas - middle layer,152,Total: All households,3166
321,2021,E02003351,2021 super output areas - middle layer,152,No cars or vans in household,363
322,2021,E02003351,2021 super output areas - middle layer,152,1 car or van in household,1256
323,2021,E02003351,2021 super output areas - middle layer,152,2 cars or vans in household,1107
324,2021,E02003351,2021 super output areas - middle layer,152,3 or more cars or vans in household,440
325,2021,E02003352,2021 super output areas - middle layer,152,Total: All households,2505
326,2021,E02003352,2021 super output areas - middle layer,152,No cars or vans in household,173
327,2021,E02003352,2021 super output areas - middle layer,152,1 car or van in household,919
328,2021,E02003352,2021 super output areas - middle layer,152,2 cars or vans in household,962
329,2021,E02003352,2021 super output areas - middle layer,152,3 or more cars or vans in household,451
330,2021,E02003353,2021 super output areas - middle layer,152,Total: All households,4936
331,2021,E02003353,2021 super output areas - middle layer,152,No cars or vans in household,294
332,2021,E02003353,2021 super output areas - middle layer,152,1 car or van in household,1724
333,2021,E02003353,2021 super output areas - middle layer,152,2 cars or vans in household,2260
334,2021,E02003353,2021 super output areas - middle layer,152,3 or more cars or vans in household,658
335,2021,E02003354,2021 super output areas - middle layer,152,Total: All households,4129
336,2021,E02003354,2021 super output areas - middle layer,152,No cars or vans in household,330
337,2021,E02003354,2021 super output areas - middle layer,152,1 car or van in household,1426
338,2021,E02003354,2021 super output areas - middle layer,152,2 cars or vans in household,1759
339,2021,E02003354,2021 super output areas - middle layer,152,3 or more cars or vans in household,614
340,2021,E02003355,2021 super output areas - middle layer,152,Total: All households,2879
341,2021,E02003355,2021 super output areas - middle layer,152,No cars or vans in household,513
342,2021,E02003355,2021 super output areas - middle layer,152,1 car or van in household,1183
343,2021,E02003355,2021 super output areas - middle layer,152,2 cars or vans in household,934
344,2021,E02003355,2021 super output areas - middle layer,152,3 or more cars or vans in household,249
345,2021,E02003356,2021 super output areas - middle layer,152,Total: All households,2850
346,2021,E02003356,2021 super output areas - middle layer,152,No cars or vans in household,173
347,2021,E02003356,2021 super output areas - middle layer,152,1 car or van in household,1044
348,2021,E02003356,2021 super output areas - middle layer,152,2 cars or vans in household,1205
349,2021,E02003356,2021 super output areas - middle layer,152,3 or more cars or vans in household,428
350,2021,E02003357,2021 super output areas - middle layer,152,Total: All households,4326
351,2021,E02003357,2021 super output areas - middle layer,152,No cars or vans in household,829
352,2021,E02003357,2021 super output areas - middle layer,152,1 car or van in household,1913
353,2021,E02003357,2021 super output areas - middle layer,152,2 cars or vans in household,1235
