,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGR_3_NAME,OBS_VALUE
267,2021,W02000095,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6258
268,2021,W02000095,2021 super output areas - middle layer,152,Cannot read Welsh,5773
269,2021,W02000095,2021 super output areas - middle layer,152,Can read Welsh,485
270,2021,W02000096,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6303
271,2021,W02000096,2021 super output areas - middle layer,152,Cannot read Welsh,5352
272,2021,W02000096,2021 super output areas - middle layer,152,Can read Welsh,951
273,2021,W02000424,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6550
274,2021,W02000424,2021 super output areas - middle layer,152,Cannot read Welsh,5891
275,2021,W02000424,2021 super output areas - middle layer,152,Can read Welsh,659
276,2021,W02000425,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8178
277,2021,W02000425,2021 super output areas - middle layer,152,Cannot read Welsh,7495
278,2021,W02000425,2021 super output areas - middle layer,152,Can read Welsh,683
279,2021,W02000426,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9649
280,2021,W02000426,2021 super output areas - middle layer,152,Cannot read Welsh,8600
281,2021,W02000426,2021 super output areas - middle layer,152,Can read Welsh,1049
282,2021,W02000116,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7195
283,2021,W02000116,2021 super output areas - middle layer,152,Cannot read Welsh,3862
284,2021,W02000116,2021 super output areas - middle layer,152,Can read Welsh,3333
285,2021,W02000117,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8883
286,2021,W02000117,2021 super output areas - middle layer,152,Cannot read Welsh,6624
287,2021,W02000117,2021 super output areas - middle layer,152,Can read Welsh,2259
288,2021,W02000118,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6286
289,2021,W02000118,2021 super output areas - middle layer,152,Cannot read Welsh,4330
290,2021,W02000118,2021 super output areas - middle layer,152,Can read Welsh,1956
291,2021,W02000120,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6904
292,2021,W02000120,2021 super output areas - middle layer,152,Cannot read Welsh,3538
293,2021,W02000120,2021 super output areas - middle layer,152,Can read Welsh,3366
294,2021,W02000122,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6176
295,2021,W02000122,2021 super output areas - middle layer,152,Cannot read Welsh,3548
296,2021,W02000122,2021 super output areas - middle layer,152,Can read Welsh,2628
