,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATID_71_NAME,OBS_VALUE
80,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian: Other South-East Asian,1
81,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Central Asian,0
82,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Asian not otherwise specified,0
83,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: American and Caribbean,5
84,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American,1
85,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American: Canadian,0
86,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American: US Citizen,1
87,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American: Other North American,0
88,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Central American,0
89,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: South American,3
90,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean,1
91,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean: Jamaican,0
92,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean: Other Caribbean,1
93,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian,1
94,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian,1
95,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian: Australian,1
96,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian: New Zealander,0
97,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian: Other Australasian,0
98,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Other Oceanian,0
99,2021,E02001337,2021 super output areas - middle layer,152,Other identity only: Other,5
