,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCCRAT_ROOMS_6_NAME,OBS_VALUE
126,2021,E02000163,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,56
127,2021,E02000163,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,9
128,2021,E02000165,2021 super output areas - middle layer,152,Total: All households,2741
129,2021,E02000165,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1479
130,2021,E02000165,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,718
131,2021,E02000165,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,437
132,2021,E02000165,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,93
133,2021,E02000165,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,14
134,2021,E02006782,2021 super output areas - middle layer,152,Total: All households,3196
135,2021,E02006782,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1690
136,2021,E02006782,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,702
137,2021,E02006782,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,602
138,2021,E02006782,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,156
139,2021,E02006782,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,46
140,2021,E02006787,2021 super output areas - middle layer,152,Total: All households,3089
141,2021,E02006787,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1803
142,2021,E02006787,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,643
143,2021,E02006787,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,505
144,2021,E02006787,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,117
145,2021,E02006787,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,21
146,2021,E02006789,2021 super output areas - middle layer,152,Total: All households,2789
147,2021,E02006789,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1657
148,2021,E02006789,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,621
149,2021,E02006789,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,403
150,2021,E02006789,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,90
151,2021,E02006789,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,18
152,2021,E02000166,2021 super output areas - middle layer,152,Total: All households,3396
153,2021,E02000166,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1150
154,2021,E02000166,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,659
155,2021,E02000166,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,1140
156,2021,E02000166,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,366
157,2021,E02000166,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,81
158,2021,E02000167,2021 super output areas - middle layer,152,Total: All households,3373
159,2021,E02000167,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1405
160,2021,E02000167,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,778
161,2021,E02000167,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,868
162,2021,E02000167,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,294
163,2021,E02000167,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,28
164,2021,E02000168,2021 super output areas - middle layer,152,Total: All households,3494
165,2021,E02000168,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,901
166,2021,E02000168,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,772
167,2021,E02000168,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,1232
168,2021,E02000168,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,526
169,2021,E02000168,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,63
170,2021,E02000169,2021 super output areas - middle layer,152,Total: All households,3026
171,2021,E02000169,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1233
172,2021,E02000169,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,769
173,2021,E02000169,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,719
174,2021,E02000169,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,266
175,2021,E02000169,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,39
176,2021,E02000170,2021 super output areas - middle layer,152,Total: All households,3465
177,2021,E02000170,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1104
178,2021,E02000170,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,764
179,2021,E02000170,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,954
180,2021,E02000170,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,560
181,2021,E02000170,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,83
182,2021,E02000171,2021 super output areas - middle layer,152,Total: All households,3330
183,2021,E02000171,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,834
184,2021,E02000171,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,842
185,2021,E02000171,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,1172
186,2021,E02000171,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,424
187,2021,E02000171,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,58
188,2021,E02000172,2021 super output areas - middle layer,152,Total: All households,4035
189,2021,E02000172,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,578
190,2021,E02000172,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,818
191,2021,E02000172,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,1647
192,2021,E02000172,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,788
193,2021,E02000172,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,204
194,2021,E02000173,2021 super output areas - middle layer,152,Total: All households,3501
195,2021,E02000173,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,846
196,2021,E02000173,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,820
197,2021,E02000173,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,1094
198,2021,E02000173,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,705
199,2021,E02000173,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,36
200,2021,E02000174,2021 super output areas - middle layer,152,Total: All households,3552
201,2021,E02000174,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,606
202,2021,E02000174,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,717
203,2021,E02000174,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,1410
204,2021,E02000174,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,679
205,2021,E02000174,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,140
