,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_SEX_20_NAME,OBS_VALUE
124,2021,E02002491,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,5
125,2021,E02002491,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,6
126,2021,E02002491,2021 super output areas - middle layer,152,Resident:Female,36
127,2021,E02002491,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
128,2021,E02002491,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
129,2021,E02002491,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,0
130,2021,E02002491,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
131,2021,E02002491,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,0
132,2021,E02002491,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,1
133,2021,E02002491,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,14
134,2021,E02002491,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,21
135,2021,E02002491,2021 super output areas - middle layer,152,Staff or owner,0
136,2021,E02002491,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
137,2021,E02002491,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
138,2021,E02002492,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,98
139,2021,E02002492,2021 super output areas - middle layer,152,Resident,98
140,2021,E02002492,2021 super output areas - middle layer,152,Resident:Male,31
141,2021,E02002492,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,1
142,2021,E02002492,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,1
143,2021,E02002492,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
144,2021,E02002492,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
145,2021,E02002492,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,0
146,2021,E02002492,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,6
147,2021,E02002492,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,10
148,2021,E02002492,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,13
149,2021,E02002492,2021 super output areas - middle layer,152,Resident:Female,67
150,2021,E02002492,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,2
151,2021,E02002492,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
152,2021,E02002492,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,0
153,2021,E02002492,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
154,2021,E02002492,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,3
155,2021,E02002492,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,6
156,2021,E02002492,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,19
157,2021,E02002492,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,37
