,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ROOMS_10_NAME,OBS_VALUE
116,2021,E02000968,2021 super output areas - middle layer,152,6 rooms,47
117,2021,E02000968,2021 super output areas - middle layer,152,7 rooms,25
118,2021,E02000968,2021 super output areas - middle layer,152,8 rooms,5
119,2021,E02000968,2021 super output areas - middle layer,152,9 or more rooms,21
120,2021,E02000969,2021 super output areas - middle layer,152,Total: All households,3716
121,2021,E02000969,2021 super output areas - middle layer,152,1 room,245
122,2021,E02000969,2021 super output areas - middle layer,152,2 rooms,991
123,2021,E02000969,2021 super output areas - middle layer,152,3 rooms,1446
124,2021,E02000969,2021 super output areas - middle layer,152,4 rooms,815
125,2021,E02000969,2021 super output areas - middle layer,152,5 rooms,152
126,2021,E02000969,2021 super output areas - middle layer,152,6 rooms,28
127,2021,E02000969,2021 super output areas - middle layer,152,7 rooms,11
128,2021,E02000969,2021 super output areas - middle layer,152,8 rooms,5
129,2021,E02000969,2021 super output areas - middle layer,152,9 or more rooms,23
130,2021,E02000970,2021 super output areas - middle layer,152,Total: All households,3553
131,2021,E02000970,2021 super output areas - middle layer,152,1 room,238
132,2021,E02000970,2021 super output areas - middle layer,152,2 rooms,846
133,2021,E02000970,2021 super output areas - middle layer,152,3 rooms,1102
134,2021,E02000970,2021 super output areas - middle layer,152,4 rooms,610
135,2021,E02000970,2021 super output areas - middle layer,152,5 rooms,297
136,2021,E02000970,2021 super output areas - middle layer,152,6 rooms,180
137,2021,E02000970,2021 super output areas - middle layer,152,7 rooms,87
138,2021,E02000970,2021 super output areas - middle layer,152,8 rooms,56
139,2021,E02000970,2021 super output areas - middle layer,152,9 or more rooms,137
140,2021,E02000971,2021 super output areas - middle layer,152,Total: All households,3722
141,2021,E02000971,2021 super output areas - middle layer,152,1 room,406
142,2021,E02000971,2021 super output areas - middle layer,152,2 rooms,909
143,2021,E02000971,2021 super output areas - middle layer,152,3 rooms,1076
144,2021,E02000971,2021 super output areas - middle layer,152,4 rooms,595
145,2021,E02000971,2021 super output areas - middle layer,152,5 rooms,344
146,2021,E02000971,2021 super output areas - middle layer,152,6 rooms,228
147,2021,E02000971,2021 super output areas - middle layer,152,7 rooms,73
148,2021,E02000971,2021 super output areas - middle layer,152,8 rooms,30
149,2021,E02000971,2021 super output areas - middle layer,152,9 or more rooms,61
150,2021,E02000972,2021 super output areas - middle layer,152,Total: All households,4253
151,2021,E02000972,2021 super output areas - middle layer,152,1 room,515
152,2021,E02000972,2021 super output areas - middle layer,152,2 rooms,1556
153,2021,E02000972,2021 super output areas - middle layer,152,3 rooms,1289
154,2021,E02000972,2021 super output areas - middle layer,152,4 rooms,611
155,2021,E02000972,2021 super output areas - middle layer,152,5 rooms,139
156,2021,E02000972,2021 super output areas - middle layer,152,6 rooms,76
157,2021,E02000972,2021 super output areas - middle layer,152,7 rooms,28
158,2021,E02000972,2021 super output areas - middle layer,152,8 rooms,9
159,2021,E02000972,2021 super output areas - middle layer,152,9 or more rooms,30
160,2021,E02000973,2021 super output areas - middle layer,152,Total: All households,4796
161,2021,E02000973,2021 super output areas - middle layer,152,1 room,582
162,2021,E02000973,2021 super output areas - middle layer,152,2 rooms,1650
163,2021,E02000973,2021 super output areas - middle layer,152,3 rooms,1239
164,2021,E02000973,2021 super output areas - middle layer,152,4 rooms,625
165,2021,E02000973,2021 super output areas - middle layer,152,5 rooms,215
166,2021,E02000973,2021 super output areas - middle layer,152,6 rooms,150
167,2021,E02000973,2021 super output areas - middle layer,152,7 rooms,110
168,2021,E02000973,2021 super output areas - middle layer,152,8 rooms,86
169,2021,E02000973,2021 super output areas - middle layer,152,9 or more rooms,139
170,2021,E02000974,2021 super output areas - middle layer,152,Total: All households,3980
171,2021,E02000974,2021 super output areas - middle layer,152,1 room,417
172,2021,E02000974,2021 super output areas - middle layer,152,2 rooms,1076
173,2021,E02000974,2021 super output areas - middle layer,152,3 rooms,1218
174,2021,E02000974,2021 super output areas - middle layer,152,4 rooms,575
175,2021,E02000974,2021 super output areas - middle layer,152,5 rooms,293
176,2021,E02000974,2021 super output areas - middle layer,152,6 rooms,134
177,2021,E02000974,2021 super output areas - middle layer,152,7 rooms,74
178,2021,E02000974,2021 super output areas - middle layer,152,8 rooms,87
179,2021,E02000974,2021 super output areas - middle layer,152,9 or more rooms,106
180,2021,E02000975,2021 super output areas - middle layer,152,Total: All households,3805
181,2021,E02000975,2021 super output areas - middle layer,152,1 room,597
182,2021,E02000975,2021 super output areas - middle layer,152,2 rooms,1110
183,2021,E02000975,2021 super output areas - middle layer,152,3 rooms,1156
184,2021,E02000975,2021 super output areas - middle layer,152,4 rooms,552
185,2021,E02000975,2021 super output areas - middle layer,152,5 rooms,237
186,2021,E02000975,2021 super output areas - middle layer,152,6 rooms,87
187,2021,E02000975,2021 super output areas - middle layer,152,7 rooms,32
188,2021,E02000975,2021 super output areas - middle layer,152,8 rooms,14
189,2021,E02000975,2021 super output areas - middle layer,152,9 or more rooms,20
190,2021,E02000976,2021 super output areas - middle layer,152,Total: All households,4210
191,2021,E02000976,2021 super output areas - middle layer,152,1 room,654
192,2021,E02000976,2021 super output areas - middle layer,152,2 rooms,1113
193,2021,E02000976,2021 super output areas - middle layer,152,3 rooms,1350
194,2021,E02000976,2021 super output areas - middle layer,152,4 rooms,596
195,2021,E02000976,2021 super output areas - middle layer,152,5 rooms,229
196,2021,E02000976,2021 super output areas - middle layer,152,6 rooms,123
197,2021,E02000976,2021 super output areas - middle layer,152,7 rooms,50
198,2021,E02000976,2021 super output areas - middle layer,152,8 rooms,34
199,2021,E02000976,2021 super output areas - middle layer,152,9 or more rooms,61
200,2021,E02000977,2021 super output areas - middle layer,152,Total: All households,3433
201,2021,E02000977,2021 super output areas - middle layer,152,1 room,315
202,2021,E02000977,2021 super output areas - middle layer,152,2 rooms,1188
203,2021,E02000977,2021 super output areas - middle layer,152,3 rooms,1041
