,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEATING_13_NAME,OBS_VALUE
114,2021,E02002446,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),188
115,2021,E02002446,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),9
116,2021,E02002447,2021 super output areas - middle layer,152,Total: All households,2733
117,2021,E02002447,2021 super output areas - middle layer,152,No central heating,24
118,2021,E02002447,2021 super output areas - middle layer,152,Mains gas only,2202
119,2021,E02002447,2021 super output areas - middle layer,152,Tank or bottled gas only,12
120,2021,E02002447,2021 super output areas - middle layer,152,Electric only,145
121,2021,E02002447,2021 super output areas - middle layer,152,Oil only,6
122,2021,E02002447,2021 super output areas - middle layer,152,Wood only,0
123,2021,E02002447,2021 super output areas - middle layer,152,Solid fuel only,26
124,2021,E02002447,2021 super output areas - middle layer,152,Renewable energy only,6
125,2021,E02002447,2021 super output areas - middle layer,152,District or communal heat networks only,28
126,2021,E02002447,2021 super output areas - middle layer,152,Other central heating only,25
127,2021,E02002447,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),249
128,2021,E02002447,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),10
129,2021,E02002448,2021 super output areas - middle layer,152,Total: All households,3601
130,2021,E02002448,2021 super output areas - middle layer,152,No central heating,38
131,2021,E02002448,2021 super output areas - middle layer,152,Mains gas only,2967
132,2021,E02002448,2021 super output areas - middle layer,152,Tank or bottled gas only,12
133,2021,E02002448,2021 super output areas - middle layer,152,Electric only,141
134,2021,E02002448,2021 super output areas - middle layer,152,Oil only,6
135,2021,E02002448,2021 super output areas - middle layer,152,Wood only,2
136,2021,E02002448,2021 super output areas - middle layer,152,Solid fuel only,38
137,2021,E02002448,2021 super output areas - middle layer,152,Renewable energy only,5
138,2021,E02002448,2021 super output areas - middle layer,152,District or communal heat networks only,7
139,2021,E02002448,2021 super output areas - middle layer,152,Other central heating only,37
140,2021,E02002448,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),327
141,2021,E02002448,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),21
142,2021,E02002449,2021 super output areas - middle layer,152,Total: All households,4070
143,2021,E02002449,2021 super output areas - middle layer,152,No central heating,15
144,2021,E02002449,2021 super output areas - middle layer,152,Mains gas only,3517
145,2021,E02002449,2021 super output areas - middle layer,152,Tank or bottled gas only,10
146,2021,E02002449,2021 super output areas - middle layer,152,Electric only,119
147,2021,E02002449,2021 super output areas - middle layer,152,Oil only,10
148,2021,E02002449,2021 super output areas - middle layer,152,Wood only,2
149,2021,E02002449,2021 super output areas - middle layer,152,Solid fuel only,27
150,2021,E02002449,2021 super output areas - middle layer,152,Renewable energy only,7
151,2021,E02002449,2021 super output areas - middle layer,152,District or communal heat networks only,1
152,2021,E02002449,2021 super output areas - middle layer,152,Other central heating only,13
153,2021,E02002449,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),312
154,2021,E02002449,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),37
155,2021,E02002450,2021 super output areas - middle layer,152,Total: All households,3338
156,2021,E02002450,2021 super output areas - middle layer,152,No central heating,16
157,2021,E02002450,2021 super output areas - middle layer,152,Mains gas only,2766
158,2021,E02002450,2021 super output areas - middle layer,152,Tank or bottled gas only,13
159,2021,E02002450,2021 super output areas - middle layer,152,Electric only,156
160,2021,E02002450,2021 super output areas - middle layer,152,Oil only,1
161,2021,E02002450,2021 super output areas - middle layer,152,Wood only,1
162,2021,E02002450,2021 super output areas - middle layer,152,Solid fuel only,17
163,2021,E02002450,2021 super output areas - middle layer,152,Renewable energy only,20
164,2021,E02002450,2021 super output areas - middle layer,152,District or communal heat networks only,18
165,2021,E02002450,2021 super output areas - middle layer,152,Other central heating only,24
166,2021,E02002450,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),290
167,2021,E02002450,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),16
168,2021,E02002451,2021 super output areas - middle layer,152,Total: All households,3463
169,2021,E02002451,2021 super output areas - middle layer,152,No central heating,31
170,2021,E02002451,2021 super output areas - middle layer,152,Mains gas only,2986
171,2021,E02002451,2021 super output areas - middle layer,152,Tank or bottled gas only,7
172,2021,E02002451,2021 super output areas - middle layer,152,Electric only,152
173,2021,E02002451,2021 super output areas - middle layer,152,Oil only,11
174,2021,E02002451,2021 super output areas - middle layer,152,Wood only,2
175,2021,E02002451,2021 super output areas - middle layer,152,Solid fuel only,1
176,2021,E02002451,2021 super output areas - middle layer,152,Renewable energy only,4
177,2021,E02002451,2021 super output areas - middle layer,152,District or communal heat networks only,0
178,2021,E02002451,2021 super output areas - middle layer,152,Other central heating only,14
179,2021,E02002451,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),237
180,2021,E02002451,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),18
181,2021,E02002452,2021 super output areas - middle layer,152,Total: All households,4291
182,2021,E02002452,2021 super output areas - middle layer,152,No central heating,43
183,2021,E02002452,2021 super output areas - middle layer,152,Mains gas only,3081
184,2021,E02002452,2021 super output areas - middle layer,152,Tank or bottled gas only,16
185,2021,E02002452,2021 super output areas - middle layer,152,Electric only,485
186,2021,E02002452,2021 super output areas - middle layer,152,Oil only,7
187,2021,E02002452,2021 super output areas - middle layer,152,Wood only,1
188,2021,E02002452,2021 super output areas - middle layer,152,Solid fuel only,14
189,2021,E02002452,2021 super output areas - middle layer,152,Renewable energy only,13
190,2021,E02002452,2021 super output areas - middle layer,152,District or communal heat networks only,208
191,2021,E02002452,2021 super output areas - middle layer,152,Other central heating only,44
192,2021,E02002452,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),362
193,2021,E02002452,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),17
194,2021,E02002453,2021 super output areas - middle layer,152,Total: All households,4295
195,2021,E02002453,2021 super output areas - middle layer,152,No central heating,45
196,2021,E02002453,2021 super output areas - middle layer,152,Mains gas only,3358
197,2021,E02002453,2021 super output areas - middle layer,152,Tank or bottled gas only,20
198,2021,E02002453,2021 super output areas - middle layer,152,Electric only,219
199,2021,E02002453,2021 super output areas - middle layer,152,Oil only,2
200,2021,E02002453,2021 super output areas - middle layer,152,Wood only,1
201,2021,E02002453,2021 super output areas - middle layer,152,Solid fuel only,28
202,2021,E02002453,2021 super output areas - middle layer,152,Renewable energy only,8
203,2021,E02002453,2021 super output areas - middle layer,152,District or communal heat networks only,174
204,2021,E02002453,2021 super output areas - middle layer,152,Other central heating only,46
205,2021,E02002453,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),385
206,2021,E02002453,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),9
207,2021,E02002454,2021 super output areas - middle layer,152,Total: All households,4004
208,2021,E02002454,2021 super output areas - middle layer,152,No central heating,94
209,2021,E02002454,2021 super output areas - middle layer,152,Mains gas only,2336
210,2021,E02002454,2021 super output areas - middle layer,152,Tank or bottled gas only,13
211,2021,E02002454,2021 super output areas - middle layer,152,Electric only,1161
212,2021,E02002454,2021 super output areas - middle layer,152,Oil only,6
213,2021,E02002454,2021 super output areas - middle layer,152,Wood only,0
214,2021,E02002454,2021 super output areas - middle layer,152,Solid fuel only,7
