,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_BEDROOMS_5_NAME,OBS_VALUE
202,2021,E02002526,2021 super output areas - middle layer,152,2 bedrooms,1111
203,2021,E02002526,2021 super output areas - middle layer,152,3 bedrooms,1367
204,2021,E02002526,2021 super output areas - middle layer,152,4 or more bedrooms,785
205,2021,E02002527,2021 super output areas - middle layer,152,Total: All households,2224
206,2021,E02002527,2021 super output areas - middle layer,152,1 bedroom,103
207,2021,E02002527,2021 super output areas - middle layer,152,2 bedrooms,756
208,2021,E02002527,2021 super output areas - middle layer,152,3 bedrooms,1109
209,2021,E02002527,2021 super output areas - middle layer,152,4 or more bedrooms,256
210,2021,E02002529,2021 super output areas - middle layer,152,Total: All households,2614
211,2021,E02002529,2021 super output areas - middle layer,152,1 bedroom,291
212,2021,E02002529,2021 super output areas - middle layer,152,2 bedrooms,632
213,2021,E02002529,2021 super output areas - middle layer,152,3 bedrooms,1269
214,2021,E02002529,2021 super output areas - middle layer,152,4 or more bedrooms,422
215,2021,E02002530,2021 super output areas - middle layer,152,Total: All households,2882
216,2021,E02002530,2021 super output areas - middle layer,152,1 bedroom,109
217,2021,E02002530,2021 super output areas - middle layer,152,2 bedrooms,984
218,2021,E02002530,2021 super output areas - middle layer,152,3 bedrooms,1362
219,2021,E02002530,2021 super output areas - middle layer,152,4 or more bedrooms,427
220,2021,E02002532,2021 super output areas - middle layer,152,Total: All households,3230
221,2021,E02002532,2021 super output areas - middle layer,152,1 bedroom,495
222,2021,E02002532,2021 super output areas - middle layer,152,2 bedrooms,902
223,2021,E02002532,2021 super output areas - middle layer,152,3 bedrooms,1354
224,2021,E02002532,2021 super output areas - middle layer,152,4 or more bedrooms,479
225,2021,E02002533,2021 super output areas - middle layer,152,Total: All households,2850
226,2021,E02002533,2021 super output areas - middle layer,152,1 bedroom,38
227,2021,E02002533,2021 super output areas - middle layer,152,2 bedrooms,515
228,2021,E02002533,2021 super output areas - middle layer,152,3 bedrooms,1337
229,2021,E02002533,2021 super output areas - middle layer,152,4 or more bedrooms,960
230,2021,E02002534,2021 super output areas - middle layer,152,Total: All households,2498
231,2021,E02002534,2021 super output areas - middle layer,152,1 bedroom,30
232,2021,E02002534,2021 super output areas - middle layer,152,2 bedrooms,364
233,2021,E02002534,2021 super output areas - middle layer,152,3 bedrooms,1223
234,2021,E02002534,2021 super output areas - middle layer,152,4 or more bedrooms,881
235,2021,E02006812,2021 super output areas - middle layer,152,Total: All households,3449
236,2021,E02006812,2021 super output areas - middle layer,152,1 bedroom,324
237,2021,E02006812,2021 super output areas - middle layer,152,2 bedrooms,831
238,2021,E02006812,2021 super output areas - middle layer,152,3 bedrooms,1733
239,2021,E02006812,2021 super output areas - middle layer,152,4 or more bedrooms,561
240,2021,E02006910,2021 super output areas - middle layer,152,Total: All households,4584
241,2021,E02006910,2021 super output areas - middle layer,152,1 bedroom,327
242,2021,E02006910,2021 super output areas - middle layer,152,2 bedrooms,959
243,2021,E02006910,2021 super output areas - middle layer,152,3 bedrooms,2757
244,2021,E02006910,2021 super output areas - middle layer,152,4 or more bedrooms,541
245,2021,E02002535,2021 super output areas - middle layer,152,Total: All households,4040
246,2021,E02002535,2021 super output areas - middle layer,152,1 bedroom,172
247,2021,E02002535,2021 super output areas - middle layer,152,2 bedrooms,778
248,2021,E02002535,2021 super output areas - middle layer,152,3 bedrooms,1964
249,2021,E02002535,2021 super output areas - middle layer,152,4 or more bedrooms,1126
250,2021,E02002536,2021 super output areas - middle layer,152,Total: All households,4258
251,2021,E02002536,2021 super output areas - middle layer,152,1 bedroom,237
252,2021,E02002536,2021 super output areas - middle layer,152,2 bedrooms,1081
253,2021,E02002536,2021 super output areas - middle layer,152,3 bedrooms,2550
254,2021,E02002536,2021 super output areas - middle layer,152,4 or more bedrooms,390
255,2021,E02002537,2021 super output areas - middle layer,152,Total: All households,3602
256,2021,E02002537,2021 super output areas - middle layer,152,1 bedroom,141
257,2021,E02002537,2021 super output areas - middle layer,152,2 bedrooms,599
258,2021,E02002537,2021 super output areas - middle layer,152,3 bedrooms,2657
259,2021,E02002537,2021 super output areas - middle layer,152,4 or more bedrooms,205
260,2021,E02002538,2021 super output areas - middle layer,152,Total: All households,2449
261,2021,E02002538,2021 super output areas - middle layer,152,1 bedroom,227
262,2021,E02002538,2021 super output areas - middle layer,152,2 bedrooms,378
263,2021,E02002538,2021 super output areas - middle layer,152,3 bedrooms,1636
264,2021,E02002538,2021 super output areas - middle layer,152,4 or more bedrooms,208
265,2021,E02002539,2021 super output areas - middle layer,152,Total: All households,4300
266,2021,E02002539,2021 super output areas - middle layer,152,1 bedroom,65
267,2021,E02002539,2021 super output areas - middle layer,152,2 bedrooms,597
268,2021,E02002539,2021 super output areas - middle layer,152,3 bedrooms,1477
269,2021,E02002539,2021 super output areas - middle layer,152,4 or more bedrooms,2161
270,2021,E02002540,2021 super output areas - middle layer,152,Total: All households,2827
271,2021,E02002540,2021 super output areas - middle layer,152,1 bedroom,174
272,2021,E02002540,2021 super output areas - middle layer,152,2 bedrooms,721
273,2021,E02002540,2021 super output areas - middle layer,152,3 bedrooms,1142
274,2021,E02002540,2021 super output areas - middle layer,152,4 or more bedrooms,790
275,2021,E02002541,2021 super output areas - middle layer,152,Total: All households,2875
276,2021,E02002541,2021 super output areas - middle layer,152,1 bedroom,190
277,2021,E02002541,2021 super output areas - middle layer,152,2 bedrooms,859
278,2021,E02002541,2021 super output areas - middle layer,152,3 bedrooms,1544
279,2021,E02002541,2021 super output areas - middle layer,152,4 or more bedrooms,282
280,2021,E02002542,2021 super output areas - middle layer,152,Total: All households,3367
281,2021,E02002542,2021 super output areas - middle layer,152,1 bedroom,271
282,2021,E02002542,2021 super output areas - middle layer,152,2 bedrooms,799
283,2021,E02002542,2021 super output areas - middle layer,152,3 bedrooms,2066
284,2021,E02002542,2021 super output areas - middle layer,152,4 or more bedrooms,231
285,2021,E02002543,2021 super output areas - middle layer,152,Total: All households,3858
286,2021,E02002543,2021 super output areas - middle layer,152,1 bedroom,417
287,2021,E02002543,2021 super output areas - middle layer,152,2 bedrooms,917
288,2021,E02002543,2021 super output areas - middle layer,152,3 bedrooms,1956
289,2021,E02002543,2021 super output areas - middle layer,152,4 or more bedrooms,568
290,2021,E02002544,2021 super output areas - middle layer,152,Total: All households,3569
291,2021,E02002544,2021 super output areas - middle layer,152,1 bedroom,376
292,2021,E02002544,2021 super output areas - middle layer,152,2 bedrooms,1145
293,2021,E02002544,2021 super output areas - middle layer,152,3 bedrooms,1773
294,2021,E02002544,2021 super output areas - middle layer,152,4 or more bedrooms,275
295,2021,E02002545,2021 super output areas - middle layer,152,Total: All households,2266
296,2021,E02002545,2021 super output areas - middle layer,152,1 bedroom,106
297,2021,E02002545,2021 super output areas - middle layer,152,2 bedrooms,429
298,2021,E02002545,2021 super output areas - middle layer,152,3 bedrooms,1394
299,2021,E02002545,2021 super output areas - middle layer,152,4 or more bedrooms,337
300,2021,E02002546,2021 super output areas - middle layer,152,Total: All households,3059
301,2021,E02002546,2021 super output areas - middle layer,152,1 bedroom,253
302,2021,E02002546,2021 super output areas - middle layer,152,2 bedrooms,838
303,2021,E02002546,2021 super output areas - middle layer,152,3 bedrooms,1657
304,2021,E02002546,2021 super output areas - middle layer,152,4 or more bedrooms,311
305,2021,E02002547,2021 super output areas - middle layer,152,Total: All households,2765
306,2021,E02002547,2021 super output areas - middle layer,152,1 bedroom,194
307,2021,E02002547,2021 super output areas - middle layer,152,2 bedrooms,629
308,2021,E02002547,2021 super output areas - middle layer,152,3 bedrooms,1262
309,2021,E02002547,2021 super output areas - middle layer,152,4 or more bedrooms,680
310,2021,E02002549,2021 super output areas - middle layer,152,Total: All households,3311
311,2021,E02002549,2021 super output areas - middle layer,152,1 bedroom,148
312,2021,E02002549,2021 super output areas - middle layer,152,2 bedrooms,676
313,2021,E02002549,2021 super output areas - middle layer,152,3 bedrooms,1869
314,2021,E02002549,2021 super output areas - middle layer,152,4 or more bedrooms,618
315,2021,E02002550,2021 super output areas - middle layer,152,Total: All households,2582
316,2021,E02002550,2021 super output areas - middle layer,152,1 bedroom,195
317,2021,E02002550,2021 super output areas - middle layer,152,2 bedrooms,567
318,2021,E02002550,2021 super output areas - middle layer,152,3 bedrooms,1217
