,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ETH_20_NAME,OBS_VALUE
115,2021,E02006426,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,30
116,2021,E02006426,2021 super output areas - middle layer,152,White,5006
117,2021,E02006426,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",4670
118,2021,E02006426,2021 super output areas - middle layer,152,White: Irish,51
119,2021,E02006426,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,14
120,2021,E02006426,2021 super output areas - middle layer,152,White: Roma,6
121,2021,E02006426,2021 super output areas - middle layer,152,White: Other White,265
122,2021,E02006426,2021 super output areas - middle layer,152,Other ethnic group,71
123,2021,E02006426,2021 super output areas - middle layer,152,Other ethnic group: Arab,4
124,2021,E02006426,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,67
125,2021,E02006427,2021 super output areas - middle layer,152,Total: All usual residents,7226
126,2021,E02006427,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",395
127,2021,E02006427,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",10
128,2021,E02006427,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",36
129,2021,E02006427,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",118
130,2021,E02006427,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",48
131,2021,E02006427,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",183
132,2021,E02006427,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",138
133,2021,E02006427,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",81
134,2021,E02006427,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",27
135,2021,E02006427,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",30
136,2021,E02006427,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,169
137,2021,E02006427,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,61
138,2021,E02006427,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,21
139,2021,E02006427,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,41
140,2021,E02006427,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,46
141,2021,E02006427,2021 super output areas - middle layer,152,White,6440
142,2021,E02006427,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",6026
143,2021,E02006427,2021 super output areas - middle layer,152,White: Irish,57
144,2021,E02006427,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,12
145,2021,E02006427,2021 super output areas - middle layer,152,White: Roma,2
146,2021,E02006427,2021 super output areas - middle layer,152,White: Other White,343
147,2021,E02006427,2021 super output areas - middle layer,152,Other ethnic group,84
148,2021,E02006427,2021 super output areas - middle layer,152,Other ethnic group: Arab,16
149,2021,E02006427,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,68
150,2021,E02006429,2021 super output areas - middle layer,152,Total: All usual residents,8213
151,2021,E02006429,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",578
152,2021,E02006429,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",36
153,2021,E02006429,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",54
154,2021,E02006429,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",263
155,2021,E02006429,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",96
156,2021,E02006429,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",129
157,2021,E02006429,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",396
158,2021,E02006429,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",179
159,2021,E02006429,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",171
160,2021,E02006429,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",46
161,2021,E02006429,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,510
162,2021,E02006429,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,155
163,2021,E02006429,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,60
164,2021,E02006429,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,163
165,2021,E02006429,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,132
166,2021,E02006429,2021 super output areas - middle layer,152,White,6640
167,2021,E02006429,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",6073
168,2021,E02006429,2021 super output areas - middle layer,152,White: Irish,101
169,2021,E02006429,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,4
170,2021,E02006429,2021 super output areas - middle layer,152,White: Roma,0
171,2021,E02006429,2021 super output areas - middle layer,152,White: Other White,462
172,2021,E02006429,2021 super output areas - middle layer,152,Other ethnic group,89
173,2021,E02006429,2021 super output areas - middle layer,152,Other ethnic group: Arab,13
174,2021,E02006429,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,76
175,2021,E02006430,2021 super output areas - middle layer,152,Total: All usual residents,9519
176,2021,E02006430,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",591
177,2021,E02006430,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",31
178,2021,E02006430,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",65
179,2021,E02006430,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",310
180,2021,E02006430,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",35
181,2021,E02006430,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",150
182,2021,E02006430,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",372
183,2021,E02006430,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",153
184,2021,E02006430,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",163
185,2021,E02006430,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",56
186,2021,E02006430,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,474
187,2021,E02006430,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,142
188,2021,E02006430,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,49
189,2021,E02006430,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,164
190,2021,E02006430,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,119
191,2021,E02006430,2021 super output areas - middle layer,152,White,7939
192,2021,E02006430,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",7487
193,2021,E02006430,2021 super output areas - middle layer,152,White: Irish,86
194,2021,E02006430,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,3
195,2021,E02006430,2021 super output areas - middle layer,152,White: Roma,16
196,2021,E02006430,2021 super output areas - middle layer,152,White: Other White,347
197,2021,E02006430,2021 super output areas - middle layer,152,Other ethnic group,143
198,2021,E02006430,2021 super output areas - middle layer,152,Other ethnic group: Arab,19
199,2021,E02006430,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,124
200,2021,E02006431,2021 super output areas - middle layer,152,Total: All usual residents,11571
201,2021,E02006431,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",750
202,2021,E02006431,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",41
203,2021,E02006431,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",184
204,2021,E02006431,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",245
205,2021,E02006431,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",45
206,2021,E02006431,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",235
207,2021,E02006431,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",498
208,2021,E02006431,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",257
209,2021,E02006431,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",184
210,2021,E02006431,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",57
211,2021,E02006431,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,664
212,2021,E02006431,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,199
213,2021,E02006431,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,74
214,2021,E02006431,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,168
215,2021,E02006431,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,223
216,2021,E02006431,2021 super output areas - middle layer,152,White,9521
217,2021,E02006431,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",8580
218,2021,E02006431,2021 super output areas - middle layer,152,White: Irish,154
219,2021,E02006431,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,10
220,2021,E02006431,2021 super output areas - middle layer,152,White: Roma,12
221,2021,E02006431,2021 super output areas - middle layer,152,White: Other White,765
222,2021,E02006431,2021 super output areas - middle layer,152,Other ethnic group,138
223,2021,E02006431,2021 super output areas - middle layer,152,Other ethnic group: Arab,19
224,2021,E02006431,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,119
225,2021,E02006432,2021 super output areas - middle layer,152,Total: All usual residents,5671
226,2021,E02006432,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",232
227,2021,E02006432,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",14
228,2021,E02006432,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",33
229,2021,E02006432,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",95
230,2021,E02006432,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",17
231,2021,E02006432,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",73
232,2021,E02006432,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",103
233,2021,E02006432,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",48
234,2021,E02006432,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",43
235,2021,E02006432,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",12
236,2021,E02006432,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,206
237,2021,E02006432,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,80
238,2021,E02006432,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,19
239,2021,E02006432,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,49
240,2021,E02006432,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,58
241,2021,E02006432,2021 super output areas - middle layer,152,White,5060
242,2021,E02006432,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",4753
243,2021,E02006432,2021 super output areas - middle layer,152,White: Irish,100
244,2021,E02006432,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,0
245,2021,E02006432,2021 super output areas - middle layer,152,White: Roma,0
246,2021,E02006432,2021 super output areas - middle layer,152,White: Other White,207
247,2021,E02006432,2021 super output areas - middle layer,152,Other ethnic group,70
248,2021,E02006432,2021 super output areas - middle layer,152,Other ethnic group: Arab,0
249,2021,E02006432,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,70
250,2021,E02006433,2021 super output areas - middle layer,152,Total: All usual residents,9491
251,2021,E02006433,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",163
252,2021,E02006433,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",12
253,2021,E02006433,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",20
254,2021,E02006433,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",61
255,2021,E02006433,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",4
256,2021,E02006433,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",66
257,2021,E02006433,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",81
258,2021,E02006433,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",46
259,2021,E02006433,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",24
260,2021,E02006433,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",11
261,2021,E02006433,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,223
262,2021,E02006433,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,108
263,2021,E02006433,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,23
264,2021,E02006433,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,33
265,2021,E02006433,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,59
266,2021,E02006433,2021 super output areas - middle layer,152,White,8980
267,2021,E02006433,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",8374
268,2021,E02006433,2021 super output areas - middle layer,152,White: Irish,105
269,2021,E02006433,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,17
270,2021,E02006433,2021 super output areas - middle layer,152,White: Roma,5
271,2021,E02006433,2021 super output areas - middle layer,152,White: Other White,479
272,2021,E02006433,2021 super output areas - middle layer,152,Other ethnic group,44
273,2021,E02006433,2021 super output areas - middle layer,152,Other ethnic group: Arab,3
274,2021,E02006433,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,41
275,2021,E02006434,2021 super output areas - middle layer,152,Total: All usual residents,6628
276,2021,E02006434,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",100
277,2021,E02006434,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",6
278,2021,E02006434,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",16
279,2021,E02006434,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",26
280,2021,E02006434,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",22
281,2021,E02006434,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",30
282,2021,E02006434,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",48
283,2021,E02006434,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",20
284,2021,E02006434,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",18
285,2021,E02006434,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10
286,2021,E02006434,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,189
287,2021,E02006434,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,79
288,2021,E02006434,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,15
289,2021,E02006434,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,61
290,2021,E02006434,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,34
291,2021,E02006434,2021 super output areas - middle layer,152,White,6244
292,2021,E02006434,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",5895
293,2021,E02006434,2021 super output areas - middle layer,152,White: Irish,75
294,2021,E02006434,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,29
295,2021,E02006434,2021 super output areas - middle layer,152,White: Roma,3
296,2021,E02006434,2021 super output areas - middle layer,152,White: Other White,242
297,2021,E02006434,2021 super output areas - middle layer,152,Other ethnic group,47
298,2021,E02006434,2021 super output areas - middle layer,152,Other ethnic group: Arab,1
299,2021,E02006434,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,46
