,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
138,2021,E02006796,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4973
139,2021,E02006796,2021 super output areas - middle layer,152,Less than 2km,378
140,2021,E02006796,2021 super output areas - middle layer,152,2km to less than 5km,442
141,2021,E02006796,2021 super output areas - middle layer,152,5km to less than 10km,687
142,2021,E02006796,2021 super output areas - middle layer,152,10km to less than 20km,631
143,2021,E02006796,2021 super output areas - middle layer,152,20km to less than 30km,181
144,2021,E02006796,2021 super output areas - middle layer,152,30km to less than 40km,25
145,2021,E02006796,2021 super output areas - middle layer,152,40km to less than 60km,24
146,2021,E02006796,2021 super output areas - middle layer,152,60km and over,54
147,2021,E02006796,2021 super output areas - middle layer,152,Works mainly from home,1770
148,2021,E02006796,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",781
149,2021,E02000526,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4693
150,2021,E02000526,2021 super output areas - middle layer,152,Less than 2km,248
151,2021,E02000526,2021 super output areas - middle layer,152,2km to less than 5km,348
152,2021,E02000526,2021 super output areas - middle layer,152,5km to less than 10km,556
153,2021,E02000526,2021 super output areas - middle layer,152,10km to less than 20km,263
154,2021,E02000526,2021 super output areas - middle layer,152,20km to less than 30km,50
155,2021,E02000526,2021 super output areas - middle layer,152,30km to less than 40km,14
156,2021,E02000526,2021 super output areas - middle layer,152,40km to less than 60km,12
157,2021,E02000526,2021 super output areas - middle layer,152,60km and over,30
158,2021,E02000526,2021 super output areas - middle layer,152,Works mainly from home,2799
159,2021,E02000526,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",373
160,2021,E02000529,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4204
161,2021,E02000529,2021 super output areas - middle layer,152,Less than 2km,387
162,2021,E02000529,2021 super output areas - middle layer,152,2km to less than 5km,682
163,2021,E02000529,2021 super output areas - middle layer,152,5km to less than 10km,731
164,2021,E02000529,2021 super output areas - middle layer,152,10km to less than 20km,450
165,2021,E02000529,2021 super output areas - middle layer,152,20km to less than 30km,88
166,2021,E02000529,2021 super output areas - middle layer,152,30km to less than 40km,33
167,2021,E02000529,2021 super output areas - middle layer,152,40km to less than 60km,26
168,2021,E02000529,2021 super output areas - middle layer,152,60km and over,55
169,2021,E02000529,2021 super output areas - middle layer,152,Works mainly from home,1072
170,2021,E02000529,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",680
171,2021,E02000530,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3246
172,2021,E02000530,2021 super output areas - middle layer,152,Less than 2km,279
173,2021,E02000530,2021 super output areas - middle layer,152,2km to less than 5km,638
174,2021,E02000530,2021 super output areas - middle layer,152,5km to less than 10km,558
175,2021,E02000530,2021 super output areas - middle layer,152,10km to less than 20km,319
176,2021,E02000530,2021 super output areas - middle layer,152,20km to less than 30km,72
177,2021,E02000530,2021 super output areas - middle layer,152,30km to less than 40km,35
178,2021,E02000530,2021 super output areas - middle layer,152,40km to less than 60km,17
179,2021,E02000530,2021 super output areas - middle layer,152,60km and over,28
180,2021,E02000530,2021 super output areas - middle layer,152,Works mainly from home,624
181,2021,E02000530,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",676
182,2021,E02000531,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,6088
183,2021,E02000531,2021 super output areas - middle layer,152,Less than 2km,447
184,2021,E02000531,2021 super output areas - middle layer,152,2km to less than 5km,668
185,2021,E02000531,2021 super output areas - middle layer,152,5km to less than 10km,679
186,2021,E02000531,2021 super output areas - middle layer,152,10km to less than 20km,619
187,2021,E02000531,2021 super output areas - middle layer,152,20km to less than 30km,61
188,2021,E02000531,2021 super output areas - middle layer,152,30km to less than 40km,22
189,2021,E02000531,2021 super output areas - middle layer,152,40km to less than 60km,14
190,2021,E02000531,2021 super output areas - middle layer,152,60km and over,35
191,2021,E02000531,2021 super output areas - middle layer,152,Works mainly from home,2654
192,2021,E02000531,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",889
193,2021,E02000532,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4437
194,2021,E02000532,2021 super output areas - middle layer,152,Less than 2km,288
195,2021,E02000532,2021 super output areas - middle layer,152,2km to less than 5km,320
196,2021,E02000532,2021 super output areas - middle layer,152,5km to less than 10km,455
197,2021,E02000532,2021 super output areas - middle layer,152,10km to less than 20km,298
198,2021,E02000532,2021 super output areas - middle layer,152,20km to less than 30km,33
199,2021,E02000532,2021 super output areas - middle layer,152,30km to less than 40km,18
200,2021,E02000532,2021 super output areas - middle layer,152,40km to less than 60km,9
201,2021,E02000532,2021 super output areas - middle layer,152,60km and over,21
202,2021,E02000532,2021 super output areas - middle layer,152,Works mainly from home,2485
203,2021,E02000532,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",510
204,2021,E02000533,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4351
205,2021,E02000533,2021 super output areas - middle layer,152,Less than 2km,244
206,2021,E02000533,2021 super output areas - middle layer,152,2km to less than 5km,320
207,2021,E02000533,2021 super output areas - middle layer,152,5km to less than 10km,424
208,2021,E02000533,2021 super output areas - middle layer,152,10km to less than 20km,348
209,2021,E02000533,2021 super output areas - middle layer,152,20km to less than 30km,26
210,2021,E02000533,2021 super output areas - middle layer,152,30km to less than 40km,13
211,2021,E02000533,2021 super output areas - middle layer,152,40km to less than 60km,11
212,2021,E02000533,2021 super output areas - middle layer,152,60km and over,36
213,2021,E02000533,2021 super output areas - middle layer,152,Works mainly from home,2494
214,2021,E02000533,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",435
215,2021,E02000534,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4412
216,2021,E02000534,2021 super output areas - middle layer,152,Less than 2km,366
217,2021,E02000534,2021 super output areas - middle layer,152,2km to less than 5km,495
218,2021,E02000534,2021 super output areas - middle layer,152,5km to less than 10km,532
219,2021,E02000534,2021 super output areas - middle layer,152,10km to less than 20km,460
220,2021,E02000534,2021 super output areas - middle layer,152,20km to less than 30km,46
221,2021,E02000534,2021 super output areas - middle layer,152,30km to less than 40km,31
222,2021,E02000534,2021 super output areas - middle layer,152,40km to less than 60km,12
223,2021,E02000534,2021 super output areas - middle layer,152,60km and over,26
224,2021,E02000534,2021 super output areas - middle layer,152,Works mainly from home,1821
225,2021,E02000534,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",623
226,2021,E02000535,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4502
227,2021,E02000535,2021 super output areas - middle layer,152,Less than 2km,368
228,2021,E02000535,2021 super output areas - middle layer,152,2km to less than 5km,818
229,2021,E02000535,2021 super output areas - middle layer,152,5km to less than 10km,675
230,2021,E02000535,2021 super output areas - middle layer,152,10km to less than 20km,497
231,2021,E02000535,2021 super output areas - middle layer,152,20km to less than 30km,128
232,2021,E02000535,2021 super output areas - middle layer,152,30km to less than 40km,46
233,2021,E02000535,2021 super output areas - middle layer,152,40km to less than 60km,22
234,2021,E02000535,2021 super output areas - middle layer,152,60km and over,44
235,2021,E02000535,2021 super output areas - middle layer,152,Works mainly from home,1140
236,2021,E02000535,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",764
237,2021,E02000536,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4917
238,2021,E02000536,2021 super output areas - middle layer,152,Less than 2km,396
239,2021,E02000536,2021 super output areas - middle layer,152,2km to less than 5km,766
240,2021,E02000536,2021 super output areas - middle layer,152,5km to less than 10km,776
241,2021,E02000536,2021 super output areas - middle layer,152,10km to less than 20km,568
242,2021,E02000536,2021 super output areas - middle layer,152,20km to less than 30km,96
243,2021,E02000536,2021 super output areas - middle layer,152,30km to less than 40km,42
244,2021,E02000536,2021 super output areas - middle layer,152,40km to less than 60km,29
245,2021,E02000536,2021 super output areas - middle layer,152,60km and over,50
246,2021,E02000536,2021 super output areas - middle layer,152,Works mainly from home,1378
247,2021,E02000536,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",816
248,2021,E02000537,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,5008
249,2021,E02000537,2021 super output areas - middle layer,152,Less than 2km,353
250,2021,E02000537,2021 super output areas - middle layer,152,2km to less than 5km,625
251,2021,E02000537,2021 super output areas - middle layer,152,5km to less than 10km,737
252,2021,E02000537,2021 super output areas - middle layer,152,10km to less than 20km,635
253,2021,E02000537,2021 super output areas - middle layer,152,20km to less than 30km,80
254,2021,E02000537,2021 super output areas - middle layer,152,30km to less than 40km,25
255,2021,E02000537,2021 super output areas - middle layer,152,40km to less than 60km,31
256,2021,E02000537,2021 super output areas - middle layer,152,60km and over,42
257,2021,E02000537,2021 super output areas - middle layer,152,Works mainly from home,1588
258,2021,E02000537,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",892
259,2021,E02000538,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4716
260,2021,E02000538,2021 super output areas - middle layer,152,Less than 2km,497
261,2021,E02000538,2021 super output areas - middle layer,152,2km to less than 5km,962
262,2021,E02000538,2021 super output areas - middle layer,152,5km to less than 10km,928
263,2021,E02000538,2021 super output areas - middle layer,152,10km to less than 20km,523
264,2021,E02000538,2021 super output areas - middle layer,152,20km to less than 30km,123
265,2021,E02000538,2021 super output areas - middle layer,152,30km to less than 40km,49
266,2021,E02000538,2021 super output areas - middle layer,152,40km to less than 60km,18
267,2021,E02000538,2021 super output areas - middle layer,152,60km and over,69
268,2021,E02000538,2021 super output areas - middle layer,152,Works mainly from home,823
269,2021,E02000538,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",724
