,GEOGRAPHY_CODE,All lone parent housholds with dependent children,Female lone parent: In full-time employment,Female lone parent: In part-time employment,Female lone parent: Total,Male lone parent: In full-time employment,Male lone parent: In part-time employment,Male lone parent: Total
4023,E02004024,1,0.28169014084507044,0.39436619718309857,0.9014084507042254,0.07042253521126761,0.04225352112676056,0.09859154929577464
4024,E02004025,1,0.25961538461538464,0.34615384615384615,0.8461538461538461,0.11538461538461539,0.0,0.15384615384615385
4025,E02004026,1,0.18316831683168316,0.31683168316831684,0.9158415841584159,0.04950495049504951,0.0,0.08415841584158416
4026,E02004027,1,0.18604651162790697,0.46511627906976744,0.8837209302325582,0.05813953488372093,0.03488372093023256,0.11627906976744186
4027,E02004028,1,0.25,0.34375,0.9375,0.041666666666666664,0.0,0.0625
4028,E02004029,1,0.16483516483516483,0.24725274725274726,0.8956043956043956,0.054945054945054944,0.0,0.1043956043956044
4029,E02004030,1,0.21794871794871795,0.2948717948717949,0.8589743589743589,0.11538461538461539,0.038461538461538464,0.14102564102564102
4030,E02004031,1,0.09863945578231292,0.1870748299319728,0.9217687074829932,0.027210884353741496,0.0,0.0782312925170068
4031,E02004032,1,0.24107142857142858,0.2767857142857143,0.8125,0.16964285714285715,0.0,0.1875
4032,E02004033,1,0.2,0.2926829268292683,0.8878048780487805,0.05853658536585366,0.0,0.11219512195121951
4033,E02004034,1,0.20535714285714285,0.33035714285714285,0.875,0.09821428571428571,0.0,0.125
4034,E02004035,1,0.20588235294117646,0.2647058823529412,0.8088235294117647,0.14705882352941177,0.0,0.19117647058823528
4035,E02004036,1,0.08992805755395683,0.23381294964028776,0.8848920863309353,0.0539568345323741,0.01079136690647482,0.11510791366906475
4036,E02004037,1,0.2482758620689655,0.25517241379310346,0.8206896551724138,0.13793103448275862,0.020689655172413793,0.1793103448275862
4037,E02004038,1,0.1554054054054054,0.3108108108108108,0.8851351351351351,0.05405405405405406,0.02027027027027027,0.11486486486486487
4038,E02004039,1,0.23387096774193547,0.41935483870967744,0.9032258064516129,0.06451612903225806,0.0,0.0967741935483871
4039,E02004040,1,0.14545454545454545,0.30303030303030304,0.8848484848484849,0.07878787878787878,0.0,0.11515151515151516
4040,E02004041,1,0.171875,0.2890625,0.8671875,0.0859375,0.03125,0.1328125
4041,E02004042,1,0.10548523206751055,0.2742616033755274,0.9282700421940928,0.03375527426160337,0.012658227848101266,0.07172995780590717
4042,E02004043,1,0.22077922077922077,0.2922077922077922,0.9285714285714286,0.045454545454545456,0.0,0.07142857142857142
4043,E02004044,1,0.2765957446808511,0.24468085106382978,0.851063829787234,0.09574468085106383,0.0,0.14893617021276595
4044,E02004045,1,0.18518518518518517,0.2962962962962963,0.8641975308641975,0.06790123456790123,0.0,0.13580246913580246
4045,E02004046,1,0.14685314685314685,0.3006993006993007,0.9090909090909091,0.04195804195804196,0.0,0.09090909090909091
4046,E02004047,1,0.11764705882352941,0.18823529411764706,0.8941176470588236,0.01764705882352941,0.01764705882352941,0.10588235294117647
4047,E02004048,1,0.11158798283261803,0.22317596566523606,0.8798283261802575,0.055793991416309016,0.02145922746781116,0.12017167381974249
4048,E02004049,1,0.22916666666666666,0.3333333333333333,0.875,0.06944444444444445,0.020833333333333332,0.125
4049,E02004050,1,0.13930348258706468,0.19402985074626866,0.9154228855721394,0.01990049751243781,0.014925373134328358,0.0845771144278607
4050,E02004051,1,0.1339712918660287,0.18181818181818182,0.9090909090909091,0.04784688995215311,0.014354066985645933,0.09090909090909091
4051,E02004052,1,0.19883040935672514,0.23976608187134502,0.8830409356725146,0.05847953216374269,0.0,0.11695906432748537
4052,E02004053,1,0.14204545454545456,0.2159090909090909,0.8863636363636364,0.045454545454545456,0.0,0.11363636363636363
4053,E02004054,1,0.14619883040935672,0.2573099415204678,0.8830409356725146,0.07602339181286549,0.017543859649122806,0.11695906432748537
4054,E02004055,1,0.12831858407079647,0.25663716814159293,0.9026548672566371,0.05752212389380531,0.01327433628318584,0.09734513274336283
4055,E02004056,1,0.13138686131386862,0.20802919708029197,0.8978102189781022,0.032846715328467155,0.025547445255474453,0.10218978102189781
4056,E02004057,1,0.1588785046728972,0.2803738317757009,0.897196261682243,0.056074766355140186,0.014018691588785047,0.102803738317757
4057,E02004058,1,0.13333333333333333,0.21,0.9333333333333333,0.03666666666666667,0.01,0.06666666666666667
4058,E02004059,1,0.1619718309859155,0.36619718309859156,0.8943661971830986,0.04929577464788732,0.02112676056338028,0.1056338028169014
4059,E02004060,1,0.16216216216216217,0.25225225225225223,0.8648648648648649,0.07207207207207207,0.013513513513513514,0.13513513513513514
4060,E02004061,1,0.18823529411764706,0.25882352941176473,0.888235294117647,0.07647058823529412,0.01764705882352941,0.11176470588235295
4061,E02004062,1,0.23076923076923078,0.27564102564102566,0.9102564102564102,0.0641025641025641,0.0,0.08974358974358974
4062,E02004063,1,0.26666666666666666,0.28,0.8733333333333333,0.07333333333333333,0.02,0.12666666666666668
4063,E02004064,1,0.16287878787878787,0.25757575757575757,0.9090909090909091,0.041666666666666664,0.0,0.09090909090909091
4064,E02004065,1,0.32432432432432434,0.32432432432432434,0.8738738738738738,0.11711711711711711,0.0,0.12612612612612611
4065,E02004066,1,0.17275747508305647,0.3222591362126246,0.9169435215946844,0.046511627906976744,0.009966777408637873,0.08305647840531562
4066,E02004067,1,0.11428571428571428,0.22040816326530613,0.926530612244898,0.012244897959183673,0.024489795918367346,0.07346938775510205
4067,E02004068,1,0.25,0.3977272727272727,0.875,0.125,0.0,0.125
4068,E02004069,1,0.25806451612903225,0.40860215053763443,0.8279569892473119,0.15053763440860216,0.0,0.17204301075268819
4069,E02004070,1,0.3125,0.2916666666666667,0.8333333333333334,0.11458333333333333,0.03125,0.16666666666666666
4070,E02004071,1,0.21782178217821782,0.33663366336633666,0.900990099009901,0.07920792079207921,0.0,0.09900990099009901
4071,E02004072,1,0.3445378151260504,0.3865546218487395,0.8907563025210085,0.06722689075630252,0.025210084033613446,0.1092436974789916
4072,E02004073,1,0.17365269461077845,0.33532934131736525,0.874251497005988,0.0658682634730539,0.017964071856287425,0.12574850299401197
4073,E02004074,1,0.2719298245614035,0.2982456140350877,0.8771929824561403,0.06140350877192982,0.0,0.12280701754385964
4074,E02004075,1,0.22330097087378642,0.18446601941747573,0.7572815533980582,0.14563106796116504,0.02912621359223301,0.24271844660194175
