,GEOGRAPHY_CODE,All categories: Ethnic group,Asian/Asian British,Asian/Asian British: Bangladeshi,Asian/Asian British: Indian,Asian/Asian British: Other,Asian/Asian British: Pakistani,Black/Black British,Black/Black British: Black African,Black/Black British: Black Caribbean,Black/Black British: Other,Chinese/Other,Chinese/Other: Chinese,Chinese/Other: Other,Mixed,Mixed: Other,Mixed: White and Asian,Mixed: White and Black African,Mixed: White and Black Caribbean,White,White: British,White: Irish,White: Other
2017,E02002018,1,0.011904761904761904,0.0005411255411255411,0.008982683982683983,0.000974025974025974,0.001406926406926407,0.0010822510822510823,0.0,0.0007575757575757576,0.0003246753246753247,0.0015151515151515152,0.000974025974025974,0.0005411255411255411,0.00551948051948052,0.0007575757575757576,0.001948051948051948,0.0003246753246753247,0.0024891774891774893,0.979978354978355,0.970021645021645,0.003787878787878788,0.006168831168831169
2018,E02002019,1,0.027136333985649054,0.002087410306588389,0.012785388127853882,0.0018264840182648401,0.010437051532941943,0.008871493803000651,0.0010437051532941944,0.007436399217221135,0.0003913894324853229,0.0009132420091324201,0.0003913894324853229,0.0005218525766470972,0.015264187866927592,0.0007827788649706458,0.0031311154598825833,0.0003913894324853229,0.010958904109589041,0.9478147423352903,0.9392041748206131,0.0037834311806914547,0.004827136333985649
2019,E02002020,1,0.012704781009695755,0.00033433634236041456,0.007578290426836064,0.0022289089490694306,0.002563245291429845,0.0024517998439763738,0.0006686726847208291,0.0017831271592555443,0.0,0.0024517998439763738,0.0008915635796277722,0.0015602362643486014,0.0049035996879527475,0.0010030090270812437,0.0008915635796277722,0.0,0.003009027081243731,0.9774880196143988,0.9671235930012259,0.004012036108324975,0.006352390504847877
2020,E02002021,1,0.07958098811757348,0.0,0.010006253908692933,0.003908692933083177,0.06566604127579738,0.007191994996873046,0.0007817385866166354,0.005472170106316448,0.0009380863039399625,0.005159474671669793,0.0029706066291432147,0.002188868042526579,0.014853033145716073,0.00046904315196998124,0.0025015634771732333,0.0,0.011882426516572859,0.8932145090681676,0.8797686053783614,0.004221388367729831,0.009224515322076297
2021,E02002022,1,0.014089822619197383,0.0,0.004780475531513398,0.0008806139136998364,0.008428733173984149,0.006667505346584476,0.0015096238520568624,0.005157881494527614,0.0,0.0020128318027424832,0.0011322178890426468,0.0008806139136998364,0.008302931186312744,0.0013838218643854572,0.000629009938357026,0.0003774059630142156,0.005912693420556045,0.9689269090451629,0.9591143540067933,0.0040256636054849665,0.005786891432884639
2022,E02002023,1,0.0038705137227304713,0.0,0.0028149190710767065,0.0005277973258268825,0.0005277973258268825,0.0017593244194229415,0.0,0.0017593244194229415,0.0,0.0015833919774806474,0.0007037297677691766,0.0008796622097114708,0.004574243490499648,0.0008796622097114708,0.0005277973258268825,0.0,0.0031667839549612948,0.9882125263898663,0.9794159042927516,0.0026389866291344124,0.006157635467980296
2023,E02002024,1,0.02430647291941876,0.0,0.011096433289299868,0.0003963011889035667,0.012813738441215323,0.004095112285336856,0.0,0.0036988110964332895,0.0003963011889035667,0.001585204755614267,0.0011889035667107001,0.0003963011889035667,0.007926023778071334,0.0005284015852047556,0.001585204755614267,0.0005284015852047556,0.005284015852047556,0.9620871862615588,0.9538969616908851,0.004095112285336856,0.004095112285336856
2024,E02002025,1,0.10329127097697412,0.018732925718745935,0.03759594119942761,0.00962664238324444,0.037335761675556134,0.007935475478079875,0.0010407180954858852,0.006114218810979576,0.0007805385716144139,0.0066345778587225184,0.002211525952907506,0.004423051905815012,0.012748796669702094,0.0014309873812930923,0.004943410953557955,0.0,0.006374398334851047,0.8693898790165214,0.8554702744893977,0.006504488096786783,0.007415116430336932
2025,E02002026,1,0.010957403095466374,0.0,0.004519928776879879,0.00041090261607998904,0.006026571702506506,0.0028763183125599234,0.0,0.0024654156964799344,0.00041090261607998904,0.0023284481577866044,0.0016436104643199562,0.0006848376934666484,0.006437474318586495,0.0009587727708533077,0.0019175455417066154,0.0,0.003561156006026572,0.9774003561156006,0.9698671414874674,0.003835091083413231,0.0036981235447199013
2026,E02002027,1,0.014015535292131037,0.0,0.010807159743329957,0.001182033096926714,0.002026342451874367,0.00303951367781155,0.0006754474839581223,0.002364066193853428,0.0,0.004896994258696386,0.00303951367781155,0.0018574805808848362,0.006416751097602162,0.001182033096926714,0.002195204322863897,0.0,0.00303951367781155,0.9716312056737588,0.9603174603174603,0.003883823032759203,0.007429922323539345
2027,E02002028,1,0.004592617792141521,0.0,0.0034019391052900155,0.0,0.0011906786868515053,0.0017009695526450078,0.0,0.0011906786868515053,0.0005102908657935023,0.001360775642116006,0.0005102908657935023,0.0008504847763225039,0.00442252083687702,0.0005102908657935023,0.0011906786868515053,0.0,0.002721551284232012,0.9879231161762204,0.9768668140840279,0.005273005613199524,0.005783296478993026
2028,E02002029,1,0.054469998270793706,0.0005187618882932734,0.0428843160989106,0.0032854919591907314,0.0077814283243991,0.014179491613349473,0.0017292062943109112,0.011931523430745288,0.0005187618882932734,0.0031125713297596403,0.0019021269237420025,0.0012104444060176379,0.009856475877572194,0.002593809441466367,0.0024208888120352758,0.0005187618882932734,0.004323015735777278,0.918381462908525,0.8967663842296386,0.01054815839529656,0.011066920283589833
2029,E02002030,1,0.03193477153049091,0.0,0.008153558688635978,0.0005095974180397486,0.023271615423815187,0.004416510956344488,0.0010191948360794973,0.002887718702225242,0.0005095974180397486,0.004246645150331238,0.00373704773229149,0.0005095974180397486,0.007983692882622727,0.0015287922541192458,0.0016986580601324954,0.0005095974180397486,0.004246645150331238,0.9514183794802107,0.938678444029217,0.004076779344317989,0.008663156106675726
2030,E02002031,1,0.15336308048256486,0.0,0.004627334324904975,0.006279953726656751,0.14245579243100315,0.00776731118823335,0.0004957858205255329,0.006610477607007106,0.0006610477607007106,0.00280945298297802,0.001487357461576599,0.0013220955214014213,0.008097835068583706,0.0008263097008758883,0.0019831432821021317,0.0,0.005288382085605685,0.82796232027764,0.8172202941662535,0.004792596265080152,0.005949429846306396
2031,E02002032,1,0.04156228649510362,0.0,0.00307447050785698,0.017194260988385335,0.02129355499886131,0.00614894101571396,0.0009109542245502164,0.004554771122751082,0.0006832156684126623,0.010931450694602596,0.0011386927806877705,0.009792757913914825,0.016624914598041447,0.002505124117513095,0.004440901844682305,0.00034160783420633114,0.009337280801639718,0.9247324071965384,0.9139148257800046,0.004782509678888636,0.006035071737645183
2032,E02002033,1,0.012673922027827524,0.0,0.003444000551040088,0.004959360793497727,0.004270560683289709,0.003168480506956881,0.00041328006612481057,0.0022041603526656564,0.0005510400881664141,0.007439041190246591,0.0030307204849152774,0.004408320705331313,0.008127841300454608,0.0011020801763328282,0.002617440418790467,0.00041328006612481057,0.003995040639206502,0.9685907149745144,0.9553657528585204,0.00468384074941452,0.008541121366579418
2033,E02002034,1,0.01779086138487137,0.0005119672340970178,0.004479713298348906,0.0021758607449123258,0.010623320107513119,0.0038397542557276334,0.0,0.0016638935108153079,0.0021758607449123258,0.0040957378727761425,0.0026878279790093435,0.001407909893766799,0.007935492128503776,0.0017918853193395622,0.00230385255343658,0.00038397542557276333,0.0034557788301548703,0.9663381543581211,0.9424036861640855,0.00921541021374632,0.014719057980289262
2034,E02002035,1,0.022663358147229116,0.0,0.01902398676592225,0.0009925558312655087,0.0026468155500413565,0.0064516129032258064,0.0011579818031430935,0.005293631100082713,0.0,0.004466501240694789,0.003970223325062035,0.0004962779156327543,0.005128205128205128,0.0016542597187758478,0.0018196856906534326,0.0,0.0016542597187758478,0.9612903225806452,0.9392886683209264,0.011910669975186104,0.010090984284532672
2035,E02002036,1,0.13449920508744037,0.0,0.005564387917329093,0.006200317965023848,0.12273449920508744,0.002861685214626391,0.0,0.002861685214626391,0.0,0.004292527821939587,0.0025437201907790143,0.0017488076311605724,0.007631160572337043,0.0012718600953895071,0.002861685214626391,0.0004769475357710652,0.0030206677265500795,0.8507154213036566,0.8354531001589826,0.006677265500794912,0.008585055643879173
2036,E02002037,1,0.0055248618784530384,0.0,0.0021764607399966515,0.0010045203415369162,0.002343880796919471,0.0008371002846140967,0.0,0.0008371002846140967,0.0,0.001841620626151013,0.0013393604553825547,0.0005022601707684581,0.0055248618784530384,0.0008371002846140967,0.0015067805123053742,0.0005022601707684581,0.0026787209107651095,0.9862715553323288,0.9703666499246609,0.00803616273229533,0.00786874267537251
2037,E02002038,1,0.021682072349651946,0.0005705808513066301,0.008216364258815475,0.008786945110122105,0.004108182129407737,0.005135227661759671,0.0021682072349651946,0.002396439575487847,0.0005705808513066301,0.009243409791167409,0.0036517174483624328,0.005591692342804975,0.013123359580052493,0.0020540910647038686,0.0027387880862718246,0.0015976263836585643,0.006732854045418236,0.9508159306173685,0.9323291110350337,0.00775989957777017,0.010726920004564646
2038,E02002039,1,0.022868343678536424,0.0004900359359686377,0.006860503103560928,0.0024501796798431885,0.013067624959163672,0.005717085919634106,0.003430251551780464,0.0008167265599477295,0.0014701078079059132,0.0053903952956550144,0.0044103234237177396,0.0009800718719372753,0.008657301535445933,0.0009800718719372753,0.003920287487749101,0.0009800718719372753,0.00277687030382228,0.9573668735707285,0.9390721986278994,0.008003920287487748,0.010290754655341391
2039,E02002040,1,0.014730498828255775,0.0005021760964178105,0.011215266153331101,0.0015065282892534316,0.0015065282892534316,0.0013391362571141614,0.0,0.0005021760964178105,0.0008369601606963508,0.0048543689320388345,0.0033478406427854034,0.0015065282892534316,0.005356545028456646,0.0005021760964178105,0.002008704385671242,0.0,0.002845664546367593,0.9737194509541346,0.9544693672581185,0.007030465349849347,0.012219618346166722
