,GEOGRAPHY_CODE,All people,Divorced,Married (first marriage),Re-married,Separated (but still legally married),Single (never married),Widowed
1948,E02001949,1,0.09544754783373653,0.35012095887398287,0.0525621288761821,0.03760721354739389,0.36815482735869803,0.0961073235100066
1949,E02001950,1,0.07250853519752885,0.4563485612095594,0.07153308405137376,0.02357340269874817,0.2830434075760039,0.09299300926678589
1950,E02001951,1,0.12299385030748462,0.31408429578521074,0.07004649767511624,0.03674816259187041,0.37333133343332836,0.08279586020698965
1951,E02001952,1,0.11637572734829593,0.31404821280133,0.06334164588528678,0.035910224438902745,0.3544472152950956,0.11587697423108895
1952,E02001953,1,0.07863993025283347,0.46190061028770707,0.06242371403661726,0.022493461203138623,0.27863993025283346,0.0959023539668701
1953,E02001954,1,0.12102689486552567,0.32396088019559904,0.06880894166957736,0.040516940272441494,0.3566189311910583,0.08906741180579811
1954,E02001955,1,0.09451838484096549,0.3692758854049177,0.06406496729077374,0.029099932325738778,0.3476201218136702,0.09542070832393414
1955,E02001956,1,0.08798424162836507,0.40993652878091486,0.068724009630116,0.028890347997373604,0.31385423506237686,0.09061063690085358
1956,E02001957,1,0.07631352282515073,0.468733850129199,0.06821705426356589,0.023944875107665804,0.2801033591731266,0.082687338501292
1957,E02001958,1,0.09784528435181915,0.4113387495584599,0.06181561285764747,0.02719886965736489,0.3246202755210173,0.07718120805369127
1958,E02001959,1,0.07102157102157103,0.49308099308099307,0.057183557183557186,0.020146520146520148,0.2692307692307692,0.08933658933658933
1959,E02001960,1,0.09842728397243329,0.378688814278141,0.06255522177063086,0.027920127230959532,0.3327443011132709,0.09966425163456441
1960,E02001961,1,0.10671731997927819,0.360386807114488,0.059057157658435507,0.030564669314453462,0.3420825418753238,0.10119150405802106
1961,E02001962,1,0.08243983797950917,0.428401238980224,0.05075053609721229,0.03550154872527996,0.3214200619490112,0.0814867762687634
1962,E02001963,1,0.07099854681336931,0.4805895785758771,0.062487025119368905,0.016400249117708116,0.2619887897031347,0.10753581067054183
1963,E02001964,1,0.11636017755231452,0.2853519340519975,0.061984781230183895,0.039949270767279645,0.4074191502853519,0.08893468611287254
1964,E02001965,1,0.08876404494382023,0.4603531300160514,0.07849117174959871,0.01958266452648475,0.27768860353130015,0.07512038523274478
1965,E02001966,1,0.05993690851735016,0.4673276250563317,0.03650292924740874,0.034249662009914375,0.3391167192429022,0.06286615592609283
1966,E02001967,1,0.06412547151081993,0.5120111177288068,0.07921381774865992,0.0136986301369863,0.20488385944014295,0.12606710343458408
1967,E02001968,1,0.0738969789176266,0.43099326233427515,0.0589002390784612,0.022821125842208214,0.31710497717887415,0.09628341664855466
1968,E02001969,1,0.10043942247332077,0.3592801841389412,0.057961916718978865,0.024691358024691357,0.3563507009834693,0.10127641766059846
1969,E02001970,1,0.08368200836820083,0.46950011010790577,0.07421272847390442,0.01959920722307862,0.2512662409160978,0.10173970491081259
1970,E02001971,1,0.0728505797418508,0.47495077663530955,0.05972434915773354,0.02056442791511704,0.2774010063443448,0.09450886020564428
1971,E02001972,1,0.09451360073766712,0.3963424004917781,0.02996772706316275,0.03488550791455356,0.36622099277700937,0.07806977101582911
1972,E02001973,1,0.1033064930615042,0.3645708411855405,0.051224944320712694,0.02929587116669522,0.361315744389241,0.09028610587630632
1973,E02001974,1,0.06889352818371608,0.4720946416144746,0.06332637439109255,0.016562282533054976,0.28169798190675016,0.09742519137091162
1974,E02001975,1,0.0707782168012369,0.49476035045524824,0.060642501288438413,0.02044322281394949,0.26610548015804847,0.08727022848307851
1975,E02001976,1,0.09476351351351352,0.4430743243243243,0.05641891891891892,0.024493243243243243,0.29695945945945945,0.08429054054054054
1976,E02001977,1,0.09726827727775146,0.24285488709932102,0.042318016737723035,0.026054002842254856,0.5201326385599242,0.07137217748302542
1977,E02001978,1,0.07797509695856297,0.4460093896713615,0.05878750765462339,0.020412329046744233,0.3167993468054705,0.0800163298632374
1978,E02001979,1,0.06498422712933755,0.5278654048370137,0.07129337539432176,0.017875920084121977,0.22018927444794953,0.09779179810725552
1979,E02001980,1,0.06278026905829596,0.5669721193215052,0.07720803275492298,0.013452914798206279,0.2131019691947748,0.06648469487229479
