,GEOGRAPHY_CODE,All categories: Religion,Buddhist,Christian,Hindu,Jewish,Muslim,No religion,Other religion,Religion not stated,Sikh
4221,E02004222,1,0.003286294219988401,0.7144790257104194,0.0007732456988208003,0.0007732456988208003,0.0007732456988208003,0.1940846704040209,0.003286294219988401,0.08254397834912043,0.0
4222,E02004223,1,0.0014207428455449563,0.7209255124822407,0.0,0.0003044448954739192,0.0010148163182463973,0.18834990866653137,0.0025370407956159936,0.08544753399634666,0.0
4223,E02004224,1,0.0032018874283788338,0.7691270643747894,0.0,0.0005055611729019212,0.0005055611729019212,0.1435793731041456,0.005224132119986518,0.07785642062689585,0.0
4224,E02004225,1,0.002652017427543095,0.7323356696344004,0.0,0.0005682894487592347,0.0015154385300246258,0.1854517901117636,0.005493464671339269,0.07122561091115742,0.0007577192650123129
4225,E02004226,1,0.0016704631738800305,0.7896735003796507,0.0,0.0007593014426727411,0.00045558086560364467,0.12968868640850417,0.003492786636294609,0.07425968109339408,0.0
4226,E02004227,1,0.0012377769525931427,0.7892065849733878,0.0,0.0004951107810372571,0.0,0.12551058299294468,0.003218220076742171,0.08033172422329496,0.0
4227,E02004228,1,0.001548467017652524,0.7483741096314649,0.0,0.0010839269123567668,0.000774233508826262,0.15221430783524312,0.00449055435119232,0.09151440074326417,0.0
4228,E02004229,1,0.0007817385866166354,0.7750156347717323,0.00046904315196998124,0.0015634771732332708,0.00046904315196998124,0.1449343339587242,0.004377736085053158,0.07238899312070043,0.0
4229,E02004230,1,0.0020826658122396666,0.7422300544697212,0.0004806151874399231,0.0004806151874399231,0.00256328099967959,0.1800704902274912,0.0024030759371996154,0.06920858699134892,0.0004806151874399231
4230,E02004231,1,0.004965392717424014,0.7312669274751731,0.0,0.0022569966897381883,0.0034607282575985555,0.17062894974420703,0.006169124285284382,0.08080048149262714,0.00045139933794763765
4231,E02004232,1,0.0016992353440951572,0.7782497875955819,0.0,0.0010195412064570944,0.0011894647408666101,0.13542905692438403,0.004248088360237893,0.07816482582837724,0.0
4232,E02004233,1,0.0011796733212341198,0.7704174228675136,0.00045372050816696913,0.0015426497277676952,0.000998185117967332,0.15471869328493648,0.0023593466424682396,0.06805807622504537,0.0002722323049001815
4233,E02004234,1,0.001569365976145637,0.7686754551161331,0.0,0.00047080979284369113,0.001098556183301946,0.14030131826741996,0.0018832391713747645,0.08553044569993723,0.00047080979284369113
