,GEOGRAPHY_CODE,All communal establishments,Medical and care establishments - Housing association,Medical and care establishments - Local Authority - Children's home,Medical and care establishments - Local Authority - Other,Medical and care establishments - NHS - Other hospital home,Medical and care establishments - NHS - Psychiatric hospital / home,Medical and care establishments - Other,Medical and care establishments - Other - Children's home,Medical and care establishments - Other - Nursing home,Medical and care establishments - Other - Residential care home,Number of residents by communal establishment type,Other establishments,Residents in establishments with limiting long-term illness - medical and care establishments,Residents in establishments with limiting long-term illness - other establishments
3729,E02004159,1,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,4.75,3.5,1.25,3.0
3730,E02004160,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,21.5,0.0,20.333333333333332,0.0
3731,E02004161,1,0.0,0.0,1.0,0.14285714285714285,1.1428571428571428,0.0,0.0,0.0,1.3333333333333333,12.285714285714286,8.666666666666666,3.5238095238095237,2.857142857142857
3732,E02004162,1,4.125,0.0,3.875,0.0,0.875,0.0,0.0,7.375,3.0,19.25,0.0,17.375,0.0
3733,E02004163,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0
3734,E02004164,1,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,5.0,0.0,10.666666666666666,2.0,8.0,2.0
3735,E02004165,1,3.8,0.0,0.0,0.0,0.0,4.8,0.0,4.8,3.2,19.2,2.6,16.4,0.0
3736,E02004166,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,3.25,5.75,1.75,3.0,0.0
3737,E02004167,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.272727272727273,13.454545454545455,10.181818181818182,3.090909090909091,0.9090909090909091
3738,E02004168,1,1.875,0.75,5.375,0.0,0.0,0.0,0.0,0.0,0.375,9.5,1.125,6.875,1.0
3739,E02004169,1,0.0,0.0,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,4.166666666666667,6.0,0.0,6.0,0.0
3740,E02004170,1,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,16.166666666666668,21.666666666666668,0.0,21.166666666666668,0.0
3741,E02004171,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,11.5,0.0,11.25,0.0
3742,E02004172,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,5.833333333333333,4.666666666666667,0.8333333333333334,0.0
3743,E02004173,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,8.2,14.4,1.0,13.2,1.0
3744,E02004174,1,0.5333333333333333,0.0,1.1333333333333333,0.0,0.0,0.0,0.0,0.0,3.933333333333333,6.866666666666666,1.2666666666666666,5.4,0.0
3745,E02004175,1,0.0,0.0,0.4634146341463415,0.0,0.0,0.3902439024390244,0.0,1.024390243902439,2.0,4.146341463414634,0.2682926829268293,3.6097560975609757,0.0
3746,E02004176,1,0.0,0.0,0.12962962962962962,0.0,0.0,0.0,0.0,0.0,0.6481481481481481,2.0925925925925926,1.3148148148148149,0.5370370370370371,0.12962962962962962
3747,E02004177,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5535714285714286,2.1785714285714284,4.232142857142857,1.5,2.3392857142857144,0.3392857142857143
3748,E02004178,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2857142857142856,0.0,2.4761904761904763,0.19047619047619047,1.3333333333333333,0.14285714285714285
3749,E02004179,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.2,23.6,14.4,8.9,0.0
3750,E02004180,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.4,15.8,9.2,5.8,0.0
3751,E02004181,1,0.0,0.5,0.0,0.5,0.0,0.625,0.0,0.0,6.625,8.25,0.0,7.25,0.0
3752,E02004182,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.8888888888888888,2.5555555555555554,0.3333333333333333,1.7777777777777777,0.0
3753,E02004183,1,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,3.4285714285714284,5.142857142857143,0.7857142857142857,4.285714285714286,0.21428571428571427
3754,E02004184,1,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,6.555555555555555,4.444444444444445,12.666666666666666,0.7777777777777778,10.222222222222221,0.7777777777777778
3755,E02004185,1,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.625,6.375,9.75,0.0,8.875,0.0
3756,E02004186,1,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,4.166666666666667,6.166666666666667,0.6666666666666666,5.333333333333333,0.0
3757,E02004187,1,0.0,0.0,3.7,0.3,0.0,5.1,0.0,0.0,1.1,21.7,11.5,9.5,0.3
3758,E02004188,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,12.0,0.0
3759,E02004189,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.333333333333334,0.0,91.83333333333333,76.5,15.0,0.5
3760,E02004190,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5555555555555554,10.333333333333334,13.555555555555555,0.6666666666666666,11.555555555555555,0.3333333333333333
3761,E02004191,1,0.0,0.0,1.105263157894737,0.0,0.0,1.5789473684210527,0.5789473684210527,0.0,3.4210526315789473,7.578947368421052,0.8947368421052632,6.421052631578948,0.21052631578947367
3762,E02004192,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,2.3,0.4,1.9,0.0
3763,E02004193,1,3.4444444444444446,0.0,2.4444444444444446,0.0,0.0,0.0,0.0,9.555555555555555,3.3333333333333335,23.77777777777778,5.0,17.88888888888889,4.555555555555555
3764,E02004194,1,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.166666666666667,31.833333333333332,22.333333333333332,9.166666666666666,1.5
3765,E02004195,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.923076923076923,3.6923076923076925,0.7692307692307693,2.1538461538461537,0.23076923076923078
3766,E02004196,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,5.2,11.4,1.9,8.7,0.8
3767,E02004197,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,1.5,4.25,0.625,3.625,0.0
3768,E02004198,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334,10.333333333333334,0.0,7.888888888888889,0.0
3769,E02004199,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1176470588235294,2.235294117647059,9.176470588235293,3.823529411764706,5.352941176470588,0.4117647058823529
3770,E02004200,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.789473684210526,5.0,1.2105263157894737,3.4210526315789473,0.15789473684210525
3771,E02004201,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3636363636363638,3.3636363636363638,0.0,3.272727272727273,0.0
3772,E02004202,1,1.1764705882352942,0.0,0.0,1.2941176470588236,0.0,0.0,0.0,0.0,1.8235294117647058,4.470588235294118,0.17647058823529413,4.0588235294117645,0.0
3773,E02004203,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.416666666666667,1.6666666666666667,6.666666666666667,0.5833333333333334,5.916666666666667,0.0
3774,E02004204,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,7.666666666666667,0.9166666666666666,6.5,0.4166666666666667
3775,E02004205,1,0.3076923076923077,0.0,0.0,0.46153846153846156,5.0,0.0,0.0,1.8461538461538463,5.384615384615385,13.23076923076923,0.23076923076923078,12.846153846153847,0.0
3776,E02004206,1,0.0,0.0,0.85,0.0,0.0,0.0,0.0,3.35,6.75,14.35,3.4,10.2,3.25
3777,E02004207,1,0.0,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,8.333333333333334,1.3333333333333333,6.333333333333333,0.0
3778,E02004208,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0869565217391304,6.782608695652174,15.478260869565217,6.608695652173913,8.565217391304348,0.391304347826087
3779,E02004209,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,6.833333333333333,0.0,6.833333333333333,0.0
3780,E02004210,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.205882352941177,4.617647058823529,0.4117647058823529,3.823529411764706,0.17647058823529413
3781,E02004211,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,18.2,5.6,11.2,3.0
3782,E02004212,1,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,4.25,10.75,0.0,10.75,0.0
3783,E02004213,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.333333333333333,171.33333333333334,151.0,17.0,20.333333333333332
