,GEOGRAPHY_CODE,2001 Density(number of people per hectare),All people,Area (hectares),Females,Males,People living in communal establishments,People living in households,Students away from home
6304,E02006305,0.006963675213675215,1,0.015384615384615385,0.5117521367521367,0.48824786324786323,0.00641025641025641,0.9935897435897436,0.0038461538461538464
6305,E02006306,0.003335642055686383,1,0.0415570023548968,0.5150297825183543,0.48497021748164565,0.00415570023548968,0.9958442997645103,0.00415570023548968
6306,E02006307,0.003363517060367454,1,0.03897637795275591,0.5111548556430446,0.48884514435695536,0.009448818897637795,0.9905511811023622,0.012992125984251968
6307,E02006308,0.004637561779242174,1,0.029654036243822075,0.5275947281713345,0.4724052718286656,0.04091158704008786,0.9590884129599121,0.005354200988467875
6308,E02006309,0.005166858457997699,1,0.027905638665132335,0.5335155350978136,0.4664844649021864,0.007192174913693901,0.992807825086306,0.005609896432681243
6309,E02006310,0.0012145061728395061,1,0.1271604938271605,0.5154320987654321,0.4845679012345679,0.009413580246913581,0.9905864197530864,0.006481481481481481
6310,E02006311,0.0013120204603580563,1,0.09744245524296676,0.5300511508951407,0.46994884910485935,0.018797953964194373,0.9812020460358056,0.008695652173913044
6311,E02006312,0.00013065684760660412,1,0.9110345646751395,0.506592231856515,0.49340776814348497,0.0,1.0,0.014015916379617532
6312,E02006313,0.0006682652210175146,1,0.1559633027522936,0.5140742285237698,0.4859257714762302,0.004274395329441201,0.9957256046705588,0.007297748123436197
6313,E02006314,0.00011708280434475949,1,1.2022852306390182,0.5174213570320214,0.48257864296797853,0.017774016081252644,0.9822259839187474,0.013401043870785724
6314,E02006315,0.0001293929712460064,1,1.2412140575079873,0.5431309904153354,0.45686900958466453,0.03035143769968051,0.9696485623003195,0.015335463258785943
6315,E02006316,0.00021920210434020167,1,0.6682741487651614,0.5236007599006284,0.4763992400993716,0.010960105217010083,0.9890398947829899,0.010229431535876079
6316,E02006317,0.006100250626566416,1,0.02740183792815372,0.5177944862155388,0.48220551378446114,0.0,1.0,0.013366750208855471
6317,E02006318,0.003355748728883057,1,0.04887649663769067,0.5150073806790225,0.48499261932097754,0.01771362965392816,0.9822863703460718,0.01902575036903395
6318,E02006319,0.007970075582292149,1,0.019281196976708315,0.5130340891562548,0.4869659108437452,0.010026222427888323,0.9899737775721117,0.007866728366496992
6319,E02006320,0.0022,1,0.06842105263157895,0.5151879699248121,0.48481203007518797,0.0,1.0,0.00631578947368421
6320,E02006321,0.005316390926147024,1,0.03206549548012963,0.5200409346750811,0.479959065324919,0.025243049633293536,0.9747569503667065,0.018079481494115642
6321,E02006322,0.0046672384219554035,1,0.036706689536878216,0.5169811320754717,0.4830188679245283,0.0,1.0,0.016123499142367066
6322,E02006323,0.005269532582736268,1,0.032412146025247356,0.5238826339133401,0.47611736608665983,0.0020470829068577278,0.9979529170931423,0.01927669737291027
6323,E02006324,0.0047663157894736845,1,0.029473684210526315,0.5131228070175439,0.48687719298245613,0.016421052631578947,0.983578947368421,0.011228070175438596
6324,E02006325,0.00212425110705913,1,0.06134410002604845,0.5121125293045063,0.4878874706954936,0.003777025266996614,0.9962229747330034,0.019406095337327428
6325,E02006326,0.004932355338223309,1,0.03308883455582722,0.5240423797881011,0.4759576202118989,0.010594947025264874,0.9894050529747351,0.017603911980440097
6326,E02006327,0.004820766378244747,1,0.03655306374713049,0.5255165106833833,0.47448348931661666,0.01165460003531697,0.9883453999646831,0.019247748543174997
6327,E02006328,0.002300404244567964,1,0.05495199595755432,0.5098534613441131,0.4901465386558868,0.02033855482566953,0.9796614451743305,0.01654876200101061
6328,E02006329,0.0010748407643312102,1,0.1480891719745223,0.5181528662420383,0.4818471337579618,0.017038216560509554,0.9829617834394905,0.03359872611464968
6329,E02006330,0.0010662952646239554,1,0.1045125348189415,0.5296935933147632,0.47030640668523677,0.013704735376044568,0.9862952646239554,0.015598885793871866
6330,E02006331,0.0021226124460874923,1,0.07255083179297597,0.5212569316081331,0.4787430683918669,0.01155268022181146,0.9884473197781886,0.02341343191620456
6331,E02006332,0.0010656016315431678,1,0.1594153636981645,0.5185248130523453,0.4814751869476547,0.018184908225696805,0.9818150917743032,0.025322909585316113
