,GEOGRAPHY_CODE,All households,Average household size,Average number of rooms per household,Lowest floor level - Basement or semi-basement,Lowest floor level - Ground level (street level),Lowest floor level - fifth floor or higher,Lowest floor level - first to fourth floor,Occupancy rating of -1 or less,With central heating and sole use of bath/shower and toilet,With central heating; without sole use of bath/shower and toilet,Without central heating or sole use of bath/shower and toilet,Without central heating; with sole use of bath/shower and toilet
626,E02000627,3182.0,2.32,4.27,0.1184789440603394,0.41011942174732874,0.05593966059082338,0.4154619736015085,0.24481458202388434,0.8680075424261471,0.003771213073538655,0.012884978001257071,0.11533626649905719
627,E02000628,3447.0,2.41,3.96,0.06179286335944299,0.34551784160139254,0.054250072526834926,0.5384392225123296,0.32114882506527415,0.886858137510879,0.00899332753118654,0.00841311285175515,0.09573542210617929
628,E02000629,3359.0,2.22,4.41,0.1309913664781185,0.4141113426615064,0.031854718666269724,0.4230425721941054,0.20958618636498957,0.8892527537957725,0.004465614766299494,0.005954153021732658,0.1003274784161953
629,E02000630,3377.0,2.13,4.37,0.1593129997038792,0.4107195735860231,0.006514657980456026,0.4234527687296417,0.2013621557595499,0.8794788273615635,0.008883624518803672,0.007995262066923305,0.1036422860527095
630,E02000631,3288.0,2.25,4.74,0.10218978102189781,0.5805961070559611,0.004257907542579075,0.31295620437956206,0.17670316301703162,0.8956812652068127,0.010036496350364963,0.005170316301703163,0.08911192214111922
631,E02000632,3316.0,2.24,4.44,0.11067551266586248,0.525934861278649,0.004221954161640531,0.359167671893848,0.18516284680337755,0.9122436670687576,0.006936067551266586,0.005126658624849216,0.07569360675512665
632,E02000633,3466.0,2.14,4.07,0.04962492787074437,0.44748990190421234,0.0363531448355453,0.466532025389498,0.24783612233121755,0.9001731102135025,0.012117714945181766,0.006058857472590883,0.08165031736872476
633,E02000634,2820.0,2.13,4.05,0.06702127659574468,0.4056737588652482,0.0574468085106383,0.4698581560283688,0.24893617021276596,0.9191489361702128,0.005319148936170213,0.00851063829787234,0.06702127659574468
634,E02000635,3103.0,2.31,4.36,0.12407347728005157,0.4953271028037383,0.03351595230422172,0.3470834676119884,0.22268772155978087,0.9100870125684821,0.009023525620367387,0.003867225265871737,0.07702223654527876
635,E02000636,3152.0,2.36,5.18,0.09041878172588833,0.5783629441624365,0.00983502538071066,0.32138324873096447,0.13610406091370558,0.8791243654822335,0.00951776649746193,0.0133248730964467,0.09803299492385786
