,GEOGRAPHY_CODE,All people,Elsewhere,England,Northern Ireland,Other EU countries,Republic of Ireland,Scotland,Wales
472,E02000473,1,0.03991596638655462,0.9266917293233082,0.0030959752321981426,0.005196815568332596,0.00950906678460858,0.00984077841662981,0.005749668288367979
473,E02000474,1,0.0427877674235464,0.9140307126919544,0.0031500196876230475,0.0076125475784223655,0.014962593516209476,0.01089381808636304,0.006562541015881349
474,E02000475,1,0.046997704482300354,0.904554790382989,0.0031412347468889696,0.012081672103419113,0.01280657242962426,0.009786154403769481,0.01063187145100882
475,E02000476,1,0.07400476352500851,0.8735964613814222,0.003232391970057843,0.011738686628104797,0.013950323239197007,0.013269819666553249,0.010207553589656346
476,E02000477,1,0.030169987616796127,0.9303163345716537,0.002589215355172802,0.0065293256782618485,0.014296971743780255,0.008105369807497468,0.00799279522683778
477,E02000478,1,0.08795026513073688,0.8751142804900347,0.0023770341927226183,0.0078624977143902,0.01151947339550192,0.007679648930334613,0.007496800146279028
478,E02000479,1,0.054242749731471536,0.8987647690655209,0.003088077336197637,0.008861439312567132,0.015171858216970998,0.01114393125671321,0.00872717508055854
479,E02000480,1,0.05779616224290474,0.9042858784327243,0.0025278639549580605,0.007123980236699989,0.015511892450879007,0.008502815121222567,0.0042514075606112835
480,E02000481,1,0.02462734931950745,0.9397278029812054,0.002462734931950745,0.00661049902786779,0.009721322099805573,0.008684381075826312,0.008165910563836682
481,E02000482,1,0.02731533861322127,0.9274284790690157,0.0022628091158881525,0.004687247454339745,0.012930337805075158,0.0122838209148214,0.013091967027638598
482,E02000483,1,0.033701732842133986,0.9250920998772002,0.0027288852503752218,0.006003547550825487,0.012825760676763541,0.009823986901350798,0.009823986901350798
483,E02000484,1,0.0318495778971604,0.9319519058582758,0.0030698388334612432,0.004476848298797647,0.013174724993604503,0.00844205679201842,0.007035047326682016
484,E02000485,1,0.03671052631578947,0.9192105263157895,0.004078947368421053,0.006973684210526316,0.01368421052631579,0.012236842105263157,0.007105263157894737
485,E02000486,1,0.030459689814167946,0.9297191560709794,0.002794466955428252,0.0058683806063993295,0.012575101299427134,0.010618974430627358,0.007964230822970519
486,E02000487,1,0.020073223077894206,0.9431889912889787,0.0020199469763918696,0.004671127382906199,0.012624668602449186,0.00883726802171443,0.008584774649665446
487,E02000488,1,0.04133298889175924,0.9310255747868768,0.0020666494445879618,0.004649961250322914,0.008912425729785584,0.006845776285197623,0.005166623611469905
488,E02000489,1,0.04432976048696573,0.9190154823342597,0.002249569935159455,0.005425433373031626,0.014688368400158794,0.007542675664946407,0.006748709805478364
489,E02000490,1,0.02673867228661749,0.9441517386722866,0.0017123287671232876,0.0050052687038988405,0.010800842992623814,0.00684931506849315,0.004741833508956797
490,E02000491,1,0.04808171400099651,0.9161684105630294,0.003114100647732935,0.005356253114100647,0.01233183856502242,0.009217737917289488,0.0057299451918286
491,E02000492,1,0.023553917641403622,0.9482454734818138,0.0020829995193078032,0.0049671526998878385,0.008812690273994553,0.005608075628905624,0.006729690754686749
492,E02000493,1,0.057040694704580286,0.9099267835859016,0.0034054146092286734,0.004086497531074408,0.011918951132300357,0.0069810999489187805,0.006640558487995913
493,E02000494,1,0.2104075401566441,0.7060931899641577,0.003849727864064782,0.035975043143501924,0.012345679012345678,0.01898314084694013,0.012345679012345678
494,E02000495,1,0.1521095890410959,0.7533150684931507,0.004931506849315068,0.036054794520547946,0.020383561643835615,0.020164383561643837,0.01304109589041096
495,E02000496,1,0.06459802538787024,0.873342736248237,0.004795486600846262,0.015655853314527502,0.016784203102961918,0.011988716502115656,0.012834978843441466
496,E02000497,1,0.12706122970727343,0.8072350760577783,0.005368784353828455,0.013933273680173846,0.017640291448293495,0.016234181260386043,0.012527163492266393
497,E02000498,1,0.07516666666666667,0.86,0.004666666666666667,0.010833333333333334,0.018666666666666668,0.017166666666666667,0.0135
498,E02000499,1,0.09203516249334044,0.8437666489078316,0.002663825253063399,0.015716568993074054,0.017048481619605753,0.014651038891848695,0.014118273841236016
499,E02000500,1,0.09658688571023934,0.8184393145446821,0.006089788981730633,0.02096020393711939,0.024500778926497664,0.016569890950290326,0.01685313694944059
500,E02000501,1,0.0878772508242455,0.8501141262997718,0.00443824499112351,0.010905401978189197,0.020415926959168145,0.013441541973116916,0.012807506974384986
501,E02000502,1,0.11721763085399449,0.8075757575757576,0.006060606060606061,0.017768595041322315,0.020798898071625344,0.01790633608815427,0.012672176308539946
502,E02000503,1,0.07671435619141588,0.8569314257523434,0.005180069067587568,0.009990133201776023,0.024420325604341393,0.015170202269363591,0.011593487913172176
503,E02000504,1,0.07386284601474474,0.856308248713312,0.006120461816664348,0.013214633467798024,0.016413965781054387,0.018500486854917234,0.01557935735150925
504,E02000505,1,0.10939727802981206,0.8184057031756319,0.005443940375891122,0.01322099805573558,0.02799740764744005,0.013609850939727802,0.011924821775761504
505,E02000506,1,0.11662389506700883,0.8073852295409182,0.004847447961220416,0.017536355859709155,0.023952095808383235,0.014970059880239521,0.014684915882520673
506,E02000507,1,0.08731642189586115,0.8423230974632844,0.004005340453938585,0.012550066755674232,0.02630173564753004,0.015487316421895861,0.012016021361815754
507,E02000508,1,0.11150587592238316,0.779447936594698,0.009975403115605356,0.02801311833834381,0.019814156873462694,0.0308827548510522,0.02036075430445477
508,E02000509,1,0.1512144162966832,0.7474536432488901,0.009401932619482894,0.04322277357012275,0.015800470096630975,0.01788978845651606,0.015016975711674067
509,E02000510,1,0.10029302077783697,0.8273841236014917,0.006526371870005328,0.013985082578582844,0.02011188066062866,0.016515716568993075,0.015183803942461374
510,E02000511,1,0.0991774383078731,0.8380728554641598,0.005052878965922444,0.010340775558166862,0.026439482961222092,0.010810810810810811,0.010105757931844888
511,E02000512,1,0.125,0.8101230425055929,0.006012304250559284,0.012164429530201342,0.021252796420581657,0.012863534675615212,0.012583892617449664
512,E02000513,1,0.15701058201058202,0.7845238095238095,0.004761904761904762,0.01164021164021164,0.023544973544973546,0.009391534391534392,0.009126984126984128
513,E02000514,1,0.26734600412182274,0.6734600412182277,0.00492328829860316,0.014082894435539272,0.024845431646439202,0.007671170139683993,0.007671170139683993
514,E02000515,1,0.0954876937101185,0.8266864175022789,0.0054694621695533276,0.021194165907019145,0.01743391066545123,0.016978122151321787,0.016750227894257064
515,E02000516,1,0.2663494221617947,0.6847042828008157,0.0023113528212100613,0.014004078857919782,0.01699524133242692,0.009517335146159076,0.006118286879673691
516,E02000517,1,0.17315506619478307,0.761305544632324,0.006685017695635077,0.013238956612924367,0.025560361777428233,0.008389041814130293,0.011666011272774938
517,E02000518,1,0.09247229652273596,0.8482995796713795,0.004458030824098841,0.012100369379696854,0.015666794038975928,0.01719526175009553,0.00980766781301745
518,E02000519,1,0.20752921989671105,0.7268279423756455,0.005843979342212558,0.01182386518075564,0.024734982332155476,0.009241641750475673,0.013998369122044033
519,E02000520,1,0.21368271022914154,0.7120929722618135,0.004275846946606732,0.010305887512334173,0.03289113035851332,0.012608266637430107,0.014143186054160728
520,E02000521,1,0.12763670562945048,0.8076044605669757,0.00510546822517802,0.012494961708988311,0.027408303103587262,0.009539164315464194,0.01021093645035604
521,E02000522,1,0.10813019201961051,0.8187389350401744,0.004902628353533978,0.01743156747923192,0.018384856325752416,0.017567751600163422,0.014844069181533434
522,E02000523,1,0.2838904974993419,0.6485917346670176,0.004869702553303501,0.013161358252171624,0.03185048697025533,0.008291655698868123,0.009344564359041853
523,E02000524,1,0.1344747340425532,0.7746010638297872,0.006981382978723404,0.029587765957446808,0.026263297872340427,0.01579122340425532,0.012300531914893617
524,E02000525,1,0.21624965631014573,0.697277976354138,0.00769865273577124,0.021858674731921914,0.036156172669782785,0.014022546054440473,0.006736321143799835
525,E02000526,1,0.1940939248081176,0.6677507480161311,0.006374398334851047,0.05958111096656693,0.031611812150383764,0.025497593339404188,0.015090412384545336
526,E02000527,1,0.2442320819112628,0.6036860068259385,0.011877133105802047,0.06552901023890785,0.031126279863481227,0.026621160409556314,0.016928327645051193
527,E02000528,1,0.19491416032012393,0.7140828707886924,0.006712275719633407,0.03046340518910546,0.028656254033819543,0.01639344262295082,0.008777591325674454
528,E02000529,1,0.38204201793121906,0.5633614344975244,0.0029439314866854006,0.01378295196039074,0.02114278067710424,0.011508095811588384,0.005218787635487756
529,E02000530,1,0.3547685616651134,0.5945945945945946,0.0026405716060888475,0.015843429636533086,0.016309412861136997,0.009009009009009009,0.006834420627524076
530,E02000531,1,0.16158221302998965,0.7277662874870734,0.007626680455015512,0.02624095139607032,0.04576008273009307,0.01641675284384695,0.014607032057911066
531,E02000532,1,0.20018852362436668,0.6742076116413338,0.006833981383292094,0.04571697890891952,0.03134205255096029,0.025215034759043242,0.016495817132084364
532,E02000533,1,0.21074589127686472,0.6595448798988622,0.010493046776232617,0.042730720606826804,0.02806573957016435,0.031352718078381796,0.01706700379266751
533,E02000534,1,0.23233830845771145,0.6729684908789386,0.008291873963515755,0.022885572139303482,0.03233830845771144,0.01791044776119403,0.013266998341625208
534,E02000535,1,0.39369202226345085,0.5602968460111317,0.0024737167594310453,0.01595547309833024,0.013729128014842301,0.006926406926406926,0.006926406926406926
535,E02000536,1,0.39128843338213765,0.5518545632015618,0.004758418740849195,0.018301610541727673,0.01891166422645193,0.009272816007808687,0.005612493899463153
536,E02000537,1,0.415973597359736,0.5178877887788779,0.005016501650165017,0.02693069306930693,0.01570957095709571,0.010693069306930694,0.007788778877887789
537,E02000538,1,0.4009856049798988,0.5380625081053041,0.0028530670470756064,0.030735313188950848,0.01219037738295941,0.009466995201659967,0.005706134094151213
538,E02000539,1,0.15275223734216012,0.7578766703444894,0.007233051366924114,0.024273630011033467,0.025989947284540887,0.01802133137182788,0.013853132279024152
539,E02000540,1,0.26505050505050504,0.6412121212121212,0.007407407407407408,0.02734006734006734,0.025454545454545455,0.021144781144781143,0.012390572390572391
540,E02000541,1,0.40365058670143417,0.536245110821382,0.003259452411994785,0.02359843546284224,0.017209908735332465,0.010039113428943938,0.005997392438070404
541,E02000542,1,0.4064419271188754,0.5227241708748465,0.004913334243210045,0.024020745189026887,0.023338337655247714,0.010372594513443429,0.008188890405350075
542,E02000543,1,0.32388451443569555,0.5969816272965879,0.007349081364829396,0.022178477690288714,0.023884514435695538,0.015879265091863517,0.00984251968503937
543,E02000544,1,0.22707774798927613,0.6979892761394102,0.005093833780160858,0.01769436997319035,0.025067024128686326,0.014343163538873995,0.012734584450402145
544,E02000545,1,0.20866922162019294,0.7030527289546716,0.007929166116030131,0.023787498348090394,0.025241178802695916,0.019029998678472312,0.012290207479846703
545,E02000546,1,0.4009852216748768,0.5496305418719212,0.0032019704433497538,0.019458128078817735,0.013423645320197044,0.008743842364532019,0.0045566502463054185
546,E02000547,1,0.13714285714285715,0.8016883116883117,0.003896103896103896,0.017922077922077922,0.017662337662337664,0.012597402597402597,0.00909090909090909
547,E02000548,1,0.11221352711011738,0.8278367803242035,0.0037730575740637226,0.01593068753493572,0.01495248742314142,0.013555058692006707,0.011738401341531582
548,E02000549,1,0.1267813786551251,0.8110419085822865,0.0053837221577113905,0.016151166473134172,0.018367993243956507,0.01351208698405996,0.00876174390372638
549,E02000550,1,0.10433174854727945,0.8431061806656102,0.004094030639197042,0.012678288431061807,0.015055467511885896,0.01386687797147385,0.006867406233491812
550,E02000551,1,0.13559322033898305,0.8068051484643813,0.0030584936918567605,0.019243022811265453,0.01325347266471263,0.014527845036319613,0.007518796992481203
551,E02000552,1,0.08384123680689758,0.8491155046826223,0.0049056042812546455,0.01991972647539765,0.01739259699717556,0.013676230117437193,0.011149100639215103
552,E02000553,1,0.08284313725490196,0.859313725490196,0.0032679738562091504,0.014215686274509804,0.017320261437908498,0.013071895424836602,0.009967320261437908
553,E02000554,1,0.242526032919046,0.6293808084201097,0.010525137162691748,0.04210054865076699,0.04512372634643377,0.021050274325383495,0.009293472175568246
554,E02000555,1,0.20560967022649923,0.654265931228729,0.01114892618237296,0.04271799084614482,0.05680084497124751,0.020420138481398897,0.009036498063607557
555,E02000556,1,0.24079915878023134,0.6241850683491063,0.007676130389064143,0.046898002103049424,0.04742376445846477,0.02124079915878023,0.01177707676130389
556,E02000557,1,0.1955249121894107,0.6405619877715624,0.012098347860023416,0.0485234812020294,0.06816703525432548,0.02276570833875374,0.012358527383894887
557,E02000558,1,0.3107138196528775,0.580973509069555,0.00782983165861934,0.032232806994649615,0.043325068511027014,0.01683413806603158,0.008090826047239985
558,E02000559,1,0.20894044419295515,0.6501626821332579,0.009902390720045269,0.050926580845947096,0.0445607582402037,0.024897439524685247,0.010609704342905644
559,E02000560,1,0.23802658978055422,0.6078808265257087,0.00945058465481339,0.07720647124779753,0.03748197981739548,0.01874098990869774,0.011212558065032836
560,E02000561,1,0.16171970624235005,0.6992044063647491,0.01116891064871481,0.05324357405140759,0.04130966952264382,0.021878824969400246,0.011474908200734393
561,E02000562,1,0.194440621989817,0.6879042245768543,0.008669327095087382,0.03577817531305903,0.0361910004128251,0.027108848217971653,0.009907802394385578
562,E02000563,1,0.21861937935402154,0.648385053831539,0.006839772007599746,0.04319189360354655,0.05155161494616846,0.02241925269157695,0.008993033565547814
563,E02000564,1,0.2173235706496339,0.6381056239289609,0.006854650257049385,0.05265617697460664,0.044866801682505064,0.024302850911356907,0.01589032559588721
564,E02000565,1,0.2512392012462824,0.6450927630647217,0.007222772978331681,0.03767171788698485,0.027899730916300807,0.020676957937969125,0.010196855969409432
565,E02000566,1,0.19197110709820808,0.6817613557438533,0.009723572718433115,0.04820113904708987,0.03125434088067787,0.0252812890679261,0.01180719544381164
566,E02000567,1,0.1774580335731415,0.6988694758478932,0.008678771268699327,0.040310608655932396,0.033002169692817176,0.02717825739408473,0.014502683567431769
