,GEOGRAPHY_CODE,All people aged 3 and over,No knowledge of Welsh,Other combination of skills,Speaks and reads but does not write Welsh,Speaks but does not read or write Welsh,"Speaks, reads and writes Welsh",Understands spoken Welsh only
17,W02000018,1,0.15349519309108686,0.012220954863940035,0.021671826625386997,0.055401662049861494,0.7184291999348216,0.038781163434903045
18,W02000019,1,0.2076399942121256,0.012443929966719723,0.0227174070322674,0.05585298799016061,0.6467949645492693,0.054550716249457384
19,W02000020,1,0.20354794311056737,0.013457715246979661,0.018504358464597033,0.045878574705612477,0.6753326196666157,0.04327878880562777
20,W02000021,1,0.1608307815204367,0.01038476900545866,0.021435228331780055,0.05205698309146585,0.7126880575156437,0.04260418053521502
21,W02000022,1,0.3285616905248807,0.014485344239945467,0.019427402862985686,0.05112474437627812,0.5202794819359237,0.06612133605998637
22,W02000023,1,0.2893714689265537,0.011475988700564972,0.013418079096045197,0.03919491525423729,0.6027542372881356,0.043785310734463276
23,W02000024,1,0.20491649465190467,0.013886282604616251,0.01932820416588478,0.04897729405141678,0.6680427847626196,0.04484893976355789
24,W02000025,1,0.31285714285714283,0.021111111111111112,0.032857142857142856,0.06507936507936508,0.4957142857142857,0.07238095238095238
25,W02000026,1,0.4761640798226164,0.01759977827050998,0.020925720620842574,0.04337583148558758,0.36765521064301554,0.07427937915742794
26,W02000027,1,0.7063030303030303,0.025575757575757575,0.016363636363636365,0.03224242424242424,0.1452121212121212,0.0743030303030303
27,W02000028,1,0.6383524441762221,0.03349426674713337,0.015691007845503924,0.03968014484007242,0.18527459263729631,0.08750754375377187
28,W02000029,1,0.6867529880478087,0.022244355909694556,0.016600265604249667,0.03203851261620186,0.16168658698539176,0.08067729083665338
29,W02000030,1,0.7427341227125942,0.024219590958019375,0.010046645138141371,0.02726946537495515,0.13850017940437748,0.057229996411912454
30,W02000031,1,0.8297229880530392,0.02074307470132598,0.006826834711828804,0.02179335696468426,0.07824602862019167,0.042667716948930026
31,W02000032,1,0.6101647971195125,0.029081844619858747,0.023265475695886995,0.04154549231408392,0.20246503254396897,0.09347735770668883
32,W02000033,1,0.6862401402278703,0.030850131463628395,0.015074496056091149,0.030499561787905347,0.16091148115687992,0.07642418930762489
33,W02000034,1,0.6871524311992014,0.02652217310708684,0.015257379153001568,0.03122771994866676,0.16740339369741908,0.07243690289462427
34,W02000035,1,0.654585527121342,0.032692543161503614,0.021182808864944287,0.035263866780947714,0.17325823435778132,0.08301701971348108
35,W02000036,1,0.7078628618353521,0.02525148840073907,0.015089304044344077,0.031102443030178607,0.15992609320468076,0.0607678094847054
36,W02000037,1,0.5527031108426457,0.03322259136212625,0.023859861069163393,0.0493808517064331,0.2414678344910903,0.09936575052854123
37,W02000038,1,0.5056955471177079,0.029168104936140835,0.026406627545736968,0.04556437694166379,0.2956506731101139,0.09751467034863652
38,W02000039,1,0.419446704637917,0.027393544887442365,0.031190669921345268,0.07011120151885002,0.3367236235421752,0.11513425549227013
39,W02000040,1,0.307241324671209,0.017746791316748535,0.018380605292346697,0.04278244335287593,0.5612422753921724,0.05260655997464744
40,W02000041,1,0.3000966884215615,0.01800821851583273,0.0337200870195794,0.06985738457819676,0.4914189025864153,0.08689871887841431
41,W02000042,1,0.8183644765923247,0.016475788627687362,0.007635121559172192,0.02129797066505927,0.09383162547719509,0.04239501707856138
42,W02000043,1,0.7498660953401178,0.02588823424388502,0.014997321906802356,0.029280485627566508,0.1297982503124442,0.05016961256918408
43,W02000044,1,0.7665969183945216,0.025680045653414495,0.013505801788092067,0.023968042609853527,0.1148944264789804,0.05535476507513791
44,W02000045,1,0.8049379826819565,0.02246665106482565,0.007956938918792417,0.02738123098525626,0.09419611514158671,0.043061081207582494
45,W02000046,1,0.755475763016158,0.0296229802513465,0.01400359066427289,0.023877917414721724,0.1272890484739677,0.04973070017953321
46,W02000047,1,0.7713879292826661,0.029059134322292218,0.010363747205852468,0.029465555781345253,0.11359479780532412,0.04612883560251981
47,W02000048,1,0.7444444444444445,0.024444444444444446,0.012121212121212121,0.02282828282828283,0.1317171717171717,0.06444444444444444
48,W02000049,1,0.6721365277321956,0.031178208073514933,0.01279947489333771,0.03413193304890056,0.18050541516245489,0.06924844108959632
49,W02000050,1,0.6997084548104956,0.027372853903466148,0.015873015873015872,0.03012633624878523,0.15711046323291222,0.06980887593132491
50,W02000051,1,0.6148033326874637,0.02925789575663631,0.018794807207905443,0.04340244138732804,0.21061809726797132,0.08312342569269521
51,W02000052,1,0.46715180917727916,0.03820497271073378,0.02688498079644229,0.06488781079442087,0.27248837679401655,0.13038204972710735
52,W02000053,1,0.38329519450800914,0.036449820202680616,0.03040209218698921,0.04691075514874142,0.40993788819875776,0.09300424975482184
53,W02000054,1,0.5467928496319664,0.03137048720644935,0.023133543638275498,0.04328776726253067,0.2663862600771118,0.08902909218366632
54,W02000055,1,0.43437931715018746,0.028024472074205643,0.027432405762778764,0.055259522399842116,0.3459640813104401,0.10894020130254589
55,W02000056,1,0.3821266521996449,0.029591635431051488,0.028013414874728745,0.05760505030578023,0.436180706253699,0.06648254093509567
56,W02000057,1,0.5469883583600472,0.0342500421798549,0.01872785557617682,0.038974185928800406,0.2795680782858107,0.08149147966930993
57,W02000058,1,0.6744607576581475,0.027188689505165852,0.02011963023382273,0.03733913358709443,0.17400761283306146,0.06688417618270799
58,W02000059,1,0.6940768746061752,0.03528670447385003,0.018431001890359167,0.03213610586011342,0.14996849401386264,0.07010081915563957
59,W02000060,1,0.7549236334405145,0.03918810289389067,0.011254019292604502,0.02582395498392283,0.10560691318327975,0.06320337620578778
60,W02000061,1,0.8043117744610282,0.023880597014925373,0.008955223880597015,0.019734660033167494,0.1011608623548922,0.04195688225538972
61,W02000062,1,0.7847777422449632,0.030220658778381836,0.009433962264150943,0.01726894787336105,0.11512631915574033,0.04317236968340262
62,W02000063,1,0.6792406311637081,0.03353057199211045,0.015902366863905327,0.03168145956607495,0.16346153846153846,0.07618343195266272
63,W02000064,1,0.8299215284885705,0.027976799727055614,0.005629477993858751,0.017059024223814397,0.08700102354145343,0.032412146025247356
64,W02000065,1,0.8267396184062851,0.025533108866442198,0.007575757575757576,0.016975308641975308,0.09497755331088664,0.0281986531986532
65,W02000066,1,0.8473520249221184,0.024922118380062305,0.006692050305757471,0.016268605053651783,0.07372793354101766,0.03103726779739241
66,W02000067,1,0.8358305139358788,0.023038504913806993,0.008699855002416627,0.01756081843080393,0.08973739326566779,0.02513291445142581
67,W02000068,1,0.8433827778848006,0.02369485648237334,0.010402619919090734,0.014833365440184935,0.07879021383163166,0.028896166441918704
