,GEOGRAPHY_CODE,All households,No adults in employment - with dependent children,No adults in employment - without dependent children,With dependent children - aged 0 to 4,With dependent children - all ages,With one or more people with a limiting long-term illness
19,E02000020,1,0.0671500630517024,0.35718789407314,0.10718789407313997,0.2730138713745271,0.40668348045397223
20,E02000021,1,0.08336239972096268,0.2459016393442623,0.15660969654691315,0.3767003836763167,0.35612138123474013
21,E02000022,1,0.21598190727478325,0.2766679231059178,0.2325669053901244,0.40369393139841686,0.34979268752355824
22,E02000023,1,0.1611243072050673,0.29493269992082344,0.19081551860649248,0.3503562945368171,0.35629453681710216
23,E02000024,1,0.02260778128286015,0.2797055730809674,0.1122502628811777,0.3017875920084122,0.2741850683491062
24,E02000025,1,0.035398230088495575,0.27462175278332857,0.09877248073080216,0.2646303168712532,0.27833285755067083
25,E02000026,1,0.03599683544303797,0.26582278481012656,0.11985759493670886,0.30419303797468356,0.2678006329113924
26,E02000027,1,0.09345542687853488,0.2639375168327498,0.14408833827093995,0.3805548074333423,0.3134931322380824
27,E02000028,1,0.03276595744680851,0.2561702127659575,0.10297872340425532,0.27914893617021275,0.25659574468085106
28,E02000029,1,0.043137254901960784,0.21930618401206636,0.12428355957767723,0.3049773755656109,0.2440422322775264
29,E02000030,1,0.04036806173938854,0.27189076877411694,0.12585336895221133,0.3517364203027605,0.2929652715939448
30,E02000031,1,0.025210084033613446,0.2860644257703081,0.11869747899159663,0.3067226890756303,0.27976190476190477
31,E02000032,1,0.024371667936024372,0.24562071591774562,0.12376237623762376,0.3571972581873572,0.2955064737242955
32,E02000033,1,0.06349206349206349,0.26355820105820105,0.12731481481481483,0.33465608465608465,0.3039021164021164
33,E02000034,1,0.03918590522478736,0.2709599027946537,0.11269744835965978,0.2852369380315917,0.2715674362089915
34,E02000035,1,0.03842662632375189,0.26444780635400905,0.10499243570347958,0.24962178517397882,0.24901664145234492
35,E02000036,1,0.048426150121065374,0.263653483992467,0.1415119720204466,0.33736884584342214,0.31476997578692495
36,E02000037,1,0.07005579665220087,0.2467451952882827,0.14662120272783633,0.40917544947303164,0.3115313081215127
37,E02000038,1,0.05060106234274532,0.23064020128599386,0.11657813810455689,0.3131115459882583,0.27033827229521945
38,E02000039,1,0.024926066751161807,0.24292353189691593,0.12843261512463033,0.3193916349809886,0.2522179974651457
39,E02000040,1,0.06696035242290749,0.28149779735682817,0.14889867841409693,0.3475770925110132,0.3118942731277533
40,E02000041,1,0.05,0.28843537414965986,0.12755102040816327,0.336734693877551,0.32108843537414966
41,E02000042,1,0.03449150393101699,0.2609688054780624,0.09789500380421,0.23484656353030686,0.28658381942683236
42,E02000043,1,0.03329461866047232,0.22493224932249323,0.1548586914440573,0.36314363143631434,0.25280681378242353
43,E02000044,1,0.09915907498248074,0.23370707778556413,0.15276804484933426,0.3875262789067975,0.3430273300630694
44,E02000045,1,0.07796523517382413,0.2305725971370143,0.1329243353783231,0.3121165644171779,0.293200408997955
45,E02000046,1,0.024296182028538373,0.23602005399151563,0.10451214809101426,0.22406478981874278,0.24450443501735442
46,E02000047,1,0.10343893853235851,0.2737611697806661,0.1445978878960195,0.34985106959111834,0.3460601137286759
47,E02000048,1,0.03301587301587302,0.2596825396825397,0.11714285714285715,0.3034920634920635,0.25873015873015875
48,E02000049,1,0.20415814587593728,0.21608725289706884,0.22665303340149967,0.48023176550783914,0.34901158827539197
49,E02000050,1,0.060244470314318975,0.23806752037252618,0.11932479627473806,0.3192665890570431,0.3137369033760186
50,E02000051,1,0.035769349367869255,0.2975639839654641,0.09774899784150477,0.25007708911501697,0.27412889300030835
51,E02000052,1,0.044422748352453016,0.24310471076397364,0.0976324139614352,0.2277276055650476,0.25945814010251406
52,E02000053,1,0.053227633069082674,0.2574556436391091,0.11211778029445074,0.26160815402038506,0.28576821442053607
53,E02000054,1,0.035541195476575124,0.2431340872374798,0.09531502423263329,0.2637318255250404,0.24192245557350567
54,E02000055,1,0.04487856388595565,0.3125659978880676,0.11562829989440337,0.24445617740232312,0.28299894403379094
55,E02000056,1,0.02443384982121573,0.25744934445768775,0.12574493444576879,0.31942789034564956,0.23152562574493443
56,E02000057,1,0.04245076586433261,0.25864332603938733,0.15579868708971553,0.3321663019693654,0.28665207877461707
57,E02000058,1,0.020855057351407715,0.30083420229405633,0.1251303441084463,0.2645985401459854,0.25938477580813346
