,GEOGRAPHY_CODE,All categories: Tenure,Other,Owned outright,Owned with a mortgage or loan,Rented from a housing association/registered social landlord,Rented from a private landlord or letting agency,Rented from council(local authority),Shared ownership
759,E02000760,1,0.027649769585253458,0.3343108504398827,0.38919145370758274,0.05194805194805195,0.08504398826979472,0.10850439882697947,0.0033514872224549644
760,E02000761,1,0.016900048285852245,0.35876388218252053,0.5016900048285853,0.0043457267020762915,0.06277160791887977,0.05166586190246258,0.00386286817962337
761,E02000762,1,0.02363724071394115,0.41196333815726,0.47660395561987456,0.001929570670525808,0.049686444766039554,0.03473227206946455,0.001447178002894356
762,E02000763,1,0.02565236620964175,0.31357806280406897,0.44537815126050423,0.02697921273772667,0.0800530738611234,0.09420610349402919,0.014153029632905795
763,E02000764,1,0.028093130652299403,0.31056378680007696,0.39291899172599576,0.06580719645949586,0.13488551087165673,0.0627284972099288,0.0050028862805464695
764,E02000765,1,0.026686074721009218,0.3508005822416303,0.44541484716157204,0.025715672003881612,0.10771470160116449,0.043668122270742356,0.0
765,E02000766,1,0.014043583535108959,0.39757869249394673,0.48329297820823247,0.004842615012106538,0.06440677966101695,0.0324455205811138,0.003389830508474576
766,E02000767,1,0.02028584601198709,0.33517750115260486,0.4817888427846934,0.018902720147533424,0.08298755186721991,0.05901337021668972,0.0018441678192715537
767,E02000768,1,0.018744551002615517,0.3343504795117698,0.45335658238884047,0.07454228421970358,0.07846556233653008,0.03836094158674804,0.002179598953792502
768,E02000769,1,0.01690712353471596,0.31650135256988277,0.5166816952209198,0.020513976555455365,0.0881424706943192,0.032687105500450855,0.008566275924256087
769,E02000770,1,0.029661016949152543,0.3038135593220339,0.45254237288135596,0.023305084745762712,0.15508474576271186,0.026271186440677965,0.009322033898305085
770,E02000771,1,0.02097902097902098,0.35664335664335667,0.42207792207792205,0.04795204795204795,0.1258741258741259,0.023476523476523476,0.002997002997002997
771,E02000772,1,0.02697495183044316,0.2798651252408478,0.48554913294797686,0.025048169556840076,0.15847784200385356,0.017341040462427744,0.00674373795761079
772,E02000773,1,0.031967582170193604,0.2854570013507429,0.47816298964430437,0.058081945069788386,0.10490769923457902,0.028365601080594327,0.013057181449797388
773,E02000774,1,0.02959135744480977,0.26820103334899015,0.45937059652418977,0.024424612494128698,0.20291216533583842,0.012682010333489901,0.0028182245185533112
774,E02000775,1,0.0248565965583174,0.2729445506692161,0.48996175908221795,0.018164435946462717,0.16061185468451242,0.029636711281070746,0.0038240917782026767
775,E02000776,1,0.027268220128904314,0.2736737729300942,0.4119980168567179,0.03272186415468518,0.2285572632622707,0.022310361923648984,0.0034705007436787306
776,E02000777,1,0.02052401746724891,0.2995633187772926,0.4580786026200873,0.024890829694323144,0.06986899563318777,0.12532751091703057,0.0017467248908296944
777,E02000778,1,0.020452885317750184,0.23009495982468955,0.5052349646944242,0.029948867786705625,0.1670318967616265,0.038957876795714635,0.008278548819089359
778,E02000779,1,0.036057692307692304,0.18709935897435898,0.3269230769230769,0.046474358974358976,0.3641826923076923,0.03485576923076923,0.004407051282051282
779,E02000780,1,0.03598484848484849,0.24053030303030304,0.3990800865800866,0.032467532467532464,0.22673160173160173,0.060064935064935064,0.005140692640692641
780,E02000781,1,0.016385424309122036,0.37172902910247,0.4590364392271949,0.02690144289557349,0.08217168011738811,0.040107605771582296,0.003668378576669112
781,E02000782,1,0.025718608169440244,0.1857034795763994,0.4171709531013616,0.04803328290468986,0.2526475037821483,0.0586232980332829,0.012102874432677761
782,E02000783,1,0.04291845493562232,0.17358130662851692,0.3948497854077253,0.14210777300906055,0.15879828326180256,0.07010014306151645,0.01764425369575584
783,E02000784,1,0.043026347594875516,0.30335992264926276,0.30867778583514627,0.09741358472322939,0.18757553782934494,0.05607928450568044,0.0038675368624607204
784,E02000785,1,0.03691355084543939,0.3305548940223863,0.3338890211955227,0.04929745177423196,0.2314836865920457,0.01428911645629912,0.00357227911407478
785,E02000786,1,0.03596361328538185,0.25597630632536494,0.37190607150412525,0.09435159720753121,0.17474085043367887,0.06050349058599534,0.006558070657922572
786,E02000787,1,0.04131812420785805,0.23219264892268696,0.34752851711026617,0.1302915082382763,0.1634980988593156,0.07807351077313054,0.007097591888466414
787,E02000788,1,0.03471826977803073,0.309049516220831,0.4137734775184974,0.05919180421172453,0.1593625498007968,0.021912350597609563,0.00199203187250996
788,E02000789,1,0.03880190605854323,0.26480599046970726,0.27365554799183117,0.17801225323349218,0.2277059223961879,0.013614703880190605,0.0034036759700476512
789,E02000790,1,0.025811823480432972,0.2793505412156536,0.47252289758534555,0.020815986677768527,0.19691923397169026,0.0033305578684429643,0.0012489592006661116
790,E02000791,1,0.06449445750755795,0.2774605307356399,0.2831709774941216,0.06348673160900235,0.2992945918710111,0.007725898555592879,0.004366812227074236
791,E02000792,1,0.03210576015108593,0.27132514951211834,0.364494806421152,0.03997481901164621,0.26912181303116145,0.02077431539187913,0.0022033364809568774
792,E02000793,1,0.04181878526385662,0.3219382675074676,0.44307998672419513,0.07699966810487886,0.0829737802854298,0.026551609691337536,0.006637902422834384
793,E02000794,1,0.024177566389219182,0.345620293301625,0.4593737613951645,0.013079667063020214,0.13396749900911614,0.012286959968291716,0.011494252873563218
794,E02000795,1,0.043707001214083364,0.42695265074868477,0.3557264265479563,0.049777418049372725,0.09267503035208417,0.02792391744233104,0.003237555645487657
795,E02000796,1,0.03015873015873016,0.32566137566137565,0.41375661375661377,0.0917989417989418,0.04894179894179894,0.0880952380952381,0.0015873015873015873
796,E02000797,1,0.02638700947225981,0.2418809201623816,0.4610960757780785,0.03450608930987822,0.21346414073071718,0.012516914749661705,0.010148849797023005
797,E02000798,1,0.02269503546099291,0.27635933806146573,0.4836879432624113,0.05531914893617021,0.09976359338061466,0.05673758865248227,0.005437352245862884
798,E02000799,1,0.027989821882951654,0.3231552162849873,0.42281594571670905,0.0453774385072095,0.1441899915182358,0.033502968617472435,0.0029686174724342664
799,E02000800,1,0.037418147801683815,0.2675397567820393,0.3578110383536015,0.1342376052385407,0.0734331150608045,0.11927034611786716,0.01028999064546305
800,E02000801,1,0.031459879816189466,0.29056203605514314,0.4574054436196536,0.02191587133262637,0.16436903499469777,0.022622834924001415,0.01166489925768823
801,E02000802,1,0.02707647274057812,0.2982070984266374,0.45590925722649106,0.06805708013172337,0.11964873765093303,0.026710574460300035,0.0043907793633369925
802,E02000803,1,0.03350970017636684,0.2698412698412698,0.41622574955908287,0.12144116906021668,0.0655076845553036,0.07608969513731419,0.017384731670445956
803,E02000804,1,0.0373109243697479,0.24974789915966386,0.4366386554621849,0.07327731092436975,0.15831932773109245,0.040336134453781515,0.004369747899159664
804,E02000805,1,0.041242115477923336,0.29209121785541,0.39204269771955363,0.08175642891800097,0.14264919941775836,0.044638524987869965,0.005579815623483746
805,E02000806,1,0.03644929333002728,0.31019092486982397,0.4093726754277213,0.09471857178279197,0.10141333994545004,0.040664517728737914,0.007190676915447558
