,GEOGRAPHY_CODE,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household,All categories: Car or van availability,No cars or vans in household,sum of all cars or vans in the area
6101,E02006102,0.48947197926789765,0.17881438289601556,0.030774214447683836,0.006802721088435374,1,0.2941367022999676,0.9714933592484613
6102,E02006103,0.4386431659461257,0.3418689723977386,0.0884602593947456,0.02926504822081809,1,0.101762554040572,1.5181243764549386
6103,E02006104,0.5062200956937799,0.28771929824561404,0.0456140350877193,0.011483253588516746,1,0.14896331738437002,1.2688995215311005
6104,E02006105,0.4966308959321188,0.17868729722984777,0.02969802845021213,0.007736461192912403,1,0.2872473171949089,0.9780384327427003
6105,E02006106,0.48954578226387885,0.2642393655371305,0.051550108147080026,0.014780100937274693,1,0.1798846431146359,1.2422494592645998
6106,E02006107,0.45524599881446354,0.16271487848251334,0.02934202726733847,0.006224066390041493,1,0.34647302904564314,0.8962655601659751
6107,E02006108,0.48467274233637114,0.1668047500690417,0.028445180889257113,0.008008837337752003,1,0.31206848936757803,0.9414526373929853
6108,E02006109,0.5356184798807749,0.284053651266766,0.047391952309985094,0.013412816691505217,1,0.1195230998509687,1.3064083457526081
6109,E02006110,0.5166561910747958,0.19893148962916404,0.0339409176618479,0.008799497171590195,1,0.24167190446260214,1.0562539283469516
6110,E02006111,0.4654915590863952,0.32522343594836145,0.07447864945382324,0.026812313803376366,1,0.10799404170804369,1.467974180734856
6111,E02006112,0.4211225506476254,0.3723015609432082,0.08070408502158752,0.034207904350714045,1,0.09166389903686482,1.5659249418797743
6112,E02006113,0.4755980861244019,0.18532695374800637,0.03094098883572568,0.011483253588516746,1,0.2966507177033493,0.9904306220095693
6113,E02006114,0.5414346544382574,0.20766459220438913,0.03209957418932198,0.013756960366852276,1,0.20504421880117918,1.1116934163118244
6114,E02006115,0.5006020469596628,0.21493076459963878,0.045755568934376885,0.016556291390728478,1,0.22215532811559302,1.1411800120409392
6115,E02006116,0.44018856806128465,0.3320565704183854,0.09251620506776664,0.030053034767236298,1,0.10518562168532705,1.5144372421921037
6116,E02006117,0.47813303932377804,0.2958471150312385,0.07166482910694598,0.0260933480338111,1,0.12826166850422638,1.3976479235575157
6117,E02006118,0.43017366136034735,0.3614327062228654,0.09008683068017366,0.02206946454413893,1,0.09623733719247468,1.5177279305354558
6118,E02006119,0.4434920634920635,0.1895238095238095,0.0326984126984127,0.012380952380952381,1,0.3219047619047619,0.9733333333333334
6119,E02006120,0.47085472666868017,0.21262458471760798,0.048323769254001815,0.01117487163998792,1,0.25702204771972215,1.0912111144669283
6120,E02006121,0.4253075571177504,0.30887521968365556,0.05008787346221441,0.012741652021089631,1,0.20298769771529,1.2482425307557117
6121,E02006122,0.46435604568727845,0.2701851122489169,0.04608113430484443,0.010240252067743205,1,0.20913745569121703,1.1862938164631744
