,GEOGRAPHY_CODE,All usual residents aged 16 to 74,Economically Inactive,Economically active,Economically active: Employee: Full-time,Economically active: Employee: Part-time,Economically active: Full-time student,Economically active: In employment,Economically active: Self-employed,Economically active: Unemployed,Economically inactive: Long-term sick or disabled,Economically inactive: Looking after home or family,Economically inactive: Other,Economically inactive: Retired,Economically inactive: Student (including full-time students),Long-term unemployed,Unemployed: Age 16 to 24,Unemployed: Age 50 to 74,Unemployed: Never worked
4946,E02004947,3206.0,0.2029527968392597,0.7970472031607403,0.5416926595965897,0.12892493241838218,0.028488251195674774,0.7461010605115409,0.07548346849656894,0.022457891453524642,0.02412143896860054,0.04782699105843211,0.013932210438760657,0.09274277396548139,0.024329382407985028,0.004158868787689749,0.009357454772301934,0.0035350384695362865,0.0009357454772301934
4947,E02004948,2982.0,0.26939414263357925,0.7306058573664207,0.4927341828750279,0.11602951039570758,0.02682763246143528,0.6789626648781578,0.07019897160742232,0.02481556002682763,0.04538341158059468,0.05857366420746702,0.022132796780684104,0.11044042029957522,0.03286384976525822,0.008048289738430584,0.0049183992845964674,0.007154035323049407,0.0017885088307623518
4948,E02004949,3536.6666666666665,0.30122525918944393,0.6987747408105561,0.44410933081998116,0.12836946277097078,0.02620169651272385,0.6441093308199812,0.07163053722902922,0.028463713477851087,0.04241281809613572,0.0586239396795476,0.029594721960414707,0.1470311027332705,0.0235626767200754,0.007728557964184732,0.006032045240339302,0.0069745523091423196,0.0020735155513666352
4949,E02004950,3028.6666666666665,0.29738058551617874,0.7026194144838213,0.4514637904468413,0.13669381465991637,0.024873431653092668,0.6526524323134493,0.06449482720669163,0.025093550517279333,0.03896103896103896,0.06339423288575831,0.024213075060532687,0.14285714285714288,0.027955095751705922,0.006603565925599824,0.009685230024213076,0.0031917235307065816,0.0022011886418666082
4950,E02004951,2944.6666666666665,0.3275979171383292,0.6724020828616708,0.4041204437400951,0.13380122254924157,0.026262168892913742,0.6024450984831334,0.06452343219379669,0.04369481548562373,0.05320353180892008,0.07652252660176591,0.02988453701607426,0.14625311297260585,0.021734208738963097,0.015621462531129726,0.008150328277111162,0.008150328277111162,0.0031695721077654522
4951,E02004952,3172.0,0.25935266918873473,0.7406473308112653,0.4827658680117696,0.12295081967213115,0.027322404371584702,0.6849516603614964,0.07923497267759563,0.02837326607818411,0.039512400168137875,0.06158049600672552,0.023539302227826818,0.1151744430432955,0.019546027742749054,0.008617065994115174,0.007776376628835646,0.003572929802437999,0.0016813787305590584
4952,E02004953,2890.6666666666665,0.31872693726937273,0.6812730627306273,0.4107472324723247,0.14252767527675278,0.028597785977859783,0.617389298892989,0.06411439114391145,0.0352859778597786,0.05350553505535055,0.07126383763837639,0.02583025830258303,0.1441420664206642,0.023985239852398525,0.010378228782287823,0.011300738007380073,0.0046125461254612555,0.0010378228782287823
4953,E02004954,2838.6666666666665,0.2928604978863316,0.7071395021136684,0.4572569281352748,0.12541099107562237,0.028886801315171445,0.6486613433536872,0.06599342414279005,0.02959135744480977,0.0361672146547675,0.06364490371066228,0.021136683889149837,0.14279004227336778,0.029121653358384222,0.010098637858149366,0.007045561296383279,0.0065758572099577275,0.0023485204321277596
4954,E02004955,2823.3333333333335,0.28170011806375445,0.7182998819362455,0.4580873671782762,0.13648170011806374,0.02975206611570248,0.6649350649350648,0.0703659976387249,0.023612750885478158,0.03612750885478158,0.05974025974025973,0.020306965761511215,0.1357733175914994,0.02975206611570248,0.005667060212514757,0.006847697756788665,0.004722550177095631,0.0017709563164108617
4955,E02004956,3856.6666666666665,0.28556611927398445,0.7144338807260157,0.42644770959377704,0.12739844425237684,0.020051858254105444,0.6767502160760588,0.12290406222990494,0.01763180639585134,0.02454624027657736,0.06292134831460675,0.019533275713050993,0.15073465859982715,0.027830596369922214,0.004667242869490061,0.003975799481417459,0.006222990492653414,0.0007778738115816768
4956,E02004957,3706.6666666666665,0.24280575539568347,0.7571942446043165,0.5098920863309353,0.11798561151079137,0.021223021582733814,0.7120503597122303,0.0841726618705036,0.02392086330935252,0.03884892086330936,0.055395683453237414,0.02410071942446043,0.10143884892086331,0.02302158273381295,0.008093525179856115,0.00485611510791367,0.00485611510791367,0.001079136690647482
4957,E02004958,3319.3333333333335,0.2952400080337417,0.7047599919662583,0.40389636473187385,0.13556939144406507,0.023699538059851376,0.6657963446475196,0.12633058847158063,0.015264109258887326,0.016870857601928097,0.06768427395059248,0.016670014059048003,0.16368748744727857,0.030327374974894558,0.004217714400482024,0.0038160273147218315,0.00441855794336212,0.0
4958,E02004959,2472.0,0.34627831715210355,0.6537216828478964,0.37162891046386193,0.0860302049622438,0.02481121898597627,0.6140776699029126,0.15641855447680691,0.01483279395900755,0.011596548004314994,0.0889967637540453,0.021305285868392664,0.15426105717367852,0.07011866235167206,0.00296655879180151,0.0037756202804746495,0.005393743257820928,0.0
4959,E02004960,2509.3333333333335,0.32093517534537724,0.6790648246546227,0.3945270988310308,0.10653560042507969,0.022848034006376194,0.6362911795961743,0.13522848034006374,0.019925611052072262,0.01567481402763018,0.09883103081827842,0.01620616365568544,0.14798087141339,0.0422422954303932,0.0029224229543039315,0.003188097768331562,0.007704569606801275,0.001328374070138151
4960,E02004961,4258.0,0.24487239705652109,0.755127602943479,0.48363864098951,0.12885548770940972,0.02943478941600125,0.7078440582433068,0.09534992954438704,0.017848755284170972,0.016909347111319868,0.056207922342257716,0.018318459370596524,0.12556755910443088,0.02786910912791608,0.0028182245185533112,0.0034444966337873807,0.004383904806638484,0.0017613903240958197
4961,E02004962,4032.0,0.26091269841269843,0.7390873015873016,0.4851190476190476,0.11028439153439154,0.019014550264550265,0.6970899470899471,0.10168650793650794,0.022982804232804233,0.020833333333333332,0.05935846560846561,0.022321428571428572,0.1283068783068783,0.03009259259259259,0.00462962962962963,0.005952380952380952,0.005621693121693122,0.0011574074074074076
4962,E02004963,3112.6666666666665,0.2739344613407582,0.7260655386592418,0.43649603769543804,0.13643178410794604,0.02741486399657314,0.6727350610409082,0.0998072392375241,0.02591561362176055,0.038552152495180986,0.0728207324908974,0.02291711287213536,0.1137288498607839,0.02591561362176055,0.008138787748982652,0.007067894624116514,0.004497751124437782,0.0017134289997858213
4963,E02004964,2600.0,0.2907692307692308,0.7092307692307692,0.44871794871794873,0.11615384615384615,0.018205128205128207,0.6658974358974359,0.10102564102564103,0.025128205128205128,0.028974358974358974,0.07538461538461538,0.025641025641025644,0.12538461538461537,0.03538461538461538,0.005897435897435898,0.006153846153846154,0.005641025641025641,0.0015384615384615385
4964,E02004965,3138.0,0.31208837900998515,0.6879116209900148,0.4219247928616954,0.124282982791587,0.015296367112810707,0.6494582536647546,0.10325047801147227,0.023157000212449545,0.02676864244741874,0.05969832164860846,0.022944550669216062,0.17612067134055662,0.026556192904185254,0.006798385383471425,0.0053112385808370514,0.0076481835564053535,0.0023369449755683024
4965,E02004966,3342.6666666666665,0.3593936976465895,0.6406063023534105,0.3428400478659753,0.10331072995612285,0.01715197447147986,0.6063023534104508,0.16015157558835263,0.01715197447147986,0.012564818508177105,0.10390905464698844,0.028121260470682093,0.14060630235341046,0.07419226166733148,0.0045871559633027525,0.002393298763462306,0.004986039090546471,0.0008974870362983646
4966,E02004967,3056.6666666666665,0.30163576881134135,0.6983642311886586,0.4429661941112323,0.12257360959651037,0.02050163576881134,0.6423118865866958,0.07677208287895311,0.03555070883315158,0.05670665212649946,0.08745910577971647,0.02835332606324973,0.10599781897491822,0.023118865866957473,0.011559432933478737,0.00806979280261723,0.0065430752453653224,0.0019629225736095966
4967,E02004968,3218.6666666666665,0.27174813587406793,0.7282518641259321,0.4830157415078708,0.11743993371996686,0.019676884838442422,0.6824772162386081,0.08202154101077051,0.026097763048881527,0.0403893951946976,0.05737365368682684,0.023819386909693457,0.12572493786246894,0.024440762220381114,0.006628003314001657,0.00579950289975145,0.005178127589063795,0.0013463131731565865
4968,E02004969,3250.0,0.2568205128205128,0.7431794871794872,0.47856410256410253,0.13435897435897437,0.027282051282051283,0.6957948717948719,0.08287179487179487,0.0201025641025641,0.02912820512820513,0.06092307692307692,0.024,0.1124102564102564,0.03035897435897436,0.005743589743589744,0.0036923076923076922,0.0043076923076923075,0.0009230769230769231
4969,E02004970,3290.0,0.3098277608915907,0.6901722391084093,0.44822695035460997,0.12239108409321175,0.02451874366767984,0.6389057750759879,0.06828774062816616,0.026747720364741642,0.047619047619047616,0.05977710233029382,0.023505572441742652,0.15319148936170213,0.02573454913880446,0.006686930091185411,0.006686930091185411,0.0022289766970618034,0.000911854103343465
4970,E02004971,3338.6666666666665,0.2569888178913738,0.7430111821086262,0.4918130990415336,0.12300319488817893,0.028953674121405752,0.6898961661341854,0.07507987220447285,0.024161341853035145,0.03654153354632588,0.06349840255591055,0.028154952076677318,0.09804313099041534,0.030750798722044732,0.0053913738019169336,0.006789137380191694,0.004792332268370607,0.0019968051118210866
4971,E02004972,2793.3333333333335,0.22004773269689734,0.7799522673031025,0.511217183770883,0.1322195704057279,0.02720763723150358,0.7384248210023865,0.09498806682577564,0.01431980906921241,0.019331742243436752,0.050119331742243436,0.020763723150357995,0.10310262529832935,0.026730310262529835,0.0035799522673031024,0.0021479713603818613,0.003102625298329355,0.0010739856801909307
