,GEOGRAPHY_CODE,All people aged 16 to 74 in employment,Average distance (km) travelled to fixed place of work,Bicycle,"Bus, minibus or coach",Driving a car or van,"Motorcycle, scooter or moped",On foot,Other,Passenger in a car or van,Public transport users in households - with a car or van,Public transport users in households - without a car or van,Taxi or minicab,Train,"Underground, metro, light rail, tram",Work mainly at or from home
1202,E02001203,2998.0,16.09,0.005003335557038025,0.03268845897264843,0.6841227484989993,0.004002668445630421,0.04136090727151434,0.00333555703802535,0.04236157438292195,0.0933955970647098,0.0063375583722481655,0.00133422281521014,0.06537691794529686,0.001667778519012675,0.11874583055370247
1203,E02001204,4665.0,8.72,0.02679528403001072,0.09967845659163987,0.5787781350482315,0.0077170418006430866,0.10782422293676314,0.0027867095391211146,0.0632368703108253,0.09410503751339765,0.04051446945337621,0.005144694533762058,0.033654876741693464,0.0012861736334405145,0.07309753483386924
1204,E02001205,3965.0,9.41,0.02269861286254729,0.10264817150063052,0.5677175283732661,0.00605296343001261,0.12610340479192939,0.004539722572509458,0.06582597730138713,0.09255989911727616,0.04136191677175284,0.005296343001261034,0.03127364438839849,0.0007566204287515763,0.06708701134930643
1205,E02001206,3200.0,12.95,0.01,0.0625,0.6075,0.006875,0.10125,0.0046875,0.048125,0.1075,0.0215625,0.003125,0.06625,0.00125,0.0884375
1206,E02001207,3882.0,11.11,0.015198351365275631,0.058475012879958786,0.6978361669242659,0.00824317362184441,0.04636785162287481,0.0020607934054611026,0.05512622359608449,0.07238536836682123,0.011076764554353425,0.004379185986604843,0.02472952086553323,0.0,0.08758371973209686
1207,E02001208,3605.0,10.97,0.029958391123439666,0.08488210818307906,0.6319001386962552,0.009708737864077669,0.08876560332871013,0.0027739251040221915,0.05520110957004161,0.07517337031900138,0.024133148404993063,0.004715672676837725,0.013869625520110958,0.0008321775312066575,0.07739251040221914
1208,E02001209,3702.0,9.65,0.024311183144246355,0.09805510534846029,0.5767152890329552,0.007293354943273906,0.09454349000540249,0.0035116153430578066,0.059967585089141004,0.10723933009184225,0.048892490545651,0.004862236628849271,0.05672609400324149,0.001350621285791464,0.07266342517558076
1209,E02001210,2944.0,8.22,0.02717391304347826,0.13383152173913043,0.5448369565217391,0.0078125,0.11345108695652174,0.004076086956521739,0.07404891304347826,0.09069293478260869,0.060122282608695655,0.00577445652173913,0.016983695652173912,0.0,0.07201086956521739
1210,E02001211,2673.0,13.36,0.01646090534979424,0.05723905723905724,0.6928544706322484,0.006359895248784137,0.04152637485970819,0.004863449307893753,0.040029928918817806,0.081556303778526,0.010849233071455293,0.00411522633744856,0.03479236812570146,0.0,0.1017583239805462
1211,E02001212,2239.0,8.82,0.03126395712371594,0.12282268870031264,0.5359535506922734,0.01027244305493524,0.1125502456453774,0.0026797677534613666,0.06699419383653417,0.09245198749441715,0.05895489057615007,0.005359535506922733,0.02813756141134435,0.0013398838767306833,0.08262617239839214
1212,E02001213,4619.0,10.77,0.021216713574366747,0.08356787183373024,0.5845421086815328,0.006494912318683698,0.09958865555315004,0.0023814678501840225,0.056289240095258715,0.1017536263260446,0.025763152197445335,0.002164970772894566,0.04351591253518078,0.0006494912318683698,0.09958865555315004
1213,E02001214,3182.0,11.58,0.016656191074795726,0.05593966059082338,0.669076052796983,0.008485229415461974,0.0666247642991829,0.0018856065367693275,0.0399120050282841,0.06316781898177247,0.016027655562539284,0.004085480829666876,0.022313010685103708,0.0009428032683846638,0.11407919547454431
1214,E02001215,2920.0,13.44,0.008561643835616438,0.046232876712328765,0.6410958904109589,0.007534246575342466,0.08287671232876713,0.00410958904109589,0.054452054794520546,0.07260273972602739,0.018835616438356163,0.003424657534246575,0.04417808219178082,0.0010273972602739725,0.1065068493150685
1215,E02001216,3579.0,12.64,0.017882089969265158,0.0516904163174071,0.6828723107013133,0.006705783738474434,0.059793238334730374,0.0036322995250069852,0.049175747415479185,0.07236658284436993,0.013690975132718636,0.0019558535903883767,0.03352891869237217,0.0008382229673093043,0.0919251187482537
1216,E02001217,3043.0,9.96,0.0223463687150838,0.1025303976339139,0.5750903713440684,0.010187315149523497,0.12093328951692409,0.0029576076240552087,0.05093657574761748,0.09957279000985869,0.040749260598093986,0.003943476832073612,0.036805783766020374,0.000985869208018403,0.07328294446270128
1217,E02001218,2634.0,13.87,0.01442672741078208,0.0387243735763098,0.7015945330296127,0.004555808656036446,0.02999240698557327,0.004176157934700076,0.04935459377372817,0.060744115413819286,0.012148823082763858,0.0015186028853454822,0.032649962034927864,0.0015186028853454822,0.12148823082763857
1218,E02001219,2949.0,11.88,0.018989487962021025,0.04442183791115632,0.6622583926754833,0.00678195998643608,0.0756188538487623,0.003730077992539844,0.054933875890132246,0.08646998982706001,0.004747371990505256,0.00169548999660902,0.045100033909799934,0.00169548999660902,0.084774499830451
1219,E02001220,2744.0,11.54,0.019314868804664723,0.044096209912536447,0.6661807580174927,0.008017492711370262,0.06596209912536444,0.00510204081632653,0.05721574344023324,0.06887755102040816,0.013119533527696793,0.0032798833819241984,0.037536443148688044,0.0010932944606413995,0.09220116618075802
1220,E02001221,3052.0,12.31,0.01802096985583224,0.04980340760157274,0.6752948885976409,0.0045871559633027525,0.05144167758846658,0.0022935779816513763,0.05144167758846658,0.0828964613368283,0.010812581913499346,0.0022935779816513763,0.04161205766710354,0.0022935779816513763,0.10091743119266056
1221,E02001222,2867.0,13.82,0.021974189047785142,0.0425531914893617,0.6710847575863271,0.005929543076386466,0.055807464248343215,0.0038367631670735963,0.05755144750610394,0.07534007673526334,0.009766306243460064,0.006627136379490757,0.04046041158004883,0.0020927799093128706,0.09208231600976631
1222,E02001223,3443.0,13.96,0.013069997095556202,0.02439732791170491,0.7197211733952948,0.004647110078419983,0.029625326749927388,0.004647110078419983,0.04240487946558234,0.06418820795817601,0.003775776938716236,0.0014522218995062445,0.04269532384548359,0.0008713331397037467,0.11646819634040081
1223,E02001224,2721.0,14.2,0.009187798603454611,0.047409040793825796,0.6920249908122014,0.006615214994487321,0.04520396912899669,0.002940095553105476,0.0543917677324513,0.06945975744211687,0.005145167217934583,0.0025725836089672913,0.026460859977949284,0.0,0.11319367879456083
1224,E02001225,3598.0,12.51,0.02028904947192885,0.03724291272929405,0.6784324624791551,0.005002779321845469,0.06197887715397443,0.004724847137298499,0.04724847137298499,0.07615341856586992,0.007782101167315175,0.0038910505836575876,0.04613674263479711,0.0,0.09505280711506392
1225,E02001226,3197.0,10.65,0.02471066624960901,0.044729433844228964,0.6562402252111355,0.014075695964967157,0.07162965279949952,0.0031279324366593683,0.06850172036284016,0.06162026900218955,0.013137316233969347,0.007194244604316547,0.029715358148264,0.0,0.08007507037847983
1226,E02001227,2868.0,14.05,0.015341701534170154,0.02894002789400279,0.7074616457461645,0.0031380753138075313,0.0397489539748954,0.0031380753138075313,0.048465829846582986,0.06241283124128313,0.0048814504881450485,0.0020920502092050207,0.03765690376569038,0.0010460251046025104,0.11297071129707113
1227,E02001228,2542.0,13.66,0.015735641227380016,0.023996852871754525,0.6774193548387096,0.003933910306845004,0.06805664830841857,0.006294256490952006,0.03815892997639654,0.06215578284815106,0.007081038552321007,0.0011801730920535012,0.044846577498033044,0.0,0.12037765538945712
