,GEOGRAPHY_CODE,All people,All people who provide unpaid care,People of working age with limiting long-term illness,People who provide unpaid care 1 to 19 hours a week,People who provide unpaid care 20 to 49 hours a week,People who provide unpaid care 50 or more hours a week,People whose health was fairly good,People whose health was good,People whose health was not good,People with limiting long-term illness
6053,E02006054,7548.0,0.10466348701642819,0.07657657657657657,0.0789613142554319,0.008346581875993641,0.017355590885002648,0.2469528351881293,0.6577901430842608,0.09525702172760997,0.21502384737678856
6054,E02006055,7547.0,0.0742016695375646,0.08387438717371141,0.05061613886312442,0.007685172916390618,0.015900357758049558,0.232940241155426,0.6902080296806679,0.07685172916390619,0.1620511461507884
6055,E02006056,7193.0,0.10496315862644237,0.06450715973863479,0.07924370916168497,0.009314611427777005,0.016404838036980396,0.210621437508689,0.7197275128597247,0.06965104963158626,0.1608508271931044
6056,E02006057,7454.0,0.09672658975046955,0.08733565870673464,0.07029782667024416,0.008317681781593774,0.018111081298631607,0.2390662731419372,0.6674268848940166,0.09350684196404616,0.19130668097665682
6057,E02006058,7724.0,0.10227861211807354,0.0709476954945624,0.07586742620403936,0.009968928016571725,0.016442257897462453,0.21970481615743137,0.709476954945624,0.07081822889694459,0.15225271879854999
6058,E02006059,6412.0,0.11041796631316282,0.059263880224578916,0.0856207111665627,0.006706175920149719,0.018091079226450407,0.20633187772925765,0.7262944479101684,0.06737367436057393,0.1572052401746725
6059,E02006060,7370.0,0.09118046132971507,0.07082767978290366,0.06377204884667571,0.008548168249660787,0.01886024423337856,0.23283582089552238,0.6728629579375848,0.09430122116689281,0.19050203527815468
6060,E02006061,8140.0,0.10085995085995086,0.0660933660933661,0.07985257985257985,0.007002457002457003,0.014004914004914005,0.21928746928746928,0.702948402948403,0.07776412776412776,0.17432432432432432
6061,E02006062,9745.0,0.1124679322729605,0.0750128270908158,0.0775782452539764,0.009645972293483837,0.025243714725500258,0.24073884043099025,0.667316572601334,0.09194458696767573,0.2064648537711647
6062,E02006063,6574.0,0.10997870398539702,0.056434438697900824,0.08335868573167021,0.008062062671128689,0.018557955582598113,0.1985092789777913,0.738971706723456,0.06251901429875266,0.14633404320048676
6063,E02006064,7677.0,0.10772437149928357,0.08662237853328122,0.06994919890582259,0.013416699231470626,0.02435847336199036,0.2799270548391299,0.5972385046242021,0.12283444053666796,0.2765403152273023
6064,E02006065,7520.0,0.11077127659574468,0.09986702127659575,0.06356382978723404,0.012367021276595745,0.034840425531914895,0.256781914893617,0.6307180851063829,0.1125,0.22367021276595744
6065,E02006066,7826.0,0.11321236902632252,0.08382315359059545,0.07628418093534373,0.011627906976744186,0.025300281114234602,0.23920265780730898,0.6696907743419371,0.0911065678507539,0.1848964988499872
6066,E02006067,6991.0,0.11629237591188671,0.07380918323558862,0.08539550851094264,0.009869832641968244,0.021027034758975827,0.22028322128450864,0.7017594049492204,0.07795737376627092,0.1723644686024889
6067,E02006068,7485.0,0.09004676018704075,0.09672678690714763,0.05076820307281229,0.012424849699398798,0.026853707414829658,0.2635938543754175,0.6297929191716767,0.10661322645290582,0.19198396793587175
6068,E02006069,7473.0,0.08095811588384852,0.0951425130469691,0.05178643115214773,0.010437575270975512,0.018734109460725276,0.2661581694098756,0.6358892011240466,0.09795262946607788,0.19550381372942593
6069,E02006070,6794.0,0.08389755666764792,0.07388872534589344,0.05858110097144539,0.008536944362672947,0.016779511333529586,0.23564910214895496,0.6923756255519576,0.07197527229908743,0.13791580806594053
