,GEOGRAPHY_CODE,All categories: Living arrangements,Living in a couple,Living in a couple: Cohabiting,Living in a couple: Married or re-married,Not living in a couple,Not living in a couple: Divorced,Not living in a couple: Married or re-married,Not living in a couple: Separated (but still legally married),Not living in a couple: Single (never married),Not living in a couple: Widowed
113,E02000114,6350.0,0.4051968503937008,0.1395275590551181,0.2656692913385827,0.5948031496062992,0.04929133858267717,0.028818897637795274,0.02125984251968504,0.44393700787401574,0.05149606299212599
114,E02000115,6436.0,0.3980733374766936,0.1454319453076445,0.2526413921690491,0.6019266625233064,0.05593536357986327,0.019577377252952145,0.02377252952144189,0.44484151646985703,0.057799875699192045
115,E02000116,5216.0,0.40203220858895705,0.12078220858895705,0.28125,0.597967791411043,0.05118865030674847,0.040452453987730064,0.03048312883435583,0.42963957055214724,0.04620398773006135
116,E02000117,7044.0,0.38216922203293585,0.07382169222032936,0.3083475298126065,0.6178307779670642,0.0653038046564452,0.03889835320840432,0.03833049403747871,0.4240488358886996,0.05124929017603634
117,E02000118,6099.0,0.4954910641088703,0.06099360550909985,0.43449745859977046,0.5045089358911297,0.04394162977537301,0.037383177570093455,0.02115100836202656,0.3453025086079685,0.056730611575668145
118,E02000119,5178.0,0.36732329084588644,0.07338740826573967,0.2939358825801468,0.6326767091541136,0.07300115874855156,0.043646195442255696,0.044611819235225954,0.42622634221707223,0.04519119351100811
119,E02000120,6510.0,0.4113671274961598,0.15360983102918588,0.2577572964669739,0.5886328725038402,0.058832565284178184,0.02273425499231951,0.026574500768049156,0.44208909370199695,0.03840245775729647
120,E02000121,6187.0,0.5162437368676257,0.05172135122030063,0.464522385647325,0.48375626313237435,0.03943753030547923,0.046387586875707126,0.017294326814288025,0.3308550185873606,0.04978180054953936
121,E02000122,6095.0,0.46152584085315834,0.10155865463494668,0.35996718621821167,0.5384741591468417,0.045118949958982774,0.024774405250205085,0.019196062346185396,0.3873666940114848,0.062018047579983596
122,E02000123,7289.0,0.3937439978049115,0.10316915900672245,0.2905748387981891,0.6062560021950885,0.05844423103306352,0.03251474825078886,0.03388667855672932,0.4327068184936205,0.04870352586088627
123,E02000124,6504.0,0.45433579335793356,0.13637761377613777,0.31795817958179584,0.5456642066420664,0.05704182041820418,0.026137761377613776,0.021986469864698648,0.39575645756457567,0.04474169741697417
124,E02000125,7619.0,0.44520278251739076,0.11287570547315921,0.33232707704423153,0.5547972174826092,0.05118781992387452,0.021918886993043705,0.023362646016537602,0.40530253314083214,0.0530253314083213
125,E02000126,4993.0,0.33727218105347484,0.07971159623472862,0.2575605848187462,0.6627278189465251,0.08531944722611656,0.02303224514320048,0.042058882435409575,0.4554376126577208,0.05687963148407771
126,E02000127,6609.0,0.5320018157058557,0.11378423362082009,0.41821758208503557,0.46799818429414436,0.0758057194734453,0.00741413224390982,0.027840823119987895,0.25419881979119385,0.10273868966560751
127,E02000128,5675.0,0.6248458149779735,0.10537444933920705,0.5194713656387665,0.3751541850220264,0.047929515418502204,0.006696035242290749,0.020969162995594714,0.2218502202643172,0.07770925110132158
128,E02000129,5764.0,0.6058292852185982,0.08327550312283137,0.5225537820957669,0.3941707147814018,0.05412907702984039,0.005204718945176961,0.02116585704371964,0.23351839000693964,0.08015267175572519
129,E02000130,6106.0,0.5419259744513594,0.1269243367179823,0.415001637733377,0.4580740255486407,0.07173272191287258,0.008843760235833607,0.023255813953488372,0.2926629544710121,0.061578774975434
130,E02000131,6589.0,0.429200182121718,0.16724844437699196,0.2619517377447261,0.5707998178782819,0.08225830930338443,0.013810896949461223,0.032478373045985734,0.391865229928669,0.050387008650781606
131,E02000132,6791.0,0.4874098070976292,0.15785598586364305,0.32955382123398613,0.5125901929023707,0.08481814165807687,0.009129730525695774,0.025474893241054338,0.31011633043734355,0.08305109704020026
132,E02000133,7194.0,0.6861273283291632,0.08618293021962747,0.5999443981095357,0.3138726716708368,0.04267445093133167,0.008062274117319988,0.015151515151515152,0.17792604948568252,0.07005838198498748
133,E02000134,8182.0,0.5211439745783427,0.14348570031777072,0.37765827426057197,0.4788560254216573,0.07589831337081399,0.007210950867758494,0.02334392569054021,0.2995600097775605,0.07284282571498411
134,E02000135,6653.0,0.43048248910266046,0.13617916729295054,0.2943033218097099,0.5695175108973396,0.09890275063880956,0.013527731850293101,0.035172102810762065,0.3632947542462047,0.0586201713512701
135,E02000136,4166.0,0.6389822371579452,0.08113298127700432,0.5578492558809409,0.3610177628420547,0.048487758041286605,0.00672107537205953,0.017042726836293806,0.18771003360537686,0.10105616898703793
