,GEOGRAPHY_CODE,All categories: NS-SeC,Full-time students,Higher professional occupations,Intermediate occupations,Large employers and higher managerial and administrative occupations,Long-term unemployed,"Lower managerial, administrative and professional occupations",Lower supervisory and technical occupations,Never worked,Not classifiable for other reasons,Routine occupations,Semi-routine occupations,Small employers and own account workers
5113,E02005114,2737.3333333333335,0.03677545056015587,0.017535314174378955,0.0754992693619094,0.014612761811982464,0.008280565026790063,0.14076960545543107,0.10107160253287871,0.026546517291768143,0.23818801753531416,0.11251826595226497,0.138334145153434,0.08986848514369215
5114,E02005115,2618.0,0.05220269926152279,0.014514896867838044,0.08581614463967405,0.013496307613954674,0.01935319582378406,0.10975299210593327,0.0998217468805704,0.04405398523045582,0.16934046345811052,0.16170104405398522,0.16857652151769797,0.06137000254647313
5115,E02005116,2652.6666666666665,0.043478260869565216,0.008042221663734606,0.06182457903995979,0.010304096506659964,0.01834631817039457,0.07715506408645388,0.08997235486303092,0.05252576024126666,0.24252324704699676,0.18094998743402865,0.15305353103794925,0.06182457903995979
5116,E02005117,2712.0,0.03933136676499509,0.025319567354965586,0.10152409046214356,0.029006882989183875,0.006391347099311701,0.1583087512291052,0.08579154375614552,0.024336283185840708,0.21779744346116026,0.0904621435594887,0.11307767944936087,0.10865290068829893
5117,E02005118,3515.3333333333335,0.047221695429546746,0.02086098994879575,0.11397686326569316,0.022757443580504456,0.006447942347809596,0.1619571401479234,0.09652948985397306,0.018774890953916178,0.18907642708135783,0.11530438080788924,0.13711359757253935,0.0699791390100512
5118,E02005119,2775.3333333333335,0.042517415325486425,0.017775642565457602,0.08839779005524862,0.01705500840739851,0.010569300984866681,0.12442949795820321,0.10257026183041076,0.024741772760028827,0.20994475138121543,0.14748979101609414,0.14004323804948354,0.07446552966610617
5119,E02005120,3806.6666666666665,0.03922942206654992,0.019089316987740808,0.07057793345008757,0.02416812609457093,0.018038528896672505,0.1190893169877408,0.08844133099824869,0.05026269702276708,0.2138353765323993,0.12714535901926446,0.10595446584938704,0.12416812609457094
5120,E02005121,4092.0,0.038774845226458125,0.035842293906810034,0.12577386770935156,0.03144346692733789,0.012870641902899967,0.20690778755294884,0.0891169762137504,0.02476376669925057,0.12202671880091234,0.11502117953730857,0.1264255457803845,0.07103290974258716
5121,E02005122,3374.6666666666665,0.04622678783089688,0.04899249308573687,0.10628210193599369,0.04642433820624259,0.00869221651521138,0.20900829711576455,0.0703279336230739,0.01382852627419992,0.1712761754247333,0.07269853812722245,0.09917028842354801,0.10707230343737653
5122,E02005123,4025.3333333333335,0.04686982444518052,0.04074196753892017,0.10483603842331897,0.03097052003974826,0.009937065253395164,0.1787015568068897,0.0914210003312355,0.021530308049022857,0.15849619079165286,0.105498509440212,0.12951308380258364,0.08148393507784034
5123,E02005124,3622.6666666666665,0.04490246595509753,0.02097902097902098,0.09109311740890688,0.01729849098270151,0.022083179977916822,0.12348178137651822,0.09109311740890688,0.02631578947368421,0.20537357379462642,0.15605447184394555,0.1442767758557232,0.057048214942951786
5124,E02005125,3448.6666666666665,0.04233520201043882,0.024550550937560412,0.10013531799729364,0.02513048521167601,0.009085636961144403,0.14865648559829886,0.10864102068432245,0.01778465107287841,0.1749468393582061,0.14208389715832206,0.14633674850183648,0.060313164508022425
5125,E02005126,3687.3333333333335,0.048092569155668057,0.03254384378954981,0.11318025673476767,0.02874706201410233,0.005785572229253299,0.17736394865304647,0.08533719038148617,0.018260712348580725,0.197613451455433,0.09491954438618694,0.12800578557222925,0.07015006327969626
