,GEOGRAPHY_CODE,All people aged 16-74,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,No qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 to 74
3913,E02003914,1,0.010966875559534467,0.0020143240823634737,0.014547896150402865,0.18106535362578335,0.20792300805729633,0.0720680393912265,0.13943598925693823,0.09333034914950761,0.306177260519248,0.01947179946284691,0.027529095792300805
3914,E02003915,1,0.025693539378141873,0.010240178737665239,0.06255818283373674,0.14857568423012474,0.19940420778253584,0.10835970955129398,0.1372183950847142,0.08266617017315211,0.3237758331781791,0.025879724446099425,0.09849190094954384
3915,E02003916,1,0.03283514492753623,0.012454710144927536,0.11028079710144928,0.13541666666666666,0.22509057971014493,0.1503623188405797,0.25271739130434784,0.0661231884057971,0.17028985507246377,0.020833333333333332,0.15557065217391305
3916,E02003917,1,0.013173652694610778,0.0011976047904191617,0.016367265469061875,0.19481037924151698,0.2375249500998004,0.07305389221556886,0.150499001996008,0.09780439121756487,0.24630738522954093,0.028542914171656688,0.030738522954091817
3917,E02003918,1,0.012792757331234009,0.001574493209998032,0.015941743751230072,0.18106671914977365,0.21590238142098012,0.06612871481991733,0.15666207439480417,0.08915567801613855,0.29108443219838614,0.026372761267467033,0.030308994292462112
3918,E02003919,1,0.007827788649706457,0.0021743857360295715,0.011089367253750815,0.1856925418569254,0.19112850619699934,0.06196999347684279,0.09175907806044792,0.07436399217221135,0.39508588823657315,0.02522287453794303,0.021091541639486844
3919,E02003920,1,0.009263547938860583,0.001157943492357573,0.01366373320981936,0.19082908754052802,0.2114404817044928,0.063455303381195,0.13756368689207968,0.08591940713293192,0.3107920333487726,0.02176933765632237,0.024085224641037517
3920,E02003921,1,0.0069947539345490885,0.0,0.01648763427429428,0.17187109667749187,0.21034224331751186,0.06370222333250063,0.13964526605046215,0.09018236322757932,0.32425680739445417,0.022982762927804146,0.02398201348988259
3921,E02003922,1,0.00913508260447036,0.001749271137026239,0.016132167152575316,0.1988338192419825,0.20894071914480078,0.06375121477162293,0.10884353741496598,0.08940719144800778,0.33022351797862004,0.027016520894071916,0.027016520894071916
3922,E02003923,1,0.008333333333333333,0.0016666666666666668,0.015416666666666667,0.198125,0.214375,0.06729166666666667,0.088125,0.09104166666666667,0.3410416666666667,0.02666666666666667,0.025416666666666667
3923,E02003924,1,0.012254384111557153,0.0019015423621381788,0.026832875554616522,0.16649059792943166,0.20600042256496937,0.07099091485315867,0.12592436087048384,0.095710965560955,0.33488273822100145,0.031692372702302976,0.04098880202831185
3924,E02003925,1,0.007849617847552158,0.001032844453625284,0.015079529022929148,0.189010535013427,0.19913241065895476,0.061557529436066925,0.10824209873992977,0.09109688080975005,0.3509605453418715,0.02788680024788267,0.02396199132410659
3925,E02003926,1,0.006462649686371412,0.0011404675917126021,0.012545143508838624,0.18114426915035164,0.2077551796236457,0.06937844516251664,0.18608629538110624,0.08743584869796617,0.2681999619844136,0.029272001520623456,0.02014826078692264
3926,E02003927,1,0.009074410163339383,0.0007259528130671506,0.012341197822141561,0.14900181488203268,0.22141560798548093,0.07005444646098004,0.226497277676951,0.09310344827586207,0.23992740471869328,0.023593466424682397,0.022141560798548093
3927,E02003928,1,0.00947075208913649,0.0008356545961002785,0.010167130919220056,0.1967966573816156,0.2545961002785515,0.08816155988857939,0.13356545961002786,0.0766016713091922,0.25027855153203343,0.028133704735376044,0.020473537604456825
3928,E02003929,1,0.0064235391628678,0.0012432656444260257,0.01118939079983423,0.17737256527144632,0.22378781599668462,0.06672192291753004,0.1676336510567758,0.09117281392457521,0.273311230832988,0.027766266058847907,0.018856195607128055
3929,E02003930,1,0.006479140328697851,0.0007901390644753476,0.012010113780025285,0.1622945638432364,0.24241466498103667,0.07553729456384324,0.17572692793931732,0.07711757269279393,0.2669089759797724,0.026232616940581543,0.019279393173198482
3930,E02003931,1,0.006204436171862882,0.0009306654257794323,0.008065767023421747,0.19233752132774934,0.21777570963238715,0.06762835427330541,0.14347758647432915,0.07646967581821001,0.3023111524740189,0.032418178997983556,0.01520086862106406
3931,E02003932,1,0.004574166848181224,0.0,0.006970159006752342,0.1675016336310172,0.21912437377477673,0.06033543890219996,0.1452842517969941,0.08843389239817033,0.31932040949684165,0.0265737312132433,0.011762143323894577
3932,E02003933,1,0.003770423125261835,0.0,0.008169250104733976,0.1591956430666108,0.21763720150816926,0.06765814830330959,0.15563468789275242,0.08692919983242564,0.3129451193967323,0.0213657310431504,0.012149141181399247
3933,E02003934,1,0.006481036965914546,0.0007201152184349496,0.012241958713394143,0.1872299567930869,0.2114738358137302,0.0643302928468555,0.14090254440710515,0.08185309649543927,0.314210273643783,0.034325492078732596,0.01944311089774364
