,GEOGRAPHY_CODE,All households,One family and no others,One family and no others - All pensioners,One family and no others - Lone parent households - all children non-dependent,One family and no others - Lone parent households - with dependent children,One family and no others - cohabiting couple households - all children non-dependent,One family and no others - cohabiting couple households - no children,One family and no others - cohabiting couple households - with dependent children,One family and no others - married couple households - all children non-dependent,One family and no others - married couple households - no children,One family and no others - married couple households - with dependent children,One person household,One person household - Other,One person household - Pensioner,Other households,Other households - All pensioner,Other households - All students,Other households - Other,Other households - With dependent children
4275,E02004276,2485.0,0.5814889336016097,0.16579476861167003,0.01971830985915493,0.044668008048289735,0.0028169014084507044,0.04144869215291751,0.03822937625754527,0.03822937625754527,0.12112676056338029,0.10945674044265594,0.372635814889336,0.13963782696177063,0.2329979879275654,0.045875251509054325,0.008853118712273641,0.0,0.023340040241448694,0.013682092555331992
4276,E02004277,3403.0,0.5830149867763738,0.10343814281516309,0.02938583602703497,0.05553923009109609,0.0032324419629738465,0.04202174551866,0.02821040258595357,0.0467234792829856,0.11666176902732883,0.1578019394651778,0.3679106670584778,0.16514839847193652,0.20276226858654128,0.0490743461651484,0.006171025565677344,0.0023508668821627977,0.02938583602703497,0.011166617690273288
4277,E02004278,3688.0,0.6748915401301518,0.12364425162689804,0.024132321041214752,0.051247288503253795,0.0027114967462039045,0.044468546637744036,0.026301518438177875,0.051247288503253795,0.15157266811279826,0.19956616052060738,0.29365509761388287,0.12581344902386118,0.16784164859002168,0.031453362255965296,0.004338394793926247,0.0,0.019793926247288502,0.007321041214750542
4278,E02004279,3110.0,0.707395498392283,0.1504823151125402,0.022508038585209004,0.04083601286173633,0.0028938906752411574,0.04051446945337621,0.02540192926045016,0.05530546623794212,0.1919614147909968,0.17749196141479098,0.24951768488745982,0.10996784565916398,0.1395498392282958,0.043086816720257236,0.0038585209003215433,0.0,0.022508038585209004,0.016720257234726688
4279,E02004280,3177.0,0.706011960969468,0.14101353478124015,0.022033364809568776,0.03651243311299968,0.0025180988353792886,0.04564054139124961,0.034623858986465215,0.05004721435316336,0.19483789738747245,0.1787850173119295,0.2536984576644633,0.12118350645262826,0.13251495121183507,0.04028958136606862,0.006295247088448221,0.0,0.019830028328611898,0.014164305949008499
4280,E02004281,3060.0,0.6735294117647059,0.07908496732026143,0.030392156862745098,0.0934640522875817,0.003594771241830065,0.06209150326797386,0.04477124183006536,0.047058823529411764,0.13398692810457516,0.17908496732026144,0.28169934640522876,0.16405228758169935,0.11764705882352941,0.04477124183006536,0.0032679738562091504,0.0,0.02516339869281046,0.016339869281045753
4281,E02004282,3761.0,0.688646636532837,0.1917043339537357,0.02127093858016485,0.025259239563945757,0.0015953203935123637,0.03722414251528849,0.013826110077107153,0.05530444030842861,0.17840999734113266,0.1640521137995214,0.26907737303908535,0.09625099707524594,0.1728263759638394,0.04227599042807764,0.010369582557830364,0.0,0.019941504918904545,0.011964902951342728
4282,E02004283,3507.0,0.6643855146849159,0.13230681494154548,0.03022526375819789,0.05389221556886228,0.001996007984031936,0.02423723980610208,0.029940119760479042,0.05446250356429997,0.16481323068149414,0.17251211861990304,0.27830054177359564,0.09894496720844026,0.1793555745651554,0.05731394354148845,0.00570287995437696,0.0,0.0290846877673225,0.022526375819788995
4283,E02004284,4478.0,0.4774452880750335,0.0819562304600268,0.026351049575703438,0.05337204108977222,0.0029030817329164806,0.06744082179544439,0.024787851719517643,0.027914247431889236,0.11612326931665923,0.07659669495310406,0.4484144707458687,0.28182224207235373,0.16659222867351497,0.07414024117909782,0.0080393032603841,0.0022331397945511387,0.04644930772666369,0.017418490397498883
4284,E02004285,3045.0,0.6124794745484401,0.1110016420361248,0.02495894909688013,0.05582922824302135,0.002955665024630542,0.053530377668308704,0.0367816091954023,0.04597701149425287,0.12348111658456486,0.1579638752052545,0.32906403940886697,0.15435139573070608,0.17471264367816092,0.05845648604269294,0.006896551724137931,0.0,0.034154351395730705,0.017405582922824302
4285,E02004286,2071.0,0.69917914051183,0.10091743119266056,0.03331723804925157,0.07146306132303235,0.0043457267020762915,0.042974408498309996,0.042974408498309996,0.06711733462095607,0.14872042491549975,0.18734910671173347,0.2428778367938194,0.10912602607436021,0.13375181071945919,0.05794302269435055,0.005311443746982134,0.0,0.027522935779816515,0.025108643167551906
4286,E02004287,2308.0,0.6941074523396881,0.12045060658578856,0.025996533795493933,0.05719237435008666,0.0034662045060658577,0.053292894280762566,0.03682842287694974,0.06022530329289428,0.16681109185441942,0.16984402079722705,0.25259965337954937,0.11091854419410745,0.14168110918544194,0.053292894280762566,0.00389948006932409,0.0,0.029896013864818025,0.01949740034662045
4287,E02004288,2050.0,0.6546341463414634,0.07902439024390244,0.0351219512195122,0.08634146341463414,0.004878048780487805,0.05365853658536585,0.04439024390243902,0.05170731707317073,0.13902439024390245,0.16048780487804878,0.28585365853658534,0.1497560975609756,0.13609756097560977,0.05951219512195122,0.004390243902439025,0.0,0.03609756097560975,0.01902439024390244
4288,E02004289,2872.0,0.6838440111420613,0.09401114206128133,0.028203342618384402,0.06371866295264624,0.004526462395543176,0.049094707520891366,0.03864902506963788,0.05222841225626741,0.16782729805013927,0.1855849582172702,0.26079387186629527,0.12221448467966574,0.13857938718662952,0.05536211699164345,0.002785515320334262,0.0,0.030988857938718663,0.02158774373259053
4289,E02004290,2475.0,0.7523232323232323,0.0707070707070707,0.025050505050505052,0.04686868686868687,0.0032323232323232323,0.0496969696969697,0.03191919191919192,0.09252525252525252,0.1802020202020202,0.25212121212121213,0.22101010101010102,0.14545454545454545,0.07555555555555556,0.02666666666666667,0.0016161616161616162,0.0,0.013333333333333334,0.011717171717171718
4290,E02004291,2984.0,0.6638739946380697,0.07339142091152814,0.03351206434316354,0.07540214477211796,0.0020107238605898124,0.04825737265415549,0.04289544235924933,0.07238605898123325,0.14075067024128687,0.17526809651474531,0.3012734584450402,0.16621983914209115,0.13505361930294907,0.03485254691689008,0.0023458445040214475,0.0,0.017091152815013406,0.015415549597855228
4291,E02004292,3239.0,0.7264587835751776,0.12503859215807347,0.03272615004631059,0.04137079345476999,0.004013584439641865,0.030873726458783574,0.023464032108675516,0.08860759493670886,0.19450447669033652,0.18585983328187713,0.2426674899660389,0.09169496758258722,0.15097252238345168,0.030873726458783574,0.0033961099104661933,0.0,0.014201914171040445,0.013275702377276937
4292,E02004293,4213.0,0.5948255399952528,0.08687396154759079,0.0370282459055305,0.08616187989556136,0.004035129361500119,0.03560408260147164,0.03560408260147164,0.05862805601708996,0.10942321386185616,0.14146688820318062,0.3681462140992167,0.16971279373368145,0.19843342036553524,0.0370282459055305,0.0037977688108236413,0.0,0.019226204604794683,0.014004272489912177
4293,E02004294,3542.0,0.7258610954263128,0.0940146809712027,0.021456804065499716,0.03670242800677583,0.001411631846414455,0.048842461885940144,0.020892151326933936,0.07086391869000565,0.17588932806324112,0.25578769057029926,0.24957651044607565,0.13721061547148503,0.11236589497459062,0.02456239412761152,0.0016939582156973462,0.0,0.014398644833427442,0.00846979107848673
