,GEOGRAPHY_CODE,1. Managers and senior officials,2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,6. Personal service occupations,7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations,All categories: Occupation
6558,E02006559,0.200879269529929,0.13189042948934732,0.13391951301995267,0.1501521812647954,0.10585052417991207,0.0794724382820426,0.08657423063916131,0.03686168413933041,0.07439972945552925,1971.3333333333333
6559,E02006560,0.14499121265377857,0.06824838898652608,0.11540714704159345,0.14616285881663738,0.16842413591095487,0.09578207381370826,0.08230814294083187,0.06766256590509666,0.11101347393087287,2276.0
6560,E02006561,0.23037889039242218,0.12110960757780784,0.14749661705006767,0.12077131258457374,0.13937753721244925,0.07814614343707713,0.046008119079837616,0.038903924221921515,0.07780784844384303,1970.6666666666667
6561,E02006562,0.23522727272727273,0.12196969696969696,0.13825757575757577,0.1231060606060606,0.1393939393939394,0.06931818181818182,0.03901515151515152,0.04393939393939394,0.08977272727272727,1760.0
6562,E02006563,0.21908396946564887,0.13206106870229006,0.1385496183206107,0.10114503816793892,0.1530534351145038,0.06641221374045801,0.04351145038167939,0.042748091603053436,0.10343511450381679,1746.6666666666667
6563,E02006564,0.19075682382133993,0.09832506203473945,0.12096774193548386,0.11352357320099254,0.13926799007444166,0.09522332506203472,0.05800248138957816,0.05583126550868486,0.1281017369727047,2149.3333333333335
6564,E02006565,0.19114411441144114,0.11221122112211221,0.12843784378437842,0.10038503850385039,0.15154015401540152,0.08883388338833884,0.0517051705170517,0.04867986798679868,0.12706270627062707,2424.0
6565,E02006566,0.18240343347639487,0.16462293071735132,0.14408338442673208,0.11434702636419375,0.11618638871857756,0.07142857142857144,0.059779276517473945,0.0398528510116493,0.10729613733905581,2174.6666666666665
6566,E02006567,0.1877962085308057,0.14514218009478674,0.1255924170616114,0.11226303317535545,0.13210900473933648,0.07642180094786731,0.06101895734597157,0.05568720379146919,0.10396919431279622,2250.6666666666665
6567,E02006568,0.10978398983481574,0.12020330368487928,0.1473951715374841,0.11181702668360863,0.09936467598475222,0.09428208386277001,0.09453621346886912,0.06429479034307496,0.15832274459974585,2623.3333333333335
6568,E02006569,0.1732329084588644,0.1448435689455388,0.21031286210892236,0.10660486674391657,0.12804171494785632,0.05533024333719582,0.05504055619930475,0.047798377752027804,0.07879490150637311,2301.3333333333335
6569,E02006570,0.15263006611095142,0.13423397528025294,0.15866628341477435,0.12618568554182236,0.1011784995688416,0.07617131359586087,0.0839321644150618,0.04570278815751652,0.12129922391491807,2319.3333333333335
