,GEOGRAPHY_CODE,All females aged 16-74 in employment,All males aged 16-74 in employment,Female - Mean hours worked,Females - Full-time - 31 to 37 hours,Females - Full-time - 38 to 48 hours,Females - Full-time - 49 or more hours,Females - Part-time - 1 to 5 hours,Females - Part-time - 16 to 30 hours,Females - Part-time - 6 to 15 hours,Male - Mean hours worked,Males - Full-time - 31 to 37 hours,Males - Full-time - 38 to 48 hours,Males - Full-time - 49 or more hours,Males - Part-time - 1 to 5 hours,Males - Part-time - 16 to 30 hours,Males - Part-time - 6 to 15 hours
2857,E02002858,0.8894362342638205,1827.0,32.04,0.17952928297755885,0.23043240284619596,0.10180623973727422,0.021346469622331693,0.24575807334428024,0.11056376573617953,41.73,0.15818281335522716,0.4455391351943076,0.2753147235905857,0.0060207991242474,0.06130268199233716,0.05363984674329502
2858,E02002859,0.9252443933294997,1739.0,31.4,0.23404255319148937,0.25589419206440484,0.05922944220816561,0.016101207590569294,0.25416906267970096,0.10580793559516964,40.52,0.1891891891891892,0.5094882116158712,0.18976423231742381,0.006900517538815411,0.06670500287521564,0.03795284646348476
2859,E02002860,0.8742886704604242,1933.0,30.99,0.2224521469218831,0.23538541127780652,0.04035178479048112,0.008794619762027936,0.27056389032591827,0.09674081738230729,42.02,0.17382307294361096,0.5266425245732023,0.2224521469218831,0.0020693222969477496,0.05328504914640455,0.02172788411795137
2860,E02002861,0.9540229885057471,1131.0,29.43,0.1892130857648099,0.2625994694960212,0.030061892130857647,0.015915119363395226,0.34129089301503096,0.11494252873563218,40.95,0.13793103448275862,0.5526083112290009,0.1927497789566755,0.004420866489832007,0.08488063660477453,0.027409372236958444
2861,E02002862,0.8558139534883721,1505.0,29.79,0.16943521594684385,0.23189368770764118,0.02524916943521595,0.007308970099667774,0.32358803986710966,0.09833887043189368,41.48,0.15548172757475084,0.584717607973422,0.1867109634551495,0.0019933554817275745,0.051827242524916946,0.019269102990033222
2862,E02002863,0.5585657370517928,2510.0,31.63,0.08884462151394422,0.16135458167330677,0.05697211155378486,0.01195219123505976,0.1597609561752988,0.0796812749003984,43.47,0.07330677290836653,0.5219123505976095,0.2964143426294821,0.0035856573705179283,0.07928286852589642,0.02549800796812749
2863,E02002864,0.8350803633822502,1431.0,30.8,0.15653389238294899,0.21733053808525507,0.06638714185883997,0.02026554856743536,0.2697414395527603,0.10482180293501048,43.43,0.11390635918937805,0.5059399021663172,0.29979035639413,0.004891684136967156,0.05380852550663871,0.02166317260656883
2864,E02002865,0.8611111111111112,1836.0,31.67,0.1508714596949891,0.23638344226579522,0.08278867102396514,0.017429193899782137,0.2668845315904139,0.10675381263616558,43.04,0.10021786492374728,0.5239651416122004,0.27723311546840956,0.0032679738562091504,0.06699346405228758,0.02832244008714597
2865,E02002866,0.7655476059438635,1817.0,30.31,0.1364887176664832,0.19702806824435884,0.06384149697303247,0.020913593835993397,0.22619702806824435,0.12107870115575124,43.97,0.10071546505228399,0.4876169510181618,0.3219592735277931,0.00550357732526142,0.04953219592735278,0.03467253714914695
2866,E02002867,0.808182784272051,1882.0,31.06,0.1153028692879915,0.21519659936238045,0.08501594048884166,0.025504782146652496,0.2481402763018066,0.11902231668437832,45.04,0.07173219978746015,0.46865037194473963,0.35812964930924546,0.006376195536663124,0.06588735387885228,0.02922422954303932
2867,E02002868,0.8559799624295554,1597.0,29.87,0.24733876017532874,0.184721352536005,0.028804007514088917,0.016906700062617408,0.2805259862241703,0.09768315591734503,41.33,0.21039448966812774,0.5165936130244208,0.19223544145272387,0.005009392611145898,0.054477144646211645,0.021289918597370068
2868,E02002869,0.8724216959511077,1309.0,30.5,0.2215431627196333,0.2482811306340718,0.025974025974025976,0.013750954927425516,0.2689075630252101,0.09396485867074103,41.16,0.173414820473644,0.5790679908326967,0.1627196333078686,0.002291825821237586,0.061879297173414824,0.020626432391138275
