,GEOGRAPHY_CODE,All household spaces - with no residents - second residence/holiday accommodation,All household spaces - with no residents - vacant,All household spaces - with residents,Caravan or other mobile or temporary structure,"Flat, maisonette or apartment - in a commercial building","Flat, maisonette or apartment - in a purpose built block of flats or tenement","Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",Whole house or bungalow - detatched,Whole house or bungalow - semi-detatched,Whole house or bungalow - terraced
5741,E02005742,0.046419098143236075,0.03945623342175066,3016.0,0.008289124668435014,0.023209549071618037,0.03083554376657825,0.012599469496021221,0.3779840848806366,0.28713527851458887,0.3458222811671088
5742,E02005743,0.13250230840258542,0.04247460757156048,2166.0,0.03185595567867036,0.0221606648199446,0.046168051708217916,0.03831948291782087,0.4838411819021237,0.296398891966759,0.2562326869806094
5743,E02005744,0.05014653207424292,0.048518397915988276,3071.0,0.005210029306414849,0.02149137088896125,0.041028980788016936,0.03223705633344188,0.29762292412894825,0.2992510582872029,0.4018235102572452
5744,E02005745,0.030288226673180263,0.0268685881778212,2047.0,0.048851978505129456,0.01172447484123107,0.009770395701025891,0.02784562774792379,0.5276013678553981,0.2828529555446996,0.14851001465559355
5745,E02005746,0.009574468085106383,0.03404255319148936,2820.0,0.0010638297872340426,0.02056737588652482,0.0627659574468085,0.013829787234042552,0.11099290780141843,0.4078014184397163,0.42659574468085104
5746,E02005747,0.011177086971707998,0.04086622424030737,2863.0,0.001047851903597625,0.015368494586098498,0.08278030038421237,0.030387705204331122,0.040516940272441494,0.20957038071952497,0.6723716381418093
5747,E02005748,0.023566654941962716,0.05100246218782976,2843.0,0.0038691523039043265,0.01020049243756595,0.0228631727048892,0.016883573689764335,0.2989799507562434,0.2507914175167077,0.47098135772071753
5748,E02005749,0.0044110015568240785,0.03347171769590036,3854.0,0.0010378827192527244,0.007784120394395433,0.05345096004151531,0.012714063310845874,0.21328489880643486,0.35781006746237676,0.3918007265179035
5749,E02005750,0.0087527352297593,0.035948733979368555,3199.0,0.004063769928102532,0.012503907471084715,0.05032822757111598,0.014066895904970303,0.34041888090028133,0.3347921225382932,0.28852766489527976
5750,E02005751,0.010114816839803172,0.02405686167304538,3658.0,0.0030071077091306723,0.00683433570256971,0.007927829414980863,0.00683433570256971,0.6219245489338436,0.23100054674685622,0.15664297430289775
5751,E02005752,0.009705113848450915,0.04665920119447555,2679.0,0.0026129152668906306,0.009705113848450915,0.03770063456513625,0.017170586039567004,0.49794699514744306,0.22993654348637552,0.2612915266890631
5752,E02005753,0.002162799842705466,0.02320094376720409,5086.0,0.0,0.011403853716083366,0.0914274478961856,0.010027526543452615,0.22670074714903657,0.3735745182854896,0.31183641368462445
5753,E02005754,0.005256241787122208,0.023324572930354795,3044.0,0.003942181340341655,0.0022996057818659658,0.00788436268068331,0.003942181340341655,0.5840998685939554,0.35939553219448095,0.06701708278580815
5754,E02005755,0.011755485893416929,0.026253918495297807,2552.0,0.0023510971786833857,0.01018808777429467,0.02233542319749216,0.013322884012539185,0.4753134796238245,0.36089341692789967,0.1536050156739812
5755,E02005756,0.012478485370051634,0.09208261617900172,2324.0,0.0034423407917383822,0.0068846815834767644,0.006024096385542169,0.006454388984509466,0.5507745266781411,0.3825301204819277,0.14845094664371772
5756,E02005757,0.02062481043372763,0.038823172581134366,3297.0,0.00272975432211101,0.023961176827418867,0.05762814680012132,0.019411586290567183,0.3939945404913558,0.27206551410373064,0.2896572641795572
