,GEOGRAPHY_CODE,Age 0 to 4,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 44,Age 45 to 59,Age 5 to 7,Age 60 to 64,Age 65 to 74,Age 75 to 84,Age 8 to 9,Age 85 to 89,Age 90 and over,All usual residents,Mean Age,Median Age
2260,E02002261,0.06689627765266923,0.07007550668962777,0.013114319777453967,0.023314346271029275,0.020002649357530797,0.04662869254205855,0.06133262683799179,0.23950192078420984,0.18730957742747384,0.03801828056696251,0.04623128891243873,0.08345476222016161,0.05669625115909392,0.029275400715326534,0.014306530666313419,0.0038415684196582327,7549.0,38.33,37.0
2261,E02002262,0.05709836491045938,0.058785362055541135,0.009862444848170258,0.02322865299766416,0.016091357383856735,0.04983130028549183,0.060083052167142485,0.22657669348559564,0.19140929146119906,0.03802232026991954,0.05294575655333506,0.09953283155982351,0.06527381261354788,0.0267324162989878,0.015831819361536464,0.008694523747729043,7706.0,40.64,40.0
2262,E02002263,0.0563560678834454,0.07572846621837977,0.014249119436439322,0.027697726544988793,0.020973422990714058,0.043227665706051875,0.051713096381684275,0.22734550112071725,0.21197566442523214,0.035382644892731345,0.04610951008645533,0.08197246237592058,0.05603586295228947,0.03105987832212616,0.01472942683317323,0.005443483829650976,6246.0,39.09,39.0
2263,E02002264,0.05429864253393665,0.057887345919800284,0.012950538305507879,0.026213137775003902,0.02028397565922921,0.0347948197846778,0.05819940708378842,0.2226556405055391,0.2044000624122328,0.032454361054766734,0.04852551100015603,0.09564674676236543,0.07583086284911843,0.021220159151193633,0.021064128569199564,0.013574660633484163,6409.0,42.12,42.0
2264,E02002265,0.053791557713858795,0.0651849084796414,0.011766903249906611,0.027642883825177437,0.01867762420620097,0.04930892790437057,0.05435188644004483,0.2289876727680239,0.2168472170339933,0.03175196115054165,0.04688083675756444,0.08591707134852447,0.06630556593201345,0.023720582741875232,0.011766903249906611,0.007097497198356369,5354.0,40.3,40.0
2265,E02002266,0.06327835745540222,0.05671491080444295,0.012285425782564793,0.024065971053517335,0.018343991921911815,0.04577583305284416,0.06950521709862,0.24015483002356108,0.21524739145069,0.035846516324469876,0.05334904072702794,0.07808818579602828,0.04729047458768092,0.02541231908448334,0.009592729720632784,0.005048805116122518,5942.0,38.8,38.0
2266,E02002267,0.05637513171759747,0.07481559536354057,0.014093782929399367,0.024367755532139095,0.01975763962065332,0.038198103266596416,0.05571654373024236,0.22286617492096944,0.21259220231822973,0.037934668071654375,0.05400421496311907,0.07349841938883035,0.0666491043203372,0.024894625922023184,0.015674394099051633,0.008561643835616438,7592.0,39.98,40.0
2267,E02002268,0.06259575399430947,0.07047493981177501,0.013679142044210987,0.02243379295250602,0.020026263952724884,0.0496826439045743,0.06369008535784636,0.21952287152549793,0.18220617202889033,0.04092799299627927,0.04924491135915955,0.08885970671919458,0.06894287590282337,0.02659225213394616,0.01455460713504049,0.006565988181221274,9138.0,39.24,38.0
2268,E02002269,0.06786030061892132,0.06907603890362511,0.013041556145004421,0.02530946065428824,0.020225464190981434,0.04144562334217507,0.0624447391688771,0.248894783377542,0.21728558797524314,0.039235190097259065,0.042440318302387266,0.0629973474801061,0.046087533156498675,0.027519893899204242,0.010831122900088417,0.005305039787798408,9048.0,37.5,37.0
2269,E02002270,0.05769492447952102,0.07075792624846917,0.016056606340998775,0.026942441148455572,0.018641992107769765,0.03701183834535311,0.05034698598448768,0.25159885698734524,0.22737787454075384,0.03796434889100558,0.04857803782827596,0.06232140427269016,0.04422370390529324,0.03102462920125187,0.013471220574227786,0.005987209144101238,7349.0,38.4,39.0
2270,E02002271,0.05615748512131848,0.05798870746223104,0.010529528460247215,0.023500686708377842,0.019533038303067296,0.041965511979246146,0.05631008698306119,0.23866931176560355,0.20311307797955136,0.035403631924309474,0.06241416145276973,0.0988860064092782,0.05356325347169236,0.0253319090492904,0.011750343354188921,0.004883259575766824,6553.0,40.43,40.0
2271,E02002272,0.06041711459901097,0.07525263384218447,0.01526553429370028,0.02601591055686949,0.02193076757686519,0.05364437755321436,0.06589980649322727,0.23220812728445495,0.20640722425284885,0.035261234143195014,0.05127929477531713,0.07009245323586326,0.04601161040636422,0.027843474521608257,0.009460331111588905,0.003010105353687379,9302.0,37.5,37.0
2272,E02002273,0.06321243523316063,0.06010362694300518,0.011398963730569948,0.01709844559585492,0.01848013816925734,0.04766839378238342,0.06528497409326425,0.23298791018998272,0.22279792746113988,0.034887737478411056,0.047495682210708115,0.08583765112262522,0.05008635578583765,0.0231433506044905,0.01226252158894646,0.007253886010362694,5790.0,39.52,39.0
2273,E02002274,0.061782579338284946,0.06684672518568535,0.013166779203241054,0.02633355840648211,0.022957461174881837,0.045408507765023635,0.05722484807562458,0.24037812288993923,0.20594193112761647,0.03460499662390277,0.053342336259284265,0.08136394328156651,0.04794058068872384,0.025151924375422012,0.011478730587440918,0.006076975016880486,5924.0,38.86,38.0
2274,E02002275,0.05593220338983051,0.06245110821382008,0.01303780964797914,0.023076923076923078,0.021251629726205996,0.05136897001303781,0.07470664928292046,0.22346805736636244,0.19322033898305085,0.03402868318122555,0.05254237288135593,0.09022164276401565,0.06088657105606258,0.023207301173402868,0.013820078226857888,0.006779661016949152,7670.0,39.73,38.0
2275,E02002276,0.0629553264604811,0.07656357388316151,0.013608247422680412,0.027903780068728522,0.0229553264604811,0.05855670103092783,0.06254295532646048,0.2250171821305842,0.1997250859106529,0.04054982817869416,0.0452233676975945,0.0754639175257732,0.04013745704467354,0.030515463917525774,0.01140893470790378,0.006872852233676976,7275.0,37.07,36.0
2276,E02002277,0.07376389112578514,0.07456917377999678,0.01481720083749396,0.024319536157191173,0.02254791431792559,0.06571106458366886,0.06893219520051538,0.21517152520534708,0.1839265582219359,0.03978096311805444,0.0496054114994363,0.07585762602673539,0.04316315026574328,0.02657432758898373,0.011273957158962795,0.009985504912224191,6209.0,36.97,35.0
2277,E02002278,0.0696748506967485,0.07863304578633046,0.013105507631055077,0.022727272727272728,0.023556735235567353,0.05076310550763106,0.06702057067020571,0.22030524220305242,0.20869276708692766,0.040145985401459854,0.04213669542136696,0.061380225613802256,0.05242203052422031,0.033344392833443925,0.010617120106171201,0.005474452554744526,6028.0,36.92,36.0
2278,E02002279,0.06545082665757627,0.06800749957388785,0.013124254303732742,0.024203170274416225,0.021476052497017215,0.0490881199931822,0.07260951082324868,0.22413499232998124,0.179307993863985,0.03954320777228566,0.04806545082665758,0.07652974262825976,0.06442815749105164,0.0267598431907278,0.018067155275268452,0.009204022498721664,5867.0,38.84,37.0
2279,E02002280,0.0902608695652174,0.08608695652173913,0.01565217391304348,0.03252173913043478,0.03182608695652174,0.07286956521739131,0.07460869565217391,0.1845217391304348,0.14730434782608695,0.049565217391304345,0.0391304347826087,0.06747826086956522,0.05547826086956522,0.03304347826086956,0.013043478260869565,0.006608695652173913,5750.0,34.41,31.0
2280,E02002281,0.07230769230769231,0.06942307692307692,0.014807692307692308,0.02980769230769231,0.027019230769230768,0.06298076923076923,0.07721153846153846,0.2239423076923077,0.17028846153846153,0.04384615384615385,0.041923076923076924,0.07538461538461538,0.047692307692307694,0.02923076923076923,0.009423076923076923,0.0047115384615384615,10400.0,35.98,34.0
2281,E02002282,0.08731063691154911,0.07183580387685291,0.01612640495194657,0.035510669490144975,0.028506271379703536,0.0643427268284737,0.08340120540804691,0.22609545528587718,0.17038605636097084,0.044306890373024925,0.03811695715914644,0.06515719172503665,0.03160123798664278,0.02997230819351686,0.005212575338002932,0.0021176087310636913,6139.0,33.54,31.0
2282,E02002283,0.10552131807319834,0.08954848446736259,0.02138095837001635,0.03949188781285373,0.03961765815620677,0.09193812099107031,0.07998993837253175,0.20286756382844925,0.13356810464092567,0.05282354420827569,0.03081373412149415,0.04452270154697522,0.026411772104137844,0.03307760030184882,0.00616274682429883,0.0022638661803546724,7951.0,29.82,26.0
2283,E02002284,0.05763448045439359,0.06414968259271633,0.011025726695623121,0.024557300367524224,0.018710324089542266,0.04994988306047444,0.06331440026729035,0.22786501837621115,0.21316404944871367,0.03374540594721016,0.04811226194453725,0.09071166054126295,0.058803875709989975,0.02539258269295022,0.008519879719345138,0.004343468092215168,5986.0,39.55,39.0
2284,E02002285,0.05886252154315259,0.06403287816518627,0.011666445711255469,0.02651464934376243,0.020681426488134695,0.04865438154580406,0.055945910115338726,0.22683282513588757,0.22577223916213707,0.03473419064032878,0.052233859207211984,0.08246055945910115,0.04984754076627337,0.026382076097043617,0.01113615272438022,0.004242343895001988,7543.0,39.24,39.0
2285,E02002286,0.08193163320672817,0.07469705190812082,0.01266051727256285,0.026406221739916802,0.026587086272381984,0.061493941038162414,0.09007053716766142,0.23186833062036535,0.1564478205823838,0.047567372038343284,0.03563031289564116,0.06655814794718756,0.04286489419424851,0.028938325194429373,0.011394465545306565,0.0048833423765599565,5529.0,34.7,32.0
2286,E02002287,0.07277441659464132,0.07381158167675021,0.014174589455488332,0.025064822817631807,0.024027657735522904,0.07312013828867761,0.07675021607605877,0.1975799481417459,0.15592048401037165,0.0439066551426102,0.043215211754537596,0.0696629213483146,0.06845289541918756,0.028003457216940364,0.021607605877268798,0.011927398444252377,5785.0,37.47,34.0
2287,E02002288,0.07239661763002432,0.08398007645082822,0.01505849646704506,0.028031970346345417,0.02363025599443994,0.05339974516390594,0.07054326421869571,0.23456504112127882,0.1661067994903278,0.04934553457662458,0.04193212093131009,0.06672072280783042,0.04540715857755126,0.03301285763929109,0.011120120467971737,0.004749218116529595,8633.0,35.32,34.0
2288,E02002289,0.10156895127993394,0.08967795210569778,0.015854665565648223,0.03005780346820809,0.026424442609413706,0.06457473162675474,0.08158546655656482,0.223121387283237,0.14236168455821635,0.06011560693641618,0.03220478943022296,0.04872006606110652,0.028901734104046242,0.046407927332782824,0.005615194054500413,0.0028075970272502066,6055.0,30.77,29.0
2289,E02002290,0.0483265306122449,0.06514285714285714,0.015346938775510204,0.024979591836734694,0.018612244897959183,0.045224489795918366,0.045551020408163265,0.20408163265306123,0.23918367346938776,0.029714285714285714,0.06710204081632654,0.104,0.05453061224489796,0.023183673469387756,0.010448979591836735,0.004571428571428572,6125.0,41.53,43.0
2290,E02002291,0.061893396976929194,0.07478122513922036,0.011137629276054098,0.01988862370723946,0.021479713603818614,0.04343675417661098,0.06205250596658711,0.2202068416865553,0.22991249005568815,0.03818615751789976,0.0456642800318218,0.07796340493237867,0.050119331742243436,0.028003182179793158,0.009069212410501194,0.006205250596658711,6285.0,38.65,39.0
2291,E02002292,0.058855487142339735,0.07660268018833756,0.01466859833393698,0.025353132922854037,0.022817819630568635,0.04364360738862731,0.04762767113364723,0.23451647953639987,0.21658819268381022,0.03766751177109743,0.04780876494023904,0.07678377399492937,0.05287939152480985,0.028793915248098514,0.010503440782325244,0.004889532777978993,5522.0,38.5,39.0
2292,E02002293,0.10693127962085308,0.08190165876777251,0.016735781990521326,0.03539691943127962,0.03524881516587678,0.07923578199052132,0.07553317535545023,0.19623815165876776,0.13270142180094788,0.0567239336492891,0.03036137440758294,0.05835308056872038,0.043098341232227486,0.039247630331753554,0.008590047393364929,0.00370260663507109,6752.0,31.49,28.0
2293,E02002294,0.09689727884325736,0.08996887237674465,0.020283160959935737,0.03996385179234863,0.0381564414097801,0.0886635204337785,0.08123305552766343,0.19670649663620846,0.1382668942664926,0.05532684004418114,0.03213174013455166,0.044783612812531376,0.029420624560698865,0.03554573752384778,0.007731699969876493,0.004920172708103223,9959.0,30.49,27.0
2294,E02002295,0.08042436687200548,0.08709787816563998,0.014715947980835045,0.029774127310061602,0.025154004106776182,0.060574948665297744,0.06759069130732374,0.21868583162217659,0.15468856947296372,0.05253251197809719,0.04158110882956879,0.07648870636550308,0.049623545516769334,0.030629705681040384,0.006844626967830253,0.003593429158110883,5844.0,34.87,33.0
2295,E02002296,0.05602962485912091,0.050072452101110936,0.010626308162936726,0.017066494928352924,0.016100466913540494,0.0425052326517469,0.05747866688133956,0.21719529866366125,0.21783931734020287,0.03252294316535179,0.061664788278860086,0.09177266140718081,0.07422315247142167,0.02350668169376912,0.019803574303654807,0.011592336177749154,6211.0,42.45,43.0
2296,E02002297,0.0548078482244203,0.06486135884546781,0.011188584400843197,0.026106696935300794,0.018809794065185667,0.05010539970812389,0.056753688989784334,0.2208529268688179,0.22004215988324954,0.03859250851305335,0.052699854061942594,0.09583265769417869,0.05253770066482893,0.0244851629641641,0.009567050429706502,0.002756607750932382,6167.0,39.66,40.0
