,GEOGRAPHY_CODE,Can write Welsh,Cannot write Welsh,Total: All usual residents aged 3 years and over
115,W02000126,0.4253202338017659,0.574679766198234,1
116,W02000127,0.2626434339141521,0.7373565660858479,1
117,W02000128,0.21726274288932695,0.7827372571106731,1
118,W02000129,0.24238975817923186,0.7576102418207681,1
119,W02000130,0.09081064356435643,0.9091893564356436,1
120,W02000131,0.09954233409610984,0.9004576659038902,1
121,W02000132,0.15478108068531263,0.8452189193146874,1
122,W02000133,0.09539676662964335,0.9046032333703566,1
123,W02000134,0.0729128242960777,0.9270871757039223,1
124,W02000135,0.06661045531197302,0.9333895446880269,1
125,W02000136,0.08942390369733448,0.9105760963026656,1
126,W02000137,0.05482883384358475,0.9451711661564153,1
127,W02000138,0.058999572466866185,0.9410004275331338,1
128,W02000139,0.08354263053536021,0.9164573694646397,1
129,W02000140,0.06606180890275021,0.9339381910972497,1
130,W02000141,0.10028149190710767,0.8997185080928923,1
131,W02000142,0.453990001851509,0.546009998148491,1
132,W02000143,0.33034571062740076,0.6696542893725992,1
133,W02000144,0.3969404186795491,0.6030595813204509,1
134,W02000145,0.38014388489208634,0.6198561151079137,1
135,W02000146,0.4321199812529292,0.5678800187470707,1
136,W02000147,0.33292831105710813,0.6670716889428918,1
137,W02000148,0.2753395000984058,0.7246604999015942,1
138,W02000149,0.3149003984063745,0.6850996015936255,1
139,W02000151,0.4188868740410099,0.5811131259589901,1
140,W02000152,0.38021142653521794,0.619788573464782,1
141,W02000153,0.41267588979543574,0.5873241102045643,1
142,W02000154,0.36416184971098264,0.6358381502890174,1
143,W02000156,0.4540903540903541,0.5459096459096459,1
144,W02000157,0.4857055340004084,0.5142944659995916,1
145,W02000158,0.30415716540957727,0.6958428345904227,1
146,W02000159,0.30507354156337796,0.694926458436622,1
147,W02000160,0.276019313304721,0.7239806866952789,1
148,W02000161,0.1938168846611177,0.8061831153388823,1
149,W02000162,0.2317617866004963,0.7682382133995037,1
150,W02000163,0.20984555984555986,0.7901544401544401,1
151,W02000164,0.2424200470718538,0.7575799529281462,1
152,W02000165,0.15841429019116265,0.8415857098088374,1
153,W02000166,0.19245154709282558,0.8075484529071745,1
154,W02000167,0.14497130776200542,0.8550286922379946,1
155,W02000168,0.20633669609079444,0.7936633039092056,1
156,W02000169,0.17772271652213087,0.8222772834778691,1
157,W02000170,0.10031828362607569,0.8996817163739244,1
158,W02000171,0.130052509463915,0.869947490536085,1
159,W02000172,0.10309382243273203,0.896906177567268,1
160,W02000173,0.11764705882352941,0.8823529411764706,1
161,W02000174,0.12884615384615383,0.8711538461538462,1
162,W02000175,0.08426808749298935,0.9157319125070107,1
