,GEOGRAPHY_CODE,Buddhist,Christian,Hindu,Jewish,Muslim,No religion,Not answered,Other religion,Sikh,Total: All usual residents
1621,E02001694,0.002572347266881029,0.5244372990353697,0.002411575562700965,0.0006430868167202572,0.015434083601286173,0.40739549839228295,0.04244372990353698,0.0038585209003215433,0.0008038585209003215,6220.0
1622,E02001695,0.0019041024753332178,0.6004846806300849,0.0013848018002423402,0.0013848018002423402,0.00882811147654492,0.3425653453349489,0.038082049506664356,0.003288904275575558,0.0020772027003635105,5777.0
1623,E02001696,0.0017492073904012244,0.5174374111730622,0.0004373018476003061,0.0004373018476003061,0.013337706351809336,0.42090302831529464,0.04285558106483,0.0027331365475019133,0.00010932546190007652,9147.0
1624,E02001697,0.0025647948164146867,0.5646598272138229,0.001214902807775378,0.0016198704103671706,0.014713822894168466,0.3617710583153348,0.046706263498920084,0.003644708423326134,0.0031047516198704104,7408.0
1625,E02001698,0.0007178750897343862,0.6559942569992822,0.0020100502512562816,0.0008614501076812635,0.0027279253409906675,0.29174443646805454,0.041923905240488155,0.0027279253409906675,0.0012921751615218953,6965.0
1626,E02001699,0.0016791329568004885,0.5402228667379027,0.0038162112654556556,0.001373836055564036,0.01495954816058617,0.4003968859716074,0.03480384674095558,0.002137078308655167,0.000610593802472905,6551.0
1627,E02001700,0.0021446675765256387,0.5469877169038799,0.0017547280171573405,0.0010723337882628194,0.010528368102944044,0.39052446870735036,0.04035874439461883,0.00370442581399883,0.002924546695262234,10258.0
1628,E02001701,0.0022453889334402566,0.5818765036086608,0.0022453889334402566,0.0011226944667201283,0.00817963111467522,0.3599037690457097,0.03785084202085004,0.0032076984763432237,0.003368083400160385,6235.0
1629,E02001702,0.0013978904562206124,0.49345533104587624,0.0019062142584826535,0.0006354047528275512,0.0285932138772398,0.4235608082348456,0.045240818401321645,0.0036853475663997967,0.0015249714067861228,7869.0
1630,E02001703,0.001615218951902369,0.5590452261306532,0.00017946877243359656,0.0003589375448671931,0.008076094759511845,0.38908829863603733,0.039303661162957644,0.002333094041636755,0.0,5572.0
1631,E02001704,0.00162026808071881,0.515687140963323,0.001914862277213139,0.0005891883929886581,0.018412137280895566,0.4181764619237001,0.038886433937251434,0.003535130357931949,0.0011783767859773163,6789.0
1632,E02001706,0.0006309148264984228,0.5092744479495268,0.00277602523659306,0.0015141955835962144,0.018675078864353312,0.421198738170347,0.03659305993690852,0.005173501577287066,0.00416403785488959,7925.0
1633,E02001707,0.0014503263234227702,0.5346869712351946,0.00241721053903795,0.001208605269518975,0.014261542180323905,0.39062122310853276,0.047739908145999516,0.004955281605027798,0.0026589315929417454,8274.0
1634,E02001709,0.0035772986560959103,0.48303200232040994,0.02436430436043701,0.0029005124238615488,0.054916368558445325,0.37348931644590544,0.04650488252924683,0.003964033645944116,0.007251281059653872,10343.0
1635,E02001710,0.0024745125210333565,0.42175591408492524,0.006730674057210729,0.001187766010096011,0.054142333960209836,0.4446204097792735,0.061070969019103236,0.004454122537860042,0.0035632980302880333,10103.0
1636,E02001711,0.00303275374039628,0.44490497371613424,0.010109179134654266,0.000909826122118884,0.032753740396279825,0.4580469065911848,0.041245450869389404,0.004346947027901334,0.004650222401940962,9892.0
1637,E02001712,0.006106052490626674,0.43385109801821103,0.01435457953936797,0.004713444027852169,0.03727905731119443,0.4344938403856454,0.06245313336904124,0.004392072844134976,0.0023567220139260846,9335.0
1638,E02001713,0.002887008461921354,0.45097063215530114,0.023195619711299152,0.009556993529118965,0.05435540069686411,0.39631657541065207,0.053061224489795916,0.004280736684917869,0.0053758088601294175,10045.0
1639,E02001714,0.003815613076209137,0.45942043931112714,0.034340517685882234,0.0010312467773538208,0.07837475507889038,0.3640301124058987,0.04764360111374652,0.005362483242239868,0.00598123130865216,9697.0
