,GEOGRAPHY_CODE,Lives rent free,Owned,Owned: Owns outright,Owned: Owns with a mortgage or loan,Owns with a mortgage or loan or shared ownership,Private rented,Private rented or lives rent free,Private rented: Other private rented,Private rented: Private landlord or letting agency,Shared ownership,Shared ownership: Shared ownership,Social rented,Social rented: Other social rented,Social rented: Rents from council or Local Authority,Total: All households
2529,E02002645,0.0007047216349541931,0.3086680761099366,0.17829457364341086,0.1303735024665257,0.14482029598308668,0.5856236786469344,0.5863284002818887,0.027131782945736434,0.5584918957011981,0.014446793516560958,0.014446793516560958,0.09055673009161382,0.06800563777307964,0.02255109231853418,2838.0
2530,E02002646,0.0017735737511084836,0.5849837422406149,0.3100798108187999,0.27490393142181496,0.27608631392255395,0.19479751699674844,0.19657109074785692,0.0218740762636713,0.17292344073307714,0.0011823825007389892,0.0011823825007389892,0.21726278451078923,0.05616316878510198,0.16109961572568726,3383.0
2531,E02002647,0.0005512679162072767,0.5350055126791621,0.27342888643880925,0.2615766262403528,0.26405733186328556,0.3988423373759647,0.399393605292172,0.030871003307607496,0.36797133406835725,0.0024807056229327455,0.0024807056229327455,0.06312017640573318,0.03362734288864388,0.029492833517089305,3628.0
2532,E02002648,0.0009319664492078285,0.5886921404162784,0.3016464740602672,0.2870456663560112,0.28922025473749613,0.30413171792482135,0.3050636843740292,0.02858030444237341,0.27555141348244794,0.0021745883814849334,0.0021745883814849334,0.10406958682820752,0.0403852127990059,0.06368437402920162,3219.0
2533,E02002649,0.0,0.6175682913765399,0.3245848955543653,0.2929833958221746,0.29432244242099626,0.3435993572576326,0.3435993572576326,0.027584359935725764,0.3160149973219068,0.001339046598821639,0.001339046598821639,0.037493304767005894,0.02544188537761114,0.012051419389394752,3734.0
2534,E02002650,0.00025627883136852895,0.7342388518708355,0.41260891850333165,0.32162993336750384,0.3247052793439262,0.20399794976934904,0.20425422860071757,0.026396719630958482,0.17760123013839058,0.0030753459764223477,0.0030753459764223477,0.0584315735520246,0.033828805740645826,0.02460276781137878,3902.0
2535,E02002651,0.0008493771234428086,0.7208380520951302,0.412797281993205,0.30804077010192527,0.31002265005662516,0.19733861834654587,0.19818799546998866,0.027463193657984147,0.16987542468856173,0.0019818799546998866,0.0019818799546998866,0.0789920724801812,0.027746319365798414,0.051245753114382786,3532.0
2536,E02002653,0.005323868677905945,0.33451641526175685,0.17361727299615498,0.1608991422656019,0.1608991422656019,0.11180124223602485,0.11712511091393078,0.012422360248447204,0.09937888198757763,0.0,0.0,0.5483584738243124,0.06033717834960071,0.4880212954747116,3381.0
2537,E02002654,0.004560260586319218,0.24006514657980457,0.12964169381107493,0.11042345276872964,0.11368078175895766,0.098371335504886,0.10293159609120521,0.010749185667752443,0.08762214983713355,0.003257328990228013,0.003257328990228013,0.6537459283387622,0.09804560260586319,0.5557003257328991,3070.0
2538,E02002655,0.004540295119182747,0.40805902383654935,0.17167990919409762,0.23637911464245176,0.23808172531214528,0.13251986379114641,0.13706015891032916,0.01362088535754824,0.11889897843359819,0.00170261066969353,0.00170261066969353,0.45317820658342794,0.024687854710556185,0.4284903518728717,3524.0
2539,E02002656,0.00039077764751856197,0.7944509574052364,0.4880812817506839,0.3063696756545526,0.3098866744822196,0.18522860492379836,0.1856193825713169,0.028917545916373584,0.15631105900742479,0.0035169988276670576,0.0035169988276670576,0.016412661195779603,0.011332551778038297,0.005080109417741305,2559.0
2540,E02002657,0.0021565003080714724,0.762784966112138,0.41096734442390637,0.35181762168823166,0.35304990757855825,0.13647566235366604,0.13863216266173753,0.015095502156500308,0.12138016019716574,0.0012322858903265558,0.0012322858903265558,0.0973505853357979,0.019716574245224893,0.07763401109057301,3246.0
2541,E02002658,0.0016539861065167053,0.6864042342044326,0.36156136288455176,0.32484287131988093,0.32947403241812767,0.15812107178299703,0.15977505788951374,0.01984783327820046,0.13827323850479656,0.004631161098246774,0.004631161098246774,0.14918954680780683,0.0701290109163083,0.07906053589149852,3023.0
2542,E02002659,0.00412415888864771,0.3082266116778815,0.1482526589971782,0.15997395268070327,0.16149337963967875,0.14326025613197307,0.1473844150206208,0.016279574560451485,0.1269806815715216,0.001519426958975472,0.001519426958975472,0.5428695463425223,0.1367484263077925,0.4061211200347298,4607.0
2543,E02002660,0.00390625,0.501953125,0.2805989583333333,0.22135416666666666,0.22298177083333334,0.1298828125,0.1337890625,0.013346354166666666,0.11653645833333333,0.0016276041666666667,0.0016276041666666667,0.3626302083333333,0.018880208333333332,0.34375,3072.0
2544,E02002661,0.0029585798816568047,0.5434911242603551,0.25769230769230766,0.28579881656804734,0.2875739644970414,0.11627218934911243,0.11923076923076924,0.01982248520710059,0.09644970414201183,0.0017751479289940828,0.0017751479289940828,0.33550295857988166,0.023076923076923078,0.31242603550295855,3380.0
2545,E02002662,0.005349182763744428,0.5108469539375928,0.2338781575037147,0.2769687964338782,0.2989598811292719,0.0950965824665676,0.10044576523031204,0.015156017830609212,0.07994056463595839,0.02199108469539376,0.02199108469539376,0.3667161961367013,0.1447251114413076,0.22199108469539375,3365.0
2546,E02002663,0.0,0.5354330708661418,0.26647326978864483,0.2689598010774969,0.27351844177372564,0.38707003729796935,0.38707003729796935,0.021135515955242438,0.3659345213427269,0.0045586406962287605,0.0045586406962287605,0.07293825113966017,0.05677579776212184,0.016162453377538334,2413.0
2547,E02002664,0.0006765899864682003,0.8656968876860622,0.472936400541272,0.3927604871447903,0.39411366711772666,0.10893098782138025,0.10960757780784844,0.014884979702300407,0.09404600811907984,0.0013531799729364006,0.0013531799729364006,0.02334235453315291,0.0040595399188092015,0.019282814614343707,2956.0
2548,E02002665,0.0011894142134998512,0.7127564674397859,0.3767469521260779,0.336009515313708,0.34046981861433245,0.1793041926851026,0.18049360689860244,0.01575973832887303,0.16354445435622955,0.0044603033006244425,0.0044603033006244425,0.10228962236098721,0.047576568539994056,0.05471305382099316,3363.0
2549,E02002666,0.002266931141966563,0.23717767072825163,0.13261547180504393,0.10456219892320771,0.11476338906205724,0.5848682346273731,0.5871351657693398,0.022102578634173985,0.5627656559931992,0.010201190138849533,0.010201190138849533,0.16548597336355908,0.10654576367242845,0.05894020969113063,3529.0
2550,E02002667,0.0005927682276229994,0.6419679905157084,0.3085358624777712,0.33343212803793715,0.33550681683461764,0.2886781268524007,0.28927089508002374,0.02074688796680498,0.2679312388855957,0.002074688796680498,0.002074688796680498,0.06668642560758743,0.025785417901600473,0.04090100770598696,3374.0
2551,E02002668,0.004453103256331756,0.2368494294461453,0.11160590036181464,0.12524352908433065,0.1352630114110771,0.0784859448928472,0.08293904814917896,0.009462844419704982,0.06902310047314222,0.01001948232674645,0.01001948232674645,0.6701920400779293,0.2535485666573894,0.4166434734205399,3593.0
2552,E02002669,0.000277623542476402,0.444752915047196,0.21765685730149917,0.22709605774569683,0.23153803442531926,0.48972792892837314,0.49000555247084954,0.024430871737923375,0.4652970571904497,0.004441976679622432,0.004441976679622432,0.06079955580233204,0.04719600222098834,0.013603553581343698,3602.0
2553,E02002670,0.004435819240365955,0.529248683116163,0.2545051289159967,0.27474355420016633,0.2780704186304408,0.15303576379262546,0.1574715830329914,0.016079844746326587,0.13695591904629886,0.0033268644302744664,0.0033268644302744664,0.3099528694205711,0.07457721097865262,0.2353756584419185,3607.0
2554,E02002671,0.0008731082654249127,0.5858556461001164,0.26746216530849826,0.31839348079161817,0.32945285215366704,0.1941210710128056,0.1949941792782305,0.018335273573923165,0.17578579743888242,0.011059371362048894,0.011059371362048894,0.2080908032596042,0.0619906868451688,0.14610011641443538,3436.0
2555,E02002672,0.0034989503149055285,0.3477956613016095,0.16375087473757874,0.18404478656403078,0.1920923722883135,0.16235129461161651,0.16585024492652203,0.010846745976207137,0.15150454863540938,0.008047585724282715,0.008047585724282715,0.47830650804758573,0.10111966410076977,0.37718684394681595,2858.0
2556,E02002673,0.0011830819284235432,0.556935817805383,0.277136941733215,0.279798876072168,0.28305235137533274,0.3300798580301686,0.33126293995859213,0.025140490979000295,0.3049393670511683,0.003253475303164744,0.003253475303164744,0.1085477669328601,0.06566104702750665,0.04288671990535345,3381.0
2557,E02002674,0.0009316770186335404,0.6428571428571429,0.3108695652173913,0.33198757763975156,0.33291925465838507,0.29316770186335406,0.29409937888198756,0.021739130434782608,0.2714285714285714,0.0009316770186335404,0.0009316770186335404,0.062111801242236024,0.008695652173913044,0.05341614906832298,3220.0
2558,E02002675,0.006737496760818865,0.22441046903342834,0.11168696553511272,0.11272350349831563,0.11686965535112724,0.33998445193055193,0.3467219486913708,0.01891681782845297,0.321067634102099,0.004146151852811609,0.004146151852811609,0.42472143042238925,0.11635138636952579,0.30837004405286345,3859.0
2559,E02002676,0.0031691155286660906,0.5234802650532988,0.2601555747623163,0.26332469029098243,0.2662057044079516,0.3877845001440507,0.3909536156727168,0.03543647363872083,0.35234802650532987,0.002881014116969173,0.002881014116969173,0.08268510515701527,0.01930279458369346,0.0633823105733218,3471.0
2560,E02002677,0.011377390462357783,0.402081820382474,0.19535221496005808,0.2067296054224159,0.20793996610990076,0.3662551440329218,0.3776325344952796,0.0271120793996611,0.3391430646332607,0.0012103606874848704,0.0012103606874848704,0.21907528443476157,0.09803921568627451,0.12103606874848705,4131.0
2561,E02002678,0.0013491635186184566,0.5736643281165678,0.2555315704263357,0.3181327576902321,0.32460874257960065,0.3545601726929304,0.35590933621154885,0.03264975715056665,0.3219104155423637,0.0064759848893685915,0.0064759848893685915,0.06395035078251485,0.042093901780895844,0.021856449001618997,3706.0
2562,E02002679,0.0038179148311306903,0.6616740088105727,0.32863436123348017,0.33303964757709253,0.3342143906020558,0.1433186490455213,0.14713656387665197,0.014684287812041116,0.12863436123348018,0.0011747430249632893,0.0011747430249632893,0.19001468428781204,0.049926578560939794,0.14008810572687225,3405.0
2563,E02002680,0.005541189508681197,0.1477650535648319,0.07332840783154784,0.07443664573328408,0.07997783524196528,0.3913926856298485,0.39693387513852973,0.020132988548208348,0.3712596970816402,0.005541189508681197,0.005541189508681197,0.44975988178795717,0.1459179903952715,0.30384189139268564,5414.0
2564,E02002681,0.006751687921980495,0.2583145786446612,0.159039759939985,0.09927481870467617,0.10477619404851213,0.4738684671167792,0.4806201550387597,0.025006251562890724,0.4488622155538885,0.005501375343835959,0.005501375343835959,0.2555638909727432,0.10327581895473868,0.1522880720180045,3999.0
2565,E02002682,0.004795117698343505,0.4217523975588492,0.15605928509154315,0.26569311246730604,0.26852659110723626,0.22515257192676547,0.22994768962510898,0.014821272885789015,0.21033129904097647,0.002833478639930253,0.002833478639930253,0.3454664341761116,0.15780296425457715,0.18766346992153443,4588.0
2566,E02002684,0.00020153164046755341,0.7708585247883918,0.558645707376058,0.21221281741233375,0.2150342603788795,0.15437323659814592,0.15457476823861346,0.020959290608625555,0.13341394598952036,0.0028214429665457475,0.0028214429665457475,0.07174526400644901,0.020556227327690448,0.051189036678758564,4962.0
2567,E02002685,0.0007980845969672786,0.7797286512370312,0.5599893588720405,0.21973929236499068,0.22106943335993615,0.1630752859803139,0.16387337057728119,0.02341048151104017,0.13966480446927373,0.0013301409949454642,0.0013301409949454642,0.05506783719074222,0.01888800212822559,0.036179835062516624,3759.0
2568,E02002686,0.010187224669603524,0.3997797356828194,0.2469713656387665,0.15280837004405287,0.15693832599118943,0.19465859030837004,0.20484581497797358,0.021751101321585902,0.17290748898678415,0.004129955947136564,0.004129955947136564,0.39124449339207046,0.049834801762114536,0.34140969162995594,3632.0
2569,E02002687,0.0003536067892503536,0.5261669024045261,0.3475954738330976,0.17857142857142858,0.18882602545968882,0.394978783592645,0.3953323903818953,0.03536067892503536,0.35961810466760963,0.010254596888260255,0.010254596888260255,0.06824611032531824,0.04066478076379067,0.027581329561527583,2828.0
2570,E02002688,0.0,0.46210363495746326,0.31167826759474093,0.15042536736272236,0.15081206496519722,0.4756380510440835,0.4756380510440835,0.030935808197989172,0.44470224284609433,0.0003866976024748647,0.0003866976024748647,0.061871616395978345,0.042536736272235115,0.019334880123743233,2586.0
2571,E02002689,0.0011792452830188679,0.7425314465408805,0.4893867924528302,0.2531446540880503,0.25471698113207547,0.18081761006289307,0.18199685534591195,0.03537735849056604,0.14544025157232704,0.0015723270440251573,0.0015723270440251573,0.07389937106918239,0.014544025157232705,0.059355345911949686,2544.0
2572,E02002691,0.00027247956403269756,0.7689373297002725,0.4713896457765668,0.29754768392370573,0.30517711171662126,0.16158038147138964,0.16185286103542235,0.034604904632152586,0.12697547683923704,0.007629427792915531,0.007629427792915531,0.061580381471389646,0.011716621253405994,0.04986376021798365,3670.0
2573,E02002692,0.0,0.8331598125976054,0.4648620510150963,0.3682977615825091,0.37584591358667363,0.09812597605413848,0.09812597605413848,0.02030192608016658,0.0778240499739719,0.0075481520041644976,0.0075481520041644976,0.06116605934409162,0.025507548152004164,0.035658511192087454,3842.0
2574,E02002693,0.000318775900541919,0.7733503347146956,0.4775262990117947,0.29582403570290083,0.2964615875039847,0.15779407076824992,0.15811284666879183,0.035065349059611096,0.12272872170863883,0.000637551801083838,0.000637551801083838,0.06789926681542875,0.020401657634682817,0.047497609180745935,3137.0
2575,E02002694,0.0005128205128205128,0.6967521367521368,0.3882051282051282,0.30854700854700856,0.3147008547008547,0.18632478632478633,0.18683760683760683,0.029914529914529916,0.1564102564102564,0.006153846153846154,0.006153846153846154,0.11025641025641025,0.038974358974358976,0.07128205128205128,5850.0
2576,E02002695,0.0013477088948787063,0.7145552560646901,0.4921832884097035,0.2223719676549865,0.22506738544474394,0.17735849056603772,0.17870619946091645,0.02830188679245283,0.1490566037735849,0.0026954177897574125,0.0026954177897574125,0.10404312668463613,0.03611859838274933,0.06792452830188679,3710.0
2577,E02002696,0.0004045307443365696,0.7843851132686084,0.4664239482200647,0.3179611650485437,0.3179611650485437,0.18608414239482202,0.18648867313915857,0.05461165048543689,0.13147249190938512,0.0,0.0,0.02912621359223301,0.007281553398058253,0.021844660194174758,2472.0
2578,E02002697,0.0009079903147699758,0.8208232445520581,0.5012106537530266,0.3196125907990315,0.32112590799031476,0.12046004842615012,0.1213680387409201,0.025121065375302662,0.09533898305084745,0.001513317191283293,0.001513317191283293,0.056295399515738496,0.016646489104116223,0.039648910411622273,3304.0
2579,E02002698,0.0013280212483399733,0.7197875166002656,0.38857901726427624,0.3312084993359894,0.34103585657370517,0.16653386454183267,0.16786188579017264,0.022045152722443558,0.1444887118193891,0.009827357237715804,0.009827357237715804,0.10252324037184594,0.03266932270916335,0.0698539176626826,3765.0
2580,E02002699,0.0,0.8548312528895053,0.5122515025427646,0.34257975034674065,0.34858992140545536,0.10748959778085991,0.10748959778085991,0.018261673601479428,0.0892279241793805,0.006010171058714748,0.006010171058714748,0.031668978270920016,0.01779935275080906,0.013869625520110958,4326.0
2581,E02002700,0.00968783638320775,0.4707570864729099,0.23501973448152136,0.2357373519913886,0.242913527090061,0.14388231072838178,0.15357014711158953,0.020093290276282743,0.12378902045209902,0.007176175098672408,0.007176175098672408,0.3684965913168281,0.036239684248295656,0.33225690706853245,2787.0
2582,E02002701,0.0010911074740861974,0.8262411347517731,0.48090561920349156,0.3453355155482815,0.3524277141298418,0.10965630114566285,0.11074740861974905,0.03491543917075832,0.07474086197490452,0.0070921985815602835,0.0070921985815602835,0.05591925804691762,0.025095471903982543,0.03082378614293508,3666.0
2583,E02002702,0.002548020384163073,0.6097608780870247,0.37397099176793414,0.23578988631909056,0.2412779302234418,0.2598980791846335,0.26244609956879655,0.02450019600156801,0.23539788318306545,0.005488043904351235,0.005488043904351235,0.12230497843982752,0.057428459427675424,0.06487651901215209,5102.0
2584,E02002703,0.0005111167901865576,0.8287758752875032,0.48172757475083056,0.3470483005366726,0.35369281880909786,0.10120112445693841,0.10171224124712497,0.014055711730130335,0.08714541272680808,0.006644518272425249,0.006644518272425249,0.06286736519294658,0.03194479938665985,0.030922565806286738,3913.0
2585,E02002704,0.0012590494176896443,0.8199559332703809,0.5190431224425559,0.300912810827825,0.3018570978910922,0.12149826880705068,0.12275731822474033,0.02612527541706012,0.09537299338999056,0.0009442870632672333,0.0009442870632672333,0.056342461441611584,0.0084985835694051,0.04784387787220649,3177.0
2586,E02002705,0.000637551801083838,0.8278610137073638,0.5049410264583998,0.322919987248964,0.32929550525980233,0.07969397513547975,0.08033152693656359,0.017851450430347467,0.06184252470513229,0.006375518010838381,0.006375518010838381,0.0854319413452343,0.021039209435766655,0.06439273190946765,3137.0
2587,E02002706,0.0015432098765432098,0.8108024691358025,0.45308641975308644,0.35771604938271606,0.35987654320987655,0.12438271604938271,0.1259259259259259,0.013888888888888888,0.11049382716049383,0.0021604938271604936,0.0021604938271604936,0.06111111111111111,0.008024691358024692,0.05308641975308642,3240.0
2588,E02002707,0.0003427004797806717,0.8440712816997944,0.5113091158327622,0.3327621658670322,0.339273474982865,0.10726525017135025,0.10760795065113091,0.0181631254283756,0.08910212474297464,0.0065113091158327625,0.0065113091158327625,0.041809458533241944,0.0075394105551747775,0.03427004797806717,2918.0
2589,E02002708,0.0017295053614666206,0.6938775510204082,0.4638533379453476,0.23002421307506055,0.23313732272570045,0.14424074714631616,0.14597025250778278,0.01937046004842615,0.12487028709789,0.003113109650639917,0.003113109650639917,0.15703908682116915,0.01937046004842615,0.137668626772743,2891.0
