,GEOGRAPHY_CODE,1 person disabled under the Equality Act in household,2 or more people disabled under the Equality Act in household,No people disabled under the Equality Act in household,Total: All households
806,E02000854,0.2233387358184765,0.04862236628849271,0.7280388978930308,1
807,E02000855,0.22104607721046077,0.05012453300124533,0.7288293897882939,1
808,E02000856,0.21789473684210525,0.04263157894736842,0.7394736842105263,1
809,E02000857,0.19411764705882353,0.025735294117647058,0.7801470588235294,1
810,E02000858,0.2791540785498489,0.09909365558912386,0.6217522658610272,1
811,E02000859,0.24405614437124032,0.054425665998281296,0.7015181896304784,1
812,E02000860,0.21582908472930323,0.03641660597232338,0.7477543092983734,1
813,E02000861,0.19001047851903596,0.056933286762137617,0.7530562347188264,1
814,E02000863,0.21914981427981842,0.0730499380932728,0.7078002476269087,1
815,E02000864,0.23746249464209174,0.0589369909987141,0.7036005143591941,1
816,E02000865,0.2626123013130615,0.07325501036627505,0.6641326883206634,1
817,E02000866,0.2464500601684717,0.052948255114320095,0.7006016847172082,1
818,E02000867,0.20981318004516528,0.04270170396222542,0.7474851159926094,1
819,E02000868,0.21436265709156194,0.05206463195691203,0.733572710951526,1
820,E02000869,0.2582178217821782,0.04198019801980198,0.6998019801980198,1
821,E02000870,0.2673553719008264,0.05867768595041322,0.6739669421487603,1
822,E02000871,0.2272942289498581,0.06456953642384106,0.7081362346263008,1
823,E02000872,0.20576260569996868,0.05731287190729721,0.7369245223927341,1
824,E02000873,0.2406710030811366,0.059568640876412185,0.6997603560424512,1
825,E02000874,0.24484944532488115,0.06933438985736926,0.6858161648177497,1
826,E02000875,0.22071273872809608,0.06950187044693837,0.7097853908249655,1
827,E02000876,0.24298056155507558,0.047516198704103674,0.7095032397408207,1
828,E02000877,0.20801953999592918,0.06330144514553226,0.7286790148585386,1
829,E02000878,0.2065352955849339,0.05038663008231479,0.7430780743327513,1
830,E02000879,0.25959960617000327,0.07121759107318675,0.66918280275681,1
831,E02000880,0.2376150811047786,0.057430951337132836,0.7049539675580886,1
832,E02000881,0.22418266735858847,0.06642449403217436,0.7093928386092372,1
833,E02000882,0.25288865546218486,0.07878151260504201,0.6683298319327731,1
834,E02000883,0.256021115143517,0.08413064995051138,0.6598482349059717,1
