,GEOGRAPHY_CODE,Multi-person household,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),Multi-person household: No people stated their religion,Multi-person household: No religion (household may include people who did not state their religion),Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),Multi-person household: Same religion and no religion (household may include people who did not state their religion),One-person household,Total: All households
21,E02000023,0.7655663915978995,0.024756189047261814,0.02213053263315829,0.11027756939234809,0.5438859714928732,0.06451612903225806,0.23443360840210054,1
22,E02000024,0.709626982354255,0.03238775966048693,0.02345320527138709,0.17176680813044448,0.32789814607996426,0.1541210632119723,0.2903730176457449,1
23,E02000025,0.6492258408969568,0.022957821676454885,0.023491724506139882,0.16417512012813668,0.29898558462359853,0.1396155899626268,0.35077415910304327,1
24,E02000026,0.7404458598726115,0.028662420382165606,0.029060509554140128,0.12420382165605096,0.43710191082802546,0.1214171974522293,0.25955414012738853,1
25,E02000027,0.7279391800162911,0.025251153950583763,0.027966331794732555,0.13928862340483303,0.40130328536519144,0.1341297855009503,0.27206081998370896,1
26,E02000028,0.7141796585003712,0.03711952487008166,0.02412769116555308,0.11915367483296214,0.4053452115812918,0.12843355605048257,0.2858203414996288,1
27,E02000029,0.7326679255462638,0.031022390072835176,0.02940383059077421,0.15592123010520637,0.386565956298894,0.1297545184785541,0.2673320744537362,1
28,E02000030,0.7826704545454546,0.050852272727272725,0.03238636363636364,0.10852272727272727,0.4809659090909091,0.10994318181818181,0.21732954545454544,1
29,E02000031,0.7190504807692307,0.03365384615384615,0.031850961538461536,0.12469951923076923,0.40685096153846156,0.1219951923076923,0.2809495192307692,1
30,E02000032,0.8217930029154519,0.037536443148688044,0.033527696793002916,0.11042274052478133,0.5149416909620991,0.12536443148688048,0.1782069970845481,1
31,E02000033,0.7203777904979966,0.02919290211791643,0.024327418431597022,0.12306811677160848,0.41900400686891814,0.1247853463079565,0.27962220950200345,1
32,E02000034,0.7288182831661093,0.03288740245261984,0.027870680044593088,0.1282051282051282,0.4261426978818283,0.11371237458193979,0.27118171683389075,1
33,E02000035,0.6845238095238095,0.03854875283446712,0.0405328798185941,0.11848072562358276,0.38463718820861675,0.10232426303854875,0.31547619047619047,1
34,E02000036,0.7636916835699797,0.0377789046653144,0.03727180527383367,0.0704868154158215,0.5420892494929006,0.07606490872210954,0.2363083164300203,1
35,E02000037,0.790578734858681,0.03633916554508748,0.038492597577388966,0.04925975773889637,0.5981157469717362,0.06837146702557201,0.20942126514131898,1
36,E02000038,0.7455680399500624,0.03945068664169788,0.027965043695380776,0.1285892634207241,0.4177278401997503,0.13183520599250936,0.25443196004993757,1
37,E02000039,0.7486910994764397,0.040762902019446524,0.030665669409124907,0.07105459985041136,0.5127150336574421,0.09349289454001496,0.2513089005235602,1
38,E02000040,0.7162007986309185,0.0387906446092413,0.03280091272104963,0.11979463776383342,0.41756988020536223,0.10724472333143183,0.2837992013690816,1
39,E02000041,0.7648120300751879,0.040902255639097745,0.03338345864661654,0.06135338345864662,0.5581954887218045,0.07097744360902256,0.23518796992481203,1
40,E02000042,0.6726039016115352,0.04283290924512299,0.029474130619168787,0.1289228159457167,0.35983884648006786,0.11153519932145886,0.3273960983884648,1
41,E02000043,0.8063789868667918,0.05553470919324578,0.036397748592870545,0.14146341463414633,0.4540337711069418,0.11894934333958725,0.19362101313320826,1
