,GEOGRAPHY_CODE,"All adults in household have English in England, or English or Welsh in Wales as a main language","At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","No people in household have English in England, or English or Welsh in Wales as a main language",Total: All households
21,E02000023,0.6963213213213213,0.12424924924924925,0.06456456456456457,0.11486486486486487,2664.0
22,E02000024,0.8414824737664657,0.06965840589417281,0.013395847287340924,0.07546327305202054,4479.0
23,E02000025,0.8294635708566853,0.06405124099279423,0.025620496397117692,0.08086469175340272,3747.0
24,E02000026,0.8276273885350318,0.08280254777070063,0.02269108280254777,0.06687898089171974,2512.0
25,E02000027,0.7873438348723519,0.09397066811515481,0.03231939163498099,0.08636610537751223,3682.0
26,E02000028,0.7838038632986627,0.08432392273402675,0.033432392273402674,0.09843982169390787,2692.0
27,E02000029,0.7736714324251416,0.09090909090909091,0.034799028864310765,0.10062044780145671,3707.0
28,E02000030,0.8334754191531685,0.08667235009946007,0.02557544757033248,0.054276783177038934,3519.0
29,E02000031,0.7719614921780987,0.0914560770156438,0.026173285198555957,0.11040914560770157,3324.0
30,E02000032,0.7471766848816029,0.14134790528233152,0.02331511839708561,0.08816029143897997,2745.0
31,E02000033,0.7715184443808979,0.10265942236202459,0.03174149270803546,0.09408064054904204,3497.0
32,E02000034,0.7366220735785953,0.10005574136008918,0.04319955406911929,0.12012263099219621,3588.0
33,E02000035,0.7069160997732427,0.09212018140589569,0.02806122448979592,0.17290249433106575,3528.0
34,E02000036,0.7269269776876268,0.10141987829614604,0.052231237322515216,0.11942190669371197,3944.0
35,E02000037,0.7801990852838311,0.09954264191552327,0.025289211729889696,0.09496906107075599,3717.0
36,E02000038,0.7123595505617978,0.11910112359550562,0.037952559300873906,0.13058676654182272,4005.0
37,E02000039,0.780396558174336,0.09427609427609428,0.02543958099513655,0.09988776655443322,2673.0
38,E02000040,0.7729991455425804,0.11677584733694105,0.031899743662774135,0.07832526345770435,3511.0
39,E02000041,0.6463157894736842,0.12511278195488723,0.05142857142857143,0.17714285714285713,3325.0
40,E02000042,0.6168363019508057,0.12468193384223919,0.03604749787955895,0.2224342663273961,4716.0
41,E02000043,0.7185741088180112,0.11857410881801125,0.03302063789868668,0.12983114446529082,2665.0
42,E02000044,0.6651465798045603,0.14332247557003258,0.05570032573289902,0.13583061889250814,3070.0
43,E02000045,0.7088788383718162,0.11854320399904784,0.04522732682694597,0.12735063080218995,4201.0
44,E02000046,0.6488364015283085,0.12539076068079194,0.037165682528655784,0.18860715526224384,2879.0
45,E02000047,0.5731591448931116,0.15771971496437054,0.06722090261282661,0.20190023752969122,4210.0
46,E02000048,0.7521518987341772,0.10683544303797468,0.03265822784810127,0.10835443037974683,3950.0
47,E02000049,0.6194108364018938,0.14281956864807996,0.06522882693319305,0.17254076801683324,3802.0
48,E02000050,0.7017848289538919,0.12097174020823004,0.035448686167575606,0.14179474467030243,4034.0
49,E02000051,0.7152649617716846,0.0975481149485895,0.03321908779330345,0.15396783548642234,3793.0
50,E02000052,0.7474337550728097,0.11028885175459537,0.030556218667939842,0.11172117450465505,4189.0
51,E02000054,0.6186469202288791,0.1447324133288455,0.03904409289801414,0.1975765735442612,2971.0
52,E02000055,0.6131824234354194,0.13138038171327118,0.03595206391478029,0.21948513093652908,4506.0
53,E02000056,0.7996515679442509,0.09407665505226481,0.02468060394889663,0.08159117305458768,3444.0
54,E02000057,0.6794824399260628,0.12088724584103512,0.026987060998151572,0.17264325323475047,2705.0
