,GEOGRAPHY_CODE,"Asian, Asian British or Asian Welsh","Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Other Asian","Asian, Asian British or Asian Welsh: Pakistani","Black, Black British, Black Welsh, Caribbean or African","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Other ethnic group,Other ethnic group: Any other ethnic group,Other ethnic group: Arab,Total: All usual residents,White,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Other White,White: Roma
749,E02000795,0.06034358308069872,0.0038977912516240795,0.014436263894904,0.0202107694528656,0.014869351811751119,0.006929406669553919,0.010971560560127038,0.007506857225350079,0.00245416486213368,0.0010105384726432798,0.05586834127327848,0.01790096722968096,0.02757326403926664,0.005341417641114479,0.0050526923632164,0.03017179154034936,0.02338674750974448,0.006785044030604879,6927.0,0.8426447235455464,0.635484336653674,0.0,0.017467879312833837,0.18781579327270104,0.0018767143063375198
750,E02000796,0.2594263034457875,0.019484033916651634,0.00847916290817247,0.12294786216850082,0.0628720909254916,0.04564315352697095,0.04438029947681761,0.028504419989175536,0.010193036261952011,0.0056828432256900594,0.05159660833483673,0.016326898791268266,0.01767995670214685,0.005863250947140537,0.011726501894281075,0.04843947320945336,0.041132960490709004,0.007306512718744362,11086.0,0.5961573155331048,0.47329965722532924,0.0006314270250766733,0.020205664802453546,0.10093812015154248,0.0010824463287028685
751,E02000797,0.05921972296352777,0.0024145380607446944,0.011945609353157962,0.02376413775575041,0.017410090227474903,0.0036853475663997967,0.018807980683695515,0.011310204600330411,0.003431185665268776,0.004066590418096328,0.05413648494090736,0.017537171178040413,0.022620409200660822,0.005083238022620409,0.008895666539585716,0.02134959969500572,0.017410090227474903,0.003939509467530817,7869.0,0.8464862117168637,0.6566272715719914,0.0,0.032024399542508575,0.15465751683822596,0.003177023764137756
752,E02000798,0.09293483066584136,0.0053055088867273855,0.011848969847024493,0.04200194535325847,0.023609514545936863,0.010168892032894155,0.020426209213900433,0.012644796180033602,0.005836059775400124,0.001945353258466708,0.05694579538420727,0.019365107436554955,0.02352108939782474,0.005659209479175878,0.008400389070651694,0.03342470598638253,0.021222035546909542,0.012202670439472986,11309.0,0.7962684587496685,0.6467415332920683,8.842514811212309e-05,0.025289592360067205,0.12211512954284198,0.002033778406578831
753,E02000799,0.06618203846736331,0.0030289262456459185,0.016053309101923367,0.02453430258973194,0.01741632591246403,0.0051491746175980615,0.016053309101923367,0.008026654550961684,0.004997728305315766,0.0030289262456459185,0.042102074814478266,0.00923822504922005,0.018930789035286992,0.004240496743904286,0.00969256398606694,0.015144631228229592,0.011358473421172195,0.003786157807057398,6603.0,0.8605179463880055,0.7160381644706951,0.00030289262456459186,0.03528699076177495,0.10676965015901863,0.002120248371952143
754,E02000800,0.08592017738359202,0.006097560975609756,0.014966740576496674,0.019955654101995565,0.03473762010347376,0.01016260162601626,0.023096821877309683,0.01681448632668145,0.003880266075388027,0.002402069475240207,0.062269031781226905,0.02346637102734664,0.017923133776792312,0.009053954175905396,0.011825572801182557,0.051367331855136734,0.030857354028085735,0.020509977827051,5412.0,0.7773466371027347,0.5787139689578714,0.0007390983000739098,0.015705838876570583,0.1801552106430155,0.0020325203252032522
755,E02000801,0.05259457179018422,0.003093798340599072,0.010406412600196879,0.0206721980030938,0.01603150049219519,0.002390662354099283,0.012797074954296161,0.009281395021797216,0.0019687807621994093,0.001546899170299536,0.04528195753058641,0.01603150049219519,0.018562790043594433,0.005062579102798481,0.005625087891998313,0.024609759527492617,0.01673463647869498,0.007875123048797637,7111.0,0.8647166361974405,0.7287301364083814,0.0008437631837997469,0.026859794684291942,0.10687666994796793,0.0014062719729995782
756,E02000802,0.05694760820045558,0.002277904328018223,0.00811503416856492,0.022209567198177675,0.01623006833712984,0.00811503416856492,0.014236902050113895,0.006548974943052392,0.003986332574031891,0.003701594533029613,0.04911731207289294,0.014664009111617311,0.019646924829157177,0.004555808656036446,0.010250569476082005,0.0193621867881549,0.014664009111617311,0.004698177676537585,7024.0,0.8603359908883826,0.7322038724373576,0.0007118451025056948,0.02619589977220957,0.10022779043280182,0.0009965831435079728
757,E02000803,0.10916760983640292,0.0067908221010392015,0.012861405494392427,0.04187673628974174,0.03662928284802963,0.011009363103199919,0.030867373186541824,0.020578248791027882,0.005144562197756971,0.005144562197756971,0.060088486469801417,0.018726206399835375,0.01985801008334191,0.009260211955962548,0.01224405803066159,0.034777240456837125,0.025311246012964295,0.009465994443872826,9719.0,0.7650992900504167,0.6312377816647803,0.003189628562609322,0.01924066261961107,0.11040230476386459,0.001028912439551394
758,E02000804,0.05036373810856184,0.002518186905428092,0.015249020705092334,0.016787912702853944,0.012870733072188025,0.0029378847229994402,0.01259093452714046,0.006855064353665361,0.004476776720761052,0.001259093452714046,0.04616675993284835,0.013850027979854504,0.019026301063234472,0.006855064353665361,0.006435366536094013,0.016787912702853944,0.01315053161723559,0.0036373810856183547,7148.0,0.8740906547285954,0.7290151091214325,0.0001398992725237829,0.02434247341913822,0.11905428091773923,0.0015388919977616117
759,E02000805,0.06538926611478002,0.003906613338294112,0.01283601525439494,0.02511394288903358,0.018509906055250675,0.005022788577806716,0.017579760022323504,0.010789693981955168,0.005394846990977584,0.0013952190493907544,0.05134406101757976,0.017486745419030787,0.01953306669147056,0.005487861594270301,0.00883638731280811,0.025299972095619013,0.019626081294763276,0.005673890800855734,10751.0,0.8403869407496977,0.6936098967537904,9.301460329271696e-05,0.021207329550739465,0.12370942237931355,0.001767277462561622
760,E02000806,0.07564575645756458,0.0027189745581666343,0.011361429403767722,0.03505535055350553,0.019906778015148573,0.006603223926976112,0.015148572538356962,0.009322198485142746,0.0041755680714701884,0.001650805981744028,0.04408623033598757,0.01427461643037483,0.01777044086230336,0.005243736647892795,0.006797436395416585,0.0197125655467081,0.015051466304136726,0.004661099242571373,10298.0,0.8454068751213828,0.7263546319673723,0.0002913187026607108,0.01815886579918431,0.10011652748106428,0.0004855311711011847
761,E02000807,0.14228432563791008,0.006439854191980559,0.05601458080194411,0.04301336573511543,0.030498177399756986,0.006318347509113001,0.07654921020656136,0.05297691373025516,0.012515188335358444,0.011057108140947753,0.07095990279465371,0.024787363304981776,0.02454434993924666,0.008626974483596598,0.013001215066828676,0.0433778857837181,0.036938031591737544,0.006439854191980559,8230.0,0.6668286755771567,0.3997569866342649,0.0,0.021142162818955042,0.23973268529769137,0.006196840826245444
762,E02000808,0.18987217305801377,0.01720747295968535,0.07295968534906588,0.05152409046214356,0.0359882005899705,0.012192723697148475,0.12949852507374632,0.08505408062930186,0.02704031465093412,0.017404129793510324,0.06175024582104228,0.02064896755162242,0.019272369714847592,0.00727630285152409,0.01455260570304818,0.05014749262536873,0.03687315634218289,0.01327433628318584,10170.0,0.568731563421829,0.3350049164208456,0.00019665683382497542,0.02281219272369715,0.20383480825958702,0.00688298918387414
763,E02000810,0.09449348465741908,0.015552753257671291,0.02328709541824296,0.02412778478352249,0.027574611181168558,0.003951240016813787,0.22034468263976462,0.157124842370744,0.03572929802437999,0.027490542244640606,0.06977721731820093,0.027070197562000842,0.012189995796553174,0.011769651113913409,0.018747372845733502,0.05523329129886507,0.0417822614543926,0.013451029844472467,11895.0,0.5601513240857503,0.36317780580075665,0.0,0.018242959226565783,0.15897435897435896,0.019756200084068937
764,E02000812,0.15155728587319245,0.041527623285131626,0.022525027808676306,0.02753058954393771,0.04847979236188357,0.011494252873563218,0.2422135706340378,0.16666666666666666,0.0414349276974416,0.03411197626992955,0.0707267334074898,0.025954764553207266,0.014089729328883945,0.014275120504263997,0.016407119021134595,0.06590656284760846,0.05098257322951427,0.014923989618094179,10788.0,0.4695958472376715,0.2813311086392288,0.0,0.022988505747126436,0.15832406377456434,0.006952169076751946
765,E02000813,0.1142186583219245,0.009094465088988852,0.0514375122237434,0.019557989438685704,0.02767455505574027,0.006454136514766282,0.21259534519851359,0.15049872873068648,0.03305300215137884,0.02904361431644827,0.06747506356346568,0.025425386270291415,0.008996675141795423,0.016624291022882848,0.01642871112849599,0.05886954821044397,0.04488558576178369,0.013983962448660278,10226.0,0.5468413847056522,0.3326814003520438,0.0006845296303539996,0.014766282026207707,0.19049481713279875,0.008214355564247995
766,E02000814,0.12833964830467307,0.009618187117458467,0.04954823666569513,0.031477703293500435,0.028951714757602255,0.008743806470416789,0.12202467696492762,0.07908287185465851,0.02312251044399106,0.019819294666278055,0.06276109977654717,0.02244243660740309,0.017487612940833577,0.011269795006314972,0.01156125522199553,0.049742543476148836,0.03818128825415331,0.01156125522199553,10293.0,0.6371320314777033,0.35966190614981053,0.000971534052268532,0.018847760614009522,0.24210628582531818,0.015544544836296512
767,E02000815,0.2096201866211066,0.05559206203180444,0.06531738730450783,0.04139834406623735,0.03732422131686161,0.009988171901695361,0.18832960967275594,0.1358917071888553,0.031147325535550007,0.021290576948350636,0.06334603758706794,0.02207911683532659,0.015639374425023,0.00985674858719937,0.01577079773951899,0.07517413589170718,0.05887764489420423,0.016296490997502956,7609.0,0.46353003022736233,0.26994348797476675,0.0001314233144959916,0.020107767117886713,0.16809041924037324,0.005256932579839664
768,E02000816,0.08803329864724245,0.01602497398543184,0.020187304890738812,0.01841831425598335,0.029344432882414152,0.004058272632674297,0.2125910509885536,0.14640998959417273,0.037356919875130075,0.02882414151925078,0.06649323621227887,0.022788761706555673,0.008532778355879293,0.010822060353798128,0.024349635796045786,0.0659729448491155,0.05348595213319459,0.012486992715920915,9610.0,0.5669094693028096,0.36867845993756504,0.0007284079084287201,0.01748178980228928,0.16867845993756503,0.011342351716961498
769,E02000817,0.1001760046934585,0.031974185978292755,0.026400704018773834,0.018773833968905838,0.02053388090349076,0.0024933998239953063,0.2543267820475213,0.1723379290114403,0.046347902610736284,0.035640950425344674,0.059548254620123205,0.018040481079495452,0.00982692871809915,0.009680258140217073,0.02200058668231153,0.05778820768553828,0.04605456145497213,0.011733646230566148,6818.0,0.5281607509533588,0.3728366089762394,0.004106776180698152,0.015400410677618069,0.12701672044587856,0.00880023467292461
770,E02000818,0.11461844927980386,0.026764735928082543,0.035141485340688526,0.015731944018796608,0.03115742159566861,0.0058228623965675755,0.25242619266523647,0.16334661354581673,0.050873429359485134,0.038206149759934624,0.06578812953314946,0.02370007150883645,0.01195219123505976,0.010113392583512106,0.020022474205741138,0.07273470221677393,0.060169578097864954,0.01256512411890898,9789.0,0.49443252630503626,0.3178057002758198,0.000715088364490755,0.022167739299213403,0.14761466952702013,0.006129328838492185
771,E02000819,0.08990350670746058,0.01882795951988703,0.021181454459872913,0.010826076723935044,0.03483172511179101,0.004236290891974582,0.3167804189220993,0.21840433043068957,0.04306895740174159,0.05530713108966816,0.0720169451635679,0.02624146858084255,0.00835490703694987,0.014238644386914568,0.02318192515886091,0.10449517533537303,0.087667686514474,0.016827488820899034,8498.0,0.41680395387149916,0.28136032007531186,0.0003530242409978819,0.012355848434925865,0.11743939750529536,0.005295363614968228
772,E02000820,0.1135626216742375,0.023253298723772443,0.04758814622539476,0.01427644386761843,0.02336145360155743,0.005083279255894441,0.26465498593986586,0.17780661907852044,0.05288773523685918,0.033960631624486266,0.06759679861561757,0.024226692623837334,0.011788881678563703,0.012437810945273632,0.019143413367942893,0.06608263032662773,0.052671425481289204,0.013411204845338524,9246.0,0.4881029634436513,0.3115942028985507,0.00043261951113995244,0.021414665801427646,0.15033528012113345,0.004326195111399524
773,E02000821,0.0778110303548525,0.02672082086361693,0.016780675502351433,0.00705429670799487,0.023193672509619494,0.004061564771269773,0.3867037195382642,0.2441214194100043,0.08433091064557503,0.05825138948268491,0.07909362975630611,0.02811030354852501,0.014429243266353142,0.010581445061992304,0.025972637879435656,0.15604959384352288,0.1331765711842668,0.022873022659256094,9356.0,0.30034202650705427,0.18009833262077812,0.0005344164172723387,0.010367678495083368,0.1039974348011971,0.005344164172723386
774,E02000822,0.09330357142857143,0.027232142857142858,0.023809523809523808,0.009672619047619048,0.024851190476190475,0.007738095238095238,0.36607142857142855,0.25,0.06145833333333333,0.05461309523809524,0.06845238095238096,0.021130952380952382,0.012202380952380952,0.01607142857142857,0.01904761904761905,0.08139880952380953,0.06994047619047619,0.011458333333333333,6720.0,0.3907738095238095,0.2604166666666667,0.0,0.015625,0.10818452380952381,0.006547619047619048
775,E02000823,0.08853327193184435,0.02417683628827999,0.01565737969145752,0.011282523601197329,0.025903753166014277,0.011512779184895234,0.31913423900529586,0.20838130324660373,0.07253050886483997,0.03822242689385218,0.0763297259958554,0.02797605341929542,0.01185816256044209,0.011397651393046281,0.02509785862307161,0.08761224959705273,0.07943817637577712,0.008174073221275616,8686.0,0.42839051346995166,0.2798756619848031,0.00011512779184895233,0.01830531890398342,0.12261109831913423,0.0074833064701819016
776,E02000824,0.0957382347000606,0.01848111492627752,0.01878408402342961,0.00989699050696829,0.039890931125025245,0.008685114118359927,0.4883861846091699,0.3300343364976772,0.09604120379721269,0.06231064431427994,0.07230862452029893,0.023025651383558877,0.004948495253484145,0.01565340335285801,0.0286810745303979,0.08341749141587558,0.07281357301555241,0.010603918400323167,9902.0,0.26014946475459505,0.17794384972732782,0.0027267218743688144,0.010603918400323167,0.06483538679054736,0.004039587962027873
777,E02000825,0.09330073349633251,0.021320293398533006,0.031882640586797066,0.011344743276283618,0.022982885085574573,0.005770171149144254,0.49163814180929094,0.3276283618581907,0.09643031784841076,0.06757946210268949,0.07706601466992664,0.027677261613691932,0.006552567237163814,0.014963325183374083,0.02787286063569682,0.07823960880195599,0.06836185819070904,0.009877750611246943,10225.0,0.2597555012224939,0.16440097799511003,0.00039119804400977997,0.011051344743276284,0.08078239608801956,0.0031295843520782398
778,E02000826,0.07647951441578149,0.014668689934243804,0.01537683358624178,0.010824481537683358,0.028224582701062217,0.007384926656550329,0.33970662620131514,0.21305007587253413,0.07900859888720284,0.04764795144157815,0.06858877086494689,0.0238745574102175,0.013151239251390997,0.010116337885685382,0.02144663631765301,0.08204350025290845,0.0729387961557916,0.009104704097116844,9885.0,0.43318158826504805,0.3051087506322711,0.0005058168942842691,0.017298937784522003,0.1071320182094082,0.0031360647445624686
779,E02000827,0.0837090073366923,0.012993900822063113,0.016441262264651285,0.010165296561477946,0.03853973305047291,0.005568814638027049,0.3856625121541589,0.2543975956863785,0.07707946610094582,0.054185450366834614,0.07442764960664722,0.024661893396976928,0.01157959869177053,0.013612658004066119,0.024573499513833644,0.09511181826217625,0.08706797489613718,0.00804384336603907,11313.0,0.3610890126403253,0.2336250331477062,0.0,0.018651109343233448,0.10536550870679749,0.003447361442588173
780,E02000828,0.10706589542928434,0.01950776908245435,0.029828739934217988,0.01122830894862198,0.03799478280594307,0.008506294658046955,0.3962799138028808,0.22978337302937507,0.11114891686514687,0.05534762390835885,0.06305999773165476,0.01984802086877623,0.008392877395939661,0.01202222978337303,0.02279686968356584,0.0841556084836112,0.07667006918452988,0.00748553929908132,8817.0,0.3494385845525689,0.24169218555064081,0.0006805035726437564,0.013836905977089713,0.09107406147215606,0.002154927980038562
781,E02000829,0.07990846681922197,0.025354691075514874,0.014279176201372997,0.013180778032036614,0.02334096109839817,0.0037528604118993135,0.3500228832951945,0.2005491990846682,0.10178489702517163,0.04768878718535469,0.07633867276887872,0.027185354691075515,0.008787185354691076,0.010892448512585813,0.029473684210526315,0.054279176201373,0.04887871853546911,0.00540045766590389,10925.0,0.4394508009153318,0.3339130434782609,0.0008237986270022883,0.016933638443935927,0.08540045766590389,0.0023798627002288328
782,E02000830,0.07226474561008554,0.013057181449797388,0.015420981539846916,0.015083295812696983,0.02296262944619541,0.005740657361548852,0.19169293111211166,0.1029941467807294,0.06123367852318776,0.027465105808194508,0.08217019360648356,0.028590724898694284,0.019022962629446194,0.009567762269248086,0.024988743809095004,0.04828905898244034,0.042886087348041425,0.005402971634398919,8884.0,0.6055830706888788,0.4694957226474561,0.0,0.022174696082845564,0.11233678523187754,0.0015758667266996848
783,E02000831,0.05506254677643537,0.00887415802416337,0.010584839089062333,0.010584839089062333,0.018603656580776222,0.006415053993371111,0.2310488613279162,0.11664706511279803,0.08724473430984711,0.027157061905271035,0.07751523575323425,0.026515556505933926,0.019886667379450444,0.00908799315727574,0.02202501871057415,0.04233935635624933,0.03667272532877152,0.005666631027477814,9353.0,0.5940339997861649,0.4731102320111194,0.0005345878327809259,0.021811183577461778,0.098150326098578,0.0004276702662247407
784,E02000832,0.049024667148312516,0.00949530395293632,0.010217772731964083,0.009701723604087109,0.013726906801527505,0.0058829600577975025,0.34647538445660025,0.1700897925482506,0.12281969243471978,0.05356589947362989,0.0829806997626174,0.022602951801011455,0.018887398080297244,0.010424192383114872,0.031066157498193827,0.0414903498813087,0.036433068428114355,0.005057281453194344,9689.0,0.4800288987511611,0.3833212921870162,0.00041283930230157914,0.018680978429146455,0.07616885127464135,0.0014449375580555268
785,E02000833,0.10046760187040749,0.00788243152972612,0.015898463593854377,0.018704074816299265,0.05023380093520374,0.007748830995323981,0.3286573146292585,0.20066800267201068,0.08630594522378089,0.04168336673346693,0.07241148964595859,0.022845691382765532,0.013360053440213761,0.01282565130260521,0.02338009352037408,0.060654642618570474,0.053707414829659315,0.006947227788911155,7485.0,0.43780895123580493,0.322378089512358,0.0001336005344021376,0.020307281229124917,0.09245156980627922,0.0025384101536406146
786,E02000834,0.04421949920085243,0.004581779435269047,0.009802876931273309,0.011188066062866276,0.01662226957911561,0.0020245071923281834,0.12381459776238679,0.046989877464038356,0.05306339904102291,0.02376132125732552,0.07522642514651039,0.02631859350026638,0.024933404368673414,0.008843899840170484,0.015130527437400107,0.025892381459776237,0.022589238145977623,0.003303143313798615,9385.0,0.7308470964304742,0.5871070857751731,0.0002131060202450719,0.027810335641981886,0.11411827384123602,0.0015982951518380393
787,E02000835,0.04088541666666667,0.004557291666666667,0.00703125,0.010026041666666667,0.01328125,0.005989583333333334,0.20872395833333332,0.09453125,0.08020833333333334,0.033984375,0.08059895833333333,0.024479166666666666,0.017317708333333334,0.01171875,0.027083333333333334,0.03567708333333333,0.033203125,0.0024739583333333332,7680.0,0.6341145833333334,0.5162760416666666,0.0,0.026302083333333334,0.08997395833333334,0.0015625
788,E02000836,0.06625707746054692,0.01746777496687146,0.013251415492109385,0.01734730755330683,0.015299361522708107,0.0028912179255511385,0.10878207444886158,0.04035658354415131,0.052162390073485124,0.016263100831225154,0.0817973738103843,0.027827972533429706,0.027105168052041922,0.00927599084447657,0.017588242380436093,0.02529815684857246,0.022527406336585953,0.0027707505119865077,8301.0,0.7178653174316347,0.5846283580291531,0.00048186965425852307,0.030598723045416214,0.10167449704854836,0.00048186965425852307
789,E02000837,0.06341976173791171,0.003036673674375146,0.018103246904928753,0.026045316514832984,0.011796309273534221,0.004438215370240598,0.051156271899089,0.026162111656155104,0.020205559448726932,0.004788600794206961,0.0672740014015417,0.016935295491707546,0.02791403877598692,0.010044382153702406,0.012380284980144826,0.019271198318149965,0.016000934361130578,0.003270263957019388,8562.0,0.7988787666433076,0.6538192011212334,0.000116795141322121,0.0255781359495445,0.11831347815930857,0.001051156271899089
790,E02000838,0.061394271272114574,0.006844987363100252,0.009793597304128054,0.016743892165122155,0.016743892165122155,0.011267902274641955,0.15153748946925022,0.07171440606571187,0.05991996630160067,0.019903117101937658,0.07676916596461668,0.02506318449873631,0.02253580454928391,0.009582982308340354,0.019587194608256107,0.05012636899747262,0.04517691659646167,0.004949452401010952,9496.0,0.660172704296546,0.5111625947767481,0.0003159224936815501,0.02632687447346251,0.12089300758213985,0.0014743049705139006
791,E02000839,0.09762999646268129,0.01544629171088315,0.026765711590614315,0.030185119679283102,0.020044806037023934,0.005188067444876783,0.19879731163777856,0.11036434382737885,0.05812993750736942,0.030303030303030304,0.08300907911802853,0.026294069095625514,0.020280627284518335,0.013323900483433557,0.023110482254451125,0.04362693078646386,0.03478363400542389,0.008843296781039971,8481.0,0.5769366819950478,0.4416931965570098,0.0014149274849663955,0.01874778917580474,0.11354793066855323,0.0015328381087135951
792,E02000840,0.1541268648706665,0.0076204786948588605,0.0070838252656434475,0.029408607921004616,0.07717076312117635,0.032843189867983257,0.0879038317054846,0.055167972523344426,0.02082215305355801,0.011913706128582162,0.05581195663840292,0.017065579049050122,0.012128367500268326,0.005259203606311044,0.021358806482773426,0.037565740045078885,0.03219920575292476,0.0053665342921541265,9317.0,0.6645916067403671,0.5525383707201889,0.0017172909734893206,0.007727809380701943,0.10089084469249758,0.0017172909734893206
793,E02000841,0.19033627162912178,0.009250190445097398,0.010011970834693655,0.031994776363042765,0.10055501142670584,0.03852432255958211,0.07770159973881816,0.049189248013929696,0.018391555120252475,0.010120796604635978,0.04897159647404505,0.012297312003482424,0.011317880074001524,0.0068560235063663075,0.018500380890194797,0.042986179127217326,0.037762542169985855,0.005223636957231472,9189.0,0.6400043530307977,0.5223636957231472,0.0011970834693655458,0.009576667754924367,0.10534334530416803,0.0015235607791925128
794,E02000842,0.2073671497584541,0.005555555555555556,0.017874396135265702,0.058574879227053143,0.0786231884057971,0.04673913043478261,0.04589371980676329,0.025,0.015942028985507246,0.004951690821256039,0.040942028985507244,0.014371980676328503,0.012077294685990338,0.004227053140096618,0.010265700483091788,0.042270531400966184,0.034420289855072464,0.00785024154589372,8280.0,0.6635265700483092,0.5743961352657004,0.0,0.017512077294685992,0.07004830917874397,0.001570048309178744
