,GEOGRAPHY_CODE,Arrived 1951 to 1960,Arrived 1961 to 1970,Arrived 1971 to 1980,Arrived 1981 to 1990,Arrived 1991 to 2000,Arrived 2001 to 2010,Arrived 2011 to 2013,Arrived 2014 to 2016,Arrived 2017 to 2019,Arrived 2020 to 2021,Arrived before 1951,Born in the UK,Total: All usual residents
1797,E02001881,0.005431157694140066,0.01962839447355884,0.024106717484516437,0.03239637922820391,0.051357789423535014,0.09499761791329205,0.03049070986183897,0.04402096236303001,0.03887565507384469,0.015150071462601238,0.00038113387327298715,0.6431634111481658,10495.0
1798,E02001882,0.006956131493324358,0.02400987321889375,0.019634242118254236,0.02098059014922024,0.02782452597329743,0.06888814091776058,0.0190732637720184,0.031190396050712443,0.029507461012004937,0.011780545270952542,0.0012341523617188377,0.7389206776618422,8913.0
1799,E02001883,0.007041427062551344,0.007041427062551344,0.0029339279427297266,0.005281070296913508,0.013143997183429176,0.05621405938270156,0.014904353949067011,0.023588780659547,0.01642999647928647,0.005515784532331886,0.0012909282948010796,0.84661424715409,8521.0
1800,E02001884,0.0029443517518892926,0.01874570615369516,0.026499165767003632,0.03533222102267151,0.05054470507409952,0.11895181077632741,0.03287859456276376,0.04239866522720581,0.06713121994307586,0.026499165767003632,0.00029443517518892924,0.5777799587790755,10189.0
1801,E02001886,0.013043478260869565,0.04853387259858443,0.0301314459049545,0.019716885743174924,0.03731041456016178,0.09443882709807887,0.030030333670374117,0.05925176946410516,0.062487360970677454,0.0320525783619818,0.0010111223458038423,0.5719919110212336,9890.0
1802,E02001888,0.006265664160401002,0.011835143414090782,0.009328877749930381,0.007379560011138958,0.02074631021999443,0.0719855193539404,0.018657755499860762,0.020885547201336674,0.022834864940128097,0.007518796992481203,0.0023670286828181564,0.8001949317738791,7182.0
1803,E02001889,0.00651645681466755,0.0276121051468964,0.040755467196819085,0.03666887563507842,0.054340622929092114,0.08979456593770709,0.028716589352772257,0.052021206096752814,0.0583167660702452,0.026507620941020542,0.000552242102937928,0.5781974817760106,9054.0
1804,E02001890,0.008421052631578947,0.02706766917293233,0.02556390977443609,0.011328320802005012,0.03238095238095238,0.08862155388471178,0.030877192982456142,0.058145363408521306,0.07919799498746867,0.05092731829573935,0.0010025062656641604,0.5864661654135338,9975.0
1805,E02001892,0.0056102192301053,0.012860348696702916,0.02019678922837908,0.024598653547384774,0.04341446573450716,0.09623683756257552,0.03521491455204557,0.040048334196443984,0.04341446573450716,0.015967547039530468,0.0006041774555498015,0.6618332470222682,11586.0
1806,E02001893,0.008728179551122194,0.019270006801178872,0.019610065744729087,0.018929947857628655,0.02788483337111766,0.06585808206755837,0.01586941736567672,0.018249829970528226,0.029245069145318523,0.010768533212423487,0.0010201768306506462,0.7645658580820676,8822.0
1807,E02001895,0.006700915791824883,0.0070359615814161265,0.00569577842305115,0.008264462809917356,0.01597051597051597,0.052713870895689074,0.016863971409425953,0.015077060531605986,0.011168192986374805,0.00457895912441367,0.0014518650882287246,0.8544784453875363,8954.0
1808,E02001896,0.008562149394744612,0.0354295837023915,0.043893317586851686,0.04969983269363252,0.04812518452908179,0.09989174293868713,0.029623068595610667,0.0571794114752485,0.05855722861923039,0.025686448184233834,0.0007873240822753666,0.5425647081980121,10161.0
1809,E02001897,0.009042429863204266,0.02979364711337816,0.027938789705541388,0.028054718293531185,0.058543936934848134,0.1422443774634825,0.033271504753072105,0.04451657778808254,0.05182007883143983,0.0134477162068166,0.0013911430558775793,0.5599350799907257,8626.0
1810,E02001898,0.006557877077931981,0.00930303492450816,0.008387982308982767,0.011438157694067409,0.013878298002135123,0.02241878908037212,0.008845508616745462,0.010218087540033552,0.009455543693762392,0.006557877077931981,0.0016775964617965532,0.8912612475217325,6557.0
1811,E02001899,0.016522146707288493,0.04230138270447621,0.02718537614248887,0.016639325052730254,0.02929458636044059,0.04745722990391376,0.016053433325521442,0.022849777361143662,0.022966955706585423,0.010546051089758613,0.00199203187250996,0.7461917037731427,8534.0
1812,E02001900,0.008794157102399761,0.0318974511849754,0.02489193620509763,0.0159487255924877,0.04739901624683261,0.10418840363690565,0.030406916082873752,0.03979728722611418,0.05902519004322552,0.04143687583842599,0.0028320166939931435,0.5933820241466686,6709.0
1813,E02001901,0.00650945713583886,0.01461557356914763,0.011545074920167035,0.008720216163104888,0.018914271677720463,0.042127241464013754,0.016826332596413657,0.025792188651436992,0.0428641611397691,0.019651191353475806,0.002210759027266028,0.7902235323016458,8142.0
1814,E02001902,0.007356468894930433,0.011674396289780906,0.011194626579241964,0.011994242763473533,0.012474012474012475,0.04909643371181833,0.01791140252678714,0.020470174316328162,0.025107948184871262,0.006237006237006237,0.0011194626579241963,0.8253638253638254,6253.0
1815,E02001903,0.0076751671205743995,0.034538252042584795,0.043451349343897,0.049764793265659815,0.06375340430799703,0.08628373359742511,0.02711067095815796,0.04085169596434761,0.05149789551869274,0.016712057439960386,0.0007427581084426838,0.5776182223322605,8078.0
1816,E02001904,0.007253886010362694,0.016191709844559584,0.017616580310880828,0.017746113989637307,0.02694300518134715,0.07681347150259067,0.02966321243523316,0.059455958549222795,0.05259067357512953,0.02266839378238342,0.0005181347150259067,0.672538860103627,7720.0
1817,E02001905,0.006035238002530906,0.019663194782439403,0.01927382458872773,0.01314124403776891,0.023654239267984035,0.0540251143774944,0.015964177942178526,0.02482234984911905,0.06424608196242577,0.08225445342159057,0.0010707680327070963,0.6758493137350335,10273.0
1818,E02001906,0.0065830721003134795,0.01839080459770115,0.011076280041797283,0.0073145245559038665,0.02037617554858934,0.05308254963427377,0.013166144200626959,0.031661442006269594,0.016509926854754442,0.009926854754440962,0.0014629049111807733,0.8104493207941483,9570.0
1819,E02001907,0.008351732744552174,0.009695689737928385,0.008255735816453873,0.006623788038782759,0.011711625227992704,0.03878275895171354,0.012191609868484209,0.014207545358548526,0.020927330325429587,0.007967745032158972,0.0018239416338677163,0.8594604972640876,10417.0
1820,E02001908,0.00658996984251089,0.03540712610298224,0.049033843404445436,0.04981570423321791,0.05338992516474925,0.09494024349380097,0.03294984921255445,0.04289065117837596,0.05249636993186641,0.016642466212442756,0.00022338880822070814,0.565620462414833,8953.0
1821,E02001909,0.007236762754794355,0.035701362923652155,0.038837293450729705,0.03714871547461102,0.06476902665540948,0.08816789289591123,0.02749969846821855,0.042817512965866604,0.04317935110360632,0.01917742130020504,0.0008442889880593415,0.5946206730189362,8291.0
1822,E02001910,0.011615044247787611,0.036366150442477874,0.041344026548672565,0.0322179203539823,0.06097898230088496,0.10135508849557522,0.022538716814159292,0.03346238938053098,0.036780973451327435,0.016592920353982302,0.0011061946902654867,0.605641592920354,7232.0
1823,E02001911,0.005720823798627002,0.012013729977116704,0.008352402745995424,0.007093821510297483,0.02917620137299771,0.08672768878718536,0.03489702517162471,0.045423340961098395,0.039816933638443935,0.009839816933638444,0.0017162471395881006,0.7192219679633868,8740.0
1824,E02001913,0.010213680956860637,0.013035882273887918,0.010079290417954577,0.008466603951081843,0.02808762263136675,0.07270528154817901,0.028222013170272814,0.04313936298884558,0.0713613761591184,0.050665233167585005,0.0018814675446848542,0.6621421851901627,7441.0
