,GEOGRAPHY_CODE,Arrived in the UK,Arrived in the UK: Aged 0 to 4 years,Arrived in the UK: Aged 10 to 14 years,Arrived in the UK: Aged 15 years,Arrived in the UK: Aged 16 to 17 years,Arrived in the UK: Aged 18 to 19 years,Arrived in the UK: Aged 20 to 24 years,Arrived in the UK: Aged 25 to 29 years,Arrived in the UK: Aged 30 to 44 years,Arrived in the UK: Aged 45 to 59 years,Arrived in the UK: Aged 5 to 7 years,Arrived in the UK: Aged 60 to 64 years,Arrived in the UK: Aged 65 to 74 years,Arrived in the UK: Aged 75 to 84 years,Arrived in the UK: Aged 8 to 9 years,Arrived in the UK: Aged 85 to 89 years,Arrived in the UK: Aged 90 years and over,Born in the UK,Total: All usual residents
10,E02000012,0.3868137595552467,0.04351980542043085,0.030576789437109102,0.006080611535788742,0.014767199444058373,0.029360667129951355,0.07835302293259208,0.05689715079916609,0.07131688672689368,0.016591382904794998,0.019892286309937456,0.0017373175816539264,0.002171646977067408,0.00034746351633078526,0.015027797081306462,0.0,0.00017373175816539263,0.6131862404447533,1
11,E02000013,0.38558961260110686,0.034908471690080885,0.023946360153256706,0.0052149851000425716,0.014154959557258408,0.018199233716475097,0.07077479778629205,0.07045551298424861,0.10068114091102597,0.015432098765432098,0.01756066411238825,0.001489995742869306,0.0015964240102171138,0.00021285653469561516,0.010855683269476373,0.00010642826734780758,0.0,0.6144103873988932,1
12,E02000014,0.3738213525296563,0.03203893338740748,0.024434756159383553,0.004461117307107371,0.01368751901044307,0.02331947683260671,0.06732231572543851,0.06570009125012674,0.0936834634492548,0.020176416911690156,0.012876406772787185,0.0020277805941397143,0.0035486160397444995,0.00030416708912095713,0.01013890297069857,0.0,0.0001013890297069857,0.6261786474703437,1
13,E02000015,0.3796037437705117,0.03269721648231433,0.026011911997082776,0.006320651513309833,0.013249057979822535,0.018475750577367205,0.06964871763704875,0.06478667801142579,0.09675458854989669,0.01932660751185122,0.016895587699039746,0.0013370608970463109,0.0020663668408897533,0.00036465297192172114,0.011547344110854504,0.00012155099064057372,0.0,0.6203962562294882,1
14,E02000016,0.5830809992429977,0.06074943224829674,0.03425435276305829,0.007664647993943982,0.018262679788039363,0.028860711582134747,0.09263815291445875,0.10749432248296745,0.15679409538228614,0.028009084027252083,0.026400454201362604,0.003311884935654807,0.002554882664647994,0.0012301286903860713,0.014856169568508706,0.0,0.0,0.4169190007570023,1
15,E02000017,0.5439614584473886,0.04303076754626081,0.04303076754626081,0.009306909011277785,0.02124165115515165,0.035366254242855576,0.09536844410379941,0.08737545165881966,0.12953027482754845,0.033833351582174535,0.025073907806854263,0.003503777510128107,0.0027373261797875837,0.0010949304719150333,0.013467644804554911,0.0,0.0,0.4560385415526114,1
16,E02000018,0.3879409609546739,0.036114309640950484,0.024390243902439025,0.006699466136292264,0.015387836281796295,0.020412435884015492,0.07892808541819324,0.06814613210509787,0.09107086779022297,0.01643462786559196,0.017690777766146762,0.0023029414843504657,0.0014655082173139328,0.00020935831675913326,0.008583690987124463,0.00010467915837956663,0.0,0.6120590390453261,1
17,E02000019,0.37501293861919055,0.033640409895455956,0.027740399544560604,0.006728081979091191,0.012110547562364144,0.020494772797847012,0.06883345409377911,0.06386502432460407,0.09222647759031156,0.019356174309077736,0.01469827140047614,0.0018631611634406377,0.0020701790704895973,0.000828071628195839,0.010454404305972467,0.00010350895352447987,0.0,0.6249870613808094,1
18,E02000020,0.4787990893568583,0.03934262948207171,0.03052077404667046,0.008323847467273762,0.02056061468412066,0.02682128628343768,0.09227376209447923,0.08473249857712009,0.11254980079681275,0.022908366533864542,0.02141434262948207,0.003130335799658509,0.00298804780876494,0.0006402959590210587,0.01259248719408082,0.0,0.0,0.5212009106431417,1
19,E02000021,0.4324046585978534,0.044759077414934914,0.030029687143183374,0.005023978077186572,0.01564284083124001,0.024206439826444395,0.07456040191824617,0.07410367663850194,0.10401918246174925,0.02066681890842658,0.022036994747659282,0.0015985384791048184,0.0015985384791048184,0.0007992692395524092,0.01335921443251884,0.0,0.0,0.5675953414021466,1
20,E02000022,0.49360217138425744,0.04497867390461419,0.03593123949851364,0.010469174098487785,0.020292102882254102,0.027659299470078842,0.0997802765929947,0.09331782344578002,0.10727672224376374,0.02055060100814269,0.01874111412692258,0.0019387359441644049,0.0015509887553315238,0.00012924906294429367,0.010986170350264961,0.0,0.0,0.5063978286157426,1
