,GEOGRAPHY_CODE,All household members have the same ethnic group,Any other combination of multiple ethnic identities,Ethnic groups differ between generations but not within partnerships,Ethnic groups differ within partnerships,One-person household,Total: All households
16,E02000018,0.6048237476808905,0.06369820655534941,0.05813234384662956,0.051329622758194186,0.2220160791589363,3234.0
17,E02000019,0.6416094822208359,0.05832813474734872,0.05271366188396756,0.06363069245165315,0.18371802869619464,3206.0
18,E02000020,0.569777397260274,0.0702054794520548,0.05821917808219178,0.07748287671232877,0.2243150684931507,4672.0
19,E02000021,0.5832764505119454,0.06279863481228669,0.06689419795221843,0.06075085324232082,0.22627986348122867,2930.0
20,E02000022,0.5296640457469621,0.055039313795568263,0.0736240171551108,0.07147962830593281,0.270192994996426,2798.0
21,E02000023,0.5516723036452461,0.0680195415257422,0.079293498684705,0.06614054866591507,0.23487410747839157,2661.0
22,E02000024,0.48782666964485144,0.03886531159258432,0.03171766808130445,0.15121733303551485,0.2903730176457449,4477.0
23,E02000025,0.442456608811749,0.03658210947930574,0.040320427236315085,0.12977303070761015,0.35086782376502,3745.0
24,E02000026,0.5234872611464968,0.04378980891719745,0.039410828025477705,0.1337579617834395,0.25955414012738853,2512.0
25,E02000027,0.4993215739484396,0.050203527815468114,0.05807327001356852,0.12048846675712348,0.2719131614654003,3685.0
26,E02000028,0.48439821693907875,0.043833580980683504,0.041604754829123326,0.14413075780089152,0.28603268945022287,2692.0
27,E02000029,0.4904235230644726,0.048017264634475317,0.050445103857566766,0.14378203398974912,0.2673320744537362,3707.0
28,E02000030,0.5700483091787439,0.0494458653026428,0.03239556692242114,0.13071895424836602,0.21739130434782608,3519.0
29,E02000031,0.4846662657847264,0.04479855682501503,0.0396873120865905,0.1497294046903187,0.2811184606133494,3326.0
30,E02000032,0.5685131195335277,0.06013119533527697,0.04664723032069971,0.14650145772594753,0.1782069970845481,2744.0
31,E02000033,0.48311390955924444,0.053806525472238124,0.05809959931310819,0.12535775615340583,0.27962220950200345,3494.0
32,E02000034,0.4889941487879632,0.05321816662022848,0.04736695458344943,0.13931457230426303,0.27110615770409585,3589.0
33,E02000035,0.4615602836879433,0.0473758865248227,0.04680851063829787,0.12851063829787235,0.31574468085106383,3525.0
34,E02000036,0.563894523326572,0.053245436105476676,0.04639959432048681,0.10015212981744422,0.2363083164300203,3944.0
35,E02000037,0.6085552865213882,0.047080979284369114,0.040893193435566313,0.09416195856873823,0.2093085821899381,3717.0
36,E02000038,0.4886392009987516,0.05967540574282147,0.04893882646691636,0.14831460674157304,0.25443196004993757,4005.0
37,E02000039,0.5233819678264122,0.054620276842499066,0.03965581743359521,0.1309390198279087,0.25140291806958476,2673.0
38,E02000040,0.48945267958950966,0.05387685290763968,0.042759407069555305,0.13027366020524517,0.2836374002280502,3508.0
39,E02000041,0.5386466165413534,0.08421052631578947,0.04992481203007519,0.09203007518796992,0.23518796992481203,3325.0
40,E02000042,0.42969247083775186,0.0672322375397667,0.04284199363732768,0.1327677624602333,0.32746553552492047,4715.0
41,E02000043,0.554013503375844,0.05813953488372093,0.03225806451612903,0.16204051012753187,0.1935483870967742,2666.0
42,E02000044,0.5522631064799739,0.06252035167697818,0.0651253663301856,0.09833930315858026,0.22175187235428198,3071.0
43,E02000045,0.44100856327307325,0.05756422454804948,0.06398667935299715,0.13082778306374881,0.3066127497621313,4204.0
44,E02000046,0.4546717610281348,0.06842653699201111,0.03959708232025009,0.15178881556095866,0.28551580409864535,2879.0
45,E02000047,0.5380047505938242,0.07743467933491686,0.07600950118764846,0.08076009501187649,0.22779097387173397,4210.0
46,E02000048,0.5032911392405063,0.05949367088607595,0.043037974683544304,0.12987341772151897,0.2643037974683544,3950.0
47,E02000049,0.5084166228300895,0.06391372961599158,0.0775907417148869,0.08074697527617043,0.26933193056286164,3802.0
48,E02000050,0.4563708477937531,0.060981655924640554,0.04908279623202776,0.14923153197818542,0.28433316807139314,4034.0
49,E02000051,0.46599894570374273,0.06220347917764892,0.03505535055350553,0.12124406958355298,0.3154981549815498,3794.0
50,E02000052,0.4204247196373181,0.06394655213552851,0.04151753758052971,0.15891195418754475,0.315199236459079,4191.0
