,GEOGRAPHY_CODE,Occupancy rating of rooms: +1,Occupancy rating of rooms: +2 or more,Occupancy rating of rooms: -1,Occupancy rating of rooms: -2 or less,Occupancy rating of rooms: 0,Total: All households
6580,E02006832,0.25639983746444533,0.5359609914668834,0.04469727752945957,0.004469727752945957,0.15847216578626575,2461.0
6581,E02006833,0.2564102564102564,0.5468142968142968,0.030497280497280496,0.003885003885003885,0.1623931623931624,5148.0
6582,E02006834,0.20768136557610242,0.3732574679943101,0.0492176386913229,0.008250355618776671,0.3615931721194879,3515.0
6583,E02006835,0.30927835051546393,0.4833906071019473,0.030546009927453228,0.005345551737304314,0.17143948071783124,2619.0
6584,E02006836,0.18082788671023964,0.6212262682850919,0.03392468098350451,0.0034235916588857764,0.16059757236227826,3213.0
6585,E02006837,0.1978368634520054,0.61198738170347,0.02726453357368184,0.008337088778729157,0.15457413249211358,4438.0
6586,E02006838,0.19652986319652987,0.6740073406740074,0.016016016016016016,0.002669336002669336,0.11077744411077745,2997.0
6587,E02006839,0.16681222707423582,0.6541484716157205,0.027365356622998546,0.0034934497816593887,0.14818049490538573,3435.0
6588,E02006840,0.2571547942343848,0.5314393148109463,0.04115312304157092,0.003969082932943388,0.16628368498015458,4787.0
6589,E02006841,0.4668291362036285,0.2082317898727322,0.04901164365014893,0.004603303547251557,0.27132412672623885,3693.0
6590,E02006842,0.2999108734402852,0.3631907308377897,0.05659536541889483,0.012032085561497326,0.26827094474153296,2244.0
6591,E02006843,0.2740941582450086,0.06186837564702982,0.15799852107468573,0.008873551885629776,0.497165393147646,4057.0
6592,E02006844,0.21079881656804733,0.10798816568047337,0.21745562130177515,0.023668639053254437,0.4400887573964497,2704.0
6593,E02006845,0.3585576434738446,0.41823260538344337,0.021838496698831894,0.004062976130015236,0.1973082783138649,3938.0
6594,E02006846,0.3654887799845241,0.3422749548620067,0.04049522826928037,0.004384833634253288,0.2473562032499355,3877.0
6595,E02006847,0.2831785909339159,0.5327689787001638,0.025669033315128344,0.0019115237575095577,0.15647187329328235,3662.0
