,GEOGRAPHY_CODE,Africa,Antarctica and Oceania (including Australasia) and Other,British Overseas,Europe,Europe: EU countries,Europe: EU countries: All other EU countries,Europe: EU countries: European Union EU14,Europe: EU countries: European Union EU2,Europe: EU countries: European Union EU8,Europe: Non-EU countries - All other non-EU countries,Europe: United Kingdom,Middle East and Asia,The Americas and the Caribbean,Total: All usual residents
590,E02000623,0.11577608142493638,0.0071246819338422395,0.0003816793893129771,0.7283715012722646,0.16577608142493638,0.002035623409669211,0.1366412213740458,0.007888040712468193,0.019211195928753182,0.011195928753180661,0.5513994910941475,0.04287531806615776,0.105470737913486,7860.0
591,E02000624,0.10507735437649257,0.013186584985982764,0.0004153255113695359,0.739590904371301,0.12117121794206209,0.003426435468798671,0.09604402450420517,0.006852870937597342,0.014847887031460907,0.012148271207558924,0.60627141522168,0.03457584882151386,0.10715398193334026,9631.0
592,E02000625,0.12123817712811694,0.009565778159931213,0.00032244196044711954,0.711414445399828,0.15573946689595872,0.003116938950988822,0.11790627687016338,0.009565778159931213,0.02515047291487532,0.013435081685296647,0.5422398968185727,0.05180567497850387,0.10565348237317283,9304.0
593,E02000626,0.15119617224880383,0.004066985645933014,0.0,0.6825358851674641,0.09413875598086124,0.0019138755980861245,0.07643540669856459,0.0046650717703349285,0.011124401913875598,0.008851674641148326,0.5795454545454546,0.03720095693779904,0.125,8360.0
594,E02000627,0.11000628009210801,0.020724303956458027,0.0006280092108017584,0.7365501360686624,0.12602051496755287,0.0025120368432070338,0.10655222943269835,0.004396064475612309,0.01256018421603517,0.012350847812434583,0.5981787732886749,0.039773916684111364,0.0923173539878585,9554.0
595,E02000628,0.13324061196105702,0.00927213722763097,0.0011126564673157164,0.6926286509040334,0.14798331015299027,0.002039870190078813,0.1244320815948076,0.0051923968474733425,0.016318961520630504,0.010477515067222994,0.5341678256838202,0.04413537320352341,0.11961057023643949,10785.0
596,E02000629,0.06801228609039052,0.027863097849934182,0.0005484861781483107,0.7942079859587539,0.13920579201404124,0.003290917068889864,0.11594997806055288,0.003949100482667837,0.01601579640193067,0.013163668275559455,0.6418385256691531,0.03850372970601141,0.07086441421676173,9116.0
597,E02000630,0.05425842398514195,0.029318121517643937,0.00039798355001326613,0.8136110374104537,0.13292650570443088,0.0023879013000795966,0.11037410453701248,0.005173786150172459,0.014990713717166357,0.018307243300610242,0.6623772884054125,0.03807375961793579,0.06434067391881136,7538.0
598,E02000631,0.05764384712305754,0.011864762704745905,0.0003149937001259975,0.7770894582108357,0.09743805123897523,0.0034649307013859725,0.07874842503149937,0.0040949181016379675,0.011129777404451912,0.01133977320453591,0.6683116337673246,0.056593868122637545,0.09649307013859723,9524.0
599,E02000632,0.0547673690799082,0.03484247861464636,0.00041727519298977677,0.8035677029000626,0.1211141247652827,0.002190694763196328,0.10337992906321719,0.004068433131650323,0.011475067807218861,0.011892343000208638,0.6705612351345712,0.03306905904443981,0.07333611516795327,9586.0
600,E02000633,0.11487224284778336,0.011574579602533304,0.00010919414719371041,0.7305088447259227,0.10111378030137584,0.0010919414719371041,0.08528062895828784,0.003603406857392444,0.011137803013758463,0.011137803013758463,0.6182572614107884,0.04225813496396593,0.10067700371260101,9158.0
601,E02000634,0.0915534554046072,0.023183697578263437,0.0005906674542232723,0.7656526875369167,0.1218251624335499,0.002362669816893089,0.10248080330773775,0.004282339043118724,0.012699350265800354,0.017424689899586534,0.6264028352037803,0.045629060838747786,0.07339043118724159,6772.0
602,E02000635,0.07004486133768352,0.015701468189233278,0.0010195758564437193,0.789763458401305,0.10909461663947798,0.00316068515497553,0.08493066884176183,0.0015293637846655792,0.01947389885807504,0.008054649265905383,0.6726141924959217,0.03833605220228385,0.08513458401305057,9808.0
603,E02000636,0.039652714785538425,0.030452248283011532,0.0005183361409874304,0.8311520020733446,0.11481145522871582,0.0036283529869120122,0.0938188415187249,0.006220033691849165,0.011144227031229753,0.014772580018141765,0.7015679668264869,0.03913437864455099,0.05909032007256706,7717.0
604,E02000637,0.05093419017017732,0.01868380340354635,0.00047602046888016187,0.7962632393192908,0.12483636796382244,0.0029751279305010115,0.10115434963703439,0.003570153516601214,0.017136736879685827,0.009520409377603237,0.6619064619778651,0.032250386766630966,0.10139235987147448,8403.0
605,E02000638,0.08482839313572543,0.015210608424336974,0.0013650546021840874,0.7579953198127926,0.11895475819032761,0.002047581903276131,0.09526131045241809,0.0062402496099844,0.015405616224648986,0.013943057722308892,0.6250975039001561,0.041146645865834636,0.09945397815912636,10256.0
606,E02000639,0.13926940639269406,0.008171112713290074,0.0010814708002883922,0.6925018024513339,0.14659937515020427,0.0037250660898822396,0.10526315789473684,0.0091324200913242,0.028478731074260993,0.017303532804614274,0.5285988944965153,0.03893294881038212,0.12004325883201153,8322.0
607,E02000640,0.05617131174001937,0.021629183256214355,0.0003228236306897665,0.8206176692133864,0.10072097277520714,0.0016141181534488325,0.08124394705692457,0.006133648983105563,0.011729258581728182,0.010868395566555472,0.7090283008716238,0.04498009254277413,0.05627891961691596,9293.0
608,E02000641,0.13699582753824757,0.005563282336578581,0.0001159017153453871,0.7056096430227168,0.10535465924895689,0.0024339360222531293,0.08275382475660639,0.004056560037088549,0.016110338433008808,0.011126564673157162,0.5891284191006027,0.037552155771905425,0.1141631896152063,8628.0
609,E02000642,0.06217510957088982,0.010702272958923656,0.000407705636530425,0.8099072469676893,0.10396493731525838,0.0021404545917847314,0.07420242584853735,0.011109978595454081,0.016512078279482215,0.0146774029150953,0.6912649067373356,0.03832432983385995,0.07848333503210682,9811.0
610,E02000643,0.06930376372747628,0.012048192771084338,0.0007463482247574368,0.7789743042968333,0.14063332977929416,0.0031986352489604434,0.10075701034225397,0.011834950421153642,0.02484273376692611,0.011941571596118989,0.6263994029214202,0.03806375946262928,0.10086363151721932,9379.0
611,E02000644,0.06020420138481399,0.012205140241755662,0.00011735711770918906,0.7989672573641592,0.13801197042600633,0.003638070648984861,0.09165590893087666,0.006454641474005399,0.036263349372139424,0.01243985447717404,0.6485154324609788,0.04248327661072644,0.08602276728083558,8521.0
612,E02000645,0.06534508076358296,0.009544787077826725,0.0004195510803440319,0.7990350325152087,0.12261380323054331,0.003461296412838263,0.08695196140130061,0.009230123767568701,0.022970421648835747,0.013740297881267044,0.6626809314033983,0.0381791483113069,0.08747640025173065,9534.0
613,E02000646,0.05737446046952311,0.015475313190862197,0.00031582271818086113,0.7886093272976102,0.15306874407832402,0.0029476787030213707,0.09885251079060954,0.01105379513633014,0.04021475944836299,0.011685440572691863,0.6238551426465944,0.05347931361195915,0.0847457627118644,9499.0
614,E02000647,0.06842779006167811,0.010124519958105435,0.00011637379262190155,0.8015826835796579,0.11811939951123007,0.0033748399860351447,0.08134528104270919,0.005236820667985569,0.028162457814500174,0.01198650064005586,0.6714767834283719,0.04573490050040731,0.07401373210752939,8593.0
615,E02000648,0.09327881420904677,0.005494505494505495,0.00038333759263991824,0.7830309225658063,0.095323281369793,0.002300025555839509,0.0706618962432916,0.005877843087145413,0.016483516483516484,0.009583439815997956,0.6781242013800153,0.03552261691796575,0.08228980322003578,7826.0
616,E02000649,0.06756431834575619,0.01025887633245171,0.0006411797707782319,0.7678127755069327,0.1747214875370682,0.0023242766690710908,0.09425342630440009,0.01819347599583233,0.05995030856776469,0.013384627714995592,0.5797066602548689,0.04953113729261842,0.10419171275146269,12477.0
617,E02000650,0.07318982387475538,0.00821917808219178,0.0001304631441617743,0.8130463144161775,0.10332681017612524,0.0027397260273972603,0.07240704500978473,0.009523809523809525,0.018656229615133725,0.009654272667971298,0.7000652315720809,0.02909328114807567,0.07632093933463796,7665.0
618,E02000651,0.0731288624399176,0.010643167772945755,0.0003433279926756695,0.7633325703822385,0.14854657816433967,0.0032043945983062485,0.07324330510414283,0.017967498283360035,0.05413138017853056,0.015106431677729458,0.5996795605401694,0.055619134813458454,0.09693293659876402,8738.0
619,E02000652,0.09760613675439757,0.0035709562227218624,0.0006612881893929374,0.7307234492791959,0.19098002909668033,0.002380637481814575,0.07353524666049464,0.03875148789842613,0.07631265705594498,0.009125777013622537,0.530617643168893,0.08570294934532469,0.08173522020896706,7561.0
620,E02000653,0.11751645388946158,0.006660851637459361,0.0006343668226151772,0.703116327016097,0.1593053683292364,0.003726905082864166,0.10181587502973595,0.01871382126714773,0.03504876694948854,0.032749187217508524,0.5110617714693522,0.10205376258821663,0.07001823804615019,12611.0
621,E02000654,0.14999430977580516,0.005007397291453284,0.0007966313872766587,0.6886309320587232,0.10504153863662229,0.003414134516899966,0.062023443723682715,0.011494252873563218,0.028109707522476386,0.021053829520883124,0.5625355639012177,0.08034596563104586,0.07522476385569592,8787.0
622,E02000655,0.11329378586015754,0.0050568900126422255,0.0003889915394340173,0.7127297481279782,0.1330351064864339,0.0019449576971700866,0.08100748808713411,0.01235048137703005,0.03773217932509968,0.022367013517455996,0.5573276281240883,0.06768452786151902,0.100846056598269,10283.0
623,E02000657,0.09630526953361598,0.0072683222289521504,0.0002018978396931153,0.7572178477690289,0.12618614980819706,0.004239854633555421,0.08409045023218252,0.013930950938824955,0.02392489400363416,0.014839491217443974,0.6161922067433878,0.05784373107207753,0.08116293155663235,9906.0
624,E02000658,0.09061376029701822,0.009397841977027498,0.0003480682213713888,0.7664462234597981,0.10813319410604479,0.005105000580113702,0.07506671307576285,0.00858568279382759,0.01937579765634064,0.02018795683954055,0.6381250725142128,0.04478477781645202,0.08840932822833275,8619.0
625,E02000659,0.06424407788664269,0.010169911943445367,0.0017363264293687214,0.7977179709785439,0.10318739923105544,0.0028525362768200423,0.06833684732729753,0.011162098474513209,0.020835917152424655,0.028401339451816943,0.6661292322956716,0.06945305717474885,0.0566786555872504,8063.0
626,E02000660,0.06335282651072124,0.01145224171539961,0.0007309941520467836,0.7877680311890838,0.1276803118908382,0.0028021442495126704,0.09100877192982457,0.010721247563352826,0.023148148148148147,0.01705653021442495,0.6430311890838206,0.06712962962962964,0.06956627680311891,8208.0
627,E02000661,0.0592946249807485,0.010318804866779609,0.0007700600646850454,0.8261204373941168,0.10796242106884336,0.007084552595102418,0.067765285692284,0.010626828892653628,0.022485753888803327,0.021715693824118282,0.6964423225011551,0.049591868165716924,0.05390420452795318,6493.0
628,E02000662,0.09632308619650391,0.006992163954189271,0.0003616636528028933,0.762748643761302,0.09342977697408077,0.0019288728149487644,0.06196503918022905,0.006992163954189271,0.022543701024713682,0.01784207353827607,0.6514767932489451,0.04822182037371911,0.08535262206148282,8295.0
629,E02000663,0.06827545615067687,0.01103590347263096,0.0002942907592701589,0.7929664508534432,0.11286050618010594,0.005002942907592701,0.0751912889935256,0.012065921130076516,0.020600353148911125,0.018246027074749854,0.6618599175985874,0.050029429075927015,0.0773984696880518,6796.0
630,E02000665,0.05775597792765175,0.0082158185162477,0.0009809932556713672,0.8167995095033722,0.12274678111587983,0.005640711220110362,0.06633966891477622,0.026364193746167996,0.024402207234825262,0.01900674432863274,0.6750459840588596,0.05321888412017167,0.06302881667688534,8155.0
631,E02000666,0.0642737896494157,0.010434056761268781,0.00041736227045075126,0.8045353366722315,0.08987200890372844,0.006399554813578186,0.05550918196994992,0.013216471897607123,0.01474680022259321,0.013633834168057874,0.7010294936004452,0.052170283806343906,0.06816917084028937,7188.0
632,E02000667,0.039623205741626796,0.015849282296650717,0.0002990430622009569,0.8317882775119617,0.0924043062200957,0.010466507177033494,0.051285885167464115,0.014055023923444977,0.01659688995215311,0.011363636363636364,0.7280203349282297,0.03932416267942584,0.07311602870813397,6688.0
633,E02000668,0.05383717537204552,0.005106507149110009,0.00014590020426028595,0.8221476510067114,0.09702363583309016,0.003939305515027721,0.05515027721038809,0.016194922672891743,0.021739130434782608,0.01634082287715203,0.7087831922964692,0.06725999416399182,0.05150277210388095,6854.0
634,E02000669,0.06535373808329152,0.007024586051179127,0.0007526342197691922,0.769568489713999,0.12982940291018566,0.0038886101354741595,0.06058705469141997,0.034244856999498245,0.031108881083793276,0.01818866031108881,0.6215504264927245,0.07112393376818867,0.0861766181635725,7972.0
635,E02000670,0.11763828835544952,0.006262114209035336,0.0,0.7095571790666468,0.11450723125093186,0.003876546891307589,0.05785000745489787,0.030117787386312808,0.0226628895184136,0.02132100790219174,0.5737289399135231,0.05352616669151632,0.11301625167735202,6707.0
636,E02000671,0.05502802882965336,0.014186019906189224,0.00011440338634023568,0.8302253746710903,0.09255233954925066,0.005148152385310605,0.05651527285207642,0.01269877588376616,0.018190138428097472,0.012813179270106395,0.7248598558517332,0.04038439537810319,0.06006177782862373,8741.0
637,E02000672,0.09304136253041363,0.007688564476885645,0.0005839416058394161,0.7499756690997567,0.13771289537712894,0.006228710462287105,0.07143552311435523,0.036982968369829686,0.023065693430656935,0.016642335766423356,0.5956204379562043,0.06530413625304136,0.08340632603406326,10275.0
638,E02000673,0.058837980592064854,0.011055152929615526,0.00036850509765385086,0.8322073455349466,0.09593416042255251,0.005896081562461614,0.060926176145436675,0.008352782213487286,0.020759120501166933,0.01080948286451296,0.7254637022478811,0.038815870286205624,0.05871514555951357,8141.0
639,E02000674,0.06303962152572443,0.004967474866942638,0.0005913660555884093,0.7777646363098758,0.1075103489059728,0.0044943820224719105,0.06777054997043169,0.016321703134240095,0.018923713778829097,0.008988764044943821,0.6612655233589592,0.05357776463630987,0.10005913660555885,8455.0
640,E02000675,0.06321839080459771,0.0049261083743842365,0.0004691531785127844,0.8124560168895144,0.09840487919305653,0.008796622097114707,0.0483227773868168,0.018296973961998593,0.022988505747126436,0.020994604738447102,0.6930565329580108,0.06908280553600751,0.049847525216983345,8526.0
641,E02000676,0.05579014715291107,0.010108765195137556,0.0008957133717210493,0.836084452975048,0.09622520793346129,0.003326935380678183,0.05745361484325016,0.015738963531669866,0.019705694177863085,0.01036468330134357,0.7294945617402431,0.0382597568777991,0.05886116442738324,7815.0
642,E02000677,0.07850208044382802,0.0031900138696255203,0.00027739251040221914,0.7682385575589459,0.10402219140083217,0.020249653259361997,0.04826629680998613,0.017337031900138695,0.018169209431345354,0.014285714285714285,0.6499306518723994,0.06407766990291262,0.08571428571428572,7210.0
